State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,5.22,(4.99 - 5.45),17.29,(16.87 - 17.72),6.18,(5.95 - 6.42),7.81,(7.60 - 8.03)
Northeast,5.02,(4.64 - 5.44),17.57,(16.75 - 18.43),5.78,(5.37 - 6.23),7.47,(7.08 - 7.87)
Midwest,5.76,(5.43 - 6.12),19.47,(18.79 - 20.18),6.63,(6.29 - 6.98),8.53,(8.22 - 8.85)
South,4.57,(4.28 - 4.88),15.53,(14.90 - 16.17),5.83,(5.52 - 6.17),7.24,(6.95 - 7.54)
West,5.83,(5.37 - 6.32),17.67,(16.82 - 18.55),6.62,(6.16 - 7.11),8.31,(7.90 - 8.75)
Alabama,4.54,(3.59 - 5.71),12.93,(11.05 - 15.09),5.10,(4.14 - 6.27),6.24,(5.30 - 7.34)
Region 1,4.51,(3.22 - 6.29),12.37,(9.45 - 16.02),4.66,(3.45 - 6.28),5.65,(4.38 - 7.26)
Region 2,5.29,(3.86 - 7.22),13.05,(10.35 - 16.33),5.19,(3.90 - 6.87),6.33,(5.04 - 7.92)
Region 3,3.42,(2.37 - 4.93),13.38,(10.09 - 17.55),5.47,(3.95 - 7.53),6.91,(5.30 - 8.95)
Region 4,4.44,(3.17 - 6.18),12.95,(9.95 - 16.69),5.26,(3.93 - 7.01),6.32,(4.96 - 8.01)
Alaska,5.91,(4.72 - 7.38),17.87,(15.53 - 20.48),6.33,(5.23 - 7.64),8.15,(7.07 - 9.38)
Anchorage,6.09,(4.51 - 8.17),17.36,(14.26 - 20.96),6.43,(5.02 - 8.20),8.13,(6.73 - 9.78)
Northern,5.16,(3.64 - 7.29),17.08,(13.34 - 21.61),6.35,(4.76 - 8.43),8.39,(6.69 - 10.47)
South Central,6.16,(4.51 - 8.36),18.97,(14.90 - 23.84),6.23,(4.68 - 8.24),8.10,(6.43 - 10.15)
Southeast,6.39,(4.39 - 9.22),*,(* - *),6.18,(4.53 - 8.37),7.92,(6.12 - 10.18)
Arizona,5.54,(4.33 - 7.06),16.91,(14.59 - 19.52),6.59,(5.44 - 7.97),8.10,(6.97 - 9.39)
Maricopa,5.58,(4.15 - 7.47),16.22,(13.43 - 19.46),6.80,(5.40 - 8.53),8.15,(6.77 - 9.77)
Pima,5.35,(3.70 - 7.70),18.74,(14.33 - 24.12),6.55,(4.91 - 8.70),8.39,(6.64 - 10.55)
Rural North,5.33,(3.67 - 7.70),19.27,(14.71 - 24.83),6.23,(4.54 - 8.49),8.23,(6.36 - 10.58)
Rural South,5.72,(3.96 - 8.20),15.48,(11.32 - 20.81),5.95,(4.32 - 8.15),7.37,(5.59 - 9.65)
Arkansas,6.35,(5.21 - 7.73),18.16,(15.85 - 20.72),6.04,(5.01 - 7.27),7.77,(6.74 - 8.93)
Catchment Area 1,7.28,(5.24 - 10.03),23.45,(18.43 - 29.36),7.18,(5.36 - 9.56),9.68,(7.70 - 12.09)
