State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,7.81,(7.54 - 8.10),21.02,(20.56 - 21.49),7.20,(6.95 - 7.46),9.23,(9.00 - 9.47)
Northeast,7.51,(7.03 - 8.02),21.81,(20.93 - 22.73),6.78,(6.33 - 7.26),8.93,(8.52 - 9.35)
Midwest,8.24,(7.85 - 8.65),22.83,(22.12 - 23.55),7.55,(7.17 - 7.95),9.82,(9.48 - 10.17)
South,7.23,(6.87 - 7.60),19.34,(18.69 - 20.02),6.93,(6.57 - 7.32),8.73,(8.40 - 9.07)
West,8.53,(7.98 - 9.11),21.25,(20.36 - 22.17),7.62,(7.11 - 8.15),9.71,(9.26 - 10.18)
Alabama,6.88,(5.69 - 8.31),16.43,(14.35 - 18.74),6.25,(5.13 - 7.60),7.73,(6.65 - 8.96)
Region 1,6.70,(5.08 - 8.79),16.27,(12.81 - 20.45),5.77,(4.29 - 7.72),7.12,(5.59 - 9.03)
Region 2,7.85,(6.01 - 10.20),16.37,(13.43 - 19.81),6.37,(4.89 - 8.26),7.82,(6.36 - 9.58)
Region 3,5.78,(4.21 - 7.87),16.78,(13.06 - 21.30),6.74,(4.96 - 9.10),8.57,(6.71 - 10.89)
Region 4,6.67,(4.97 - 8.90),16.31,(12.85 - 20.49),6.31,(4.67 - 8.47),7.69,(6.01 - 9.78)
Alaska,8.46,(7.06 - 10.11),21.63,(19.02 - 24.49),7.37,(6.13 - 8.84),9.62,(8.41 - 10.99)
Anchorage,8.35,(6.48 - 10.70),20.57,(17.20 - 24.41),7.21,(5.60 - 9.24),9.29,(7.69 - 11.19)
Northern,8.07,(6.02 - 10.75),22.90,(18.52 - 27.95),7.87,(5.93 - 10.38),10.73,(8.72 - 13.14)
South Central,8.81,(6.77 - 11.40),21.77,(17.14 - 27.24),7.27,(5.54 - 9.48),9.40,(7.53 - 11.67)
Southeast,8.94,(6.51 - 12.15),*,(* - *),7.31,(5.28 - 10.04),9.30,(7.10 - 12.09)
Arizona,8.31,(6.83 - 10.06),20.92,(18.35 - 23.74),7.75,(6.47 - 9.24),9.67,(8.45 - 11.05)
Maricopa,8.38,(6.57 - 10.63),20.53,(17.35 - 24.13),7.99,(6.43 - 9.88),9.78,(8.27 - 11.54)
Pima,8.01,(5.89 - 10.81),22.29,(17.39 - 28.09),7.76,(5.76 - 10.38),9.95,(7.80 - 12.62)
Rural North,7.96,(5.77 - 10.88),21.86,(16.87 - 27.83),7.21,(5.24 - 9.85),9.45,(7.32 - 12.13)
Rural South,8.60,(6.18 - 11.84),*,(* - *),7.05,(5.07 - 9.71),8.97,(6.80 - 11.75)
Arkansas,9.29,(7.87 - 10.94),22.03,(19.51 - 24.76),7.37,(6.19 - 8.75),9.45,(8.31 - 10.74)
Catchment Area 1,10.05,(7.51 - 13.34),26.64,(21.23 - 32.86),8.26,(6.18 - 10.95),11.08,(8.83 - 13.81)
Catchment Area 2,9.68,(7.21 - 12.86),20.80,(15.97 - 26.64),6.69,(4.92 - 9.03),8.54,(6.63 - 10.94)
Catchment Area 3,9.83,(7.44 - 12.89),23.26,(18.41 - 28.95),8.35,(6.29 - 10.99),10.57,(8.43 - 13.16)
Catchment Area 4,9.79,(7.16 - 13.26),*,(* - *),7.28,(5.30 - 9.94),9.44,(7.28 - 12.17)
Catchment Area 5,9.96,(7.64 - 12.89),21.07,(17.07 - 25.71),7.13,(5.40 - 9.36),9.37,(7.56 - 11.56)
Catchment Area 6,7.88,(5.76 - 10.70),19.10,(14.58 - 24.61),7.35,(5.28 - 10.15),9.09,(6.91 - 11.87)
Catchment Area 7,8.50,(6.13 - 11.68),*,(* - *),7.71,(5.68 - 10.39),9.63,(7.42 - 12.42)
Catchment Area 8,8.26,(6.16 - 11.00),18.70,(14.49 - 23.79),6.52,(4.87 - 8.69),8.10,(6.36 - 10.27)
California,8.28,(7.44 - 9.20),20.89,(19.54 - 22.30),7.42,(6.65 - 8.27),9.56,(8.87 - 10.31)
Region 1R,9.29,(7.00 - 12.22),24.60,(19.66 - 30.32),7.92,(6.03 - 10.35),10.87,(8.74 - 13.43)
Region 2R,9.07,(6.89 - 11.85),23.93,(19.20 - 29.39),8.24,(6.31 - 10.70),10.94,(8.85 - 13.46)
Region 3R (Sacramento),9.02,(6.83 - 11.84),23.95,(19.30 - 29.33),8.35,(6.32 - 10.96),10.78,(8.63 - 13.40)
Region 4R,8.81,(6.65 - 11.57),22.82,(18.05 - 28.43),7.14,(5.40 - 9.37),9.37,(7.47 - 11.69)
Region 5R (San Francisco),*,(* - *),21.18,(16.13 - 27.31),8.52,(6.41 - 11.24),9.70,(7.51 - 12.45)
Region 6 (Santa Clara),7.75,(5.89 - 10.13),20.32,(16.10 - 25.31),6.62,(5.00 - 8.71),8.40,(6.67 - 10.53)
Region 7R (Contra Costa),9.07,(6.86 - 11.90),23.54,(18.78 - 29.08),7.35,(5.59 - 9.60),9.60,(7.67 - 11.94)
Region 8R (Alameda),8.14,(6.18 - 10.66),19.80,(15.89 - 24.40),7.27,(5.49 - 9.57),9.00,(7.17 - 11.24)
Region 9R (San Mateo),9.17,(6.84 - 12.18),24.40,(19.03 - 30.72),7.40,(5.56 - 9.80),9.36,(7.34 - 11.86)
Region 10,9.68,(7.36 - 12.62),24.21,(19.56 - 29.57),8.00,(6.08 - 10.47),10.80,(8.70 - 13.32)
Region 11 (Los Angeles),7.81,(6.80 - 8.96),19.13,(17.27 - 21.15),7.32,(6.34 - 8.44),9.17,(8.24 - 10.20)
LA SPA 1 and 5,8.24,(6.17 - 10.92),22.13,(17.12 - 28.12),7.71,(5.73 - 10.30),9.87,(7.70 - 12.57)
LA SPA 2,8.37,(6.47 - 10.78),20.17,(16.29 - 24.69),7.20,(5.52 - 9.34),9.07,(7.32 - 11.19)
LA SPA 3,7.05,(5.38 - 9.20),17.36,(13.98 - 21.36),5.92,(4.49 - 7.77),7.71,(6.22 - 9.53)
LA SPA 4,7.97,(5.93 - 10.64),19.44,(15.27 - 24.42),8.48,(6.46 - 11.04),10.00,(7.93 - 12.54)
LA SPA 6,6.83,(5.08 - 9.13),16.69,(12.87 - 21.37),7.56,(5.56 - 10.20),9.46,(7.37 - 12.06)
LA SPA 7,8.28,(6.25 - 10.89),19.21,(15.20 - 23.98),7.23,(5.49 - 9.47),9.29,(7.43 - 11.56)
LA SPA 8,7.97,(6.09 - 10.36),19.64,(15.52 - 24.54),7.86,(6.05 - 10.15),9.62,(7.74 - 11.91)
Region 12R,9.08,(6.79 - 12.03),*,(* - *),7.67,(5.78 - 10.11),9.85,(7.72 - 12.49)
Regions 13 and 19R,8.66,(6.81 - 10.95),20.50,(16.78 - 24.79),7.56,(5.89 - 9.65),9.78,(8.00 - 11.91)
Region 13 (Riverside),8.75,(6.78 - 11.22),20.68,(16.70 - 25.32),7.59,(5.83 - 9.83),9.83,(7.94 - 12.11)
Region 19R (Imperial),*,(* - *),*,(* - *),*,(* - *),9.25,(7.04 - 12.07)
Region 14 (Orange),7.79,(6.05 - 9.97),18.77,(15.29 - 22.83),6.56,(5.11 - 8.38),8.35,(6.85 - 10.14)
Region 15R (Fresno),7.64,(5.62 - 10.32),19.54,(14.99 - 25.07),7.44,(5.57 - 9.88),9.72,(7.63 - 12.30)
Region 16R (San Diego),9.01,(7.11 - 11.35),25.18,(21.16 - 29.67),8.55,(6.88 - 10.59),11.46,(9.70 - 13.50)
Region 17R,9.36,(7.30 - 11.94),21.83,(17.67 - 26.64),7.91,(6.12 - 10.18),10.52,(8.62 - 12.78)
Region 18R (San Bernardino),6.57,(4.96 - 8.67),14.76,(11.61 - 18.58),5.65,(4.25 - 7.48),7.33,(5.84 - 9.17)
Region 20R,8.06,(6.08 - 10.61),18.67,(14.42 - 23.82),7.13,(5.36 - 9.43),9.17,(7.22 - 11.57)
Region 21R,9.15,(6.84 - 12.14),25.17,(20.21 - 30.88),7.93,(6.08 - 10.27),11.11,(9.03 - 13.59)
Colorado,10.14,(8.52 - 12.02),27.09,(24.31 - 30.05),9.30,(7.82 - 11.04),11.87,(10.45 - 13.46)
Region 1,10.64,(7.99 - 14.03),28.53,(23.19 - 34.55),8.70,(6.50 - 11.55),12.29,(9.91 - 15.13)
Regions 2 and 7,10.56,(8.52 - 13.01),28.53,(24.74 - 32.65),10.11,(8.19 - 12.42),12.60,(10.74 - 14.73)
Region 3,8.46,(6.22 - 11.41),22.52,(17.67 - 28.24),7.35,(5.44 - 9.87),9.62,(7.53 - 12.21)
Region 4,9.57,(6.90 - 13.14),*,(* - *),7.65,(5.52 - 10.52),9.75,(7.39 - 12.74)
Regions 5 and 6,10.00,(7.33 - 13.51),*,(* - *),9.27,(6.80 - 12.52),11.76,(9.11 - 15.06)
Connecticut,8.69,(7.26 - 10.37),24.93,(22.16 - 27.92),7.33,(6.15 - 8.70),9.70,(8.56 - 10.99)
