State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,4.55,(4.35 - 4.76),7.94,(7.65 - 8.24),1.71,(1.60 - 1.84),2.63,(2.52 - 2.74)
Northeast,4.27,(3.94 - 4.63),8.72,(8.18 - 9.29),1.66,(1.45 - 1.89),2.67,(2.46 - 2.89)
Midwest,4.56,(4.29 - 4.86),7.55,(7.16 - 7.96),1.62,(1.46 - 1.80),2.50,(2.34 - 2.67)
South,4.42,(4.15 - 4.71),7.77,(7.36 - 8.20),1.81,(1.64 - 1.99),2.67,(2.51 - 2.84)
West,4.94,(4.53 - 5.39),7.97,(7.42 - 8.56),1.70,(1.47 - 1.95),2.66,(2.44 - 2.90)
Alabama,4.18,(3.35 - 5.21),7.68,(6.29 - 9.33),2.03,(1.46 - 2.81),2.85,(2.26 - 3.58)
Region 1,4.22,(3.02 - 5.85),7.65,(5.37 - 10.81),1.73,(1.05 - 2.85),2.49,(1.70 - 3.64)
Region 2,4.36,(3.19 - 5.95),7.74,(5.72 - 10.39),2.13,(1.35 - 3.36),2.95,(2.09 - 4.13)
Region 3,3.96,(2.79 - 5.60),7.80,(5.36 - 11.23),2.23,(1.33 - 3.74),3.25,(2.19 - 4.80)
Region 4,4.07,(2.89 - 5.71),7.47,(5.25 - 10.53),2.11,(1.27 - 3.50),2.85,(1.92 - 4.20)
Alaska,4.91,(3.94 - 6.10),8.67,(7.00 - 10.69),1.89,(1.34 - 2.65),2.96,(2.35 - 3.72)
Anchorage,4.71,(3.45 - 6.41),8.01,(5.91 - 10.76),1.83,(1.17 - 2.85),2.79,(2.03 - 3.81)
Northern,5.31,(3.80 - 7.38),8.72,(6.16 - 12.22),2.39,(1.42 - 4.00),3.60,(2.48 - 5.19)
South Central,4.86,(3.58 - 6.58),9.62,(6.64 - 13.74),1.71,(1.00 - 2.90),2.87,(1.96 - 4.20)
Southeast,4.85,(3.36 - 6.96),9.08,(5.84 - 13.84),1.62,(0.91 - 2.87),2.59,(1.65 - 4.05)
Arizona,4.64,(3.70 - 5.80),8.08,(6.52 - 9.99),1.94,(1.37 - 2.73),2.84,(2.23 - 3.60)
Maricopa,4.64,(3.49 - 6.15),7.80,(5.88 - 10.27),2.04,(1.34 - 3.09),2.87,(2.11 - 3.88)
Pima,4.79,(3.40 - 6.71),9.02,(6.14 - 13.07),1.90,(1.13 - 3.19),2.97,(2.00 - 4.40)
Rural North,4.51,(3.13 - 6.46),8.75,(5.94 - 12.70),1.75,(0.99 - 3.05),2.82,(1.85 - 4.26)
Rural South,4.54,(3.16 - 6.50),7.57,(4.89 - 11.54),1.65,(0.95 - 2.86),2.53,(1.63 - 3.91)
Arkansas,5.26,(4.33 - 6.38),8.13,(6.62 - 9.96),2.03,(1.48 - 2.79),2.90,(2.30 - 3.65)
Catchment Area 1,5.26,(3.71 - 7.40),7.89,(5.32 - 11.54),1.90,(1.11 - 3.24),2.82,(1.86 - 4.24)
Catchment Area 2,5.02,(3.52 - 7.12),7.87,(5.20 - 11.74),1.75,(1.02 - 3.00),2.55,(1.66 - 3.91)
Catchment Area 3,5.89,(4.29 - 8.04),9.05,(6.15 - 13.11),2.48,(1.48 - 4.13),3.46,(2.31 - 5.16)
Catchment Area 4,5.64,(3.94 - 8.01),9.15,(6.08 - 13.54),2.04,(1.17 - 3.53),2.93,(1.89 - 4.52)
Catchment Area 5,5.27,(3.79 - 7.29),7.64,(5.34 - 10.82),1.94,(1.17 - 3.18),2.85,(1.95 - 4.17)
Catchment Area 6,4.72,(3.29 - 6.71),7.24,(4.75 - 10.89),*,(* - *),2.91,(1.83 - 4.58)
Catchment Area 7,4.55,(3.08 - 6.69),6.62,(4.09 - 10.54),1.77,(0.99 - 3.16),2.42,(1.49 - 3.91)
Catchment Area 8,5.28,(3.77 - 7.34),8.92,(6.15 - 12.76),2.13,(1.31 - 3.44),3.01,(2.05 - 4.41)
California,4.91,(4.29 - 5.61),7.81,(6.97 - 8.73),1.60,(1.27 - 2.02),2.59,(2.25 - 2.97)
Region 1R,4.95,(3.59 - 6.81),8.56,(5.93 - 12.20),1.51,(0.88 - 2.56),2.75,(1.88 - 4.03)
Region 2R,4.83,(3.48 - 6.66),8.71,(6.12 - 12.26),1.57,(0.96 - 2.58),2.80,(1.95 - 4.02)
Region 3R (Sacramento),5.29,(3.82 - 7.29),9.56,(6.77 - 13.33),1.95,(1.20 - 3.16),3.14,(2.20 - 4.46)
Region 4R,5.54,(4.04 - 7.57),9.96,(6.98 - 14.02),1.70,(1.04 - 2.77),2.87,(1.98 - 4.14)
Region 5R (San Francisco),*,(* - *),8.32,(5.41 - 12.58),1.45,(0.83 - 2.52),2.08,(1.32 - 3.27)
Region 6 (Santa Clara),4.97,(3.58 - 6.85),7.97,(5.48 - 11.46),1.47,(0.88 - 2.44),2.32,(1.57 - 3.41)
Region 7R (Contra Costa),5.49,(3.94 - 7.61),9.73,(6.70 - 13.93),1.71,(1.01 - 2.88),2.82,(1.91 - 4.16)
Region 8R (Alameda),4.65,(3.38 - 6.36),7.48,(5.27 - 10.52),1.45,(0.88 - 2.38),2.28,(1.57 - 3.31)
Region 9R (San Mateo),4.97,(3.49 - 7.02),8.92,(5.89 - 13.29),1.44,(0.83 - 2.49),2.30,(1.49 - 3.53)
Region 10,5.74,(4.15 - 7.88),10.16,(7.22 - 14.11),1.90,(1.13 - 3.16),3.32,(2.31 - 4.74)
Region 11 (Los Angeles),4.76,(4.04 - 5.61),6.96,(5.87 - 8.24),1.57,(1.19 - 2.08),2.42,(2.00 - 2.92)
LA SPA 1 and 5,5.16,(3.72 - 7.12),8.37,(5.64 - 12.26),1.67,(1.00 - 2.77),2.67,(1.79 - 3.97)
LA SPA 2,5.05,(3.74 - 6.79),7.60,(5.43 - 10.56),1.54,(0.94 - 2.51),2.42,(1.68 - 3.46)
LA SPA 3,4.01,(2.90 - 5.53),5.71,(3.93 - 8.22),1.16,(0.68 - 1.97),1.87,(1.27 - 2.76)
LA SPA 4,5.13,(3.70 - 7.06),7.10,(4.82 - 10.33),1.79,(1.07 - 2.98),2.53,(1.68 - 3.79)
LA SPA 6,4.32,(3.05 - 6.08),6.17,(4.07 - 9.26),1.87,(1.08 - 3.25),2.77,(1.81 - 4.23)
LA SPA 7,4.71,(3.41 - 6.48),6.26,(4.23 - 9.18),1.49,(0.87 - 2.52),2.31,(1.54 - 3.45)
LA SPA 8,5.22,(3.77 - 7.18),7.90,(5.46 - 11.30),1.76,(1.07 - 2.89),2.68,(1.82 - 3.93)
Region 12R,5.32,(3.76 - 7.46),8.45,(5.55 - 12.66),1.87,(1.10 - 3.18),2.95,(1.92 - 4.50)
Regions 13 and 19R,5.13,(3.85 - 6.80),7.61,(5.53 - 10.38),1.84,(1.17 - 2.88),2.84,(2.03 - 3.96)
Region 13 (Riverside),5.17,(3.81 - 6.96),7.64,(5.42 - 10.67),1.86,(1.16 - 2.98),2.85,(1.99 - 4.06)
Region 19R (Imperial),*,(* - *),*,(* - *),*,(* - *),*,(* - *)
Region 14 (Orange),4.58,(3.39 - 6.17),6.84,(4.88 - 9.50),1.32,(0.83 - 2.10),2.13,(1.51 - 3.00)
Region 15R (Fresno),4.65,(3.30 - 6.51),7.32,(4.88 - 10.83),1.62,(0.97 - 2.71),2.70,(1.81 - 4.02)
Region 16R (San Diego),4.89,(3.67 - 6.49),8.12,(5.98 - 10.92),1.64,(1.05 - 2.56),2.77,(2.02 - 3.79)
Region 17R,5.82,(4.27 - 7.88),8.78,(6.26 - 12.19),1.98,(1.20 - 3.23),3.25,(2.27 - 4.64)
Region 18R (San Bernardino),4.07,(2.97 - 5.56),5.49,(3.78 - 7.92),1.31,(0.81 - 2.12),2.09,(1.44 - 3.00)
Region 20R,4.49,(3.20 - 6.26),6.67,(4.47 - 9.85),1.51,(0.89 - 2.55),2.42,(1.61 - 3.63)
Region 21R,5.48,(3.91 - 7.63),10.23,(7.20 - 14.34),1.78,(1.09 - 2.90),3.34,(2.33 - 4.76)
Colorado,5.48,(4.42 - 6.77),8.99,(7.37 - 10.92),1.98,(1.41 - 2.77),2.99,(2.39 - 3.75)
Region 1,5.17,(3.74 - 7.11),8.38,(5.72 - 12.12),1.76,(1.03 - 3.00),2.96,(2.01 - 4.34)
Regions 2 and 7,5.88,(4.45 - 7.74),9.77,(7.51 - 12.61),2.19,(1.45 - 3.28),3.21,(2.40 - 4.29)
Region 3,4.80,(3.37 - 6.81),8.10,(5.49 - 11.81),1.64,(0.94 - 2.82),2.60,(1.73 - 3.90)
Region 4,4.82,(3.30 - 7.01),7.00,(4.38 - 11.02),*,(* - *),2.43,(1.48 - 3.98)
Regions 5 and 6,5.01,(3.51 - 7.10),8.47,(5.59 - 12.63),1.79,(1.02 - 3.12),2.72,(1.76 - 4.18)
Connecticut,4.48,(3.62 - 5.53),9.59,(7.90 - 11.60),1.56,(1.11 - 2.19),2.64,(2.12 - 3.29)
Eastern,4.50,(3.15 - 6.40),8.98,(6.03 - 13.18),1.49,(0.83 - 2.67),2.78,(1.83 - 4.21)
North Central,4.63,(3.36 - 6.36),9.95,(7.15 - 13.68),1.62,(0.99 - 2.64),2.72,(1.92 - 3.84)
Northwestern,4.95,(3.56 - 6.84),10.46,(7.45 - 14.50),1.65,(0.98 - 2.77),2.76,(1.90 - 3.98)
South Central,4.31,(3.09 - 5.97),9.96,(7.25 - 13.54),1.60,(0.97 - 2.63),2.76,(1.96 - 3.87)
Southwest,4.00,(2.82 - 5.63),8.15,(5.63 - 11.65),1.37,(0.80 - 2.34),2.19,(1.47 - 3.24)
Delaware,4.30,(3.44 - 5.35),9.20,(7.52 - 11.20),1.76,(1.25 - 2.48),2.83,(2.27 - 3.53)
Kent,4.62,(3.29 - 6.45),9.22,(6.46 - 12.99),1.95,(1.16 - 3.27),3.09,(2.11 - 4.49)
New Castle (excluding Wilmington City),3.84,(2.84 - 5.17),9.22,(7.00 - 12.05),1.51,(0.96 - 2.36),2.68,(2.01 - 3.57)
Sussex,5.32,(3.80 - 7.39),9.25,(6.46 - 13.08),2.00,(1.20 - 3.33),2.82,(1.89 - 4.18)
Wilmington City,4.15,(2.84 - 6.03),8.92,(5.85 - 13.37),2.29,(1.31 - 3.97),3.22,(2.07 - 4.99)
District of Columbia,4.13,(3.27 - 5.21),9.14,(7.50 - 11.09),3.55,(2.60 - 4.82),4.55,(3.62 - 5.69)
Ward 1,4.23,(2.91 - 6.11),8.75,(5.89 - 12.80),3.56,(2.14 - 5.85),4.53,(3.01 - 6.78)
Ward 2,*,(* - *),8.10,(5.59 - 11.58),2.70,(1.60 - 4.51),4.12,(2.83 - 5.96)
Ward 3,4.57,(3.16 - 6.57),9.24,(6.39 - 13.17),2.15,(1.27 - 3.63),3.36,(2.27 - 4.94)
Ward 4,3.75,(2.58 - 5.44),7.71,(5.03 - 11.64),2.68,(1.50 - 4.72),3.33,(2.07 - 5.32)
Ward 5,4.46,(3.07 - 6.44),*,(* - *),5.58,(3.27 - 9.39),6.63,(4.26 - 10.16)
Ward 6,*,(* - *),*,(* - *),3.49,(2.04 - 5.92),4.33,(2.75 - 6.75)
Ward 7,3.95,(2.72 - 5.70),8.57,(5.80 - 12.48),4.13,(2.46 - 6.85),4.81,(3.12 - 7.34)
Ward 8,4.21,(2.97 - 5.95),10.10,(6.97 - 14.43),4.86,(2.90 - 8.05),5.94,(3.96 - 8.83)
Florida,4.30,(3.75 - 4.93),7.93,(7.06 - 8.91),1.73,(1.39 - 2.14),2.52,(2.18 - 2.91)
Region A - Northwest,4.38,(3.50 - 5.46),8.92,(7.01 - 11.28),1.92,(1.36 - 2.72),3.10,(2.40 - 3.99)
Circuit 1,4.46,(3.24 - 6.12),9.63,(6.69 - 13.68),1.91,(1.16 - 3.14),3.05,(2.08 - 4.47)
Circuit 2,4.29,(3.05 - 6.02),8.39,(5.85 - 11.89),*,(* - *),3.58,(2.47 - 5.17)
Circuit 14,4.26,(3.04 - 5.94),8.24,(5.55 - 12.07),1.67,(0.98 - 2.82),2.56,(1.69 - 3.85)
Region B - Northeast,4.29,(3.46 - 5.31),8.31,(6.72 - 10.24),1.87,(1.36 - 2.57),2.85,(2.27 - 3.59)
Circuits 3 and 8,4.30,(3.05 - 6.01),7.88,(5.57 - 11.05),1.88,(1.16 - 3.04),3.15,(2.21 - 4.47)
Circuit 4,4.21,(3.09 - 5.71),8.25,(5.85 - 11.51),1.96,(1.23 - 3.12),2.86,(1.99 - 4.10)
Circuit 7,4.40,(3.20 - 6.02),8.86,(6.18 - 12.54),1.75,(1.09 - 2.81),2.66,(1.83 - 3.85)
Region C - Central,4.39,(3.67 - 5.24),8.26,(6.96 - 9.77),1.72,(1.31 - 2.25),2.54,(2.10 - 3.08)
Circuit 5,4.80,(3.50 - 6.53),9.62,(6.85 - 13.34),1.83,(1.13 - 2.95),2.67,(1.84 - 3.87)
Circuit 9,4.16,(3.06 - 5.62),8.26,(6.13 - 11.03),1.98,(1.28 - 3.06),2.90,(2.09 - 3.99)
Circuit 10,4.43,(3.19 - 6.13),6.83,(4.56 - 10.12),1.54,(0.94 - 2.53),2.24,(1.49 - 3.34)
Circuit 18,3.93,(2.84 - 5.43),8.30,(5.84 - 11.66),1.38,(0.85 - 2.25),2.25,(1.56 - 3.23)
Circuit 19,5.10,(3.65 - 7.07),7.83,(5.29 - 11.45),1.71,(1.00 - 2.89),2.41,(1.57 - 3.68)
Region D - Southeast,4.18,(3.36 - 5.19),7.71,(6.15 - 9.62),1.67,(1.19 - 2.32),2.36,(1.82 - 3.04)
Circuit 15 (Palm Beach),4.71,(3.50 - 6.30),9.27,(6.69 - 12.70),1.78,(1.13 - 2.78),2.60,(1.83 - 3.68)
Circuit 17 (Broward),3.83,(2.87 - 5.09),6.62,(4.87 - 8.93),1.58,(1.02 - 2.44),2.17,(1.55 - 3.03)
Region E - Sun Coast,4.66,(3.85 - 5.62),8.71,(7.22 - 10.48),1.82,(1.37 - 2.42),2.59,(2.10 - 3.21)
Circuit 6,4.45,(3.30 - 5.96),8.05,(5.77 - 11.14),1.55,(0.99 - 2.41),2.23,(1.57 - 3.15)
Circuit 12,5.37,(3.86 - 7.42),11.26,(7.75 - 16.10),2.17,(1.29 - 3.65),3.07,(2.02 - 4.65)
Circuit 13 (Hillsborough),4.27,(3.12 - 5.80),8.07,(5.91 - 10.92),1.89,(1.19 - 2.98),2.75,(1.94 - 3.89)
Circuit 20,5.00,(3.64 - 6.83),8.79,(6.20 - 12.31),1.85,(1.15 - 2.96),2.57,(1.77 - 3.73)
Region F - Southern (Circuits 11 and 16),3.68,(2.72 - 4.96),5.32,(3.87 - 7.28),1.41,(0.88 - 2.24),1.92,(1.34 - 2.75)
Georgia,4.27,(3.44 - 5.28),8.18,(6.71 - 9.93),1.99,(1.43 - 2.77),2.89,(2.30 - 3.64)
Region 1,4.26,(3.02 - 5.96),7.88,(5.45 - 11.28),1.82,(1.11 - 2.98),2.62,(1.79 - 3.83)
Region 2,4.15,(2.92 - 5.87),8.59,(5.91 - 12.33),2.03,(1.18 - 3.47),3.15,(2.12 - 4.68)
Region 3,4.32,(3.14 - 5.91),8.81,(6.49 - 11.84),2.21,(1.39 - 3.51),3.10,(2.19 - 4.37)
Region 4,4.65,(3.22 - 6.67),8.88,(5.80 - 13.36),2.20,(1.25 - 3.85),3.26,(2.09 - 5.04)
Region 5,3.89,(2.69 - 5.59),7.21,(4.82 - 10.66),1.75,(0.98 - 3.12),2.68,(1.73 - 4.13)
Region 6,4.38,(3.05 - 6.26),7.46,(4.83 - 11.36),1.82,(1.02 - 3.26),2.68,(1.70 - 4.21)
Hawaii,4.71,(3.65 - 6.05),6.48,(5.05 - 8.28),1.55,(1.01 - 2.36),2.21,(1.64 - 2.99)
Hawaii Island,5.21,(3.61 - 7.47),7.20,(4.73 - 10.81),1.69,(0.95 - 2.98),2.46,(1.58 - 3.81)
Honolulu,4.66,(3.46 - 6.24),6.34,(4.71 - 8.50),1.54,(0.93 - 2.52),2.20,(1.54 - 3.13)
Kauai and Maui,4.47,(3.23 - 6.17),6.48,(4.50 - 9.24),1.49,(0.89 - 2.48),2.08,(1.39 - 3.09)
Kauai,*,(* - *),*,(* - *),*,(* - *),2.23,(1.31 - 3.75)
Maui,4.41,(2.99 - 6.45),6.24,(4.04 - 9.52),1.44,(0.80 - 2.58),2.01,(1.26 - 3.19)
Idaho,5.01,(4.08 - 6.14),7.68,(6.30 - 9.33),1.61,(1.14 - 2.26),2.54,(2.02 - 3.20)
Region 1,5.16,(3.66 - 7.21),8.25,(5.47 - 12.26),1.45,(0.82 - 2.56),2.31,(1.49 - 3.56)
Region 2,4.49,(3.08 - 6.48),7.21,(4.64 - 11.05),*,(* - *),2.47,(1.58 - 3.83)
Region 3,4.63,(3.28 - 6.52),6.44,(4.26 - 9.62),1.45,(0.83 - 2.53),2.18,(1.41 - 3.35)
Region 4,6.09,(4.43 - 8.32),10.56,(7.84 - 14.08),2.16,(1.35 - 3.45),3.34,(2.40 - 4.63)
Region 5,4.67,(3.24 - 6.69),6.75,(4.35 - 10.34),1.34,(0.75 - 2.40),2.09,(1.32 - 3.31)
Region 6,4.59,(3.20 - 6.55),6.86,(4.46 - 10.41),1.48,(0.82 - 2.64),2.40,(1.53 - 3.75)
Region 7,4.17,(2.94 - 5.86),5.31,(3.50 - 7.98),1.20,(0.69 - 2.06),2.04,(1.36 - 3.05)
Illinois,4.35,(3.78 - 5.01),6.88,(6.08 - 7.77),1.56,(1.22 - 1.97),2.36,(2.03 - 2.75)
Region I (Cook),4.17,(3.37 - 5.16),6.48,(5.33 - 7.87),1.73,(1.24 - 2.42),2.41,(1.91 - 3.04)
Region II,4.46,(3.63 - 5.47),7.16,(5.82 - 8.79),1.40,(0.99 - 2.00),2.27,(1.80 - 2.84)
Region III,4.81,(3.67 - 6.28),7.20,(5.48 - 9.41),1.62,(1.07 - 2.47),2.67,(2.01 - 3.54)
Region IV,4.23,(3.08 - 5.79),5.92,(4.18 - 8.31),1.11,(0.67 - 1.84),1.85,(1.29 - 2.66)
Region V,4.33,(3.28 - 5.70),7.72,(5.85 - 10.13),1.54,(0.99 - 2.39),2.52,(1.86 - 3.40)
Indiana,5.08,(4.12 - 6.25),8.60,(7.17 - 10.29),1.78,(1.31 - 2.43),2.78,(2.26 - 3.42)
Central,5.11,(3.66 - 7.08),8.46,(6.08 - 11.65),1.99,(1.26 - 3.15),2.84,(2.00 - 4.02)
East,4.74,(3.26 - 6.85),7.82,(5.23 - 11.54),*,(* - *),2.53,(1.65 - 3.88)
North Central,4.85,(3.45 - 6.79),7.86,(5.37 - 11.38),1.66,(0.98 - 2.81),2.53,(1.70 - 3.77)
Northeast,4.93,(3.45 - 7.01),9.16,(6.14 - 13.45),1.67,(0.96 - 2.91),2.73,(1.80 - 4.12)
Northwest,5.29,(3.76 - 7.40),11.46,(7.95 - 16.25),2.10,(1.24 - 3.52),3.43,(2.34 - 4.99)
Southeast,5.83,(4.16 - 8.13),9.68,(6.67 - 13.84),1.89,(1.11 - 3.20),2.86,(1.90 - 4.27)
Southwest,4.47,(3.04 - 6.52),7.47,(4.78 - 11.49),1.39,(0.78 - 2.48),2.27,(1.44 - 3.55)
West,5.16,(3.59 - 7.37),7.51,(5.05 - 11.02),1.52,(0.87 - 2.64),2.82,(1.90 - 4.17)
Iowa,3.85,(3.08 - 4.79),5.60,(4.40 - 7.10),1.07,(0.72 - 1.59),1.76,(1.35 - 2.29)
Central,4.14,(2.90 - 5.88),5.86,(3.89 - 8.74),1.18,(0.68 - 2.06),1.80,(1.18 - 2.76)
North Central,3.75,(2.59 - 5.41),5.11,(3.35 - 7.72),0.99,(0.55 - 1.77),1.76,(1.15 - 2.68)
Northeast,3.65,(2.57 - 5.17),5.43,(3.62 - 8.06),1.07,(0.62 - 1.87),1.75,(1.15 - 2.64)
Northwest,3.53,(2.47 - 5.02),4.99,(3.28 - 7.51),0.92,(0.51 - 1.65),1.50,(0.97 - 2.31)
Southeast,3.99,(2.86 - 5.54),6.22,(4.15 - 9.21),1.13,(0.65 - 1.95),1.94,(1.31 - 2.88)
Southwest,4.12,(2.85 - 5.91),5.87,(3.76 - 9.06),1.10,(0.59 - 2.04),1.76,(1.10 - 2.81)
Kansas,4.54,(3.64 - 5.64),6.11,(4.79 - 7.75),1.18,(0.78 - 1.78),1.96,(1.50 - 2.57)
Kansas City Metro,4.71,(3.49 - 6.33),6.30,(4.40 - 8.94),1.23,(0.72 - 2.07),2.04,(1.40 - 2.94)
Northeast,4.02,(2.78 - 5.77),5.18,(3.37 - 7.88),1.02,(0.56 - 1.87),1.76,(1.13 - 2.71)
South Central,4.35,(2.97 - 6.33),5.74,(3.63 - 8.96),1.05,(0.56 - 1.97),1.79,(1.11 - 2.86)
Southeast,4.35,(2.97 - 6.32),5.76,(3.48 - 9.38),*,(* - *),1.86,(1.11 - 3.09)
West,4.73,(3.25 - 6.83),6.77,(4.28 - 10.55),1.24,(0.66 - 2.34),2.07,(1.28 - 3.34)
Wichita (Sedgwick),4.82,(3.38 - 6.83),7.01,(4.72 - 10.30),1.36,(0.77 - 2.41),2.18,(1.44 - 3.28)
Kentucky,4.77,(3.89 - 5.85),9.39,(7.78 - 11.28),2.00,(1.46 - 2.72),3.00,(2.43 - 3.71)
"Adanta, Cumberland River, and Lifeskills",4.32,(3.01 - 6.14),7.28,(4.84 - 10.80),1.61,(0.94 - 2.76),2.38,(1.55 - 3.62)
"Bluegrass, Comprehend, and North Key",4.87,(3.60 - 6.57),9.93,(7.34 - 13.30),2.22,(1.42 - 3.45),3.34,(2.42 - 4.59)
Communicare and River Valley,4.99,(3.55 - 6.97),9.84,(6.66 - 14.30),2.09,(1.23 - 3.52),3.13,(2.08 - 4.69)
Four Rivers and Pennyroyal,4.51,(3.12 - 6.49),8.50,(5.58 - 12.73),1.90,(1.10 - 3.26),2.83,(1.84 - 4.33)
