State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,15.75,(15.36 - 16.14),61.38,(60.77 - 61.99),54.12,(53.52 - 54.72),55.19,(54.66 - 55.71)
Northeast,17.88,(17.13 - 18.65),66.71,(65.59 - 67.81),59.14,(58.09 - 60.18),60.22,(59.28 - 61.14)
Midwest,16.40,(15.83 - 16.98),66.22,(65.34 - 67.09),56.77,(55.94 - 57.59),58.17,(57.43 - 58.90)
South,14.53,(14.00 - 15.09),57.34,(56.41 - 58.28),49.96,(49.18 - 50.73),51.02,(50.33 - 51.72)
West,15.40,(14.69 - 16.14),58.90,(57.76 - 60.03),54.10,(53.02 - 55.17),54.83,(53.89 - 55.77)
Alabama,14.24,(12.41 - 16.28),53.65,(50.58 - 56.70),42.09,(38.95 - 45.29),43.77,(40.97 - 46.61)
Region 1,14.05,(11.31 - 17.33),50.57,(44.91 - 56.22),40.54,(35.19 - 46.12),41.83,(36.89 - 46.93)
Region 2,15.43,(12.52 - 18.88),54.49,(49.58 - 59.31),41.72,(37.07 - 46.52),43.57,(39.37 - 47.86)
Region 3,13.01,(10.13 - 16.57),58.96,(52.80 - 64.85),45.35,(39.25 - 51.58),47.83,(42.32 - 53.39)
Region 4,13.82,(10.91 - 17.35),50.33,(44.54 - 56.11),42.13,(36.59 - 47.87),43.26,(38.19 - 48.47)
Alaska,15.10,(13.11 - 17.33),60.84,(57.41 - 64.16),58.97,(55.68 - 62.19),59.27,(56.39 - 62.08)
Anchorage,15.58,(12.70 - 18.96),63.58,(58.99 - 67.94),61.79,(57.24 - 66.14),62.07,(58.08 - 65.90)
Northern,13.51,(10.66 - 16.99),58.99,(52.81 - 64.90),51.60,(45.86 - 57.31),53.01,(47.85 - 58.10)
South Central,15.96,(12.88 - 19.62),57.84,(51.33 - 64.08),59.36,(53.72 - 64.76),59.14,(53.99 - 64.09)
Southeast,14.83,(11.13 - 19.50),*,(* - *),*,(* - *),*,(* - *)
Arizona,16.71,(14.55 - 19.12),59.82,(56.39 - 63.16),55.43,(52.09 - 58.72),56.07,(53.06 - 59.04)
Maricopa,17.25,(14.49 - 20.41),58.80,(54.59 - 62.88),57.75,(53.71 - 61.69),57.90,(54.24 - 61.47)
Pima,15.96,(12.43 - 20.26),64.36,(57.60 - 70.59),56.53,(50.15 - 62.70),57.71,(51.80 - 63.41)
Rural North,15.90,(12.28 - 20.34),*,(* - *),*,(* - *),52.83,(46.28 - 59.28)
Rural South,15.80,(11.96 - 20.59),*,(* - *),*,(* - *),*,(* - *)
