State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  NOTE: For substate region definitions, see the ""2006-2008 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  NOTE: The 2006-2008 estimates may differ from previously published estimates due to updates in the region definitions (using the 2008-2010 substate region definitions) and updates to the data. For details, see ""2006-2008 National Survey on Drug Use and Health: Overview and Summary of Substate Region Estimation Methodology"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2006, 2007, and 2008 (Revised March 2012)."
Total United States,34.11,(33.59 - 34.64),23.94,(23.46 - 24.43),41.18,(40.61 - 41.75),38.64,(38.15 - 39.13)
Northeast,31.28,(30.33 - 32.24),20.41,(19.55 - 21.30),38.65,(37.59 - 39.73),36.05,(35.12 - 37.00)
Midwest,35.22,(34.45 - 35.99),22.14,(21.50 - 22.79),39.56,(38.74 - 40.38),36.97,(36.26 - 37.69)
South,36.27,(35.49 - 37.06),27.04,(26.36 - 27.73),45.56,(44.76 - 46.37),42.88,(42.18 - 43.59)
West,31.92,(30.88 - 32.97),23.68,(22.74 - 24.64),37.80,(36.76 - 38.85),35.63,(34.74 - 36.54)
Alabama,40.45,(37.24 - 43.73),29.59,(26.87 - 32.47),49.69,(46.39 - 53.00),46.78,(43.88 - 49.69)
Region 1,41.41,(36.27 - 46.75),28.76,(24.14 - 33.87),46.44,(40.96 - 52.01),44.18,(39.25 - 49.22)
Region 2,39.87,(35.34 - 44.58),27.63,(23.83 - 31.77),49.59,(44.80 - 54.39),46.41,(42.22 - 50.65)
Region 3,39.11,(33.33 - 45.22),30.19,(25.13 - 35.78),53.47,(47.34 - 59.51),49.22,(43.94 - 54.51)
Region 4,41.20,(36.04 - 46.57),32.95,(28.11 - 38.18),51.14,(45.70 - 56.55),48.64,(43.77 - 53.52)
Alaska,29.07,(25.96 - 32.39),18.59,(16.24 - 21.20),31.53,(28.62 - 34.58),29.48,(26.95 - 32.15)
Anchorage,29.98,(25.74 - 34.59),19.33,(16.14 - 22.99),29.84,(25.86 - 34.15),28.21,(24.70 - 31.99)
Northern,28.61,(23.86 - 33.89),18.85,(15.11 - 23.27),33.42,(28.66 - 38.55),30.65,(26.58 - 35.04)
South Central,27.95,(23.64 - 32.71),16.94,(13.31 - 21.31),32.29,(27.69 - 37.27),30.04,(25.97 - 34.44)
Southeast,*,(* - *),18.86,(14.21 - 24.59),32.66,(26.81 - 39.11),30.86,(25.52 - 36.77)
Arizona,33.76,(30.68 - 36.97),27.32,(24.54 - 30.29),39.88,(36.76 - 43.08),38.04,(35.30 - 40.87)
Maricopa,34.10,(30.26 - 38.17),28.86,(25.33 - 32.66),39.18,(35.34 - 43.16),37.70,(34.33 - 41.21)
Pima,30.68,(25.55 - 36.34),21.88,(17.43 - 27.10),38.81,(33.51 - 44.40),36.26,(31.57 - 41.23)
Rural North,33.76,(27.80 - 40.29),24.92,(19.77 - 30.89),38.63,(32.70 - 44.91),36.53,(31.19 - 42.22)
Rural South,35.56,(29.44 - 42.20),*,(* - *),45.80,(39.50 - 52.24),43.39,(37.70 - 49.25)
Arkansas,38.81,(35.84 - 41.87),26.11,(23.46 - 28.95),45.48,(42.30 - 48.71),42.73,(39.90 - 45.61)
Catchment Area 1,37.11,(31.07 - 43.59),23.34,(18.64 - 28.80),39.90,(34.15 - 45.94),37.36,(32.23 - 42.78)
Catchment Area 2,39.58,(33.63 - 45.85),23.05,(18.11 - 28.85),46.06,(39.76 - 52.48),43.04,(37.39 - 48.88)
Catchment Area 3,40.60,(35.26 - 46.17),28.69,(23.34 - 34.70),47.73,(42.09 - 53.42),44.89,(39.83 - 50.07)
Catchment Area 4,40.23,(33.76 - 47.06),*,(* - *),44.48,(37.86 - 51.30),42.17,(36.11 - 48.47)
Catchment Area 5,37.79,(32.72 - 43.14),23.00,(19.02 - 27.52),43.56,(37.87 - 49.42),40.25,(35.32 - 45.39)
Catchment Area 6,39.96,(33.57 - 46.70),31.33,(25.57 - 37.72),52.23,(45.58 - 58.81),49.14,(43.19 - 55.11)
Catchment Area 7,*,(* - *),*,(* - *),52.64,(46.21 - 58.98),49.65,(43.77 - 55.54)
Catchment Area 8,36.92,(31.54 - 42.65),27.19,(22.19 - 32.84),43.81,(38.36 - 49.41),41.66,(36.70 - 46.78)
California,31.93,(30.34 - 33.56),24.65,(23.20 - 26.17),40.14,(38.44 - 41.87),37.68,(36.21 - 39.17)
Region 1R,29.79,(24.66 - 35.49),16.87,(13.14 - 21.38),33.72,(28.41 - 39.48),30.74,(26.15 - 35.76)
Region 2R,28.37,(23.68 - 33.57),16.85,(13.32 - 21.09),31.65,(26.80 - 36.93),29.10,(24.84 - 33.76)
Region 3R (Sacramento),27.77,(22.99 - 33.11),19.72,(15.85 - 24.27),33.45,(28.43 - 38.86),31.31,(26.85 - 36.13)
Region 4R,25.52,(21.00 - 30.64),18.36,(14.56 - 22.90),30.82,(26.03 - 36.07),29.05,(24.76 - 33.76)
Region 5R (San Francisco),*,(* - *),18.15,(13.97 - 23.23),30.53,(25.37 - 36.22),29.38,(24.55 - 34.73)
Region 6 (Santa Clara),31.45,(26.51 - 36.85),22.33,(18.16 - 27.15),41.53,(36.35 - 46.91),39.03,(34.35 - 43.92)
Region 7R (Contra Costa),25.02,(20.47 - 30.20),18.46,(14.54 - 23.14),33.89,(28.85 - 39.33),31.75,(27.22 - 36.66)
Region 8R (Alameda),29.69,(25.18 - 34.63),20.53,(16.82 - 24.82),38.39,(33.43 - 43.61),35.93,(31.52 - 40.60)
Region 9R (San Mateo),28.19,(22.69 - 34.43),21.19,(16.52 - 26.75),37.50,(31.85 - 43.53),35.63,(30.40 - 41.22)
