State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,9.84,(9.54 - 10.15),37.11,(36.55 - 37.67),24.39,(23.91 - 24.88),26.27,(25.83 - 26.70)
Northeast,9.49,(8.96 - 10.04),36.29,(35.00 - 37.61),22.45,(21.58 - 23.34),24.43,(23.67 - 25.20)
Midwest,11.22,(10.76 - 11.70),41.89,(40.75 - 43.04),26.25,(25.54 - 26.97),28.57,(27.96 - 29.19)
South,10.22,(9.77 - 10.68),37.86,(36.74 - 39.01),26.11,(25.42 - 26.80),27.81,(27.22 - 28.40)
West,8.26,(7.72 - 8.83),32.15,(30.83 - 33.49),21.46,(20.60 - 22.35),23.10,(22.36 - 23.85)
Alabama,11.85,(10.23 - 13.69),39.71,(36.52 - 42.98),28.62,(26.11 - 31.28),30.23,(27.95 - 32.62)
Region 1,13.23,(10.44 - 16.62),44.31,(38.89 - 49.88),30.13,(26.22 - 34.35),31.96,(28.30 - 35.85)
Region 2,12.54,(10.09 - 15.49),39.55,(35.00 - 44.30),27.82,(24.43 - 31.48),29.52,(26.43 - 32.82)
Region 3,8.53,(6.31 - 11.44),34.07,(28.41 - 40.23),26.12,(22.06 - 30.64),27.56,(23.74 - 31.73)
Region 4,12.04,(9.39 - 15.31),40.52,(34.72 - 46.59),29.74,(25.69 - 34.15),31.23,(27.39 - 35.35)
Alaska,10.01,(8.47 - 11.80),39.11,(35.67 - 42.66),24.29,(21.89 - 26.87),26.63,(24.44 - 28.94)
Anchorage,8.27,(6.35 - 10.70),35.66,(31.24 - 40.34),22.56,(19.54 - 25.90),24.60,(21.79 - 27.64)
Northern,13.25,(10.20 - 17.05),45.58,(39.54 - 51.75),28.83,(24.60 - 33.48),32.00,(28.07 - 36.22)
South Central,9.59,(7.33 - 12.44),37.57,(31.61 - 43.93),24.11,(20.47 - 28.16),26.09,(22.61 - 29.90)
Southeast,10.16,(7.40 - 13.80),*,(* - *),23.07,(18.90 - 27.84),25.41,(21.25 - 30.07)
Arizona,9.86,(8.29 - 11.69),36.52,(33.04 - 40.15),24.58,(22.15 - 27.19),26.33,(24.08 - 28.71)
Maricopa,9.62,(7.73 - 11.92),35.46,(31.44 - 39.70),23.83,(20.85 - 27.08),25.49,(22.75 - 28.44)
Pima,9.03,(6.71 - 12.06),*,(* - *),23.17,(19.36 - 27.47),24.97,(21.22 - 29.14)
Rural North,11.32,(8.24 - 15.34),*,(* - *),27.58,(23.20 - 32.43),29.43,(25.18 - 34.08)
Rural South,10.59,(7.64 - 14.50),*,(* - *),27.29,(22.66 - 32.47),29.20,(24.60 - 34.27)
Arkansas,13.54,(11.71 - 15.60),45.29,(41.88 - 48.74),30.80,(28.22 - 33.50),32.86,(30.52 - 35.30)
Catchment Area 1,12.53,(9.47 - 16.40),*,(* - *),27.60,(23.50 - 32.13),29.95,(25.97 - 34.25)
Catchment Area 2,16.32,(12.54 - 20.96),*,(* - *),31.73,(27.28 - 36.54),34.43,(30.12 - 39.02)
Catchment Area 3,15.16,(11.80 - 19.26),49.10,(42.38 - 55.85),35.43,(30.67 - 40.49),37.46,(32.99 - 42.16)
Catchment Area 4,15.06,(11.34 - 19.72),*,(* - *),33.22,(28.26 - 38.58),35.11,(30.30 - 40.25)
Catchment Area 5,13.84,(10.69 - 17.72),42.53,(36.96 - 48.30),29.38,(25.28 - 33.85),31.49,(27.67 - 35.58)
Catchment Area 6,12.66,(9.42 - 16.80),*,(* - *),31.81,(26.81 - 37.28),33.76,(28.93 - 38.95)
Catchment Area 7,11.86,(8.69 - 15.99),*,(* - *),30.18,(25.20 - 35.67),31.88,(27.04 - 37.14)
Catchment Area 8,11.71,(9.02 - 15.07),42.30,(36.06 - 48.80),29.14,(25.00 - 33.67),30.86,(26.92 - 35.09)
California,6.98,(6.22 - 7.84),29.30,(27.55 - 31.12),19.92,(18.58 - 21.33),21.41,(20.23 - 22.63)
Region 1R,9.43,(7.03 - 12.54),35.57,(29.44 - 42.22),24.35,(20.47 - 28.72),26.32,(22.52 - 30.51)
Region 2R,7.38,(5.57 - 9.73),28.78,(23.49 - 34.73),20.10,(16.91 - 23.72),21.58,(18.48 - 25.05)
Region 3R (Sacramento),7.90,(5.96 - 10.41),31.35,(26.06 - 37.16),22.39,(19.16 - 26.00),23.79,(20.67 - 27.21)
Region 4R,7.93,(5.92 - 10.56),33.95,(28.19 - 40.24),19.41,(16.18 - 23.11),21.48,(18.25 - 25.09)
Region 5R (San Francisco),*,(* - *),*,(* - *),21.00,(17.39 - 25.13),22.08,(18.49 - 26.15)
Region 6 (Santa Clara),6.37,(4.76 - 8.48),25.61,(20.74 - 31.19),16.10,(13.43 - 19.18),17.35,(14.71 - 20.35)
Region 7R (Contra Costa),6.59,(4.82 - 8.94),26.87,(21.45 - 33.08),16.68,(13.80 - 20.01),18.10,(15.20 - 21.40)
Region 8R (Alameda),6.08,(4.46 - 8.25),27.24,(22.33 - 32.77),17.41,(14.43 - 20.86),18.77,(15.86 - 22.08)
Region 9R (San Mateo),7.47,(5.31 - 10.40),*,(* - *),16.95,(13.83 - 20.61),18.18,(15.03 - 21.83)
Region 10,7.22,(5.37 - 9.64),28.89,(23.85 - 34.51),18.95,(15.76 - 22.62),20.66,(17.56 - 24.14)
Region 11 (Los Angeles),6.36,(5.46 - 7.41),27.18,(24.77 - 29.72),19.91,(18.17 - 21.76),21.04,(19.47 - 22.71)
LA SPA 1 and 5,6.99,(5.15 - 9.43),27.44,(21.92 - 33.74),17.48,(14.48 - 20.96),18.98,(15.94 - 22.43)
LA SPA 2,7.32,(5.54 - 9.62),28.62,(23.92 - 33.85),18.75,(15.87 - 22.00),20.17,(17.40 - 23.26)
LA SPA 3,5.74,(4.29 - 7.66),24.86,(20.61 - 29.67),16.86,(14.10 - 20.03),18.11,(15.46 - 21.10)
LA SPA 4,7.35,(5.47 - 9.81),33.99,(28.12 - 40.39),24.70,(20.91 - 28.93),26.00,(22.33 - 30.03)
LA SPA 6,5.17,(3.70 - 7.17),23.06,(18.16 - 28.83),22.77,(18.87 - 27.21),22.80,(19.16 - 26.91)
LA SPA 7,5.90,(4.35 - 7.95),26.72,(21.61 - 32.55),20.45,(17.10 - 24.27),21.52,(18.31 - 25.13)
