State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  NOTE: For substate region definitions, see the ""2006-2008 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  NOTE: The 2006-2008 estimates may differ from previously published estimates due to updates in the region definitions (using the 2008-2010 substate region definitions) and updates to the data. For details, see ""2006-2008 National Survey on Drug Use and Health: Overview and Summary of Substate Region Estimation Methodology"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Major depressive episode (MDE) is defined as in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV), which specifies a period of at least 2 weeks when a person experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see ""2006-2008 National Survey on Drug Use and Health: Overview and Summary of Substate Region Estimation Methodology"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2006, 2007, and 2008 (Revised March 2012)."
Total United States,8.11,(7.84 - 8.40),8.23,(7.96 - 8.51),6.33,(6.09 - 6.57),6.61,(6.40 - 6.82)
Northeast,7.81,(7.35 - 8.29),8.09,(7.59 - 8.62),6.20,(5.77 - 6.66),6.47,(6.08 - 6.87)
Midwest,8.25,(7.86 - 8.65),8.58,(8.18 - 9.00),6.52,(6.16 - 6.89),6.82,(6.51 - 7.15)
South,8.20,(7.82 - 8.59),8.04,(7.66 - 8.44),6.45,(6.09 - 6.83),6.68,(6.36 - 7.01)
West,8.09,(7.58 - 8.63),8.30,(7.77 - 8.87),6.06,(5.63 - 6.52),6.40,(6.02 - 6.80)
Alabama,7.98,(6.73 - 9.43),7.74,(6.45 - 9.25),5.75,(4.69 - 7.03),6.04,(5.06 - 7.19)
Region 1,7.43,(5.81 - 9.47),8.07,(6.08 - 10.65),6.23,(4.71 - 8.19),6.46,(5.05 - 8.24)
Region 2,8.36,(6.62 - 10.50),7.74,(6.00 - 9.93),5.57,(4.32 - 7.16),5.89,(4.73 - 7.30)
Region 3,7.58,(5.89 - 9.72),6.99,(5.26 - 9.24),5.24,(3.87 - 7.05),5.56,(4.32 - 7.12)
Region 4,8.39,(6.58 - 10.63),8.13,(6.25 - 10.53),5.78,(4.35 - 7.64),6.10,(4.79 - 7.76)
Alaska,7.75,(6.48 - 9.26),7.38,(6.05 - 8.97),5.88,(4.76 - 7.25),6.12,(5.10 - 7.32)
Anchorage,7.66,(6.03 - 9.70),7.54,(5.82 - 9.71),5.96,(4.54 - 7.78),6.20,(4.93 - 7.78)
Northern,7.51,(5.80 - 9.69),6.77,(5.07 - 8.99),5.94,(4.44 - 7.91),6.10,(4.78 - 7.75)
South Central,7.96,(6.27 - 10.07),7.51,(5.57 - 10.06),5.80,(4.33 - 7.72),6.05,(4.69 - 7.76)
Southeast,8.15,(6.25 - 10.56),8.01,(5.91 - 10.78),5.71,(4.23 - 7.66),6.01,(4.63 - 7.77)
Arizona,8.68,(7.32 - 10.26),9.00,(7.50 - 10.76),6.93,(5.63 - 8.51),7.23,(6.04 - 8.65)
Maricopa,8.58,(6.95 - 10.53),8.80,(7.02 - 10.97),7.18,(5.66 - 9.08),7.41,(6.02 - 9.09)
Pima,8.30,(6.42 - 10.68),8.41,(6.25 - 11.22),6.52,(4.85 - 8.71),6.80,(5.27 - 8.75)
Rural North,9.70,(7.50 - 12.46),11.16,(8.31 - 14.82),6.80,(5.00 - 9.20),7.47,(5.78 - 9.60)
Rural South,8.62,(6.63 - 11.13),8.60,(6.31 - 11.64),6.37,(4.67 - 8.64),6.70,(5.12 - 8.73)
Arkansas,8.58,(7.35 - 10.01),9.34,(7.89 - 11.01),7.34,(6.09 - 8.81),7.62,(6.47 - 8.95)
Catchment Area 1,9.05,(6.98 - 11.66),10.36,(7.88 - 13.51),7.84,(5.91 - 10.34),8.23,(6.46 - 10.42)
Catchment Area 2,8.55,(6.68 - 10.87),9.87,(7.46 - 12.96),7.69,(5.76 - 10.19),7.97,(6.20 - 10.21)
Catchment Area 3,8.55,(6.74 - 10.80),9.23,(6.96 - 12.16),7.59,(5.78 - 9.91),7.84,(6.17 - 9.90)
Catchment Area 4,8.43,(6.52 - 10.84),9.41,(7.03 - 12.48),7.12,(5.37 - 9.39),7.41,(5.77 - 9.47)
Catchment Area 5,8.50,(6.64 - 10.83),8.88,(6.82 - 11.48),7.70,(5.88 - 10.02),7.89,(6.25 - 9.91)
Catchment Area 6,8.50,(6.57 - 10.93),8.06,(5.93 - 10.87),6.42,(4.76 - 8.62),6.67,(5.12 - 8.64)
Catchment Area 7,8.64,(6.66 - 11.15),9.02,(6.70 - 12.04),6.89,(5.13 - 9.21),7.18,(5.54 - 9.26)
Catchment Area 8,8.39,(6.62 - 10.57),9.26,(7.00 - 12.17),6.92,(5.29 - 9.00),7.22,(5.71 - 9.10)
California,7.67,(6.90 - 8.52),7.96,(7.15 - 8.85),5.42,(4.75 - 6.18),5.83,(5.23 - 6.48)
Region 1R,8.29,(6.60 - 10.35),8.90,(6.87 - 11.47),6.18,(4.76 - 7.99),6.66,(5.38 - 8.22)
Region 2R,8.48,(6.73 - 10.62),8.72,(6.73 - 11.22),6.11,(4.76 - 7.82),6.56,(5.34 - 8.04)
Region 3R (Sacramento),7.84,(6.23 - 9.81),8.38,(6.49 - 10.77),5.87,(4.56 - 7.53),6.26,(5.06 - 7.74)
Region 4R,7.78,(6.23 - 9.69),8.03,(6.13 - 10.46),5.24,(3.99 - 6.85),5.63,(4.49 - 7.05)
Region 5R (San Francisco),*,(* - *),8.08,(6.07 - 10.68),6.09,(4.71 - 7.85),6.28,(4.96 - 7.91)
