State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,1.46,(1.34 - 1.59),6.29,(6.02 - 6.57),1.76,(1.64 - 1.90),2.43,(2.31 - 2.55)
Northeast,1.31,(1.13 - 1.52),6.65,(6.14 - 7.20),1.91,(1.66 - 2.20),2.59,(2.35 - 2.85)
Midwest,1.38,(1.24 - 1.54),6.08,(5.69 - 6.50),1.60,(1.42 - 1.80),2.26,(2.09 - 2.45)
South,1.40,(1.25 - 1.56),5.81,(5.44 - 6.21),1.72,(1.55 - 1.92),2.32,(2.15 - 2.49)
West,1.74,(1.51 - 2.02),6.93,(6.40 - 7.49),1.86,(1.61 - 2.15),2.64,(2.39 - 2.90)
Alabama,1.15,(0.80 - 1.66),4.54,(3.53 - 5.83),1.49,(0.99 - 2.22),1.93,(1.41 - 2.63)
Region 1,1.34,(0.84 - 2.14),4.91,(3.36 - 7.12),1.22,(0.72 - 2.08),1.70,(1.12 - 2.56)
Region 2,1.16,(0.72 - 1.86),4.62,(3.28 - 6.48),1.60,(0.97 - 2.64),2.04,(1.38 - 3.01)
Region 3,0.91,(0.55 - 1.52),3.80,(2.54 - 5.65),1.69,(0.97 - 2.95),2.07,(1.33 - 3.23)
Region 4,1.12,(0.68 - 1.85),4.78,(3.26 - 6.97),1.50,(0.87 - 2.56),1.95,(1.27 - 2.99)
Alaska,1.68,(1.18 - 2.39),7.85,(6.27 - 9.79),2.41,(1.64 - 3.53),3.27,(2.48 - 4.30)
Anchorage,1.77,(1.12 - 2.78),8.26,(6.22 - 10.89),2.79,(1.78 - 4.35),3.64,(2.63 - 5.02)
Northern,1.34,(0.81 - 2.20),6.23,(4.31 - 8.92),2.17,(1.27 - 3.69),2.94,(1.98 - 4.35)
South Central,1.79,(1.14 - 2.81),8.50,(5.96 - 11.98),1.96,(1.14 - 3.35),2.92,(1.97 - 4.32)
Southeast,1.86,(1.13 - 3.05),8.81,(5.90 - 12.95),2.43,(1.37 - 4.27),3.26,(2.08 - 5.08)
Arizona,2.27,(1.59 - 3.22),8.47,(6.78 - 10.53),2.44,(1.72 - 3.46),3.32,(2.57 - 4.28)
Maricopa,2.37,(1.58 - 3.55),8.55,(6.58 - 11.04),2.54,(1.71 - 3.76),3.40,(2.55 - 4.52)
Pima,2.42,(1.50 - 3.89),9.86,(6.78 - 14.10),2.83,(1.70 - 4.67),3.89,(2.62 - 5.73)
Rural North,1.88,(1.12 - 3.14),7.38,(5.02 - 10.73),1.96,(1.14 - 3.37),2.79,(1.84 - 4.21)
Rural South,1.97,(1.16 - 3.33),7.33,(4.85 - 10.94),1.92,(1.10 - 3.33),2.72,(1.76 - 4.19)
Arkansas,1.30,(0.93 - 1.82),5.71,(4.54 - 7.15),1.46,(1.00 - 2.12),2.06,(1.56 - 2.72)
Catchment Area 1,1.56,(0.96 - 2.52),6.38,(4.36 - 9.25),1.37,(0.80 - 2.35),2.14,(1.44 - 3.17)
Catchment Area 2,1.39,(0.84 - 2.28),6.43,(4.29 - 9.53),1.21,(0.69 - 2.12),1.89,(1.24 - 2.90)
Catchment Area 3,1.15,(0.71 - 1.84),5.28,(3.61 - 7.68),1.71,(1.01 - 2.89),2.24,(1.48 - 3.38)
Catchment Area 4,1.53,(0.94 - 2.46),6.43,(4.34 - 9.43),*,(* - *),1.80,(1.18 - 2.72)
Catchment Area 5,1.48,(0.92 - 2.36),5.91,(4.18 - 8.30),1.37,(0.81 - 2.31),2.10,(1.45 - 3.04)
Catchment Area 6,*,(* - *),4.20,(2.73 - 6.40),*,(* - *),2.01,(1.25 - 3.20)
Catchment Area 7,*,(* - *),4.81,(3.13 - 7.33),1.39,(0.77 - 2.48),1.85,(1.16 - 2.94)
Catchment Area 8,1.21,(0.75 - 1.95),5.55,(3.80 - 8.03),1.69,(1.01 - 2.82),2.19,(1.45 - 3.30)
California,1.67,(1.34 - 2.08),6.54,(5.77 - 7.40),1.80,(1.44 - 2.24),2.55,(2.20 - 2.97)
Region 1R,1.81,(1.17 - 2.78),8.65,(6.23 - 11.88),1.77,(1.12 - 2.78),2.98,(2.17 - 4.08)
Region 2R,1.73,(1.12 - 2.66),6.76,(4.73 - 9.58),1.61,(1.03 - 2.52),2.50,(1.77 - 3.51)
Region 3R (Sacramento),1.70,(1.08 - 2.65),7.58,(5.41 - 10.52),2.35,(1.51 - 3.64),3.17,(2.25 - 4.43)
Region 4R,1.83,(1.18 - 2.82),7.93,(5.68 - 10.97),1.77,(1.13 - 2.77),2.65,(1.88 - 3.72)
