State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,6.72,(6.47 - 6.97),16.42,(16.00 - 16.85),4.12,(3.93 - 4.32),5.93,(5.74 - 6.12)
Northeast,7.52,(7.03 - 8.05),19.67,(18.74 - 20.64),4.28,(3.92 - 4.68),6.48,(6.13 - 6.85)
Midwest,6.81,(6.44 - 7.20),16.12,(15.38 - 16.88),4.02,(3.73 - 4.34),5.82,(5.54 - 6.10)
South,5.91,(5.56 - 6.27),14.39,(13.69 - 15.13),3.56,(3.29 - 3.84),5.12,(4.88 - 5.38)
West,7.26,(6.74 - 7.82),17.29,(16.36 - 18.26),4.97,(4.53 - 5.45),6.86,(6.45 - 7.28)
Alabama,5.19,(4.14 - 6.48),12.41,(10.44 - 14.69),3.16,(2.39 - 4.16),4.50,(3.70 - 5.47)
Region 1,4.58,(3.20 - 6.51),11.99,(8.94 - 15.88),2.59,(1.68 - 3.97),3.80,(2.75 - 5.22)
Region 2,5.53,(3.97 - 7.65),12.54,(9.75 - 16.00),3.20,(2.23 - 4.57),4.56,(3.48 - 5.94)
Region 3,4.85,(3.19 - 7.29),12.80,(9.30 - 17.36),3.46,(2.16 - 5.50),5.16,(3.64 - 7.26)
Region 4,5.69,(3.95 - 8.13),12.28,(9.33 - 16.01),3.60,(2.42 - 5.31),4.79,(3.52 - 6.49)
Alaska,8.26,(6.79 - 10.03),20.19,(17.38 - 23.33),6.87,(5.45 - 8.63),8.97,(7.61 - 10.54)
Anchorage,7.82,(5.87 - 10.35),20.22,(16.70 - 24.27),6.70,(4.97 - 8.99),8.81,(7.11 - 10.87)
Northern,8.49,(6.09 - 11.73),19.99,(15.62 - 25.21),7.66,(5.42 - 10.73),10.00,(7.74 - 12.84)
South Central,8.49,(6.16 - 11.59),20.14,(15.41 - 25.90),6.34,(4.39 - 9.08),8.37,(6.31 - 11.02)
Southeast,8.90,(6.02 - 12.97),*,(* - *),7.28,(4.68 - 11.16),9.03,(6.28 - 12.82)
Arizona,6.58,(5.32 - 8.11),16.07,(13.54 - 18.96),3.87,(2.96 - 5.05),5.65,(4.69 - 6.81)
Maricopa,6.62,(5.01 - 8.71),15.71,(12.76 - 19.20),3.96,(2.88 - 5.43),5.64,(4.50 - 7.06)
Pima,6.75,(4.64 - 9.73),16.53,(12.09 - 22.18),4.16,(2.73 - 6.28),6.02,(4.33 - 8.31)
Rural North,6.66,(4.45 - 9.85),*,(* - *),3.63,(2.31 - 5.68),5.67,(4.00 - 7.98)
Rural South,6.14,(4.09 - 9.13),*,(* - *),3.30,(2.05 - 5.28),5.23,(3.59 - 7.55)
Arkansas,6.28,(5.15 - 7.65),15.48,(13.21 - 18.06),3.94,(3.08 - 5.02),5.58,(4.67 - 6.65)
Catchment Area 1,6.40,(4.40 - 9.21),15.52,(11.45 - 20.70),3.93,(2.57 - 5.97),5.71,(4.11 - 7.86)
Catchment Area 2,6.11,(4.11 - 8.97),14.57,(10.47 - 19.92),3.32,(2.15 - 5.11),4.80,(3.40 - 6.74)
Catchment Area 3,6.15,(4.28 - 8.76),15.53,(11.39 - 20.83),4.06,(2.65 - 6.16),5.76,(4.14 - 7.97)
Catchment Area 4,6.34,(4.16 - 9.57),*,(* - *),3.58,(2.23 - 5.70),4.95,(3.37 - 7.22)
Catchment Area 5,7.26,(5.13 - 10.18),17.47,(13.88 - 21.75),4.44,(3.03 - 6.47),6.53,(4.98 - 8.52)
Catchment Area 6,5.32,(3.52 - 7.96),*,(* - *),3.80,(2.37 - 6.03),5.42,(3.73 - 7.79)
Catchment Area 7,5.80,(3.76 - 8.85),*,(* - *),3.66,(2.28 - 5.83),4.97,(3.36 - 7.30)
Catchment Area 8,6.27,(4.36 - 8.94),15.87,(11.75 - 21.09),4.24,(2.86 - 6.23),5.75,(4.20 - 7.83)
California,7.08,(6.31 - 7.95),17.39,(16.05 - 18.83),4.97,(4.29 - 5.74),6.94,(6.31 - 7.63)
Region 1R,8.49,(5.90 - 12.06),19.92,(15.29 - 25.53),5.93,(4.04 - 8.63),8.40,(6.27 - 11.16)
Region 2R,6.97,(4.93 - 9.77),17.72,(13.53 - 22.87),5.02,(3.36 - 7.43),7.20,(5.32 - 9.67)
Region 3R (Sacramento),9.46,(6.75 - 13.10),23.89,(18.99 - 29.60),6.91,(4.90 - 9.68),9.56,(7.36 - 12.33)
Region 4R,8.76,(6.24 - 12.19),20.59,(15.89 - 26.25),7.08,(4.90 - 10.13),9.00,(6.69 - 12.01)
Region 5R (San Francisco),*,(* - *),*,(* - *),9.62,(6.60 - 13.81),11.05,(7.95 - 15.16)
Region 6 (Santa Clara),6.48,(4.56 - 9.13),16.37,(12.49 - 21.16),4.44,(2.96 - 6.63),6.00,(4.36 - 8.21)
Region 7R (Contra Costa),9.06,(6.34 - 12.81),21.90,(16.78 - 28.07),6.13,(4.19 - 8.88),8.32,(6.17 - 11.12)
Region 8R (Alameda),7.69,(5.47 - 10.71),18.32,(14.35 - 23.09),5.73,(4.00 - 8.16),7.47,(5.63 - 9.86)
Region 9R (San Mateo),7.51,(5.06 - 11.01),*,(* - *),5.06,(3.35 - 7.56),6.41,(4.53 - 9.00)
Region 10,8.93,(6.38 - 12.37),24.43,(19.24 - 30.49),6.47,(4.49 - 9.23),9.56,(7.33 - 12.37)
Region 11 (Los Angeles),6.04,(5.10 - 7.13),14.84,(12.98 - 16.91),4.15,(3.41 - 5.04),5.83,(5.07 - 6.69)
LA SPA 1 and 5,8.10,(5.61 - 11.56),*,(* - *),6.04,(4.11 - 8.80),8.14,(5.97 - 11.00)
LA SPA 2,6.94,(5.03 - 9.50),15.75,(12.20 - 20.10),4.33,(3.03 - 6.14),5.98,(4.54 - 7.84)
LA SPA 3,4.41,(3.03 - 6.37),11.36,(8.55 - 14.94),2.56,(1.67 - 3.93),3.94,(2.89 - 5.35)
LA SPA 4,5.78,(3.97 - 8.34),16.33,(12.29 - 21.39),4.97,(3.35 - 7.30),6.55,(4.77 - 8.94)
LA SPA 6,5.55,(3.71 - 8.21),13.84,(10.10 - 18.68),4.10,(2.66 - 6.27),6.13,(4.41 - 8.45)
LA SPA 7,5.48,(3.74 - 7.96),12.59,(9.30 - 16.83),3.01,(1.99 - 4.53),4.65,(3.40 - 6.34)
LA SPA 8,6.70,(4.71 - 9.46),16.19,(12.19 - 21.17),4.74,(3.25 - 6.85),6.45,(4.80 - 8.63)
Region 12R,8.22,(5.52 - 12.07),*,(* - *),5.08,(3.34 - 7.65),7.41,(5.35 - 10.18)
Regions 13 and 19R,7.33,(5.35 - 9.97),17.09,(13.49 - 21.42),4.36,(3.05 - 6.20),6.55,(5.07 - 8.43)
Region 13 (Riverside),7.46,(5.33 - 10.34),17.34,(13.51 - 21.98),4.46,(3.08 - 6.43),6.66,(5.09 - 8.67)
Region 19R (Imperial),*,(* - *),*,(* - *),*,(* - *),5.20,(3.57 - 7.51)
Region 14 (Orange),7.00,(5.21 - 9.35),17.17,(13.71 - 21.28),4.07,(2.89 - 5.72),5.99,(4.67 - 7.66)
Region 15R (Fresno),6.53,(4.45 - 9.47),16.17,(11.86 - 21.67),4.33,(2.83 - 6.59),6.56,(4.74 - 9.02)
Region 16R (San Diego),7.25,(5.43 - 9.61),17.06,(13.71 - 21.03),5.22,(3.86 - 7.02),7.29,(5.84 - 9.06)
Region 17R,7.34,(5.31 - 10.07),18.14,(14.08 - 23.07),4.61,(3.23 - 6.53),7.14,(5.51 - 9.20)
Region 18R (San Bernardino),5.73,(4.12 - 7.92),11.98,(9.04 - 15.71),3.15,(2.15 - 4.59),4.78,(3.62 - 6.28)
Region 20R,6.57,(4.52 - 9.47),14.18,(10.23 - 19.33),3.79,(2.47 - 5.77),5.62,(4.02 - 7.80)
Region 21R,9.04,(6.25 - 12.90),24.94,(19.73 - 31.01),7.40,(5.15 - 10.53),10.63,(8.15 - 13.76)
Colorado,8.75,(7.20 - 10.59),21.87,(19.11 - 24.91),6.29,(5.05 - 7.82),8.54,(7.33 - 9.94)
Region 1,7.56,(5.31 - 10.65),19.19,(14.64 - 24.74),4.79,(3.17 - 7.16),7.39,(5.50 - 9.86)
Regions 2 and 7,9.57,(7.47 - 12.18),24.38,(20.55 - 28.66),7.33,(5.66 - 9.43),9.63,(7.98 - 11.57)
Region 3,7.26,(5.04 - 10.35),19.10,(14.46 - 24.81),4.42,(2.89 - 6.70),6.61,(4.82 - 8.99)
Region 4,6.92,(4.59 - 10.31),*,(* - *),3.85,(2.37 - 6.19),5.61,(3.81 - 8.19)
Regions 5 and 6,9.03,(6.23 - 12.92),*,(* - *),6.46,(4.24 - 9.74),8.50,(6.06 - 11.79)
Connecticut,7.77,(6.42 - 9.39),20.39,(17.74 - 23.33),4.27,(3.34 - 5.45),6.45,(5.48 - 7.58)
Eastern,8.52,(5.98 - 12.00),*,(* - *),5.61,(3.72 - 8.36),8.41,(6.22 - 11.30)
North Central,8.08,(5.99 - 10.83),23.36,(18.85 - 28.58),4.75,(3.31 - 6.77),7.21,(5.60 - 9.22)
Northwestern,7.61,(5.32 - 10.79),18.45,(14.06 - 23.85),3.95,(2.62 - 5.90),5.77,(4.25 - 7.79)
South Central,7.84,(5.63 - 10.82),19.73,(15.59 - 24.64),4.14,(2.89 - 5.88),6.29,(4.88 - 8.08)
Southwest,6.97,(4.86 - 9.89),16.81,(12.51 - 22.22),3.19,(2.08 - 4.86),4.84,(3.51 - 6.63)
Delaware,6.81,(5.50 - 8.42),20.12,(17.38 - 23.17),4.24,(3.28 - 5.47),6.52,(5.53 - 7.66)
Kent,5.83,(4.00 - 8.43),15.05,(11.16 - 19.98),3.58,(2.32 - 5.49),5.38,(3.91 - 7.34)
New Castle (excluding Wilmington City),7.03,(5.30 - 9.27),22.38,(18.74 - 26.49),4.17,(3.00 - 5.77),6.94,(5.67 - 8.47)
Sussex,6.80,(4.74 - 9.66),17.67,(13.26 - 23.15),3.97,(2.63 - 5.93),5.52,(4.03 - 7.51)
Wilmington City,7.58,(4.93 - 11.48),*,(* - *),6.62,(4.29 - 10.07),8.71,(6.16 - 12.17)
District of Columbia,6.91,(5.60 - 8.49),21.96,(19.08 - 25.13),6.59,(5.33 - 8.13),9.34,(8.09 - 10.76)
Ward 1,7.38,(4.82 - 11.14),*,(* - *),8.70,(6.01 - 12.44),11.44,(8.60 - 15.08)
Ward 2,*,(* - *),22.69,(17.92 - 28.28),6.62,(4.41 - 9.84),10.84,(8.37 - 13.93)
Ward 3,9.37,(6.45 - 13.41),21.50,(16.49 - 27.52),5.82,(3.95 - 8.49),8.49,(6.38 - 11.21)
Ward 4,6.13,(4.15 - 8.98),*,(* - *),4.65,(3.05 - 7.04),6.41,(4.58 - 8.90)
Ward 5,7.76,(5.28 - 11.28),*,(* - *),7.84,(5.40 - 11.26),10.80,(8.15 - 14.18)
Ward 6,*,(* - *),*,(* - *),5.87,(3.77 - 9.03),7.77,(5.45 - 10.96)
Ward 7,6.28,(4.32 - 9.04),*,(* - *),6.15,(4.15 - 9.03),8.19,(6.00 - 11.08)
Ward 8,6.98,(4.96 - 9.73),*,(* - *),7.64,(5.26 - 10.96),10.83,(8.24 - 14.13)
Florida,6.41,(5.68 - 7.23),16.10,(14.76 - 17.54),3.87,(3.31 - 4.51),5.44,(4.91 - 6.03)
Region A - Northwest,6.46,(5.05 - 8.21),18.58,(15.68 - 21.89),4.93,(3.77 - 6.41),7.21,(5.94 - 8.72)
Circuit 1,5.69,(3.90 - 8.22),15.64,(11.71 - 20.58),4.04,(2.66 - 6.10),5.76,(4.17 - 7.90)
Circuit 2,8.16,(5.62 - 11.70),23.32,(18.53 - 28.90),7.05,(4.84 - 10.16),10.74,(8.29 - 13.81)
Circuit 14,6.24,(4.28 - 9.02),15.67,(11.42 - 21.14),4.49,(2.94 - 6.80),6.00,(4.26 - 8.39)
Region B - Northeast,6.60,(5.34 - 8.13),16.98,(14.49 - 19.80),4.18,(3.28 - 5.32),6.14,(5.15 - 7.30)
Circuits 3 and 8,6.47,(4.47 - 9.26),16.60,(12.87 - 21.15),4.44,(3.01 - 6.49),7.00,(5.32 - 9.15)
Circuit 4,6.25,(4.56 - 8.50),17.18,(13.49 - 21.62),4.47,(3.18 - 6.24),6.28,(4.84 - 8.12)
Circuit 7,7.23,(5.17 - 10.00),17.10,(13.05 - 22.08),3.69,(2.50 - 5.43),5.41,(4.02 - 7.26)
Region C - Central,6.30,(5.26 - 7.53),15.52,(13.59 - 17.68),3.70,(3.02 - 4.52),5.20,(4.49 - 6.02)
Circuit 5,6.72,(4.81 - 9.32),16.37,(12.53 - 21.11),3.00,(2.05 - 4.36),4.46,(3.34 - 5.92)
Circuit 9,5.01,(3.55 - 7.02),14.60,(11.54 - 18.31),3.81,(2.68 - 5.40),5.39,(4.15 - 6.96)
Circuit 10,5.43,(3.70 - 7.91),13.31,(9.70 - 17.99),3.03,(1.97 - 4.63),4.38,(3.12 - 6.13)
Circuit 18,7.31,(5.21 - 10.18),17.74,(13.79 - 22.53),4.85,(3.43 - 6.81),6.46,(4.90 - 8.47)
Circuit 19,8.19,(5.72 - 11.59),15.66,(11.76 - 20.54),3.61,(2.41 - 5.38),5.00,(3.63 - 6.84)
Region D - Southeast,6.45,(5.20 - 7.99),16.39,(13.92 - 19.21),4.32,(3.38 - 5.52),5.71,(4.72 - 6.88)
Circuit 15 (Palm Beach),8.81,(6.54 - 11.76),20.25,(16.11 - 25.14),5.29,(3.80 - 7.34),6.94,(5.33 - 8.99)
Circuit 17 (Broward),4.92,(3.63 - 6.63),13.69,(10.94 - 17.01),3.59,(2.58 - 4.97),4.78,(3.72 - 6.13)
Region E - Sun Coast,7.24,(6.07 - 8.62),17.63,(15.37 - 20.14),3.94,(3.19 - 4.85),5.48,(4.69 - 6.39)
Circuit 6,7.16,(5.29 - 9.62),17.44,(13.76 - 21.86),3.81,(2.73 - 5.28),5.24,(4.06 - 6.73)
Circuit 12,7.80,(5.51 - 10.94),*,(* - *),3.58,(2.38 - 5.37),5.09,(3.65 - 7.05)
Circuit 13 (Hillsborough),6.29,(4.65 - 8.47),16.39,(13.05 - 20.39),4.31,(3.10 - 5.97),6.01,(4.69 - 7.66)
Circuit 20,8.24,(6.00 - 11.20),18.81,(14.57 - 23.94),3.98,(2.79 - 5.65),5.53,(4.18 - 7.28)
Region F - Southern (Circuits 11 and 16),5.06,(3.73 - 6.84),11.81,(9.43 - 14.69),2.63,(1.87 - 3.67),3.84,(3.02 - 4.88)
Georgia,5.33,(4.29 - 6.61),14.59,(12.35 - 17.16),4.15,(3.23 - 5.31),5.67,(4.74 - 6.78)
Region 1,5.64,(3.95 - 8.00),14.89,(11.17 - 19.59),3.85,(2.61 - 5.64),5.31,(3.92 - 7.15)
Region 2,4.52,(2.98 - 6.81),13.43,(9.84 - 18.06),3.32,(2.16 - 5.06),5.05,(3.66 - 6.92)
Region 3,5.53,(3.94 - 7.70),15.61,(12.27 - 19.65),5.30,(3.79 - 7.38),6.69,(5.14 - 8.67)
Region 4,5.34,(3.38 - 8.32),*,(* - *),3.69,(2.27 - 5.95),5.29,(3.58 - 7.75)
Region 5,5.36,(3.58 - 7.95),15.46,(11.49 - 20.50),3.82,(2.43 - 5.97),5.80,(4.16 - 8.04)
Region 6,5.06,(3.38 - 7.51),12.93,(9.02 - 18.19),3.29,(2.07 - 5.18),4.75,(3.29 - 6.81)
Hawaii,7.28,(5.86 - 9.01),15.37,(12.81 - 18.34),4.44,(3.40 - 5.78),5.92,(4.86 - 7.20)
Hawaii Island,9.81,(6.81 - 13.93),*,(* - *),7.44,(4.99 - 10.95),9.17,(6.64 - 12.54)
Honolulu,6.52,(4.97 - 8.51),14.07,(11.27 - 17.42),3.39,(2.41 - 4.76),4.87,(3.82 - 6.18)
Kauai and Maui,8.17,(5.90 - 11.22),17.82,(13.49 - 23.17),6.61,(4.56 - 9.50),7.95,(5.82 - 10.77)
Kauai,*,(* - *),*,(* - *),*,(* - *),7.04,(4.56 - 10.73)
Maui,8.49,(5.75 - 12.38),*,(* - *),7.02,(4.60 - 10.57),8.36,(5.83 - 11.83)
Idaho,6.73,(5.51 - 8.20),14.00,(11.90 - 16.41),3.78,(2.94 - 4.85),5.35,(4.47 - 6.39)
Region 1,9.61,(6.69 - 13.61),*,(* - *),4.74,(3.13 - 7.14),6.40,(4.60 - 8.84)
Region 2,6.52,(4.26 - 9.85),*,(* - *),4.02,(2.44 - 6.54),6.13,(4.16 - 8.96)
Region 3,5.07,(3.47 - 7.35),11.83,(8.35 - 16.49),2.77,(1.75 - 4.36),4.09,(2.86 - 5.84)
Region 4,8.97,(6.56 - 12.14),18.83,(15.11 - 23.21),5.18,(3.72 - 7.18),7.10,(5.55 - 9.02)
Region 5,5.57,(3.66 - 8.38),11.55,(7.97 - 16.46),2.86,(1.77 - 4.57),4.07,(2.76 - 5.95)
Region 6,5.56,(3.65 - 8.39),11.48,(7.95 - 16.31),2.98,(1.84 - 4.80),4.43,(3.04 - 6.43)
Region 7,3.82,(2.49 - 5.83),8.29,(5.77 - 11.77),1.90,(1.16 - 3.11),3.20,(2.23 - 4.57)
Illinois,6.22,(5.49 - 7.05),14.83,(13.55 - 16.20),3.60,(3.04 - 4.26),5.31,(4.77 - 5.90)
Region I (Cook),6.61,(5.45 - 8.00),15.29,(13.37 - 17.44),4.13,(3.29 - 5.18),5.72,(4.90 - 6.68)
Region II,6.16,(5.04 - 7.51),15.05,(12.95 - 17.43),3.28,(2.51 - 4.27),5.04,(4.24 - 5.98)
Region III,6.44,(4.85 - 8.50),14.83,(12.15 - 17.97),3.28,(2.39 - 4.48),5.43,(4.42 - 6.66)
Region IV,5.06,(3.62 - 7.04),12.31,(9.40 - 15.95),2.76,(1.90 - 4.00),4.23,(3.21 - 5.55)
Region V,5.31,(3.93 - 7.15),14.24,(11.42 - 17.61),3.36,(2.38 - 4.73),5.08,(3.98 - 6.47)
Indiana,7.55,(6.26 - 9.07),16.63,(14.36 - 19.17),4.43,(3.45 - 5.68),6.22,(5.22 - 7.39)
Central,8.11,(5.97 - 10.93),16.48,(13.11 - 20.50),5.08,(3.53 - 7.25),6.57,(5.00 - 8.60)
East,7.14,(4.73 - 10.65),15.37,(11.06 - 20.95),*,(* - *),5.24,(3.68 - 7.42)
North Central,6.69,(4.69 - 9.47),15.88,(11.89 - 20.91),4.10,(2.68 - 6.22),5.76,(4.15 - 7.94)
Northeast,7.44,(5.00 - 10.94),*,(* - *),4.65,(3.02 - 7.08),6.54,(4.68 - 9.07)
Northwest,6.99,(4.83 - 10.03),16.14,(11.90 - 21.54),4.34,(2.77 - 6.76),6.02,(4.25 - 8.46)
Southeast,8.22,(5.67 - 11.77),17.83,(13.23 - 23.60),4.52,(2.96 - 6.85),6.18,(4.44 - 8.55)
Southwest,5.59,(3.62 - 8.52),*,(* - *),3.20,(1.98 - 5.12),4.70,(3.23 - 6.80)
West,9.34,(6.52 - 13.20),18.43,(13.84 - 24.10),4.91,(3.23 - 7.39),7.82,(5.81 - 10.45)
Iowa,5.57,(4.51 - 6.88),10.59,(8.74 - 12.77),2.45,(1.83 - 3.27),3.69,(3.00 - 4.52)
Central,7.20,(5.00 - 10.28),12.35,(9.01 - 16.70),3.11,(2.05 - 4.68),4.34,(3.13 - 5.99)
North Central,5.05,(3.38 - 7.48),8.45,(5.87 - 12.04),1.98,(1.22 - 3.20),3.18,(2.20 - 4.58)
Northeast,5.41,(3.82 - 7.61),10.33,(7.57 - 13.94),2.34,(1.53 - 3.56),3.57,(2.59 - 4.90)
Northwest,4.34,(2.90 - 6.44),8.57,(5.97 - 12.17),1.88,(1.15 - 3.06),2.83,(1.93 - 4.12)
Southeast,5.29,(3.61 - 7.67),12.67,(9.37 - 16.90),2.76,(1.78 - 4.27),4.35,(3.16 - 5.96)
