State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,5.59,(5.40 - 5.78),6.41,(6.14 - 6.70),0.12,(0.10 - 0.15),0.96,(0.91 - 1.01)
Northeast,5.94,(5.64 - 6.26),7.18,(6.67 - 7.71),0.12,(0.09 - 0.16),0.99,(0.90 - 1.09)
Midwest,5.58,(5.34 - 5.82),6.77,(6.37 - 7.20),0.12,(0.09 - 0.16),1.01,(0.93 - 1.10)
South,5.25,(5.04 - 5.47),5.74,(5.38 - 6.13),0.12,(0.09 - 0.16),0.86,(0.78 - 0.94)
West,5.86,(5.53 - 6.22),6.60,(6.11 - 7.13),0.13,(0.09 - 0.18),1.05,(0.96 - 1.15)
Alabama,4.62,(3.96 - 5.40),4.73,(3.90 - 5.73),0.11,(0.07 - 0.17),0.74,(0.61 - 0.90)
Region 1,4.15,(3.15 - 5.45),5.00,(3.63 - 6.86),*,(* - *),0.65,(0.49 - 0.87)
Region 2,5.33,(4.15 - 6.80),5.00,(3.78 - 6.58),0.12,(0.07 - 0.19),0.79,(0.60 - 1.03)
Region 3,3.96,(2.86 - 5.46),4.57,(3.30 - 6.30),*,(* - *),0.91,(0.67 - 1.23)
Region 4,4.78,(3.60 - 6.32),4.22,(3.06 - 5.79),*,(* - *),0.66,(0.49 - 0.88)
Alaska,5.88,(4.97 - 6.95),7.09,(5.79 - 8.65),0.16,(0.11 - 0.25),1.29,(1.06 - 1.56)
Anchorage,5.81,(4.54 - 7.40),6.70,(5.03 - 8.88),0.18,(0.11 - 0.28),1.22,(0.94 - 1.59)
Northern,6.93,(5.25 - 9.09),7.89,(5.82 - 10.62),*,(* - *),1.66,(1.24 - 2.20)
South Central,5.14,(3.88 - 6.78),6.84,(4.88 - 9.50),*,(* - *),1.18,(0.87 - 1.59)
Southeast,5.59,(3.88 - 8.00),7.29,(4.87 - 10.78),*,(* - *),1.08,(0.76 - 1.54)
Arizona,5.81,(4.95 - 6.81),6.28,(5.10 - 7.70),0.12,(0.08 - 0.18),0.91,(0.74 - 1.11)
Maricopa,6.21,(5.06 - 7.60),6.05,(4.63 - 7.87),0.14,(0.09 - 0.22),0.93,(0.73 - 1.20)
