State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  NOTE: For substate region definitions, see the ""2006-2008 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  NOTE: The 2006-2008 estimates may differ from previously published estimates due to updates in the region definitions (using the 2008-2010 substate region definitions) and updates to the data. For details, see ""2006-2008 National Survey on Drug Use and Health: Overview and Summary of Substate Region Estimation Methodology"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Binge Alcohol Use is defined as drinking five or more drinks on the same occasion (i.e., at the same time or within a couple of hours of each other) on at least 1 day in the past 30 days.  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2006, 2007, and 2008 (Revised March 2012)."
Total United States,9.59,(9.29 - 9.90),41.78,(41.18 - 42.39),21.91,(21.49 - 22.33),24.83,(24.45 - 25.22)
Northeast,10.92,(10.30 - 11.57),45.75,(44.69 - 46.82),22.50,(21.67 - 23.36),25.82,(25.07 - 26.58)
Midwest,10.23,(9.77 - 10.72),47.22,(46.40 - 48.05),24.41,(23.73 - 25.11),27.80,(27.20 - 28.41)
South,8.69,(8.28 - 9.11),38.05,(37.27 - 38.83),20.94,(20.32 - 21.57),23.41,(22.86 - 23.97)
West,9.38,(8.76 - 10.04),39.29,(38.23 - 40.36),20.55,(19.69 - 21.43),23.43,(22.68 - 24.19)
Alabama,8.37,(7.01 - 9.96),34.24,(31.39 - 37.22),17.72,(15.60 - 20.07),20.12,(18.15 - 22.26)
Region 1,8.63,(6.57 - 11.26),32.38,(27.36 - 37.84),16.37,(13.45 - 19.79),18.42,(15.56 - 21.68)
Region 2,9.21,(7.15 - 11.77),34.49,(29.99 - 39.29),17.47,(14.61 - 20.75),19.93,(17.21 - 22.97)
Region 3,6.76,(4.95 - 9.16),36.69,(30.86 - 42.94),19.36,(15.71 - 23.62),22.53,(18.95 - 26.56)
Region 4,8.24,(6.29 - 10.73),33.45,(28.32 - 39.01),18.59,(15.39 - 22.27),20.63,(17.56 - 24.08)
Alaska,9.27,(7.69 - 11.12),40.38,(36.99 - 43.86),22.10,(19.63 - 24.78),24.98,(22.70 - 27.42)
Anchorage,9.29,(7.18 - 11.95),43.45,(38.57 - 48.46),22.90,(19.59 - 26.58),26.10,(23.04 - 29.41)
Northern,8.76,(6.56 - 11.61),37.59,(31.81 - 43.74),22.50,(18.70 - 26.81),25.37,(21.73 - 29.39)
South Central,9.26,(7.09 - 12.00),37.59,(31.27 - 44.36),20.56,(17.10 - 24.52),23.07,(19.64 - 26.89)
Southeast,10.42,(7.59 - 14.15),*,(* - *),21.92,(17.59 - 26.97),24.47,(20.07 - 29.48)
Arizona,10.14,(8.45 - 12.12),40.05,(36.76 - 43.44),22.25,(19.80 - 24.90),24.85,(22.61 - 27.24)
Maricopa,10.35,(8.22 - 12.96),37.66,(33.47 - 42.05),22.43,(19.45 - 25.73),24.61,(21.86 - 27.58)
Pima,9.37,(6.98 - 12.47),*,(* - *),21.74,(17.92 - 26.12),25.11,(21.32 - 29.33)
Rural North,9.79,(7.22 - 13.16),*,(* - *),20.73,(16.84 - 25.24),24.02,(20.09 - 28.44)
Rural South,10.34,(7.54 - 14.01),*,(* - *),23.39,(19.03 - 28.41),26.43,(21.99 - 31.41)
Arkansas,10.27,(8.67 - 12.12),39.27,(36.09 - 42.55),20.16,(17.86 - 22.68),22.88,(20.74 - 25.16)
Catchment Area 1,10.85,(8.09 - 14.39),*,(* - *),21.65,(17.80 - 26.07),25.51,(21.65 - 29.79)
Catchment Area 2,11.22,(8.34 - 14.94),*,(* - *),19.26,(15.60 - 23.53),21.93,(18.23 - 26.15)
Catchment Area 3,11.26,(8.54 - 14.71),*,(* - *),21.02,(17.25 - 25.35),23.45,(19.77 - 27.58)
Catchment Area 4,11.00,(8.16 - 14.67),*,(* - *),20.73,(16.68 - 25.45),23.74,(19.66 - 28.37)
Catchment Area 5,10.85,(8.20 - 14.23),40.35,(34.87 - 46.09),20.49,(17.02 - 24.47),23.69,(20.35 - 27.39)
Catchment Area 6,8.99,(6.53 - 12.25),*,(* - *),20.16,(16.07 - 24.99),22.27,(18.13 - 27.05)
Catchment Area 7,9.63,(6.99 - 13.13),*,(* - *),19.14,(15.22 - 23.79),21.18,(17.17 - 25.83)
