State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  NOTE: For substate region definitions, see the ""2006-2008 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  NOTE: The 2006-2008 estimates may differ from previously published estimates due to updates in the region definitions (using the 2008-2010 substate region definitions) and updates to the data. For details, see ""2006-2008 National Survey on Drug Use and Health: Overview and Summary of Substate Region Estimation Methodology"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Illicit Drugs include marijuana/hashish, cocaine (including crack), heroin, hallucinogens, inhalants, or prescription-type psychotherapeutics used nonmedically, including data from original methamphetamine questions but not including new methamphetamine items added in 2005 and 2006. See Section B.4.8 in Appendix B of the Results from the 2008 National Survey on Drug Use and Health: National Findings.  NOTE: Dependence is based on the definition found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2006, 2007, and 2008 (Revised March 2012)."
Total United States,2.48,(2.32 - 2.65),5.55,(5.31 - 5.80),1.26,(1.16 - 1.36),1.89,(1.80 - 1.99)
Northeast,2.38,(2.14 - 2.64),6.03,(5.57 - 6.52),1.27,(1.09 - 1.48),1.95,(1.77 - 2.15)
Midwest,2.54,(2.33 - 2.77),5.29,(4.95 - 5.65),1.19,(1.05 - 1.34),1.80,(1.66 - 1.94)
South,2.34,(2.15 - 2.55),5.39,(5.05 - 5.76),1.28,(1.14 - 1.43),1.87,(1.74 - 2.02)
West,2.71,(2.40 - 3.06),5.66,(5.19 - 6.17),1.28,(1.09 - 1.51),1.96,(1.77 - 2.16)
Alabama,2.29,(1.73 - 3.03),5.15,(4.05 - 6.52),1.30,(0.90 - 1.89),1.86,(1.42 - 2.43)
Region 1,2.35,(1.59 - 3.46),5.09,(3.37 - 7.60),1.06,(0.61 - 1.82),1.58,(1.04 - 2.38)
Region 2,2.45,(1.70 - 3.52),5.38,(3.77 - 7.61),1.48,(0.90 - 2.44),2.05,(1.41 - 2.97)
Region 3,2.06,(1.35 - 3.13),5.02,(3.24 - 7.71),1.39,(0.79 - 2.41),2.05,(1.34 - 3.13)
Region 4,2.18,(1.45 - 3.29),5.01,(3.28 - 7.57),1.28,(0.75 - 2.19),1.79,(1.17 - 2.74)
Alaska,2.92,(2.24 - 3.80),6.05,(4.74 - 7.69),1.44,(0.98 - 2.11),2.17,(1.66 - 2.83)
Anchorage,2.74,(1.89 - 3.95),5.48,(3.84 - 7.74),1.41,(0.86 - 2.31),2.04,(1.42 - 2.93)
Northern,3.10,(2.09 - 4.56),6.00,(3.99 - 8.95),1.69,(0.96 - 2.94),2.51,(1.65 - 3.79)
South Central,3.00,(2.04 - 4.39),7.00,(4.66 - 10.39),1.34,(0.78 - 2.27),2.17,(1.46 - 3.21)
Southeast,2.96,(1.92 - 4.55),6.29,(3.78 - 10.27),1.35,(0.73 - 2.48),1.99,(1.22 - 3.24)
Arizona,2.52,(1.90 - 3.34),5.61,(4.37 - 7.18),1.24,(0.84 - 1.84),1.88,(1.43 - 2.48)
Maricopa,2.50,(1.75 - 3.54),5.13,(3.72 - 7.05),1.24,(0.77 - 2.00),1.80,(1.27 - 2.53)
Pima,2.69,(1.77 - 4.06),6.92,(4.44 - 10.65),1.43,(0.80 - 2.56),2.26,(1.44 - 3.54)
Rural North,2.58,(1.68 - 3.92),6.32,(4.04 - 9.75),1.19,(0.67 - 2.12),1.98,(1.28 - 3.06)
Rural South,2.39,(1.57 - 3.62),5.46,(3.36 - 8.78),1.08,(0.60 - 1.92),1.73,(1.09 - 2.73)
Arkansas,2.69,(2.12 - 3.43),5.69,(4.53 - 7.14),1.48,(1.04 - 2.10),2.08,(1.60 - 2.70)
Catchment Area 1,2.69,(1.81 - 3.98),5.53,(3.50 - 8.66),1.40,(0.79 - 2.46),2.03,(1.29 - 3.18)
Catchment Area 2,2.57,(1.70 - 3.88),5.77,(3.60 - 9.13),1.23,(0.69 - 2.18),1.82,(1.16 - 2.87)
Catchment Area 3,3.02,(2.01 - 4.51),6.45,(4.14 - 9.89),1.72,(1.00 - 2.95),2.43,(1.58 - 3.71)
Catchment Area 4,3.14,(2.06 - 4.76),6.95,(4.40 - 10.81),1.45,(0.79 - 2.65),2.15,(1.34 - 3.42)
Catchment Area 5,2.66,(1.77 - 3.97),4.99,(3.27 - 7.52),1.40,(0.82 - 2.40),1.98,(1.30 - 3.01)
Catchment Area 6,2.29,(1.51 - 3.46),4.80,(2.95 - 7.71),*,(* - *),2.05,(1.25 - 3.34)
Catchment Area 7,2.51,(1.65 - 3.82),5.14,(3.13 - 8.33),*,(* - *),1.90,(1.16 - 3.08)
Catchment Area 8,2.57,(1.74 - 3.78),5.96,(3.82 - 9.17),1.61,(0.94 - 2.73),2.17,(1.41 - 3.34)
California,2.65,(2.19 - 3.20),5.74,(5.02 - 6.55),1.32,(1.03 - 1.68),2.02,(1.73 - 2.36)
Region 1R,2.80,(1.94 - 4.03),7.08,(4.73 - 10.47),1.34,(0.81 - 2.23),2.36,(1.61 - 3.43)
Region 2R,2.66,(1.80 - 3.92),6.31,(4.17 - 9.44),1.27,(0.75 - 2.15),2.14,(1.44 - 3.17)
Region 3R (Sacramento),2.86,(1.97 - 4.14),6.96,(4.73 - 10.13),1.58,(0.96 - 2.60),2.42,(1.65 - 3.54)
Region 4R,3.18,(2.16 - 4.65),7.19,(4.67 - 10.90),1.45,(0.87 - 2.40),2.26,(1.51 - 3.37)
Region 5R (San Francisco),*,(* - *),5.89,(3.71 - 9.24),1.28,(0.74 - 2.19),1.71,(1.09 - 2.65)
Region 6 (Santa Clara),2.70,(1.89 - 3.84),5.43,(3.57 - 8.17),1.13,(0.68 - 1.86),1.69,(1.13 - 2.51)
Region 7R (Contra Costa),2.72,(1.86 - 3.97),6.35,(4.08 - 9.74),1.25,(0.75 - 2.09),1.96,(1.31 - 2.92)
Region 8R (Alameda),2.58,(1.73 - 3.83),4.54,(2.94 - 6.94),1.18,(0.69 - 2.02),1.65,(1.07 - 2.52)
Region 9R (San Mateo),*,(* - *),5.50,(3.44 - 8.68),1.06,(0.61 - 1.84),1.57,(1.00 - 2.45)
Region 10,3.13,(2.13 - 4.59),7.73,(5.21 - 11.31),1.46,(0.87 - 2.42),2.54,(1.74 - 3.68)
Region 11 (Los Angeles),2.46,(1.96 - 3.08),5.09,(4.18 - 6.19),1.30,(0.96 - 1.77),1.90,(1.53 - 2.35)
LA SPA 1 and 5,2.52,(1.72 - 3.69),5.77,(3.71 - 8.88),1.37,(0.81 - 2.31),2.03,(1.34 - 3.07)
LA SPA 2,2.54,(1.74 - 3.69),5.57,(3.79 - 8.10),1.26,(0.75 - 2.11),1.89,(1.27 - 2.78)
LA SPA 3,2.27,(1.52 - 3.36),4.42,(2.91 - 6.65),0.98,(0.57 - 1.69),1.52,(1.00 - 2.29)
LA SPA 4,2.61,(1.77 - 3.82),5.13,(3.37 - 7.73),1.50,(0.89 - 2.53),2.01,(1.32 - 3.05)
LA SPA 6,2.20,(1.45 - 3.34),4.91,(3.09 - 7.70),1.74,(0.98 - 3.06),2.40,(1.53 - 3.74)
LA SPA 7,2.48,(1.66 - 3.69),4.56,(2.87 - 7.16),1.15,(0.66 - 2.02),1.74,(1.12 - 2.69)
LA SPA 8,2.63,(1.82 - 3.80),5.44,(3.57 - 8.20),1.39,(0.81 - 2.36),1.99,(1.31 - 3.02)
Region 12R,3.05,(2.05 - 4.53),6.65,(4.23 - 10.30),*,(* - *),2.37,(1.53 - 3.64)
Regions 13 and 19R,2.90,(2.05 - 4.08),6.24,(4.29 - 8.98),1.54,(0.95 - 2.49),2.35,(1.63 - 3.38)
Region 13 (Riverside),2.94,(2.04 - 4.20),6.27,(4.21 - 9.25),1.56,(0.94 - 2.58),2.36,(1.60 - 3.47)
Region 19R (Imperial),*,(* - *),*,(* - *),*,(* - *),*,(* - *)
Region 14 (Orange),2.66,(1.88 - 3.76),5.34,(3.70 - 7.65),1.16,(0.72 - 1.86),1.77,(1.24 - 2.52)
Region 15R (Fresno),2.44,(1.62 - 3.64),5.16,(3.25 - 8.09),1.32,(0.75 - 2.30),2.04,(1.31 - 3.16)
Region 16R (San Diego),2.48,(1.72 - 3.57),5.72,(4.01 - 8.12),1.35,(0.85 - 2.12),2.11,(1.51 - 2.94)
Region 17R,3.07,(2.09 - 4.49),6.58,(4.51 - 9.50),1.53,(0.92 - 2.55),2.48,(1.71 - 3.58)
Region 18R (San Bernardino),2.36,(1.64 - 3.40),4.49,(2.99 - 6.68),1.18,(0.71 - 1.96),1.79,(1.22 - 2.62)
Region 20R,2.42,(1.62 - 3.62),4.83,(3.12 - 7.40),1.25,(0.73 - 2.12),1.88,(1.24 - 2.84)
Region 21R,2.92,(1.97 - 4.31),7.41,(4.98 - 10.89),1.46,(0.86 - 2.47),2.55,(1.74 - 3.74)
Colorado,2.77,(2.12 - 3.62),5.61,(4.39 - 7.15),1.36,(0.92 - 2.03),1.98,(1.50 - 2.61)
Region 1,2.83,(1.91 - 4.17),6.06,(3.98 - 9.13),1.30,(0.74 - 2.29),2.16,(1.43 - 3.25)
Regions 2 and 7,2.89,(2.05 - 4.05),5.78,(4.13 - 8.02),1.49,(0.92 - 2.38),2.07,(1.46 - 2.93)
Region 3,2.47,(1.64 - 3.69),4.84,(3.04 - 7.62),1.14,(0.62 - 2.10),1.69,(1.06 - 2.71)
Region 4,*,(* - *),5.06,(3.03 - 8.33),*,(* - *),1.73,(1.06 - 2.82)
