State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  NOTE: For substate region definitions, see the ""2006-2008 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  NOTE: The 2006-2008 estimates may differ from previously published estimates due to updates in the region definitions (using the 2008-2010 substate region definitions) and updates to the data. For details, see ""2006-2008 National Survey on Drug Use and Health: Overview and Summary of Substate Region Estimation Methodology"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., chewing tobacco or snuff), cigars, or pipe tobacco.  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2006, 2007, and 2008 (Revised March 2012)."
Total United States,12.33,(11.98 - 12.69),42.73,(42.17 - 43.30),28.95,(28.44 - 29.46),30.97,(30.52 - 31.43)
Northeast,12.03,(11.42 - 12.68),42.07,(40.80 - 43.35),26.47,(25.60 - 27.36),28.70,(27.94 - 29.47)
Midwest,13.93,(13.40 - 14.49),47.93,(46.83 - 49.04),31.27,(30.54 - 32.00),33.74,(33.11 - 34.37)
South,12.67,(12.17 - 13.19),43.54,(42.48 - 44.61),31.25,(30.51 - 31.99),33.03,(32.40 - 33.66)
West,10.55,(9.90 - 11.23),37.18,(35.91 - 38.47),25.05,(24.16 - 25.96),26.91,(26.15 - 27.69)
Alabama,15.79,(13.82 - 18.00),47.98,(44.82 - 51.16),34.38,(31.67 - 37.20),36.36,(33.92 - 38.87)
Region 1,17.67,(14.28 - 21.65),52.89,(47.32 - 58.39),36.63,(32.29 - 41.21),38.72,(34.68 - 42.93)
Region 2,16.98,(13.83 - 20.67),49.60,(45.03 - 54.17),33.78,(30.03 - 37.74),36.07,(32.67 - 39.63)
Region 3,11.95,(9.08 - 15.59),41.53,(35.73 - 47.56),31.65,(27.22 - 36.43),33.43,(29.40 - 37.73)
Region 4,15.16,(12.10 - 18.82),46.60,(40.67 - 52.63),34.45,(30.04 - 39.15),36.13,(32.00 - 40.47)
Alaska,14.18,(12.23 - 16.37),45.74,(42.22 - 49.30),29.93,(27.19 - 32.82),32.42,(29.95 - 35.00)
Anchorage,11.69,(9.30 - 14.60),42.28,(37.70 - 47.00),26.88,(23.39 - 30.69),29.28,(26.10 - 32.67)
Northern,18.86,(14.93 - 23.55),51.88,(45.80 - 57.90),35.33,(30.61 - 40.36),38.47,(34.23 - 42.89)
South Central,13.68,(10.78 - 17.21),44.22,(38.07 - 50.54),31.03,(26.75 - 35.65),32.97,(28.97 - 37.22)
Southeast,13.96,(10.30 - 18.64),*,(* - *),29.13,(24.22 - 34.58),31.65,(26.89 - 36.83)
Arizona,11.64,(9.82 - 13.75),42.20,(38.64 - 45.85),28.35,(25.83 - 31.02),30.38,(28.08 - 32.78)
Maricopa,11.26,(9.02 - 13.95),40.92,(36.71 - 45.27),27.87,(24.74 - 31.23),29.74,(26.89 - 32.75)
Pima,10.34,(7.73 - 13.70),40.23,(33.75 - 47.07),26.30,(22.35 - 30.67),28.40,(24.63 - 32.49)
Rural North,14.21,(10.77 - 18.51),*,(* - *),31.13,(26.47 - 36.22),33.66,(29.24 - 38.39)
Rural South,12.53,(9.11 - 16.99),*,(* - *),30.77,(25.95 - 36.05),32.95,(28.30 - 37.97)
Arkansas,15.63,(13.68 - 17.81),50.23,(46.94 - 53.51),36.22,(33.63 - 38.89),38.21,(35.86 - 40.62)
Catchment Area 1,15.06,(11.49 - 19.50),47.85,(41.27 - 54.52),32.88,(28.45 - 37.63),35.17,(30.95 - 39.64)
Catchment Area 2,19.29,(14.81 - 24.73),*,(* - *),36.90,(32.01 - 42.07),39.86,(35.26 - 44.65)
Catchment Area 3,17.47,(13.87 - 21.77),53.44,(47.28 - 59.50),41.28,(36.28 - 46.46),43.09,(38.48 - 47.81)
Catchment Area 4,17.26,(13.06 - 22.46),*,(* - *),39.36,(34.00 - 44.99),41.15,(36.03 - 46.47)
Catchment Area 5,15.63,(12.21 - 19.78),47.76,(42.29 - 53.28),35.49,(30.97 - 40.30),37.46,(33.32 - 41.79)
Catchment Area 6,14.67,(11.03 - 19.25),*,(* - *),37.35,(31.94 - 43.09),39.25,(34.16 - 44.58)
Catchment Area 7,13.66,(10.07 - 18.27),*,(* - *),35.44,(30.26 - 41.00),37.08,(32.07 - 42.38)
Catchment Area 8,13.13,(10.16 - 16.79),45.68,(39.54 - 51.94),33.69,(29.51 - 38.16),35.25,(31.32 - 39.39)
California,8.78,(7.87 - 9.79),33.66,(31.90 - 35.47),22.88,(21.50 - 24.33),24.59,(23.39 - 25.84)
Region 1R,12.69,(9.60 - 16.60),43.12,(36.91 - 49.55),28.60,(24.48 - 33.10),31.15,(27.24 - 35.35)
Region 2R,10.67,(8.03 - 14.03),37.88,(32.12 - 43.99),25.81,(22.06 - 29.96),27.88,(24.31 - 31.76)
Region 3R (Sacramento),11.07,(8.41 - 14.44),37.97,(32.45 - 43.82),27.26,(23.44 - 31.44),28.92,(25.31 - 32.83)
Region 4R,10.75,(8.15 - 14.07),39.33,(33.36 - 45.64),22.79,(19.47 - 26.49),25.14,(21.93 - 28.65)
Region 5R (San Francisco),*,(* - *),34.65,(28.45 - 41.42),24.66,(20.78 - 29.00),25.61,(21.82 - 29.80)
Region 6 (Santa Clara),7.44,(5.50 - 10.00),29.78,(24.71 - 35.40),18.71,(15.55 - 22.34),20.16,(17.10 - 23.61)
Region 7R (Contra Costa),8.27,(6.15 - 11.03),33.20,(27.58 - 39.35),20.46,(17.09 - 24.31),22.23,(18.91 - 25.95)
Region 8R (Alameda),8.23,(6.18 - 10.88),32.97,(27.85 - 38.52),20.82,(17.50 - 24.57),22.49,(19.32 - 26.02)
Region 9R (San Mateo),9.18,(6.69 - 12.47),*,(* - *),20.24,(16.73 - 24.28),21.76,(18.29 - 25.68)
Region 10,8.98,(6.76 - 11.82),34.10,(28.62 - 40.04),21.87,(18.35 - 25.85),23.97,(20.58 - 27.73)
Region 11 (Los Angeles),7.76,(6.71 - 8.97),29.81,(27.44 - 32.29),21.56,(19.78 - 23.45),22.85,(21.24 - 24.54)
LA SPA 1 and 5,8.71,(6.39 - 11.77),32.12,(26.43 - 38.40),20.33,(16.95 - 24.17),22.09,(18.78 - 25.80)
LA SPA 2,8.58,(6.47 - 11.30),32.51,(27.51 - 37.94),20.56,(17.43 - 24.09),22.29,(19.29 - 25.60)
LA SPA 3,6.91,(5.21 - 9.13),27.82,(23.47 - 32.63),19.02,(16.02 - 22.43),20.39,(17.58 - 23.53)
LA SPA 4,8.85,(6.59 - 11.80),34.86,(29.13 - 41.07),25.28,(21.38 - 29.62),26.61,(22.89 - 30.71)
LA SPA 6,6.98,(5.09 - 9.50),25.69,(20.69 - 31.42),24.02,(19.94 - 28.62),24.34,(20.57 - 28.55)
LA SPA 7,7.09,(5.29 - 9.44),28.00,(23.15 - 33.42),21.69,(18.26 - 25.57),22.77,(19.53 - 26.36)
LA SPA 8,7.72,(5.79 - 10.21),28.50,(23.59 - 33.99),22.25,(18.81 - 26.12),23.19,(19.91 - 26.83)
Region 12R,11.23,(8.29 - 15.05),*,(* - *),27.81,(23.60 - 32.46),29.36,(25.28 - 33.80)
Regions 13 and 19R,8.65,(6.71 - 11.09),33.35,(28.52 - 38.56),25.61,(22.27 - 29.26),26.93,(23.81 - 30.30)
Region 13 (Riverside),8.77,(6.69 - 11.42),33.74,(28.57 - 39.33),25.81,(22.27 - 29.70),27.15,(23.83 - 30.75)
Region 19R (Imperial),*,(* - *),*,(* - *),*,(* - *),24.14,(20.18 - 28.60)
Region 14 (Orange),9.30,(7.25 - 11.84),36.04,(31.31 - 41.05),20.85,(18.00 - 24.03),23.08,(20.38 - 26.02)
Region 15R (Fresno),8.26,(6.09 - 11.12),32.44,(26.62 - 38.87),24.18,(20.41 - 28.39),25.72,(22.08 - 29.73)
Region 16R (San Diego),8.61,(6.73 - 10.95),35.34,(30.88 - 40.08),22.08,(19.13 - 25.33),24.39,(21.62 - 27.38)
Region 17R,8.93,(6.80 - 11.65),34.36,(29.10 - 40.02),26.60,(22.97 - 30.59),28.04,(24.63 - 31.72)
Region 18R (San Bernardino),8.08,(6.23 - 10.43),32.32,(27.45 - 37.62),24.77,(21.34 - 28.56),26.15,(22.97 - 29.61)
Region 20R,8.94,(6.63 - 11.94),33.18,(27.50 - 39.39),25.11,(21.29 - 29.35),26.52,(22.88 - 30.52)
Region 21R,10.43,(7.79 - 13.82),38.25,(32.34 - 44.52),24.12,(20.44 - 28.22),26.71,(23.17 - 30.57)
Colorado,14.59,(12.63 - 16.80),48.20,(44.86 - 51.56),28.73,(26.20 - 31.41),31.55,(29.25 - 33.93)
Region 1,15.41,(11.98 - 19.61),48.78,(42.72 - 54.87),29.39,(25.24 - 33.91),32.88,(29.02 - 37.00)
Regions 2 and 7,14.54,(12.01 - 17.51),48.10,(43.66 - 52.57),27.94,(24.79 - 31.31),30.66,(27.79 - 33.69)
