State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  NOTE: For substate region definitions, see the ""2006-2008 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  NOTE: The 2006-2008 estimates may differ from previously published estimates due to updates in the region definitions (using the 2008-2010 substate region definitions) and updates to the data. For details, see ""2006-2008 National Survey on Drug Use and Health: Overview and Summary of Substate Region Estimation Methodology"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2006, 2007, and 2008 (Revised March 2012)."
Total United States,6.80,(6.54 - 7.06),12.31,(11.96 - 12.67),3.54,(3.37 - 3.72),4.83,(4.67 - 4.99)
Northeast,5.48,(5.08 - 5.92),11.36,(10.73 - 12.02),2.98,(2.70 - 3.29),4.17,(3.90 - 4.47)
Midwest,6.93,(6.57 - 7.32),12.56,(12.05 - 13.08),3.45,(3.20 - 3.72),4.80,(4.56 - 5.06)
South,6.99,(6.63 - 7.36),12.21,(11.70 - 12.75),3.56,(3.31 - 3.83),4.81,(4.57 - 5.06)
West,7.35,(6.84 - 7.90),12.95,(12.29 - 13.65),4.04,(3.66 - 4.46),5.41,(5.05 - 5.79)
Alabama,8.18,(6.80 - 9.81),13.66,(11.72 - 15.87),3.91,(3.04 - 5.00),5.32,(4.45 - 6.36)
Region 1,7.45,(5.60 - 9.85),14.35,(11.19 - 18.21),3.54,(2.46 - 5.08),4.93,(3.77 - 6.41)
Region 2,9.50,(7.34 - 12.20),14.14,(11.32 - 17.51),4.41,(3.17 - 6.11),5.82,(4.56 - 7.39)
Region 3,6.84,(4.91 - 9.47),12.35,(9.29 - 16.24),3.59,(2.42 - 5.31),5.19,(3.89 - 6.90)
Region 4,8.29,(6.20 - 11.00),13.54,(10.42 - 17.42),3.89,(2.73 - 5.51),5.22,(4.00 - 6.79)
Alaska,7.37,(6.02 - 9.00),11.28,(9.39 - 13.49),3.78,(2.88 - 4.95),4.96,(4.05 - 6.07)
Anchorage,7.52,(5.65 - 9.95),11.79,(9.24 - 14.92),4.26,(3.03 - 5.97),5.43,(4.20 - 7.00)
Northern,7.14,(5.19 - 9.75),9.23,(6.73 - 12.54),3.33,(2.23 - 4.95),4.45,(3.27 - 6.04)
South Central,7.38,(5.43 - 9.95),11.83,(8.76 - 15.78),3.45,(2.33 - 5.09),4.68,(3.46 - 6.31)
Southeast,7.34,(5.22 - 10.21),13.19,(9.34 - 18.31),3.53,(2.29 - 5.42),4.79,(3.39 - 6.73)
Arizona,8.89,(7.29 - 10.80),14.16,(12.07 - 16.53),4.70,(3.61 - 6.09),6.08,(5.00 - 7.38)
Maricopa,9.49,(7.48 - 11.96),14.59,(11.96 - 17.69),4.91,(3.63 - 6.60),6.29,(5.03 - 7.84)
Pima,7.98,(5.69 - 11.07),13.72,(10.10 - 18.37),4.45,(3.01 - 6.54),5.85,(4.29 - 7.92)
Rural North,8.94,(6.34 - 12.45),15.88,(11.85 - 20.95),4.88,(3.22 - 7.34),6.57,(4.76 - 8.99)
Rural South,7.11,(4.98 - 10.06),11.03,(7.86 - 15.26),3.82,(2.49 - 5.84),4.89,(3.47 - 6.86)
Arkansas,8.81,(7.43 - 10.42),16.46,(14.24 - 18.94),4.74,(3.76 - 5.96),6.41,(5.40 - 7.58)
Catchment Area 1,8.81,(6.39 - 12.02),18.44,(14.01 - 23.89),4.77,(3.31 - 6.81),6.86,(5.24 - 8.94)
Catchment Area 2,9.81,(7.22 - 13.19),18.49,(13.91 - 24.14),5.40,(3.74 - 7.74),7.12,(5.34 - 9.42)
Catchment Area 3,9.71,(7.18 - 13.01),15.64,(11.84 - 20.38),4.97,(3.50 - 7.02),6.56,(4.99 - 8.57)
Catchment Area 4,9.44,(6.82 - 12.93),18.54,(14.03 - 24.09),4.86,(3.28 - 7.15),6.58,(4.87 - 8.84)
Catchment Area 5,8.87,(6.62 - 11.79),16.95,(13.33 - 21.32),4.74,(3.34 - 6.68),6.71,(5.23 - 8.57)
Catchment Area 6,6.84,(4.80 - 9.68),12.47,(9.20 - 16.70),4.20,(2.81 - 6.23),5.42,(3.96 - 7.39)
Catchment Area 7,7.61,(5.32 - 10.78),13.70,(9.85 - 18.76),4.13,(2.74 - 6.19),5.42,(3.90 - 7.48)
Catchment Area 8,8.58,(6.43 - 11.37),15.64,(11.86 - 20.35),4.55,(3.21 - 6.42),5.99,(4.55 - 7.84)
California,6.72,(5.97 - 7.55),12.21,(11.20 - 13.29),3.87,(3.33 - 4.51),5.20,(4.68 - 5.78)
Region 1R,8.36,(6.09 - 11.38),15.23,(11.73 - 19.54),3.76,(2.62 - 5.36),5.79,(4.47 - 7.46)
Region 2R,8.04,(6.05 - 10.63),15.60,(12.05 - 19.96),4.14,(2.99 - 5.70),6.11,(4.81 - 7.74)
Region 3R (Sacramento),9.33,(6.92 - 12.47),14.71,(11.37 - 18.82),4.67,(3.36 - 6.48),6.24,(4.84 - 8.01)
Region 4R,7.95,(5.98 - 10.50),15.44,(11.86 - 19.87),4.05,(2.83 - 5.76),5.67,(4.34 - 7.38)
Region 5R (San Francisco),*,(* - *),12.03,(8.76 - 16.29),3.78,(2.62 - 5.42),4.54,(3.32 - 6.17)
Region 6 (Santa Clara),5.41,(3.94 - 7.38),11.66,(8.75 - 15.37),3.64,(2.54 - 5.19),4.69,(3.52 - 6.21)
Region 7R (Contra Costa),6.78,(4.97 - 9.19),13.70,(10.36 - 17.92),3.72,(2.59 - 5.33),5.11,(3.86 - 6.73)
Region 8R (Alameda),6.59,(4.82 - 8.96),11.14,(8.55 - 14.40),4.16,(2.93 - 5.87),5.12,(3.88 - 6.73)
Region 9R (San Mateo),6.26,(4.48 - 8.67),13.12,(9.58 - 17.72),3.49,(2.40 - 5.05),4.59,(3.39 - 6.20)
Region 10,8.09,(5.93 - 10.94),18.04,(13.98 - 22.97),4.62,(3.25 - 6.52),6.93,(5.39 - 8.87)
Region 11 (Los Angeles),5.61,(4.71 - 6.66),10.25,(8.98 - 11.67),3.74,(3.09 - 4.53),4.76,(4.12 - 5.50)
LA SPA 1 and 5,5.66,(4.08 - 7.80),12.32,(9.12 - 16.44),3.96,(2.77 - 5.63),5.21,(3.92 - 6.89)
LA SPA 2,6.22,(4.60 - 8.35),11.28,(8.60 - 14.66),4.07,(2.89 - 5.71),5.11,(3.89 - 6.69)
LA SPA 3,5.20,(3.84 - 7.02),9.21,(7.01 - 12.02),3.20,(2.25 - 4.53),4.14,(3.15 - 5.41)
LA SPA 4,5.71,(4.10 - 7.92),10.08,(7.43 - 13.53),3.79,(2.69 - 5.32),4.66,(3.52 - 6.16)
LA SPA 6,5.00,(3.57 - 6.96),8.88,(6.53 - 11.96),3.56,(2.46 - 5.13),4.67,(3.50 - 6.20)
LA SPA 7,5.56,(4.00 - 7.68),9.47,(7.10 - 12.51),3.63,(2.54 - 5.17),4.64,(3.52 - 6.08)
LA SPA 8,5.73,(4.20 - 7.78),10.74,(8.14 - 14.05),3.92,(2.77 - 5.53),4.95,(3.76 - 6.48)
Region 12R,7.42,(5.42 - 10.10),14.21,(10.52 - 18.93),4.21,(2.90 - 6.07),5.84,(4.39 - 7.74)
Regions 13 and 19R,7.61,(5.82 - 9.90),12.80,(10.07 - 16.14),4.33,(3.19 - 5.87),5.79,(4.59 - 7.29)
Region 13 (Riverside),7.81,(5.88 - 10.31),13.10,(10.17 - 16.71),4.39,(3.18 - 6.03),5.88,(4.60 - 7.49)
Region 19R (Imperial),*,(* - *),*,(* - *),*,(* - *),4.70,(3.42 - 6.44)
Region 14 (Orange),5.96,(4.48 - 7.88),11.39,(8.87 - 14.52),3.34,(2.40 - 4.62),4.52,(3.53 - 5.77)
Region 15R (Fresno),6.33,(4.57 - 8.71),10.75,(7.83 - 14.58),3.62,(2.52 - 5.17),4.97,(3.73 - 6.58)
Region 16R (San Diego),7.96,(6.13 - 10.27),13.35,(10.62 - 16.66),4.21,(3.06 - 5.76),5.81,(4.61 - 7.29)
Region 17R,6.75,(4.97 - 9.10),10.87,(8.30 - 14.12),3.55,(2.52 - 4.99),4.92,(3.80 - 6.36)
Region 18R (San Bernardino),6.57,(4.96 - 8.67),10.43,(7.94 - 13.58),3.66,(2.64 - 5.04),4.91,(3.82 - 6.28)
Region 20R,7.46,(5.44 - 10.16),12.10,(9.10 - 15.93),3.93,(2.78 - 5.53),5.38,(4.12 - 6.99)
Region 21R,7.07,(5.12 - 9.68),12.80,(9.78 - 16.59),3.72,(2.60 - 5.30),5.40,(4.16 - 6.97)
Colorado,7.32,(6.00 - 8.89),13.53,(11.49 - 15.87),3.89,(3.01 - 5.00),5.28,(4.38 - 6.35)
Region 1,7.36,(5.36 - 10.03),12.80,(9.49 - 17.05),3.70,(2.50 - 5.44),5.35,(3.98 - 7.14)
Regions 2 and 7,7.56,(5.86 - 9.70),14.57,(11.84 - 17.79),4.10,(3.02 - 5.54),5.51,(4.41 - 6.87)
Region 3,6.98,(5.08 - 9.53),11.49,(8.43 - 15.47),3.40,(2.29 - 5.01),4.61,(3.38 - 6.26)
Region 4,6.81,(4.77 - 9.62),12.07,(8.66 - 16.58),3.50,(2.29 - 5.31),4.76,(3.40 - 6.62)
Regions 5 and 6,6.69,(4.80 - 9.25),13.26,(9.51 - 18.20),3.86,(2.61 - 5.67),5.17,(3.78 - 7.05)
Connecticut,4.97,(3.99 - 6.17),11.34,(9.47 - 13.52),2.83,(2.13 - 3.75),3.98,(3.22 - 4.91)
Eastern,5.75,(4.03 - 8.15),11.27,(8.11 - 15.46),2.90,(1.91 - 4.36),4.34,(3.15 - 5.95)
North Central,5.11,(3.72 - 7.00),11.40,(8.56 - 15.02),2.78,(1.89 - 4.07),3.92,(2.92 - 5.24)
Northwestern,5.03,(3.58 - 7.02),11.94,(8.85 - 15.92),2.81,(1.89 - 4.16),3.95,(2.91 - 5.35)
South Central,4.90,(3.49 - 6.86),11.41,(8.70 - 14.82),2.79,(1.88 - 4.14),3.98,(2.97 - 5.33)
Southwest,4.33,(3.03 - 6.15),10.65,(7.81 - 14.36),2.94,(1.94 - 4.42),3.87,(2.80 - 5.33)
Delaware,6.39,(5.18 - 7.86),12.73,(10.68 - 15.11),3.55,(2.67 - 4.69),4.86,(3.96 - 5.96)
Kent,6.82,(4.99 - 9.25),12.26,(9.19 - 16.17),3.65,(2.48 - 5.33),4.99,(3.73 - 6.65)
New Castle (excluding Wilmington City),6.24,(4.74 - 8.18),13.31,(10.62 - 16.56),3.56,(2.53 - 4.99),5.04,(3.96 - 6.41)
Sussex,6.58,(4.74 - 9.06),12.82,(9.57 - 16.98),3.40,(2.27 - 5.06),4.46,(3.25 - 6.11)
Wilmington City,6.03,(4.19 - 8.60),9.90,(7.01 - 13.82),3.65,(2.40 - 5.49),4.53,(3.21 - 6.34)
District of Columbia,4.04,(3.17 - 5.14),8.33,(6.82 - 10.13),2.81,(2.09 - 3.77),3.80,(3.04 - 4.73)
Ward 1,3.93,(2.67 - 5.76),7.57,(5.28 - 10.75),3.16,(2.05 - 4.83),3.98,(2.81 - 5.62)
Ward 2,*,(* - *),9.93,(7.37 - 13.24),3.33,(2.23 - 4.96),5.07,(3.81 - 6.72)
Ward 3,4.62,(3.16 - 6.70),10.59,(7.71 - 14.39),2.89,(1.90 - 4.36),4.20,(3.08 - 5.71)
Ward 4,4.28,(2.94 - 6.18),8.17,(5.69 - 11.60),2.52,(1.62 - 3.91),3.26,(2.28 - 4.64)
Ward 5,3.98,(2.70 - 5.83),8.16,(5.65 - 11.64),2.61,(1.66 - 4.06),3.59,(2.52 - 5.09)
Ward 6,*,(* - *),7.86,(5.44 - 11.22),2.97,(1.93 - 4.55),3.61,(2.51 - 5.16)
Ward 7,4.02,(2.76 - 5.82),5.78,(3.99 - 8.31),2.37,(1.50 - 3.73),2.89,(2.00 - 4.18)
Ward 8,3.86,(2.72 - 5.44),6.18,(4.34 - 8.74),2.51,(1.62 - 3.88),3.26,(2.33 - 4.56)
Florida,6.62,(5.88 - 7.44),11.57,(10.56 - 12.66),3.03,(2.55 - 3.59),4.13,(3.66 - 4.65)
Region A - Northwest,7.56,(6.20 - 9.18),13.67,(11.47 - 16.21),3.43,(2.65 - 4.43),5.15,(4.30 - 6.16)
Circuit 1,7.84,(5.91 - 10.35),14.77,(11.29 - 19.10),3.45,(2.43 - 4.88),5.12,(3.95 - 6.61)
Circuit 2,6.50,(4.72 - 8.88),11.94,(9.20 - 15.37),*,(* - *),5.27,(4.09 - 6.75)
Circuit 14,8.16,(5.98 - 11.05),14.65,(10.95 - 19.32),3.56,(2.48 - 5.08),5.06,(3.83 - 6.64)
Region B - Northeast,7.80,(6.47 - 9.39),14.02,(11.97 - 16.35),3.56,(2.79 - 4.54),5.16,(4.34 - 6.13)
Circuits 3 and 8,8.21,(6.01 - 11.12),12.50,(9.54 - 16.22),3.58,(2.48 - 5.13),5.46,(4.20 - 7.07)
Circuit 4,8.16,(6.29 - 10.51),14.51,(11.38 - 18.32),3.78,(2.67 - 5.32),5.31,(4.12 - 6.81)
Circuit 7,6.99,(5.13 - 9.46),14.94,(11.40 - 19.34),3.30,(2.35 - 4.61),4.79,(3.69 - 6.19)
Region C - Central,6.64,(5.65 - 7.80),12.33,(10.75 - 14.10),3.11,(2.51 - 3.85),4.28,(3.66 - 5.00)
Circuit 5,7.46,(5.51 - 10.02),16.20,(12.65 - 20.52),3.20,(2.24 - 4.56),4.61,(3.55 - 5.97)
Circuit 9,5.47,(4.04 - 7.37),10.16,(7.88 - 13.02),3.06,(2.18 - 4.29),4.10,(3.17 - 5.27)
Circuit 10,6.69,(4.87 - 9.12),11.60,(8.63 - 15.40),3.02,(2.11 - 4.30),4.14,(3.13 - 5.47)
Circuit 18,6.83,(5.14 - 9.02),12.50,(9.55 - 16.21),3.08,(2.18 - 4.34),4.26,(3.27 - 5.52)
Circuit 19,7.96,(5.85 - 10.75),12.47,(9.36 - 16.43),3.22,(2.23 - 4.64),4.28,(3.20 - 5.72)
Region D - Southeast,6.39,(5.19 - 7.84),9.12,(7.53 - 11.01),2.69,(2.04 - 3.55),3.43,(2.76 - 4.24)
Circuit 15 (Palm Beach),7.23,(5.46 - 9.52),10.86,(8.39 - 13.96),2.86,(1.99 - 4.10),3.74,(2.83 - 4.93)
Circuit 17 (Broward),5.84,(4.45 - 7.63),7.90,(6.03 - 10.30),2.56,(1.82 - 3.59),3.19,(2.43 - 4.17)
Region E - Sun Coast,6.83,(5.74 - 8.10),12.84,(11.08 - 14.82),3.04,(2.43 - 3.79),4.14,(3.51 - 4.88)
Circuit 6,6.49,(4.79 - 8.73),12.42,(9.60 - 15.91),2.60,(1.83 - 3.68),3.62,(2.78 - 4.70)
Circuit 12,7.72,(5.76 - 10.29),14.38,(10.81 - 18.88),3.21,(2.20 - 4.67),4.32,(3.19 - 5.81)
Circuit 13 (Hillsborough),6.58,(4.93 - 8.72),10.26,(7.79 - 13.40),3.06,(2.18 - 4.28),4.07,(3.12 - 5.30)
Circuit 20,7.02,(5.19 - 9.42),15.81,(12.25 - 20.17),3.44,(2.40 - 4.89),4.72,(3.61 - 6.16)
Region F - Southern (Circuits 11 and 16),4.83,(3.56 - 6.51),6.65,(5.05 - 8.72),2.56,(1.78 - 3.66),3.10,(2.33 - 4.10)
Georgia,6.71,(5.53 - 8.13),12.47,(10.50 - 14.74),3.96,(3.08 - 5.09),5.21,(4.30 - 6.29)
Region 1,7.35,(5.50 - 9.76),13.48,(10.18 - 17.63),4.28,(3.03 - 6.02),5.50,(4.18 - 7.20)
Region 2,6.86,(5.01 - 9.33),14.52,(10.91 - 19.08),4.07,(2.78 - 5.93),5.87,(4.43 - 7.74)
Region 3,6.01,(4.39 - 8.18),9.99,(7.59 - 13.03),3.63,(2.54 - 5.17),4.48,(3.38 - 5.93)
