State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,5.02,(4.80 - 5.25),16.67,(16.26 - 17.09),5.83,(5.60 - 6.06),7.42,(7.22 - 7.63)
Northeast,4.89,(4.52 - 5.28),16.94,(16.21 - 17.69),5.43,(5.03 - 5.85),7.07,(6.70 - 7.45)
Midwest,5.48,(5.15 - 5.83),18.58,(17.98 - 19.20),6.20,(5.85 - 6.58),8.04,(7.71 - 8.38)
South,4.46,(4.18 - 4.76),15.02,(14.47 - 15.57),5.58,(5.27 - 5.91),6.95,(6.66 - 7.24)
West,5.53,(5.09 - 6.01),17.16,(16.37 - 17.98),6.18,(5.73 - 6.66),7.87,(7.46 - 8.30)
Alabama,4.33,(3.41 - 5.48),12.20,(10.47 - 14.17),4.77,(3.81 - 5.95),5.85,(4.91 - 6.95)
Region 1,4.17,(2.98 - 5.80),11.62,(8.86 - 15.11),4.50,(3.24 - 6.21),5.41,(4.13 - 7.07)
Region 2,5.12,(3.66 - 7.11),12.51,(9.94 - 15.63),4.80,(3.56 - 6.44),5.92,(4.67 - 7.48)
Region 3,3.24,(2.18 - 4.79),12.33,(9.24 - 16.28),4.92,(3.52 - 6.85),6.27,(4.78 - 8.19)
Region 4,4.33,(3.06 - 6.08),12.27,(9.44 - 15.79),4.96,(3.60 - 6.80),5.96,(4.58 - 7.73)
Alaska,5.32,(4.22 - 6.68),16.74,(14.43 - 19.32),5.63,(4.54 - 6.96),7.38,(6.31 - 8.63)
Anchorage,5.55,(4.07 - 7.54),16.95,(13.90 - 20.51),5.75,(4.35 - 7.56),7.49,(6.10 - 9.18)
Northern,4.51,(3.18 - 6.36),16.62,(12.96 - 21.06),5.55,(4.05 - 7.58),7.66,(6.03 - 9.69)
South Central,5.52,(3.97 - 7.64),16.19,(12.44 - 20.81),5.49,(4.05 - 7.41),7.06,(5.54 - 8.96)
Southeast,5.81,(4.06 - 8.26),17.51,(12.99 - 23.18),5.65,(4.04 - 7.85),7.20,(5.45 - 9.44)
Arizona,5.36,(4.23 - 6.77),16.33,(14.10 - 18.83),6.34,(5.17 - 7.76),7.80,(6.66 - 9.13)
Maricopa,5.42,(4.05 - 7.22),16.12,(13.31 - 19.39),6.58,(5.13 - 8.40),7.94,(6.52 - 9.64)
Pima,5.10,(3.53 - 7.33),17.47,(13.26 - 22.66),6.21,(4.57 - 8.38),7.91,(6.14 - 10.12)
Rural North,5.09,(3.53 - 7.30),17.30,(13.04 - 22.60),5.93,(4.29 - 8.14),7.67,(5.89 - 9.94)
Rural South,5.59,(3.85 - 8.05),14.88,(10.85 - 20.06),5.75,(4.09 - 8.01),7.10,(5.33 - 9.40)
Arkansas,6.05,(4.92 - 7.42),16.83,(14.66 - 19.24),5.82,(4.79 - 7.07),7.39,(6.36 - 8.57)
Catchment Area 1,6.89,(4.87 - 9.68),22.87,(17.75 - 28.94),6.93,(5.09 - 9.39),9.38,(7.36 - 11.89)
Catchment Area 2,6.74,(4.76 - 9.45),15.99,(12.07 - 20.87),5.35,(3.85 - 7.39),6.75,(5.15 - 8.79)
Catchment Area 3,6.14,(4.41 - 8.49),16.35,(12.46 - 21.15),6.29,(4.65 - 8.46),7.78,(6.07 - 9.93)
Catchment Area 4,6.55,(4.61 - 9.23),17.46,(13.08 - 22.91),5.65,(4.07 - 7.81),7.14,(5.43 - 9.33)
Catchment Area 5,6.60,(4.79 - 9.05),16.13,(12.73 - 20.24),5.47,(4.07 - 7.32),7.19,(5.72 - 9.00)
Catchment Area 6,4.56,(3.17 - 6.53),13.32,(9.70 - 18.02),5.60,(3.98 - 7.83),6.75,(5.04 - 8.98)
Catchment Area 7,5.38,(3.73 - 7.71),17.02,(12.50 - 22.75),6.17,(4.47 - 8.46),7.63,(5.79 - 9.99)
Catchment Area 8,5.17,(3.70 - 7.18),14.09,(10.69 - 18.34),5.22,(3.83 - 7.09),6.37,(4.92 - 8.22)
California,5.42,(4.76 - 6.17),16.93,(15.72 - 18.22),6.13,(5.43 - 6.92),7.85,(7.21 - 8.54)
Region 1R,6.03,(4.36 - 8.30),20.23,(15.93 - 25.34),6.39,(4.80 - 8.46),8.83,(7.04 - 11.03)
Region 2R,6.15,(4.48 - 8.39),20.16,(15.92 - 25.20),6.68,(5.06 - 8.76),9.00,(7.23 - 11.15)
Region 3R (Sacramento),5.61,(4.09 - 7.64),18.20,(14.45 - 22.67),6.64,(5.05 - 8.69),8.44,(6.77 - 10.49)
Region 4R,5.78,(4.17 - 7.96),18.04,(13.98 - 22.96),5.59,(4.20 - 7.40),7.36,(5.83 - 9.25)
Region 5R (San Francisco),*,(* - *),17.92,(13.58 - 23.28),7.27,(5.42 - 9.67),8.25,(6.35 - 10.66)
Region 6 (Santa Clara),5.00,(3.62 - 6.87),16.48,(12.83 - 20.91),5.55,(4.19 - 7.31),6.97,(5.52 - 8.77)
Region 7R (Contra Costa),5.71,(4.14 - 7.83),18.19,(14.03 - 23.26),5.71,(4.25 - 7.63),7.45,(5.85 - 9.44)
Region 8R (Alameda),5.26,(3.84 - 7.17),16.59,(12.99 - 20.94),5.98,(4.54 - 7.84),7.44,(5.93 - 9.30)
Region 9R (San Mateo),5.72,(4.03 - 8.07),19.30,(14.75 - 24.85),6.03,(4.50 - 8.04),7.55,(5.89 - 9.63)
Region 10,6.42,(4.66 - 8.77),18.55,(14.56 - 23.33),5.88,(4.39 - 7.82),8.06,(6.42 - 10.08)
Region 11 (Los Angeles),4.93,(3.91 - 6.19),15.18,(13.59 - 16.91),6.14,(5.26 - 7.16),7.56,(6.73 - 8.49)
LA SPA 1 and 5,4.81,(3.33 - 6.91),18.07,(13.87 - 23.19),6.26,(4.67 - 8.35),8.03,(6.31 - 10.18)
LA SPA 2,5.26,(3.72 - 7.37),15.64,(12.38 - 19.56),5.82,(4.43 - 7.61),7.24,(5.79 - 9.02)
LA SPA 3,4.58,(3.19 - 6.53),14.42,(11.41 - 18.07),5.11,(3.84 - 6.76),6.57,(5.25 - 8.18)
LA SPA 4,4.88,(3.37 - 7.02),15.51,(11.88 - 19.99),7.16,(5.38 - 9.47),8.32,(6.51 - 10.58)
LA SPA 6,4.48,(3.06 - 6.50),13.00,(9.75 - 17.12),6.48,(4.74 - 8.79),7.84,(6.04 - 10.11)
LA SPA 7,5.51,(3.87 - 7.79),15.43,(11.98 - 19.65),6.56,(4.90 - 8.74),8.09,(6.39 - 10.20)
LA SPA 8,4.80,(3.44 - 6.67),14.88,(11.64 - 18.82),6.37,(4.81 - 8.40),7.65,(6.06 - 9.61)
Region 12R,6.08,(4.35 - 8.45),16.49,(12.28 - 21.79),6.18,(4.57 - 8.29),7.87,(6.08 - 10.11)
Regions 13 and 19R,5.79,(4.31 - 7.75),16.74,(13.36 - 20.77),6.23,(4.82 - 8.02),8.04,(6.53 - 9.87)
Region 13 (Riverside),5.83,(4.24 - 7.96),17.02,(13.40 - 21.38),6.25,(4.77 - 8.15),8.09,(6.50 - 10.04)
Region 19R (Imperial),*,(* - *),*,(* - *),*,(* - *),7.39,(5.56 - 9.75)
Region 14 (Orange),5.26,(3.91 - 7.05),15.12,(11.97 - 18.91),5.52,(4.24 - 7.17),6.93,(5.59 - 8.56)
Region 15R (Fresno),5.07,(3.60 - 7.10),14.77,(11.18 - 19.28),5.93,(4.40 - 7.93),7.60,(5.94 - 9.67)
Region 16R (San Diego),5.75,(4.28 - 7.69),22.28,(18.49 - 26.60),7.20,(5.68 - 9.09),9.85,(8.26 - 11.70)
Region 17R,6.57,(4.84 - 8.86),15.97,(12.56 - 20.10),6.26,(4.71 - 8.27),8.08,(6.46 - 10.06)
Region 18R (San Bernardino),4.62,(3.32 - 6.39),13.12,(10.17 - 16.78),5.21,(3.92 - 6.90),6.68,(5.31 - 8.37)
Region 20R,5.89,(4.32 - 7.98),15.20,(11.74 - 19.46),6.10,(4.58 - 8.09),7.71,(6.08 - 9.72)
Region 21R,5.99,(4.30 - 8.29),21.20,(16.94 - 26.19),6.40,(4.86 - 8.39),9.13,(7.40 - 11.22)
Colorado,6.92,(5.63 - 8.47),23.08,(20.49 - 25.90),7.38,(6.15 - 8.83),9.65,(8.46 - 10.98)
Region 1,7.47,(5.44 - 10.17),25.44,(20.60 - 30.98),7.20,(5.37 - 9.60),10.50,(8.50 - 12.91)
Regions 2 and 7,7.14,(5.50 - 9.22),24.18,(20.65 - 28.10),7.77,(6.21 - 9.68),9.99,(8.45 - 11.77)
Region 3,6.05,(4.30 - 8.44),19.58,(15.14 - 24.94),6.17,(4.53 - 8.34),8.17,(6.41 - 10.37)
Region 4,6.62,(4.58 - 9.50),*,(* - *),6.44,(4.62 - 8.90),8.25,(6.25 - 10.81)
Regions 5 and 6,6.44,(4.52 - 9.09),21.42,(16.31 - 27.61),7.64,(5.57 - 10.40),9.57,(7.35 - 12.35)
Connecticut,6.39,(5.19 - 7.84),19.70,(17.30 - 22.35),6.27,(5.12 - 7.64),8.08,(6.96 - 9.37)
Eastern,6.42,(4.55 - 9.00),22.44,(17.42 - 28.41),6.74,(4.90 - 9.20),9.44,(7.40 - 11.97)
North Central,5.97,(4.33 - 8.16),16.82,(13.20 - 21.18),5.61,(4.11 - 7.62),7.09,(5.53 - 9.03)
Northwestern,6.56,(4.69 - 9.11),20.70,(16.37 - 25.82),6.05,(4.47 - 8.13),7.88,(6.22 - 9.94)
South Central,6.28,(4.61 - 8.49),18.98,(15.17 - 23.47),6.45,(4.87 - 8.50),8.18,(6.55 - 10.18)
Southwest,6.94,(5.01 - 9.54),22.04,(17.45 - 27.43),6.94,(5.13 - 9.32),8.75,(6.86 - 11.11)
Delaware,4.14,(3.23 - 5.30),15.03,(12.86 - 17.49),5.27,(4.23 - 6.55),6.67,(5.65 - 7.85)
Kent,4.25,(2.85 - 6.30),12.83,(9.76 - 16.67),4.90,(3.53 - 6.75),6.14,(4.72 - 7.95)
New Castle (excluding Wilmington City),4.08,(2.97 - 5.58),16.69,(13.70 - 20.17),5.31,(4.04 - 6.96),7.05,(5.77 - 8.59)
Sussex,4.66,(3.30 - 6.56),12.84,(9.69 - 16.82),4.98,(3.60 - 6.85),5.86,(4.45 - 7.68)
Wilmington City,3.22,(2.16 - 4.78),13.57,(9.89 - 18.34),6.46,(4.61 - 8.99),7.46,(5.56 - 9.93)
District of Columbia,3.19,(2.39 - 4.24),18.82,(16.50 - 21.38),7.97,(6.62 - 9.56),9.91,(8.63 - 11.36)
