State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  NOTE: For substate region definitions, see the ""2006-2008 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  NOTE: The 2006-2008 estimates may differ from previously published estimates due to updates in the region definitions (using the 2008-2010 substate region definitions) and updates to the data. For details, see ""2006-2008 National Survey on Drug Use and Health: Overview and Summary of Substate Region Estimation Methodology"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2006, 2007, and 2008 (Revised March 2012)."
Total United States,68.88,(68.40 - 69.36),69.79,(69.31 - 70.27),74.85,(74.38 - 75.32),74.11,(73.69 - 74.52)
Northeast,70.98,(70.07 - 71.88),72.36,(71.43 - 73.27),77.16,(76.27 - 78.03),76.47,(75.69 - 77.24)
Midwest,67.90,(67.17 - 68.61),66.18,(65.40 - 66.94),71.85,(71.08 - 72.61),71.01,(70.34 - 71.67)
South,67.57,(66.81 - 68.33),68.96,(68.21 - 69.70),74.00,(73.28 - 74.71),73.27,(72.63 - 73.90)
West,70.21,(69.19 - 71.21),72.47,(71.47 - 73.45),77.23,(76.28 - 78.16),76.50,(75.67 - 77.31)
Alabama,62.62,(59.50 - 65.65),66.40,(63.46 - 69.21),70.04,(67.10 - 72.83),69.51,(66.90 - 72.00)
Region 1,63.09,(58.51 - 67.45),63.70,(58.79 - 68.34),67.31,(62.81 - 71.51),66.85,(62.84 - 70.62)
Region 2,62.84,(58.45 - 67.03),67.14,(62.74 - 71.25),72.04,(68.12 - 75.65),71.33,(67.89 - 74.55)
Region 3,62.34,(57.36 - 67.06),68.67,(63.74 - 73.21),70.65,(65.94 - 74.96),70.29,(66.20 - 74.08)
Region 4,62.02,(57.35 - 66.48),66.02,(61.04 - 70.67),70.21,(65.66 - 74.38),69.63,(65.59 - 73.39)
Alaska,69.27,(66.27 - 72.12),66.29,(63.15 - 69.29),72.73,(69.80 - 75.48),71.71,(69.14 - 74.16)
Anchorage,71.79,(67.88 - 75.39),69.17,(65.08 - 72.97),75.57,(71.87 - 78.92),74.57,(71.34 - 77.56)
Northern,65.07,(60.24 - 69.61),63.98,(58.67 - 68.96),69.11,(64.59 - 73.30),68.13,(64.24 - 71.79)
South Central,69.11,(64.71 - 73.19),63.35,(57.82 - 68.54),70.56,(66.04 - 74.71),69.50,(65.51 - 73.22)
Southeast,69.92,(64.83 - 74.56),67.38,(61.01 - 73.17),73.62,(68.50 - 78.17),72.80,(68.18 - 76.98)
Arizona,69.60,(66.55 - 72.48),69.70,(66.43 - 72.78),75.50,(72.66 - 78.13),74.65,(72.12 - 77.03)
Maricopa,71.21,(67.55 - 74.61),71.20,(67.19 - 74.90),77.03,(73.74 - 80.02),76.19,(73.27 - 78.89)
Pima,69.01,(64.27 - 73.39),70.37,(64.81 - 75.39),75.83,(71.38 - 79.78),75.00,(71.02 - 78.61)
Rural North,66.07,(60.87 - 70.90),64.33,(58.40 - 69.84),70.52,(65.24 - 75.29),69.57,(64.94 - 73.83)
Rural South,66.09,(60.94 - 70.88),66.99,(60.71 - 72.73),72.25,(67.29 - 76.73),71.47,(67.03 - 75.54)
Arkansas,65.72,(62.79 - 68.54),66.84,(63.75 - 69.79),71.07,(68.21 - 73.78),70.47,(67.89 - 72.93)
Catchment Area 1,66.02,(61.04 - 70.66),67.63,(61.90 - 72.87),71.93,(67.36 - 76.08),71.27,(67.17 - 75.04)
Catchment Area 2,65.83,(60.85 - 70.49),62.42,(56.39 - 68.09),67.46,(62.32 - 72.21),66.80,(62.17 - 71.13)
Catchment Area 3,65.48,(60.92 - 69.78),64.84,(59.27 - 70.03),70.72,(65.99 - 75.04),69.85,(65.65 - 73.73)
Catchment Area 4,64.67,(59.56 - 69.47),63.89,(57.85 - 69.53),68.03,(62.76 - 72.88),67.51,(62.73 - 71.95)
Catchment Area 5,65.40,(60.62 - 69.88),67.19,(62.17 - 71.84),70.61,(65.90 - 74.92),70.06,(65.90 - 73.91)
