State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,9.59,(9.29 - 9.89),19.78,(19.33 - 20.24),5.96,(5.72 - 6.20),7.99,(7.77 - 8.22)
Northeast,9.92,(9.35 - 10.51),22.34,(21.35 - 23.37),6.08,(5.62 - 6.57),8.40,(7.98 - 8.84)
Midwest,9.55,(9.13 - 9.99),19.23,(18.45 - 20.04),5.60,(5.24 - 5.99),7.62,(7.30 - 7.96)
South,8.95,(8.55 - 9.36),18.02,(17.26 - 18.81),5.32,(4.98 - 5.67),7.16,(6.86 - 7.46)
West,10.35,(9.73 - 10.99),20.98,(19.98 - 22.02),7.23,(6.69 - 7.81),9.34,(8.86 - 9.84)
Alabama,8.54,(7.19 - 10.13),16.68,(14.39 - 19.24),5.06,(4.06 - 6.28),6.75,(5.74 - 7.92)
Region 1,7.23,(5.44 - 9.56),15.59,(12.13 - 19.81),4.29,(3.00 - 6.10),5.74,(4.34 - 7.55)
Region 2,9.74,(7.59 - 12.40),17.34,(14.15 - 21.06),5.61,(4.17 - 7.51),7.31,(5.84 - 9.11)
Region 3,7.99,(5.90 - 10.75),17.67,(13.52 - 22.77),5.02,(3.44 - 7.28),7.33,(5.54 - 9.62)
Region 4,8.87,(6.70 - 11.66),15.89,(12.33 - 20.23),5.28,(3.77 - 7.35),6.74,(5.14 - 8.79)
Alaska,10.98,(9.34 - 12.88),23.80,(20.91 - 26.95),8.90,(7.26 - 10.86),11.25,(9.68 - 13.04)
Anchorage,10.88,(8.58 - 13.70),23.71,(19.99 - 27.89),8.51,(6.50 - 11.07),10.88,(8.90 - 13.22)
Northern,11.86,(9.10 - 15.31),23.45,(18.82 - 28.82),11.01,(8.10 - 14.79),13.37,(10.53 - 16.84)
South Central,10.28,(7.96 - 13.19),23.86,(19.18 - 29.26),7.89,(5.69 - 10.85),10.24,(7.97 - 13.07)
Southeast,11.07,(8.07 - 15.01),*,(* - *),8.91,(6.13 - 12.77),11.01,(8.06 - 14.86)
Arizona,10.51,(8.81 - 12.50),20.99,(18.21 - 24.07),7.08,(5.75 - 8.69),9.11,(7.80 - 10.62)
Maricopa,10.74,(8.61 - 13.33),20.75,(17.49 - 24.44),7.42,(5.78 - 9.48),9.33,(7.72 - 11.22)
Pima,10.59,(7.86 - 14.13),*,(* - *),7.24,(5.15 - 10.07),9.51,(7.22 - 12.42)
Rural North,10.08,(7.34 - 13.69),21.40,(16.38 - 27.46),6.68,(4.63 - 9.56),8.93,(6.68 - 11.85)
Rural South,9.74,(7.12 - 13.19),*,(* - *),5.61,(3.74 - 8.33),7.74,(5.55 - 10.71)
Arkansas,9.58,(8.16 - 11.22),20.28,(17.76 - 23.06),6.03,(4.92 - 7.37),8.06,(6.92 - 9.35)
Catchment Area 1,10.08,(7.55 - 13.32),22.47,(17.44 - 28.45),6.39,(4.47 - 9.07),8.86,(6.72 - 11.59)
Catchment Area 2,9.79,(7.16 - 13.23),20.47,(15.56 - 26.44),5.79,(4.03 - 8.27),7.72,(5.76 - 10.29)
Catchment Area 3,10.11,(7.56 - 13.40),21.11,(16.44 - 26.70),6.63,(4.72 - 9.23),8.78,(6.71 - 11.42)
Catchment Area 4,9.32,(6.77 - 12.70),*,(* - *),6.06,(4.08 - 8.91),7.83,(5.66 - 10.73)
Catchment Area 5,9.98,(7.52 - 13.13),20.87,(16.75 - 25.68),6.15,(4.40 - 8.54),8.52,(6.64 - 10.87)
Catchment Area 6,8.56,(6.16 - 11.78),*,(* - *),5.22,(3.55 - 7.61),7.13,(5.21 - 9.68)
Catchment Area 7,9.23,(6.64 - 12.67),*,(* - *),5.45,(3.65 - 8.07),7.16,(5.13 - 9.91)
Catchment Area 8,9.07,(6.81 - 11.99),18.96,(14.57 - 24.29),5.95,(4.25 - 8.29),7.64,(5.81 - 9.99)
California,10.06,(9.14 - 11.05),20.99,(19.56 - 22.49),7.12,(6.30 - 8.04),9.33,(8.58 - 10.13)
Region 1R,10.75,(8.13 - 14.09),24.67,(19.58 - 30.58),8.35,(5.98 - 11.54),11.22,(8.69 - 14.37)
Region 2R,10.33,(7.87 - 13.46),22.97,(18.27 - 28.46),7.05,(5.03 - 9.79),9.78,(7.58 - 12.55)
Region 3R (Sacramento),12.99,(9.91 - 16.86),27.69,(22.61 - 33.41),10.09,(7.54 - 13.36),12.83,(10.20 - 16.01)
Region 4R,11.21,(8.58 - 14.51),24.03,(19.08 - 29.80),8.52,(6.19 - 11.62),10.73,(8.28 - 13.80)
Region 5R (San Francisco),*,(* - *),*,(* - *),13.02,(9.37 - 17.82),14.27,(10.61 - 18.92)
Region 6 (Santa Clara),9.22,(6.95 - 12.13),20.36,(16.14 - 25.35),6.78,(4.94 - 9.24),8.56,(6.62 - 11.00)
Region 7R (Contra Costa),11.23,(8.58 - 14.57),23.72,(18.65 - 29.67),7.20,(5.20 - 9.90),9.50,(7.30 - 12.27)
Region 8R (Alameda),11.10,(8.52 - 14.35),21.28,(17.31 - 25.87),8.16,(5.92 - 11.15),9.97,(7.71 - 12.80)
Region 9R (San Mateo),10.45,(7.67 - 14.08),*,(* - *),7.10,(5.03 - 9.94),8.66,(6.44 - 11.56)
