State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  NOTE: For substate region definitions, see the ""2006-2008 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  NOTE: The 2006-2008 estimates may differ from previously published estimates due to updates in the region definitions (using the 2008-2010 substate region definitions) and updates to the data. For details, see ""2006-2008 National Survey on Drug Use and Health: Overview and Summary of Substate Region Estimation Methodology"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Illicit Drugs Other Than Marijuana include cocaine (including crack), heroin, hallucinogens, inhalants, or prescription-type psychotherapeutics used nonmedically, including data from original methamphetamine questions but not including new methamphetamine items added in 2005 and 2006. See Section B.4.8 in Appendix B of the Results from the 2008 National Survey on Drug Use and Health: National Findings.  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2006, 2007, and 2008 (Revised March 2012)."
Total United States,4.68,(4.47 - 4.89),8.27,(7.98 - 8.57),2.81,(2.65 - 2.98),3.61,(3.46 - 3.77)
Northeast,4.14,(3.79 - 4.52),7.97,(7.46 - 8.51),2.69,(2.38 - 3.04),3.45,(3.16 - 3.76)
Midwest,4.56,(4.28 - 4.86),8.06,(7.65 - 8.48),2.56,(2.34 - 2.80),3.38,(3.17 - 3.59)
South,4.75,(4.46 - 5.06),8.25,(7.82 - 8.71),2.81,(2.58 - 3.05),3.59,(3.38 - 3.82)
West,5.08,(4.65 - 5.53),8.71,(8.15 - 9.30),3.15,(2.80 - 3.53),4.00,(3.68 - 4.35)
Alabama,5.09,(4.12 - 6.27),8.80,(7.30 - 10.59),2.95,(2.19 - 3.96),3.80,(3.04 - 4.75)
Region 1,4.72,(3.44 - 6.43),8.68,(6.36 - 11.74),2.58,(1.65 - 4.00),3.36,(2.38 - 4.72)
Region 2,5.67,(4.19 - 7.62),9.07,(6.97 - 11.73),3.36,(2.27 - 4.94),4.19,(3.09 - 5.65)
Region 3,4.67,(3.33 - 6.51),8.67,(6.29 - 11.84),2.95,(1.87 - 4.61),3.99,(2.84 - 5.58)
Region 4,5.07,(3.72 - 6.89),8.68,(6.43 - 11.62),2.85,(1.84 - 4.39),3.65,(2.60 - 5.11)
Alaska,4.58,(3.68 - 5.69),8.31,(6.71 - 10.23),2.85,(2.07 - 3.90),3.71,(2.91 - 4.72)
Anchorage,4.63,(3.44 - 6.21),8.19,(6.17 - 10.81),3.16,(2.14 - 4.64),3.94,(2.91 - 5.33)
Northern,4.54,(3.28 - 6.25),7.66,(5.47 - 10.63),2.64,(1.68 - 4.13),3.60,(2.56 - 5.04)
South Central,4.52,(3.28 - 6.21),9.11,(6.50 - 12.62),2.51,(1.57 - 3.96),3.48,(2.44 - 4.93)
Southeast,4.64,(3.26 - 6.55),8.49,(5.79 - 12.29),2.82,(1.71 - 4.61),3.56,(2.36 - 5.34)
Arizona,6.10,(4.90 - 7.57),10.22,(8.41 - 12.37),4.07,(3.05 - 5.41),4.97,(3.97 - 6.20)
Maricopa,6.45,(4.97 - 8.33),10.50,(8.31 - 13.18),4.46,(3.21 - 6.17),5.32,(4.10 - 6.88)
Pima,5.68,(4.07 - 7.88),10.49,(7.50 - 14.49),3.65,(2.35 - 5.62),4.68,(3.31 - 6.57)
Rural North,5.67,(4.00 - 7.98),10.50,(7.44 - 14.61),3.48,(2.16 - 5.56),4.55,(3.13 - 6.58)
Rural South,5.35,(3.75 - 7.58),8.31,(5.72 - 11.92),3.24,(1.99 - 5.22),3.99,(2.69 - 5.89)
