State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  NOTE: For substate region definitions, see the ""2006-2008 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  NOTE: The 2006-2008 estimates may differ from previously published estimates due to updates in the region definitions (using the 2008-2010 substate region definitions) and updates to the data. For details, see ""2006-2008 National Survey on Drug Use and Health: Overview and Summary of Substate Region Estimation Methodology"" at http://www.samhsa.gov/data/NSDUH/substate2k08/toc.aspx.  NOTE: Dependence is based on the definition found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2006, 2007, and 2008 (Revised March 2012)."
Total United States,1.97,(1.84 - 2.11),7.41,(7.13 - 7.69),3.00,(2.84 - 3.17),3.65,(3.50 - 3.80)
Northeast,1.82,(1.61 - 2.06),7.49,(6.97 - 8.04),2.90,(2.61 - 3.21),3.55,(3.29 - 3.83)
Midwest,2.07,(1.89 - 2.26),7.88,(7.44 - 8.35),3.04,(2.83 - 3.28),3.76,(3.56 - 3.97)
South,1.84,(1.67 - 2.02),6.80,(6.39 - 7.23),2.89,(2.67 - 3.13),3.46,(3.26 - 3.67)
West,2.20,(1.95 - 2.50),7.81,(7.24 - 8.42),3.22,(2.90 - 3.57),3.93,(3.64 - 4.24)
Alabama,1.91,(1.41 - 2.59),5.65,(4.52 - 7.02),2.63,(2.01 - 3.45),3.07,(2.47 - 3.80)
Region 1,1.96,(1.30 - 2.95),5.28,(3.67 - 7.54),2.25,(1.50 - 3.37),2.64,(1.89 - 3.68)
Region 2,2.14,(1.43 - 3.18),5.49,(3.94 - 7.60),2.81,(1.94 - 4.04),3.19,(2.35 - 4.33)
Region 3,1.56,(1.01 - 2.41),5.70,(3.87 - 8.33),2.94,(1.96 - 4.39),3.45,(2.48 - 4.76)
Region 4,1.84,(1.21 - 2.77),6.26,(4.36 - 8.92),2.63,(1.77 - 3.88),3.13,(2.25 - 4.33)
Alaska,2.27,(1.68 - 3.07),7.44,(6.07 - 9.09),3.53,(2.74 - 4.53),4.15,(3.39 - 5.06)
Anchorage,2.35,(1.61 - 3.43),7.61,(5.74 - 10.01),3.67,(2.65 - 5.07),4.28,(3.28 - 5.57)
Northern,1.98,(1.30 - 3.00),6.31,(4.41 - 8.97),3.37,(2.30 - 4.91),3.92,(2.86 - 5.35)
South Central,2.39,(1.60 - 3.55),8.33,(5.87 - 11.69),3.50,(2.41 - 5.05),4.21,(3.07 - 5.73)
Southeast,2.35,(1.55 - 3.57),7.50,(5.00 - 11.11),3.38,(2.26 - 5.02),3.92,(2.76 - 5.52)
Arizona,2.22,(1.61 - 3.06),7.39,(6.00 - 9.08),3.15,(2.43 - 4.08),3.77,(3.09 - 4.61)
Maricopa,2.24,(1.53 - 3.27),7.18,(5.45 - 9.40),3.26,(2.37 - 4.48),3.82,(2.95 - 4.93)
Pima,2.22,(1.45 - 3.37),8.10,(5.56 - 11.66),3.30,(2.26 - 4.82),4.03,(2.93 - 5.51)
Rural North,2.08,(1.36 - 3.17),7.96,(5.49 - 11.39),2.87,(1.92 - 4.25),3.64,(2.63 - 5.03)
Rural South,2.27,(1.48 - 3.49),6.91,(4.64 - 10.19),2.71,(1.83 - 4.01),3.34,(2.39 - 4.63)
Arkansas,2.26,(1.71 - 2.97),7.74,(6.39 - 9.34),3.00,(2.40 - 3.76),3.68,(3.09 - 4.37)
Catchment Area 1,2.33,(1.52 - 3.56),9.78,(6.90 - 13.68),3.48,(2.41 - 5.01),4.45,(3.29 - 5.99)
Catchment Area 2,2.56,(1.70 - 3.84),7.77,(5.32 - 11.21),2.46,(1.64 - 3.66),3.15,(2.27 - 4.37)
Catchment Area 3,2.15,(1.44 - 3.19),7.71,(5.38 - 10.93),3.44,(2.40 - 4.90),4.07,(3.01 - 5.49)
Catchment Area 4,2.23,(1.47 - 3.35),7.42,(4.98 - 10.91),2.65,(1.79 - 3.91),3.25,(2.33 - 4.53)
Catchment Area 5,2.41,(1.62 - 3.58),7.57,(5.45 - 10.42),2.85,(1.99 - 4.06),3.61,(2.72 - 4.78)
Catchment Area 6,1.94,(1.26 - 2.96),7.14,(4.78 - 10.55),3.05,(2.07 - 4.49),3.66,(2.62 - 5.09)
Catchment Area 7,*,(* - *),7.55,(5.07 - 11.12),3.01,(2.03 - 4.45),3.62,(2.58 - 5.06)
Catchment Area 8,2.24,(1.49 - 3.34),6.49,(4.44 - 9.39),2.95,(2.02 - 4.29),3.41,(2.46 - 4.71)
California,2.19,(1.81 - 2.65),7.84,(6.98 - 8.78),3.26,(2.79 - 3.81),3.99,(3.55 - 4.48)
Region 1R,2.28,(1.57 - 3.29),11.01,(7.84 - 15.27),3.16,(2.18 - 4.57),4.55,(3.38 - 6.09)
Region 2R,2.33,(1.62 - 3.33),8.54,(6.04 - 11.95),3.29,(2.29 - 4.70),4.19,(3.11 - 5.63)
Region 3R (Sacramento),2.11,(1.46 - 3.04),9.19,(6.58 - 12.70),3.44,(2.44 - 4.82),4.34,(3.27 - 5.73)
Region 4R,2.22,(1.55 - 3.18),8.62,(6.01 - 12.21),2.97,(2.07 - 4.25),3.77,(2.78 - 5.09)
Region 5R (San Francisco),*,(* - *),7.86,(5.38 - 11.33),3.84,(2.69 - 5.46),4.22,(3.05 - 5.80)
Region 6 (Santa Clara),2.03,(1.41 - 2.92),7.20,(5.04 - 10.17),2.80,(1.95 - 4.01),3.38,(2.48 - 4.58)
Region 7R (Contra Costa),2.32,(1.58 - 3.38),7.79,(5.45 - 11.02),3.06,(2.13 - 4.38),3.71,(2.73 - 5.04)
Region 8R (Alameda),2.10,(1.46 - 3.02),7.90,(5.71 - 10.84),3.42,(2.43 - 4.79),4.04,(3.03 - 5.37)
Region 9R (San Mateo),*,(* - *),7.98,(5.53 - 11.39),2.88,(1.99 - 4.17),3.47,(2.53 - 4.74)
Region 10,2.61,(1.81 - 3.75),9.04,(6.55 - 12.35),3.57,(2.48 - 5.12),4.51,(3.37 - 6.01)
Region 11 (Los Angeles),2.14,(1.71 - 2.68),7.38,(6.28 - 8.66),3.45,(2.85 - 4.16),4.07,(3.50 - 4.72)
LA SPA 1 and 5,2.16,(1.49 - 3.13),7.91,(5.47 - 11.31),3.31,(2.31 - 4.72),4.00,(2.93 - 5.43)
LA SPA 2,2.28,(1.60 - 3.24),7.25,(5.19 - 10.02),3.12,(2.20 - 4.41),3.72,(2.77 - 4.96)
LA SPA 3,2.12,(1.46 - 3.08),6.92,(5.05 - 9.41),3.00,(2.11 - 4.26),3.61,(2.71 - 4.80)
LA SPA 4,2.13,(1.48 - 3.06),8.24,(5.74 - 11.69),4.01,(2.82 - 5.67),4.60,(3.38 - 6.23)
LA SPA 6,2.00,(1.36 - 2.93),6.36,(4.30 - 9.31),3.81,(2.66 - 5.43),4.34,(3.18 - 5.90)
LA SPA 7,2.26,(1.57 - 3.26),7.38,(5.21 - 10.36),3.50,(2.45 - 4.98),4.17,(3.09 - 5.60)
LA SPA 8,1.97,(1.37 - 2.83),8.00,(5.70 - 11.12),3.82,(2.73 - 5.33),4.45,(3.33 - 5.91)
Region 12R,2.27,(1.57 - 3.26),7.83,(5.29 - 11.44),3.00,(2.10 - 4.27),3.79,(2.77 - 5.16)
Regions 13 and 19R,2.33,(1.65 - 3.28),8.16,(6.04 - 10.95),3.30,(2.36 - 4.60),4.14,(3.16 - 5.40)
Region 13 (Riverside),2.35,(1.63 - 3.38),8.26,(5.99 - 11.29),3.32,(2.33 - 4.72),4.16,(3.13 - 5.53)
Region 19R (Imperial),*,(* - *),*,(* - *),*,(* - *),*,(* - *)
Region 14 (Orange),2.13,(1.50 - 3.03),7.06,(5.12 - 9.65),2.98,(2.11 - 4.19),3.58,(2.69 - 4.75)
Region 15R (Fresno),2.01,(1.36 - 2.96),6.70,(4.57 - 9.74),3.08,(2.13 - 4.43),3.76,(2.75 - 5.13)
Region 16R (San Diego),2.12,(1.49 - 3.00),7.80,(5.82 - 10.39),3.30,(2.40 - 4.52),4.08,(3.17 - 5.25)
Region 17R,2.36,(1.65 - 3.37),7.51,(5.43 - 10.29),3.13,(2.24 - 4.36),3.95,(3.02 - 5.15)
