"State/Substate Region","12-17 (Estimate)","12-17 (95% Confidence Interval)","18-25 (Estimate)","18-25 (95% Confidence Interval)","26+ (Estimate)","26+ (95% Confidence Interval)","18+ (Estimate)","18+ (95% Confidence Interval)"
"Southeast","7.98","(6.17 - 10.26)","9.61","(6.74 - 13.52)","*","(* - *)","1.28","(0.96 - 1.70)"
"Western","6.44","(4.76 - 8.65)","11.77","(8.14 - 16.72)","*","(* - *)","2.07","(1.52 - 2.82)"
"Michigan","6.37","(5.86 - 6.91)","8.46","(7.65 - 9.35)","0.21","(0.15 - 0.28)","1.42","(1.28 - 1.57)"
"Detroit City","7.83","(6.19 - 9.85)","8.68","(6.62 - 11.31)","*","(* - *)","1.79","(1.39 - 2.29)"
"Genesee","7.78","(6.03 - 9.99)","9.99","(7.18 - 13.74)","*","(* - *)","1.51","(1.14 - 1.98)"
"Kalamazoo","5.85","(4.60 - 7.42)","6.46","(4.57 - 9.05)","*","(* - *)","1.22","(0.92 - 1.63)"
"Kent","5.05","(3.85 - 6.60)","7.96","(5.86 - 10.73)","0.22","(0.14 - 0.34)","1.38","(1.06 - 1.80)"
"Lakeshore","6.27","(5.00 - 7.85)","8.23","(6.17 - 10.89)","0.18","(0.12 - 0.27)","1.34","(1.04 - 1.73)"
"Macomb","6.57","(5.21 - 8.26)","8.84","(6.65 - 11.66)","0.22","(0.15 - 0.34)","1.27","(1.00 - 1.62)"
"Mid South","5.52","(4.38 - 6.94)","8.70","(6.61 - 11.36)","0.22","(0.15 - 0.33)","1.74","(1.37 - 2.21)"
"Northern","7.82","(6.17 - 9.86)","10.74","(8.17 - 14.00)","0.18","(0.11 - 0.30)","1.63","(1.27 - 2.09)"
"Oakland","6.27","(5.09 - 7.70)","8.39","(6.44 - 10.87)","0.22","(0.15 - 0.34)","1.22","(0.96 - 1.54)"
"Pathways and Western","5.35","(3.83 - 7.44)","14.08","(9.87 - 19.70)","*","(* - *)","1.93","(1.42 - 2.62)"
"Riverhaven","5.32","(3.93 - 7.17)","5.73","(3.97 - 8.22)","*","(* - *)","0.83","(0.61 - 1.12)"
"Saginaw","7.85","(5.51 - 11.08)","6.76","(4.47 - 10.10)","*","(* - *)","1.20","(0.86 - 1.67)"
"Southeast","6.05","(4.95 - 7.38)","7.16","(5.50 - 9.26)","0.21","(0.14 - 0.31)","1.14","(0.91 - 1.44)"
"St. Clair","6.00","(4.38 - 8.17)","6.83","(4.64 - 9.94)","*","(* - *)","0.97","(0.71 - 1.32)"
"Washtenaw","6.37","(4.92 - 8.21)","9.29","(7.07 - 12.11)","*","(* - *)","2.29","(1.78 - 2.94)"
"Minnesota","5.43","(4.66 - 6.33)","7.87","(6.54 - 9.43)","0.22","(0.15 - 0.30)","1.20","(1.01 - 1.42)"
"Regions 1 and 2","5.15","(3.50 - 7.50)","6.82","(4.37 - 10.50)","*","(* - *)","0.97","(0.68 - 1.38)"
"Regions 3 and 4","4.94","(3.64 - 6.67)","6.19","(4.32 - 8.79)","*","(* - *)","0.98","(0.73 - 1.32)"
"Regions 5 and 6","6.11","(4.55 - 8.16)","8.23","(5.72 - 11.71)","*","(* - *)","1.11","(0.82 - 1.50)"
"Region 7A (Hennepin)","4.69","(3.38 - 6.46)","8.64","(6.19 - 11.94)","0.31","(0.20 - 0.49)","1.38","(1.05 - 1.81)"
"Region 7B (Ramsey)","7.00","(4.81 - 10.06)","8.33","(5.44 - 12.54)","*","(* - *)","1.68","(1.18 - 2.38)"
"Region 7C","5.44","(4.17 - 7.07)","8.60","(6.04 - 12.09)","0.22","(0.14 - 0.33)","1.20","(0.90 - 1.61)"
"Mississippi","4.68","(4.02 - 5.44)","5.34","(4.40 - 6.46)","0.13","(0.08 - 0.19)","0.89","(0.74 - 1.07)"
"Region 1","4.74","(3.52 - 6.35)","5.76","(4.02 - 8.20)","*","(* - *)","0.89","(0.66 - 1.22)"
"Region 2","3.93","(2.76 - 5.56)","4.88","(3.27 - 7.24)","*","(* - *)","0.83","(0.59 - 1.17)"
"Region 3","5.08","(3.67 - 6.98)","5.98","(4.17 - 8.52)","*","(* - *)","1.08","(0.78 - 1.48)"
"Region 4","4.57","(3.42 - 6.09)","4.98","(3.49 - 7.08)","*","(* - *)","0.85","(0.63 - 1.16)"
"Region 5","4.41","(2.92 - 6.62)","4.50","(2.89 - 6.94)","*","(* - *)","*","(* - *)"
"Region 6","4.76","(3.39 - 6.65)","4.89","(3.29 - 7.21)","*","(* - *)","0.87","(0.63 - 1.21)"
"Region 7","5.05","(3.63 - 6.97)","5.53","(3.75 - 8.10)","*","(* - *)","0.88","(0.63 - 1.22)"
"Missouri","6.30","(5.43 - 7.29)","5.79","(4.76 - 7.03)","0.16","(0.11 - 0.23)","0.94","(0.78 - 1.13)"
"Central","4.59","(3.27 - 6.41)","5.78","(3.95 - 8.38)","*","(* - *)","1.13","(0.81 - 1.57)"
"Eastern","7.41","(6.00 - 9.11)","6.97","(5.25 - 9.19)","0.19","(0.12 - 0.28)","1.07","(0.83 - 1.36)"
"Eastern (St. Louis City and County)","6.84","(5.28 - 8.81)","7.54","(5.35 - 10.54)","*","(* - *)","1.20","(0.90 - 1.60)"
"Eastern (excluding St. Louis)","8.34","(6.08 - 11.34)","5.90","(3.85 - 8.92)","*","(* - *)","0.85","(0.60 - 1.20)"
"Northwest","6.85","(5.36 - 8.71)","5.75","(4.24 - 7.74)","*","(* - *)","0.91","(0.70 - 1.18)"
"Northwest (Jackson)","7.16","(5.15 - 9.87)","5.44","(3.70 - 7.94)","*","(* - *)","0.90","(0.66 - 1.23)"
"Northwest (excluding Jackson)","6.60","(4.68 - 9.22)","6.01","(3.99 - 8.95)","*","(* - *)","0.91","(0.65 - 1.28)"
"Southeast","4.22","(3.03 - 5.86)","4.24","(2.85 - 6.26)","*","(* - *)","0.68","(0.48 - 0.95)"
"Southwest","5.97","(4.29 - 8.24)","4.86","(3.21 - 7.30)","*","(* - *)","0.79","(0.56 - 1.11)"
"Montana","8.43","(7.36 - 9.65)","11.24","(9.38 - 13.42)","0.22","(0.15 - 0.34)","1.57","(1.32 - 1.87)"
"Region 1","9.35","(6.72 - 12.88)","10.16","(6.57 - 15.39)","*","(* - *)","1.18","(0.82 - 1.68)"
"Region 2","6.84","(5.02 - 9.25)","8.91","(6.07 - 12.89)","*","(* - *)","1.31","(0.95 - 1.79)"
"Region 3","8.06","(6.29 - 10.28)","9.17","(6.41 - 12.96)","*","(* - *)","1.13","(0.84 - 1.52)"
"Region 4","9.52","(7.38 - 12.19)","14.43","(10.70 - 19.17)","0.24","(0.14 - 0.41)","2.05","(1.57 - 2.68)"
"Region 5","8.40","(6.75 - 10.40)","11.12","(8.31 - 14.74)","0.24","(0.14 - 0.40)","1.72","(1.31 - 2.26)"
"Nebraska","5.42","(4.60 - 6.38)","6.37","(5.25 - 7.71)","0.15","(0.10 - 0.22)","1.02","(0.85 - 1.23)"
"Regions 1 and 2","4.86","(3.51 - 6.69)","5.43","(3.77 - 7.76)","*","(* - *)","0.70","(0.51 - 0.94)"
"Region 1","6.02","(3.93 - 9.11)","*","(* - *)","*","(* - *)","*","(* - *)"
"Region 2","3.95","(2.58 - 6.01)","4.93","(3.10 - 7.77)","*","(* - *)","0.60","(0.41 - 0.88)"
"Region 3","3.77","(2.66 - 5.31)","4.64","(3.12 - 6.84)","*","(* - *)","0.71","(0.51 - 0.99)"
"Region 4","4.13","(2.87 - 5.89)","4.21","(2.80 - 6.27)","*","(* - *)","0.65","(0.46 - 0.91)"
"Region 5","4.93","(3.63 - 6.66)","7.24","(5.31 - 9.80)","*","(* - *)","1.34","(1.02 - 1.75)"
"Region 6","6.67","(5.27 - 8.41)","7.18","(5.34 - 9.59)","0.18","(0.11 - 0.29)","1.16","(0.89 - 1.50)"
"Nevada","6.87","(5.66 - 8.31)","8.25","(6.66 - 10.18)","0.22","(0.15 - 0.32)","1.26","(1.03 - 1.53)"
"Clark - Region 1","6.36","(4.99 - 8.07)","7.98","(6.07 - 10.42)","0.22","(0.14 - 0.33)","1.21","(0.95 - 1.55)"
"Region 3","6.34","(4.63 - 8.62)","7.84","(5.53 - 11.00)","*","(* - *)","1.04","(0.77 - 1.39)"
"Capital District","6.84","(4.55 - 10.16)","9.12","(5.75 - 14.15)","*","(* - *)","1.07","(0.74 - 1.55)"
"Rural/Frontier","5.94","(3.88 - 9.00)","6.90","(4.31 - 10.86)","*","(* - *)","1.00","(0.68 - 1.47)"
"Washoe - Region 2","9.94","(7.30 - 13.38)","9.75","(7.10 - 13.25)","*","(* - *)","1.67","(1.25 - 2.22)"
"New Hampshire","8.26","(7.19 - 9.48)","11.05","(9.28 - 13.10)","0.27","(0.18 - 0.41)","1.65","(1.40 - 1.94)"
"Central","9.50","(7.75 - 11.60)","13.26","(10.42 - 16.72)","*","(* - *)","2.04","(1.64 - 2.54)"
"Central 1","10.39","(7.79 - 13.73)","15.80","(11.77 - 20.89)","*","(* - *)","2.60","(2.00 - 3.38)"
"Central 2","8.74","(6.59 - 11.52)","10.07","(6.92 - 14.43)","*","(* - *)","1.47","(1.06 - 2.03)"
"Northern","8.17","(5.98 - 11.08)","14.01","(9.75 - 19.74)","*","(* - *)","1.94","(1.42 - 2.65)"
"Southern","7.76","(6.48 - 9.26)","9.20","(7.21 - 11.66)","0.27","(0.18 - 0.42)","1.39","(1.12 - 1.73)"
"Southern 1 (Rockingham)","7.11","(5.48 - 9.18)","9.35","(6.59 - 13.12)","*","(* - *)","1.23","(0.91 - 1.65)"
"Southern 2","8.19","(6.56 - 10.20)","9.12","(6.69 - 12.33)","0.28","(0.18 - 0.45)","1.49","(1.14 - 1.93)"
"New Jersey","6.34","(5.44 - 7.39)","8.12","(6.69 - 9.83)","0.20","(0.14 - 0.29)","1.13","(0.94 - 1.34)"
"Central","8.06","(6.21 - 10.40)","8.84","(6.15 - 12.57)","*","(* - *)","1.17","(0.86 - 1.58)"
"Metropolitan","5.52","(4.19 - 7.24)","8.08","(5.87 - 11.03)","0.20","(0.13 - 0.31)","1.17","(0.89 - 1.52)"
"Northern","5.87","(4.53 - 7.57)","7.86","(5.64 - 10.87)","0.20","(0.13 - 0.31)","1.06","(0.80 - 1.40)"
"Southern","6.10","(4.54 - 8.15)","7.87","(5.56 - 11.03)","*","(* - *)","1.14","(0.86 - 1.52)"
"New Mexico","8.91","(7.75 - 10.23)","8.13","(6.63 - 9.92)","0.24","(0.15 - 0.38)","1.21","(1.00 - 1.47)"
"Region 1","8.00","(6.19 - 10.29)","6.85","(4.74 - 9.79)","0.27","(0.16 - 0.46)","1.14","(0.84 - 1.55)"
"Region 2","9.97","(7.32 - 13.44)","7.75","(5.08 - 11.64)","*","(* - *)","0.94","(0.66 - 1.32)"
"Region 3 (Bernalillo)","10.76","(8.44 - 13.61)","9.74","(6.95 - 13.49)","0.28","(0.16 - 0.48)","1.42","(1.06 - 1.90)"
"Region 4","9.71","(7.22 - 12.94)","7.80","(5.32 - 11.28)","*","(* - *)","1.17","(0.85 - 1.60)"
"Region 5","6.21","(4.71 - 8.14)","7.73","(5.39 - 10.97)","*","(* - *)","1.22","(0.90 - 1.66)"
"New York","5.58","(5.09 - 6.12)","7.46","(6.67 - 8.33)","0.24","(0.18 - 0.33)","1.26","(1.12 - 1.42)"
"Region A","4.86","(4.20 - 5.63)","6.23","(5.27 - 7.35)","0.27","(0.19 - 0.38)","1.12","(0.96 - 1.32)"
"Region 1","4.87","(3.71 - 6.37)","5.11","(3.65 - 7.11)","0.24","(0.14 - 0.41)","1.04","(0.79 - 1.38)"
"Region 2","5.31","(4.21 - 6.66)","6.16","(4.80 - 7.89)","0.23","(0.15 - 0.34)","1.13","(0.90 - 1.41)"
"Region 3","4.60","(3.26 - 6.44)","6.98","(5.01 - 9.65)","0.42","(0.26 - 0.69)","1.42","(1.08 - 1.86)"
"Region 4","4.31","(3.22 - 5.75)","6.64","(4.92 - 8.90)","0.24","(0.15 - 0.37)","0.99","(0.77 - 1.26)"
"Region B","6.14","(5.28 - 7.13)","8.96","(7.44 - 10.74)","0.21","(0.15 - 0.31)","1.30","(1.10 - 1.54)"
"Region 5","6.41","(5.26 - 7.79)","9.70","(7.55 - 12.37)","0.22","(0.14 - 0.34)","1.36","(1.09 - 1.70)"
"Region 6","5.37","(4.10 - 7.00)","6.82","(4.80 - 9.62)","*","(* - *)","0.99","(0.74 - 1.32)"
"Region 7","6.53","(4.97 - 8.52)","10.07","(7.21 - 13.90)","*","(* - *)","1.66","(1.25 - 2.20)"
"Region C","5.93","(5.18 - 6.79)","8.43","(7.17 - 9.87)","0.23","(0.17 - 0.32)","1.49","(1.28 - 1.72)"
"Region 8","6.46","(5.02 - 8.27)","9.51","(6.93 - 12.92)","0.24","(0.16 - 0.37)","1.58","(1.21 - 2.07)"
"Region 9","5.01","(3.85 - 6.50)","6.94","(5.08 - 9.41)","*","(* - *)","1.31","(1.01 - 1.70)"
"Region 10","5.95","(4.23 - 8.32)","7.33","(5.12 - 10.39)","*","(* - *)","1.64","(1.20 - 2.24)"
"Region 11","7.39","(5.72 - 9.50)","7.72","(5.61 - 10.53)","0.23","(0.15 - 0.36)","1.41","(1.08 - 1.85)"
"Region 12","4.95","(3.69 - 6.61)","10.42","(7.55 - 14.21)","*","(* - *)","1.56","(1.18 - 2.05)"
"Region D","5.94","(4.85 - 7.25)","7.88","(6.24 - 9.90)","0.21","(0.14 - 0.30)","1.33","(1.09 - 1.63)"
"Region 13","7.64","(5.60 - 10.34)","9.56","(6.61 - 13.63)","*","(* - *)","1.45","(1.06 - 1.98)"
"Region 14","5.64","(3.95 - 7.98)","8.37","(5.71 - 12.10)","*","(* - *)","1.55","(1.12 - 2.14)"
"Region 15","4.86","(3.51 - 6.68)","6.13","(4.15 - 8.95)","*","(* - *)","1.04","(0.76 - 1.41)"
"North Carolina","5.72","(4.93 - 6.63)","7.12","(5.93 - 8.53)","0.15","(0.10 - 0.21)","1.03","(0.87 - 1.22)"
"Alliance","5.21","(3.81 - 7.10)","7.06","(4.81 - 10.26)","*","(* - *)","1.15","(0.84 - 1.57)"
"Cardinal Innovations","5.87","(4.31 - 7.95)","7.21","(4.95 - 10.39)","*","(* - *)","0.98","(0.71 - 1.34)"
"CenterPoint/Guilford","6.40","(4.71 - 8.65)","7.66","(5.49 - 10.60)","*","(* - *)","1.12","(0.85 - 1.49)"
"CenterPoint","*","(* - *)","*","(* - *)","*","(* - *)","*","(* - *)"
"Guilford","*","(* - *)","7.40","(4.78 - 11.28)","*","(* - *)","1.25","(0.87 - 1.79)"
"CoastalCare","7.58","(5.16 - 11.01)","7.80","(4.92 - 12.13)","*","(* - *)","1.37","(0.94 - 1.99)"
"Eastpointe","5.30","(3.71 - 7.50)","6.50","(4.29 - 9.71)","*","(* - *)","0.90","(0.64 - 1.26)"
"ECBH","5.20","(3.42 - 7.84)","6.17","(3.92 - 9.58)","*","(* - *)","1.00","(0.68 - 1.47)"
"MeckLINK","6.24","(4.38 - 8.81)","9.04","(5.90 - 13.61)","*","(* - *)","1.30","(0.92 - 1.84)"
"Partners","4.95","(3.54 - 6.87)","6.40","(4.26 - 9.51)","*","(* - *)","0.81","(0.58 - 1.14)"
"Sandhills","5.62","(3.88 - 8.10)","6.63","(4.29 - 10.12)","*","(* - *)","0.87","(0.60 - 1.24)"
"Smoky Mountain","*","(* - *)","6.22","(4.03 - 9.48)","*","(* - *)","*","(* - *)"
"Western Highlands","*","(* - *)","6.87","(4.33 - 10.75)","*","(* - *)","0.74","(0.51 - 1.06)"
"North Dakota","4.62","(3.89 - 5.49)","6.43","(5.29 - 7.80)","0.16","(0.10 - 0.24)","1.17","(0.97 - 1.40)"
"Badlands and West Central","6.02","(4.57 - 7.89)","4.53","(3.05 - 6.67)","*","(* - *)","0.71","(0.51 - 0.98)"
"Lake Region and South Central","5.03","(3.59 - 6.99)","6.79","(4.64 - 9.83)","*","(* - *)","0.86","(0.62 - 1.18)"
"North Central and Northwest","4.08","(2.96 - 5.60)","6.34","(4.31 - 9.25)","*","(* - *)","1.04","(0.75 - 1.43)"
"Northeast","3.72","(2.54 - 5.43)","7.50","(5.46 - 10.22)","*","(* - *)","1.92","(1.44 - 2.55)"
"Southeast","3.72","(2.74 - 5.03)","6.98","(5.15 - 9.40)","0.18","(0.11 - 0.30)","1.51","(1.15 - 1.98)"
"Ohio","6.02","(5.57 - 6.50)","7.88","(7.11 - 8.72)","0.18","(0.13 - 0.25)","1.21","(1.09 - 1.35)"
"Boards 2, 46, 55, and 68","4.16","(3.09 - 5.60)","5.22","(3.69 - 7.33)","*","(* - *)","0.79","(0.59 - 1.06)"
"Boards 3, 52, and 85","4.78","(3.51 - 6.49)","6.17","(4.31 - 8.74)","*","(* - *)","0.99","(0.73 - 1.33)"
"Boards 4 and 78","7.18","(5.21 - 9.82)","7.12","(4.80 - 10.44)","*","(* - *)","0.91","(0.67 - 1.25)"
"Boards 5 and 60","5.27","(3.87 - 7.14)","10.07","(7.40 - 13.56)","*","(* - *)","1.89","(1.42 - 2.51)"
"Boards 7, 15, 41, 79, and 84","4.64","(3.31 - 6.46)","3.38","(2.42 - 4.70)","*","(* - *)","0.53","(0.40 - 0.72)"
"Boards 8, 13, and 83","5.61","(4.31 - 7.27)","8.27","(5.85 - 11.57)","*","(* - *)","1.04","(0.78 - 1.39)"
"Board 9 (Butler)","4.94","(3.54 - 6.84)","8.58","(6.10 - 11.94)","*","(* - *)","1.49","(1.11 - 2.00)"
"Board 12","6.93","(5.14 - 9.28)","9.62","(6.73 - 13.57)","*","(* - *)","1.51","(1.12 - 2.04)"
"Boards 18 and 47","7.26","(6.07 - 8.65)","8.31","(6.49 - 10.57)","0.21","(0.14 - 0.31)","1.21","(0.97 - 1.51)"
"Boards 20, 32, 54, and 69","3.94","(2.84 - 5.45)","5.68","(3.92 - 8.17)","*","(* - *)","0.78","(0.57 - 1.06)"
"Boards 21, 39, 51, 70, and 80","6.35","(4.96 - 8.09)","7.60","(5.31 - 10.77)","*","(* - *)","1.02","(0.75 - 1.37)"
"Boards 22, 74, and 87","4.30","(3.11 - 5.92)","7.07","(4.96 - 9.99)","*","(* - *)","1.09","(0.80 - 1.47)"
"Boards 23 and 45","5.14","(3.88 - 6.76)","7.68","(5.23 - 11.15)","*","(* - *)","1.14","(0.83 - 1.57)"
"Board 25 (Franklin)","6.00","(4.78 - 7.52)","9.36","(7.24 - 12.01)","0.24","(0.16 - 0.36)","1.77","(1.41 - 2.22)"
"Boards 27, 71, and 73","4.59","(3.41 - 6.16)","5.67","(4.01 - 7.94)","*","(* - *)","0.82","(0.62 - 1.09)"
"Boards 28, 43, and 67","5.61","(4.26 - 7.36)","7.16","(5.12 - 9.93)","*","(* - *)","1.18","(0.89 - 1.56)"
"Board 31 (Hamilton)","6.28","(4.94 - 7.94)","9.57","(7.07 - 12.85)","0.24","(0.16 - 0.37)","1.59","(1.22 - 2.08)"
"Board 48 (Lucas)","7.59","(5.70 - 10.03)","10.53","(7.50 - 14.59)","*","(* - *)","1.76","(1.31 - 2.35)"
"Boards 50 and 76","7.06","(5.54 - 8.96)","7.82","(5.57 - 10.87)","*","(* - *)","1.01","(0.76 - 1.33)"
"Board 57 (Montgomery)","7.83","(6.09 - 10.03)","8.11","(5.69 - 11.43)","*","(* - *)","1.20","(0.89 - 1.60)"
"Board 77 (Summit)","7.39","(5.66 - 9.61)","7.98","(5.59 - 11.27)","*","(* - *)","1.23","(0.91 - 1.65)"
"Oklahoma","5.38","(4.59 - 6.30)","5.60","(4.59 - 6.81)","0.16","(0.11 - 0.23)","0.96","(0.80 - 1.16)"
"Central","5.76","(4.00 - 8.23)","6.77","(4.59 - 9.88)","*","(* - *)","1.23","(0.89 - 1.72)"
"East Central","4.78","(3.32 - 6.84)","4.76","(3.14 - 7.17)","*","(* - *)","0.78","(0.55 - 1.11)"
"Northeast","4.37","(3.07 - 6.19)","5.79","(4.00 - 8.31)","*","(* - *)","1.06","(0.77 - 1.45)"
"Northwest and Southwest","7.10","(5.18 - 9.65)","5.66","(3.69 - 8.58)","*","(* - *)","1.00","(0.70 - 1.42)"
"Oklahoma County","6.30","(4.67 - 8.43)","5.68","(3.86 - 8.28)","*","(* - *)","1.02","(0.75 - 1.40)"
"Southeast","4.44","(3.13 - 6.26)","4.76","(3.16 - 7.11)","*","(* - *)","0.71","(0.51 - 0.99)"
"Tulsa County","4.77","(3.37 - 6.72)","5.63","(3.82 - 8.21)","*","(* - *)","0.97","(0.71 - 1.34)"
"Oregon","6.50","(5.62 - 7.50)","9.26","(7.73 - 11.06)","0.24","(0.17 - 0.34)","1.46","(1.23 - 1.74)"
"Region 1 (Multnomah)","9.22","(6.89 - 12.25)","10.33","(7.14 - 14.72)","*","(* - *)","1.83","(1.34 - 2.50)"
"Region 2","5.42","(4.05 - 7.23)","9.41","(6.60 - 13.23)","*","(* - *)","1.42","(1.05 - 1.92)"
"Region 3","6.09","(4.79 - 7.72)","10.22","(7.81 - 13.27)","0.21","(0.13 - 0.33)","1.77","(1.38 - 2.28)"
"Region 4","7.42","(5.48 - 9.98)","7.52","(4.98 - 11.21)","*","(* - *)","0.97","(0.69 - 1.36)"
"Region 5 (Central)","7.50","(5.31 - 10.49)","7.77","(4.91 - 12.08)","*","(* - *)","0.95","(0.66 - 1.38)"
"Region 6 (Eastern)","4.19","(2.71 - 6.42)","*","(* - *)","*","(* - *)","*","(* - *)"
"Pennsylvania","5.76","(5.25 - 6.33)","8.44","(7.55 - 9.43)","0.17","(0.13 - 0.24)","1.27","(1.13 - 1.42)"
"Region 1 (Allegheny)","6.14","(4.79 - 7.84)","9.48","(7.06 - 12.61)","0.22","(0.15 - 0.33)","1.37","(1.06 - 1.76)"
"Regions 3, 8, 9, and 51","3.94","(2.90 - 5.35)","5.92","(4.14 - 8.38)","*","(* - *)","0.90","(0.67 - 1.21)"
"Regions 4, 11, 37, and 49","6.16","(4.76 - 7.95)","6.46","(4.51 - 9.16)","*","(* - *)","0.93","(0.69 - 1.25)"
"Regions 5, 18, 23, 24, and 46","4.16","(3.04 - 5.66)","6.87","(4.74 - 9.86)","*","(* - *)","0.92","(0.68 - 1.24)"
"Regions 6, 12, 16, 31, 35, 45, and 47","4.45","(3.29 - 6.00)","9.79","(7.23 - 13.14)","*","(* - *)","1.82","(1.39 - 2.39)"
"Regions 7, 13, 20, and 33","6.44","(5.37 - 7.69)","11.15","(8.97 - 13.79)","0.19","(0.13 - 0.29)","1.46","(1.20 - 1.78)"
"Regions 10, 15, 27, 32, 43, and 44","4.50","(3.32 - 6.07)","6.56","(4.47 - 9.54)","*","(* - *)","0.81","(0.59 - 1.11)"
"Regions 17 and 21","7.18","(5.32 - 9.62)","7.63","(5.13 - 11.19)","*","(* - *)","1.31","(0.94 - 1.82)"
"Regions 19, 26, 28, and 42","5.37","(4.30 - 6.69)","5.76","(4.27 - 7.74)","0.15","(0.09 - 0.23)","0.89","(0.69 - 1.14)"
"Regions 22, 38, 40, 41, and 48","5.71","(4.42 - 7.34)","6.74","(4.83 - 9.34)","*","(* - *)","0.80","(0.60 - 1.06)"
"Regions 29 and 34","5.50","(4.06 - 7.40)","8.02","(5.51 - 11.55)","*","(* - *)","1.15","(0.84 - 1.57)"
"Regions 30 and 50","5.08","(3.74 - 6.88)","5.30","(3.61 - 7.71)","*","(* - *)","0.79","(0.58 - 1.07)"
"Region 36 (Philadelphia)","7.31","(5.84 - 9.10)","11.26","(8.94 - 14.07)","0.26","(0.16 - 0.41)","2.39","(1.94 - 2.96)"
"Rhode Island","8.09","(6.92 - 9.43)","11.69","(9.78 - 13.93)","0.30","(0.19 - 0.46)","1.89","(1.58 - 2.27)"
"Bristol and Newport","7.61","(5.40 - 10.64)","12.66","(8.29 - 18.85)","*","(* - *)","1.70","(1.20 - 2.40)"
"Kent","10.18","(7.68 - 13.36)","11.85","(8.06 - 17.08)","*","(* - *)","1.38","(1.01 - 1.90)"
"Providence","7.39","(5.95 - 9.15)","11.05","(8.78 - 13.82)","0.31","(0.20 - 0.50)","1.98","(1.59 - 2.46)"
"Washington","9.28","(6.91 - 12.35)","14.25","(9.68 - 20.49)","*","(* - *)","2.28","(1.64 - 3.16)"
"South Carolina","6.18","(5.33 - 7.16)","6.57","(5.46 - 7.88)","0.15","(0.10 - 0.21)","1.01","(0.85 - 1.20)"
"Region 1","8.10","(6.34 - 10.31)","6.99","(5.03 - 9.62)","*","(* - *)","1.02","(0.77 - 1.35)"
"Region 2","6.13","(4.75 - 7.88)","6.87","(5.13 - 9.15)","0.16","(0.10 - 0.25)","1.14","(0.88 - 1.48)"
"Region 3","5.15","(3.77 - 7.00)","6.80","(4.54 - 10.06)","*","(* - *)","0.96","(0.69 - 1.33)"
"Region 4","5.00","(3.78 - 6.58)","5.71","(4.09 - 7.93)","*","(* - *)","0.90","(0.68 - 1.19)"
"South Dakota","4.87","(4.17 - 5.67)","6.31","(5.10 - 7.79)","0.15","(0.10 - 0.23)","0.99","(0.81 - 1.20)"
"Region 1","7.81","(6.07 - 9.99)","7.39","(5.12 - 10.57)","*","(* - *)","1.08","(0.78 - 1.48)"
"Region 2","6.08","(4.20 - 8.71)","6.25","(4.05 - 9.53)","*","(* - *)","0.82","(0.57 - 1.17)"
"Region 3","2.95","(2.10 - 4.13)","6.72","(4.72 - 9.49)","*","(* - *)","1.17","(0.86 - 1.59)"
"Region 4","4.18","(2.97 - 5.85)","6.59","(4.37 - 9.83)","*","(* - *)","1.01","(0.71 - 1.42)"
"Region 5","4.05","(3.00 - 5.46)","4.90","(3.46 - 6.89)","0.17","(0.10 - 0.27)","0.79","(0.59 - 1.05)"
"Tennessee","5.03","(4.31 - 5.88)","6.36","(5.24 - 7.68)","0.15","(0.10 - 0.22)","0.98","(0.82 - 1.17)"
"Region 1","6.14","(4.30 - 8.70)","5.95","(3.90 - 8.99)","*","(* - *)","0.77","(0.55 - 1.08)"
"Region 2","3.62","(2.54 - 5.14)","7.43","(5.09 - 10.71)","*","(* - *)","1.05","(0.76 - 1.46)"
"Region 3","5.77","(4.27 - 7.75)","6.91","(4.77 - 9.90)","*","(* - *)","0.97","(0.71 - 1.32)"
"Region 4 (Davidson)","4.52","(3.05 - 6.65)","7.88","(5.41 - 11.34)","*","(* - *)","1.40","(1.02 - 1.90)"
"Region 5","5.58","(4.20 - 7.37)","5.01","(3.49 - 7.16)","*","(* - *)","0.80","(0.59 - 1.09)"
"Region 6","5.85","(4.23 - 8.03)","4.98","(3.21 - 7.64)","*","(* - *)","0.75","(0.52 - 1.08)"
"Region 7 (Shelby)","4.38","(3.03 - 6.30)","6.72","(4.65 - 9.63)","*","(* - *)","1.19","(0.87 - 1.63)"
"Texas","5.22","(4.76 - 5.71)","6.69","(5.98 - 7.47)","0.16","(0.11 - 0.22)","1.11","(0.99 - 1.25)"
"Region 1","6.96","(5.07 - 9.48)","8.08","(5.60 - 11.53)","*","(* - *)","1.34","(0.98 - 1.83)"
"Region 2","3.51","(2.33 - 5.24)","6.29","(4.11 - 9.52)","*","(* - *)","1.01","(0.71 - 1.44)"
"Region 3","5.26","(4.49 - 6.15)","7.65","(6.39 - 9.13)","0.16","(0.11 - 0.24)","1.18","(1.00 - 1.40)"
"Region 3a","5.40","(4.42 - 6.59)","6.46","(5.03 - 8.25)","0.17","(0.11 - 0.25)","1.04","(0.84 - 1.30)"
"Region 3bc","5.01","(3.99 - 6.27)","9.89","(7.82 - 12.43)","0.16","(0.10 - 0.24)","1.44","(1.16 - 1.78)"
"Region 4","3.81","(2.74 - 5.26)","5.53","(3.92 - 7.75)","*","(* - *)","0.80","(0.59 - 1.07)"
"Region 5","5.17","(3.85 - 6.92)","5.50","(3.93 - 7.64)","*","(* - *)","0.92","(0.69 - 1.23)"
