Total United States,4.86,,8.17,,1.72,,2.68,
Northeast,4.93,(4.53 - 5.36),8.95,(8.40 - 9.53),1.65,(1.44 - 1.89),2.67,(2.47 - 2.89)
Midwest,4.64,(4.33 - 4.97),7.86,(7.45 - 8.30),1.68,(1.51 - 1.88),2.62,(2.45 - 2.80)
South,4.68,(4.39 - 4.99),8.03,(7.64 - 8.44),1.75,(1.57 - 1.94),2.68,(2.51 - 2.85)
West,5.27,(4.81 - 5.78),8.08,(7.50 - 8.69),1.78,(1.54 - 2.05),2.75,(2.52 - 3.00)
Alabama,4.68,(3.62 - 6.05),7.85,(6.31 - 9.73),1.81,(1.29 - 2.55),2.71,(2.17 - 3.40)
Region 1,4.91,(3.32 - 7.21),7.97,(5.63 - 11.17),1.49,(0.90 - 2.47),2.36,(1.66 - 3.36)
Region 2,5.11,(3.51 - 7.38),8.28,(6.01 - 11.32),2.11,(1.32 - 3.36),3.04,(2.20 - 4.20)
Region 3,3.98,(2.61 - 6.01),6.82,(4.59 - 10.02),1.79,(1.04 - 3.05),2.68,(1.83 - 3.91)
Region 4,4.43,(3.01 - 6.49),8.1,(5.65 - 11.47),1.83,(1.08 - 3.07),2.71,(1.90 - 3.86)
Alaska,5.54,(4.26 - 7.19),9,(7.34 - 10.99),2.3,(1.57 - 3.37),3.38,(2.66 - 4.30)
Gulf Coast,5.59,(3.59 - 8.60),10.78,(7.24 - 15.77),1.95,(1.06 - 3.54),3.14,(2.09 - 4.69)
Rural,4.99,(3.09 - 7.97),7.47,(4.77 - 11.50),*,(* - *),3.79,(2.34 - 6.10)
Southeast,5.56,(3.60 - 8.50),11.17,(7.59 - 16.13),2.11,(1.15 - 3.84),3.35,(2.23 - 5.01)
Urban,5.64,(4.12 - 7.69),8.7,(6.77 - 11.11),2.31,(1.47 - 3.59),3.37,(2.53 - 4.46)
Arizona,5.86,(4.55 - 7.51),6.91,(5.41 - 8.79),1.69,(1.17 - 2.45),2.49,(1.94 - 3.18)
Maricopa,5.74,(4.19 - 7.81),6.59,(4.84 - 8.93),1.73,(1.11 - 2.70),2.5,(1.84 - 3.39)
Pima,7.04,(4.56 - 10.71),7.33,(4.84 - 10.97),1.73,(0.98 - 3.06),2.59,(1.74 - 3.84)
Rural North,5.29,(3.45 - 8.02),8.45,(5.60 - 12.55),1.6,(0.89 - 2.86),2.53,(1.68 - 3.80)
Rural South,5.48,(3.56 - 8.36),6.64,(4.15 - 10.45),1.55,(0.85 - 2.81),2.23,(1.42 - 3.49)
Arkansas,6.32,(5.02 - 7.93),9.87,(8.08 - 12.01),1.93,(1.37 - 2.72),3.12,(2.54 - 3.83)
Areas 1 and 2,6.66,(4.50 - 9.75),10.54,(7.37 - 14.87),1.88,(1.07 - 3.26),3.23,(2.25 - 4.61)
Areas 3 and 4,6.88,(4.71 - 9.93),9.91,(6.93 - 13.99),1.76,(1.03 - 2.97),2.97,(2.10 - 4.18)
Areas 5 and 6,5.64,(3.73 - 8.43),7.83,(5.38 - 11.26),1.71,(0.98 - 2.98),2.67,(1.84 - 3.86)
"Areas 7, 12, and 13",6.23,(4.11 - 9.33),10.12,(6.91 - 14.59),2.63,(1.53 - 4.48),3.77,(2.57 - 5.49)
"Areas 8, 10, and 11",5.93,(4.03 - 8.64),8.71,(6.05 - 12.38),1.7,(0.98 - 2.94),2.66,(1.84 - 3.85)
Area 9,6.55,(4.54 - 9.36),11.85,(8.43 - 16.41),2.05,(1.23 - 3.40),3.47,(2.49 - 4.83)
California,5.32,(4.60 - 6.15),7.99,(7.10 - 8.99),1.82,(1.46 - 2.28),2.78,(2.43 - 3.19)
Region 1,6.15,(4.20 - 8.93),10.5,(7.28 - 14.93),1.81,(1.05 - 3.09),3.09,(2.15 - 4.43)
Region 2,5.83,(4.27 - 7.92),9.34,(7.08 - 12.23),2,(1.25 - 3.17),3.08,(2.26 - 4.17)
Region 3,4.81,(3.25 - 7.06),7.63,(5.20 - 11.08),1.71,(1.01 - 2.88),2.66,(1.83 - 3.83)
Region 4,5.08,(3.41 - 7.50),9.4,(6.58 - 13.25),2.01,(1.21 - 3.33),2.9,(2.00 - 4.19)
Region 5,6.17,(4.33 - 8.73),9.19,(6.63 - 12.61),2.36,(1.45 - 3.81),3.3,(2.33 - 4.65)
Region 6 (Santa Clara),5.04,(3.48 - 7.23),7.95,(5.61 - 11.15),1.64,(0.99 - 2.71),2.54,(1.79 - 3.60)
Region 7,5.58,(3.72 - 8.29),8.44,(5.83 - 12.06),1.95,(1.17 - 3.26),3.06,(2.13 - 4.38)
Region 8,5.15,(3.54 - 7.43),8.58,(6.07 - 11.99),1.83,(1.11 - 2.98),3.03,(2.19 - 4.19)
Region 9,5.99,(4.14 - 8.60),9.35,(6.57 - 13.13),1.85,(1.09 - 3.12),3.15,(2.22 - 4.46)
Region 10,5.91,(4.10 - 8.45),11.44,(8.22 - 15.71),1.93,(1.13 - 3.29),3.46,(2.46 - 4.84)
Region 11 (Los Angeles),5.2,(4.04 - 6.67),6.46,(5.15 - 8.06),1.76,(1.22 - 2.53),2.52,(1.98 - 3.20)
Region 12,4.37,(2.99 - 6.35),5.97,(4.14 - 8.54),1.57,(0.92 - 2.67),2.33,(1.61 - 3.36)
Region 13 (Riverside),5.85,(4.15 - 8.20),8.83,(6.28 - 12.26),1.67,(0.97 - 2.86),2.76,(1.95 - 3.89)
Region 14 (Orange),4.92,(3.45 - 6.98),7.43,(5.35 - 10.22),1.72,(1.07 - 2.74),2.57,(1.85 - 3.55)
Region 15,5.1,(3.66 - 7.06),8.6,(6.46 - 11.38),1.66,(1.03 - 2.66),2.83,(2.11 - 3.80)
Colorado,5.66,(4.49 - 7.12),9.41,(7.64 - 11.55),1.87,(1.31 - 2.67),2.99,(2.39 - 3.73)
Region 1,5.21,(3.42 - 7.86),8.96,(6.14 - 12.89),1.56,(0.90 - 2.70),2.87,(2.00 - 4.09)
Regions 2 and 7,6.03,(4.50 - 8.03),9.41,(7.16 - 12.27),1.97,(1.26 - 3.07),3.04,(2.27 - 4.05)
