Total United States,7.14,,12.19,,3.31,,4.63,
Northeast,6.22,(5.78 - 6.69),11.78,(11.15 - 12.45),3.02,(2.73 - 3.33),4.24,(3.97 - 4.53)
Midwest,7.07,(6.70 - 7.46),12.34,(11.82 - 12.88),3.17,(2.93 - 3.43),4.56,(4.33 - 4.80)
South,7.45,(7.07 - 7.84),12.37,(11.86 - 12.89),3.29,(3.06 - 3.54),4.64,(4.42 - 4.86)
West,7.43,(6.91 - 7.98),12.08,(11.41 - 12.77),3.72,(3.36 - 4.11),5.01,(4.68 - 5.36)
Alabama,9.1,(7.55 - 10.94),14.09,(11.97 - 16.53),3.22,(2.48 - 4.17),4.84,(4.07 - 5.75)
Region 1,8.59,(6.31 - 11.58),14.29,(10.80 - 18.67),2.79,(1.86 - 4.15),4.33,(3.29 - 5.69)
Region 2,9.93,(7.41 - 13.18),15.54,(12.15 - 19.67),3.79,(2.59 - 5.51),5.57,(4.28 - 7.20)
Region 3,6.81,(4.80 - 9.57),11.64,(8.53 - 15.69),2.84,(1.84 - 4.35),4.4,(3.25 - 5.95)
Region 4,10.53,(7.80 - 14.06),14.09,(10.52 - 18.61),3.28,(2.19 - 4.88),4.8,(3.59 - 6.39)
Alaska,8.19,(6.63 - 10.06),12.27,(10.29 - 14.57),3.81,(2.87 - 5.05),5.18,(4.26 - 6.28)
Gulf Coast,7.64,(5.17 - 11.16),*,(* - *),3.23,(1.98 - 5.22),4.38,(3.02 - 6.31)
Rural,7.51,(4.90 - 11.34),8.01,(5.26 - 12.01),3.36,(2.03 - 5.53),4.26,(2.88 - 6.25)
Southeast,8.33,(5.74 - 11.95),13.38,(9.41 - 18.67),3.84,(2.45 - 5.97),5.15,(3.66 - 7.19)
Urban,8.4,(6.51 - 10.77),12.98,(10.58 - 15.83),3.98,(2.86 - 5.53),5.47,(4.37 - 6.84)
Arizona,7.78,(6.30 - 9.58),11.58,(9.67 - 13.83),3.73,(2.85 - 4.86),4.92,(4.05 - 5.96)
Maricopa,7.79,(5.97 - 10.11),11.62,(9.32 - 14.41),3.72,(2.67 - 5.17),4.97,(3.92 - 6.28)
