Total United States,5.03,,8.53,,2.65,,3.52,
Northeast,4.73,(4.36 - 5.14),8.82,(8.22 - 9.45),2.57,(2.28 - 2.88),3.44,(3.17 - 3.73)
Midwest,5,(4.67 - 5.34),8.06,(7.61 - 8.53),2.44,(2.23 - 2.67),3.29,(3.09 - 3.51)
South,5.14,(4.83 - 5.47),8.83,(8.39 - 9.30),2.73,(2.51 - 2.97),3.63,(3.43 - 3.85)
West,5.12,(4.69 - 5.59),8.34,(7.76 - 8.95),2.78,(2.48 - 3.13),3.64,(3.36 - 3.95)
Alabama,5.93,(4.76 - 7.35),9.66,(7.84 - 11.84),2.77,(2.08 - 3.69),3.8,(3.09 - 4.66)
Region 1,5.3,(3.70 - 7.55),8.58,(6.10 - 11.94),2.47,(1.56 - 3.88),3.29,(2.35 - 4.59)
Region 2,6.91,(4.95 - 9.57),10.82,(8.08 - 14.33),3.3,(2.16 - 5.02),4.44,(3.27 - 6.01)
Region 3,4.9,(3.31 - 7.20),8.41,(5.90 - 11.87),2.4,(1.46 - 3.90),3.47,(2.46 - 4.87)
Region 4,6.18,(4.37 - 8.68),10.44,(7.45 - 14.43),2.69,(1.69 - 4.26),3.78,(2.71 - 5.25)
Alaska,5.24,(4.08 - 6.71),8.4,(6.78 - 10.36),3.25,(2.40 - 4.37),4.08,(3.28 - 5.07)
Gulf Coast,4.66,(3.07 - 7.02),7.52,(4.83 - 11.52),2.48,(1.46 - 4.17),3.16,(2.09 - 4.74)
Rural,5.02,(3.22 - 7.74),5.42,(3.35 - 8.64),2.41,(1.36 - 4.25),2.99,(1.91 - 4.65)
Southeast,5.07,(3.30 - 7.70),8.33,(5.48 - 12.46),2.95,(1.75 - 4.94),3.69,(2.45 - 5.53)
Urban,5.42,(3.99 - 7.33),9.1,(7.14 - 11.52),3.58,(2.52 - 5.05),4.49,(3.49 - 5.76)
Arizona,5.54,(4.35 - 7.03),8.1,(6.41 - 10.19),3.37,(2.49 - 4.54),4.08,(3.23 - 5.14)
Maricopa,5.39,(3.97 - 7.28),8.16,(6.24 - 10.61),3.49,(2.42 - 5.03),4.23,(3.19 - 5.58)
Pima,5.67,(3.76 - 8.47),8.28,(5.42 - 12.45),3.65,(2.24 - 5.91),4.36,(2.92 - 6.45)
Rural North,6.69,(4.43 - 9.99),9.04,(5.92 - 13.56),3.17,(1.88 - 5.31),3.97,(2.61 - 6.00)
Rural South,4.92,(3.14 - 7.65),6.5,(3.98 - 10.42),2.53,(1.47 - 4.33),3.07,(1.95 - 4.80)
Arkansas,6.8,(5.47 - 8.42),10.88,(8.94 - 13.18),2.88,(2.15 - 3.84),4.07,(3.32 - 4.99)
Areas 1 and 2,7.52,(5.09 - 10.97),13.02,(9.17 - 18.16),3.07,(1.89 - 4.93),4.62,(3.28 - 6.47)
Areas 3 and 4,6.37,(4.38 - 9.18),11.83,(8.43 - 16.36),2.7,(1.67 - 4.35),4.06,(2.90 - 5.66)
Areas 5 and 6,6.51,(4.40 - 9.53),9.3,(6.52 - 13.10),2.7,(1.64 - 4.42),3.74,(2.60 - 5.34)
"Areas 7, 12, and 13",6.15,(4.16 - 9.01),8.17,(5.54 - 11.88),2.99,(1.81 - 4.90),3.78,(2.56 - 5.55)
"Areas 8, 10, and 11",7.33,(5.01 - 10.61),11.06,(8.00 - 15.10),2.71,(1.67 - 4.39),3.86,(2.73 - 5.45)
Area 9,6.83,(4.79 - 9.64),11.14,(7.84 - 15.58),3.08,(1.93 - 4.88),4.25,(3.00 - 5.98)
California,5.05,(4.40 - 5.79),7.9,(7.02 - 8.88),2.74,(2.27 - 3.30),3.54,(3.11 - 4.04)
Region 1,5.82,(3.95 - 8.50),11.47,(7.99 - 16.20),3.23,(2.03 - 5.08),4.44,(3.14 - 6.26)
Region 2,5.77,(4.22 - 7.84),9.02,(6.87 - 11.76),3.37,(2.26 - 4.98),4.2,(3.11 - 5.64)
Region 3,5.95,(4.11 - 8.53),8.47,(5.90 - 12.02),2.95,(1.85 - 4.66),3.83,(2.69 - 5.41)
Region 4,4.97,(3.37 - 7.26),8.28,(5.75 - 11.80),3.03,(1.94 - 4.69),3.66,(2.54 - 5.24)
Region 5,5.7,(4.10 - 7.88),7.92,(5.68 - 10.94),2.88,(1.90 - 4.35),3.57,(2.57 - 4.94)
Region 6 (Santa Clara),4.47,(3.12 - 6.37),7.2,(4.97 - 10.31),2.34,(1.49 - 3.66),3.03,(2.13 - 4.30)
Region 7,4.84,(3.21 - 7.23),8.43,(5.70 - 12.30),2.86,(1.78 - 4.58),3.81,(2.63 - 5.48)
Region 8,4.95,(3.49 - 6.98),7.89,(5.56 - 11.09),2.54,(1.62 - 3.99),3.5,(2.51 - 4.87)
Region 9,5.03,(3.35 - 7.47),8.82,(6.12 - 12.55),2.68,(1.67 - 4.26),3.75,(2.65 - 5.27)
Region 10,5.94,(4.09 - 8.54),10.97,(7.89 - 15.05),3.17,(1.99 - 5.01),4.42,(3.16 - 6.15)
Region 11 (Los Angeles),4.23,(3.27 - 5.47),6.46,(5.21 - 7.99),2.35,(1.68 - 3.29),3.02,(2.38 - 3.81)
Region 12,5.09,(3.57 - 7.21),8.22,(5.90 - 11.35),2.98,(1.97 - 4.48),3.88,(2.84 - 5.28)
Region 13 (Riverside),5.38,(3.78 - 7.59),7.74,(5.55 - 10.70),2.51,(1.58 - 3.95),3.3,(2.36 - 4.61)
Region 14 (Orange),4.87,(3.40 - 6.93),7.54,(5.43 - 10.37),2.48,(1.58 - 3.88),3.23,(2.29 - 4.54)
Region 15,5.81,(4.19 - 8.01),8.85,(6.66 - 11.65),3.16,(2.12 - 4.69),4.12,(3.07 - 5.52)
Colorado,5.33,(4.22 - 6.71),10.19,(8.26 - 12.50),3.1,(2.31 - 4.14),4.15,(3.36 - 5.11)
Region 1,4.75,(3.12 - 7.17),9.9,(6.71 - 14.37),2.63,(1.58 - 4.35),3.91,(2.70 - 5.63)
Regions 2 and 7,5.47,(4.02 - 7.41),10,(7.56 - 13.10),3.12,(2.15 - 4.51),4.11,(3.12 - 5.39)
Region 3,5.56,(3.71 - 8.24),11.2,(7.82 - 15.81),3.14,(1.90 - 5.14),4.32,(3.00 - 6.17)
Region 4,5.08,(3.28 - 7.79),8.98,(5.85 - 13.56),2.9,(1.73 - 4.85),3.73,(2.46 - 5.60)
Regions 5 and 6,5.21,(3.36 - 7.98),*,(* - *),3.57,(2.12 - 5.94),4.63,(3.09 - 6.88)
Connecticut,4.59,(3.65 - 5.76),10.52,(8.46 - 13.00),2.56,(1.89 - 3.48),3.62,(2.91 - 4.50)
Eastern,5.58,(3.74 - 8.23),*,(* - *),2.71,(1.62 - 4.51),4.4,(3.05 - 6.32)
North Central,4.04,(2.71 - 6.00),8.9,(6.30 - 12.42),2.68,(1.63 - 4.36),3.47,(2.40 - 5.01)
Northwestern,4.87,(3.33 - 7.06),12.06,(8.68 - 16.52),2.51,(1.52 - 4.12),3.67,(2.58 - 5.20)
South Central,4.22,(2.88 - 6.15),10.25,(7.21 - 14.37),2.35,(1.45 - 3.77),3.43,(2.44 - 4.80)
Southwest,4.89,(3.37 - 7.04),10.19,(7.06 - 14.48),2.63,(1.57 - 4.35),3.53,(2.40 - 5.16)
Delaware,4.79,(3.81 - 6.01),9.38,(7.51 - 11.65),2.53,(1.89 - 3.40),3.54,(2.86 - 4.37)
Kent,4.78,(3.25 - 6.98),8.03,(5.58 - 11.43),2.91,(1.80 - 4.67),3.72,(2.59 - 5.32)
New Castle (excluding Wilmington City),4.64,(3.35 - 6.40),10.5,(8.02 - 13.62),2.24,(1.48 - 3.38),3.52,(2.70 - 4.60)
Sussex,4.6,(3.12 - 6.72),7.58,(5.08 - 11.18),2.6,(1.57 - 4.28),3.15,(2.10 - 4.71)
Wilmington City,5.92,(3.85 - 9.01),8.33,(5.27 - 12.91),3.42,(2.00 - 5.78),4.2,(2.71 - 6.44)
District of Columbia,4.29,(3.35 - 5.48),6.7,(5.24 - 8.53),3.26,(2.44 - 4.33),3.81,(3.03 - 4.77)
Ward 1,4.66,(2.97 - 7.24),6.47,(4.14 - 9.97),4.26,(2.58 - 6.94),4.66,(3.05 - 7.04)
Ward 2,*,(* - *),9.36,(6.68 - 12.98),3.65,(2.23 - 5.91),5.07,(3.62 - 7.06)
Ward 3,3.79,(2.38 - 6.00),6.84,(4.37 - 10.53),2.66,(1.55 - 4.51),3.32,(2.17 - 5.05)
Ward 4,4.45,(2.85 - 6.88),5.85,(3.69 - 9.18),2.86,(1.69 - 4.80),3.16,(2.01 - 4.94)
Ward 5,4.59,(2.96 - 7.05),5.87,(3.79 - 8.99),3.67,(2.21 - 6.03),3.99,(2.60 - 6.07)
Ward 6,3.85,(2.41 - 6.10),6.47,(4.11 - 10.04),3.36,(2.02 - 5.54),3.77,(2.44 - 5.78)
Ward 7,3.91,(2.58 - 5.87),3.83,(2.32 - 6.24),2.43,(1.40 - 4.18),2.6,(1.61 - 4.17)
Ward 8,4.25,(2.86 - 6.28),4.89,(3.09 - 7.65),3.36,(2.00 - 5.58),3.64,(2.37 - 5.54)
Florida,5.55,(4.87 - 6.33),9.37,(8.40 - 10.44),2.95,(2.48 - 3.51),3.79,(3.34 - 4.29)
Region A,6.34,(4.97 - 8.05),11.06,(8.89 - 13.67),3.57,(2.62 - 4.84),4.89,(3.93 - 6.07)
Circuit 1,6.74,(4.74 - 9.50),11.93,(8.57 - 16.36),4.06,(2.63 - 6.21),5.28,(3.81 - 7.27)
Circuit 2,5.96,(4.09 - 8.61),10.39,(7.53 - 14.17),3.22,(2.00 - 5.15),4.94,(3.59 - 6.76)
Circuit 14,5.89,(3.92 - 8.75),10.35,(7.19 - 14.69),2.85,(1.76 - 4.59),3.91,(2.73 - 5.56)
Region B,5.86,(4.71 - 7.26),10.45,(8.63 - 12.61),3.11,(2.34 - 4.11),4.25,(3.48 - 5.19)
Circuits 3 and 8,6.32,(4.33 - 9.13),11.32,(8.30 - 15.24),3.53,(2.26 - 5.46),5.19,(3.81 - 7.04)
Circuit 4,5.88,(4.30 - 8.00),10.5,(7.91 - 13.83),3.54,(2.38 - 5.21),4.62,(3.44 - 6.16)
Circuit 7,5.4,(3.75 - 7.74),9.22,(6.46 - 12.99),2.3,(1.41 - 3.71),3.1,(2.15 - 4.44)
Region C,5.68,(4.67 - 6.88),9.08,(7.64 - 10.76),2.83,(2.23 - 3.60),3.63,(3.02 - 4.34)
Circuit 5,5.41,(3.80 - 7.65),9.59,(6.88 - 13.20),2.3,(1.45 - 3.62),2.97,(2.07 - 4.22)
Circuit 9,5.09,(3.59 - 7.17),8.02,(5.87 - 10.87),3.33,(2.23 - 4.95),4.12,(3.04 - 5.58)
