Total United States,11.02,,39,,24.46,,26.63,
Northeast,11.22,(10.63 - 11.83),39.91,(38.88 - 40.96),23.34,(22.39 - 24.31),25.66,(24.83 - 26.50)
Midwest,12.26,(11.76 - 12.77),43.79,(42.97 - 44.61),26.7,(25.86 - 27.55),29.29,(28.56 - 30.03)
South,11.19,(10.73 - 11.67),39.14,(38.38 - 39.90),26.21,(25.38 - 27.06),28.12,(27.40 - 28.86)
West,9.46,(8.82 - 10.14),33.46,(32.45 - 34.49),20.41,(19.45 - 21.40),22.43,(21.59 - 23.29)
Alabama,12.44,(10.61 - 14.52),39.68,(36.49 - 42.95),28.3,(25.58 - 31.20),30,(27.58 - 32.54)
Region 1,13.45,(10.54 - 17.00),41.17,(35.66 - 46.91),28.58,(24.59 - 32.94),30.28,(26.61 - 34.23)
Region 2,13.02,(10.35 - 16.25),42.25,(37.40 - 47.26),28.79,(24.78 - 33.16),30.83,(27.22 - 34.69)
Region 3,9.47,(7.16 - 12.42),34.83,(29.63 - 40.41),25.99,(21.67 - 30.82),27.55,(23.67 - 31.81)
Region 4,13.01,(10.17 - 16.50),38.76,(33.48 - 44.31),29.03,(24.79 - 33.67),30.4,(26.57 - 34.51)
Alaska,11.26,(9.37 - 13.46),41.04,(37.76 - 44.40),24.86,(22.05 - 27.90),27.47,(24.99 - 30.10)
Gulf Coast,12.8,(9.40 - 17.19),*,(* - *),24.59,(20.04 - 29.79),27.05,(22.73 - 31.85)
Rural,*,(* - *),*,(* - *),28.87,(23.34 - 35.11),32.46,(27.42 - 37.93)
Southeast,11.7,(8.67 - 15.61),*,(* - *),23.18,(18.72 - 28.34),26.34,(22.14 - 31.03)
Urban,10.38,(8.33 - 12.85),38.8,(35.10 - 42.63),24.6,(21.34 - 28.18),26.95,(24.09 - 30.01)
Arizona,10.99,(9.19 - 13.09),35.96,(32.80 - 39.24),22.86,(20.28 - 25.66),24.84,(22.53 - 27.31)
Maricopa,10.41,(8.36 - 12.87),35.01,(31.17 - 39.05),22.43,(19.38 - 25.80),24.41,(21.66 - 27.38)
Pima,12.81,(9.50 - 17.05),37.96,(32.00 - 44.30),22.9,(18.86 - 27.51),25.19,(21.44 - 29.36)
Rural North,11.61,(8.68 - 15.38),38.86,(32.50 - 45.63),24.24,(19.93 - 29.14),26.23,(22.26 - 30.64)
Rural South,10.88,(7.93 - 14.74),*,(* - *),23.57,(19.20 - 28.59),25.2,(21.10 - 29.79)
Arkansas,13.78,(11.82 - 16.00),44.26,(40.94 - 47.63),27.51,(24.72 - 30.49),30.01,(27.54 - 32.61)
Areas 1 and 2,14.74,(11.31 - 18.97),43.65,(37.72 - 49.76),24.42,(20.28 - 29.09),27.41,(23.61 - 31.58)
