Total United States,5.77,,6.09,,0.15,,0.93,
Northeast,6.12,(5.80 - 6.46),6.91,(6.43 - 7.43),0.15,(0.11 - 0.21),0.95,(0.88 - 1.03)
Midwest,5.83,(5.58 - 6.09),6.65,(6.28 - 7.05),0.16,(0.12 - 0.22),1.02,(0.96 - 1.09)
South,5.38,(5.13 - 5.63),5.6,(5.26 - 5.95),0.15,(0.11 - 0.19),0.85,(0.80 - 0.91)
West,6.06,(5.69 - 6.45),5.77,(5.30 - 6.27),0.15,(0.11 - 0.21),0.94,(0.86 - 1.02)
Alabama,4.94,(4.10 - 5.93),5.01,(4.01 - 6.24),0.13,(0.08 - 0.21),0.75,(0.62 - 0.92)
Region 1,5.1,(3.73 - 6.95),5.47,(3.74 - 7.95),*,(* - *),0.72,(0.52 - 1.00)
Region 2,5.26,(3.97 - 6.93),5.08,(3.53 - 7.26),0.14,(0.08 - 0.24),0.77,(0.56 - 1.06)
Region 3,4.09,(2.82 - 5.88),5.01,(3.41 - 7.30),*,(* - *),0.93,(0.65 - 1.33)
Region 4,5.05,(3.66 - 6.92),4.37,(2.91 - 6.53),*,(* - *),0.64,(0.45 - 0.90)
Alaska,6.42,(5.31 - 7.75),7.21,(5.71 - 9.06),0.22,(0.12 - 0.38),1.29,(1.03 - 1.62)
Gulf Coast,6.01,(3.98 - 8.98),6.35,(3.68 - 10.73),*,(* - *),0.99,(0.62 - 1.59)
Rural,7.18,(4.55 - 11.16),7.39,(4.03 - 13.17),*,(* - *),1.37,(0.78 - 2.38)
Southeast,7.8,(5.53 - 10.89),8.4,(5.27 - 13.13),*,(* - *),1.28,(0.84 - 1.95)
Urban,6.13,(4.77 - 7.84),7.14,(5.31 - 9.54),0.23,(0.12 - 0.42),1.34,(1.01 - 1.77)
Arizona,6.8,(5.74 - 8.04),5.32,(4.17 - 6.76),0.15,(0.10 - 0.25),0.82,(0.66 - 1.02)
Maricopa,6.89,(5.52 - 8.57),4.88,(3.57 - 6.64),0.17,(0.10 - 0.29),0.83,(0.63 - 1.09)
Pima,7.35,(5.24 - 10.22),6.5,(4.15 - 10.06),*,(* - *),0.91,(0.62 - 1.34)
Rural North,6.55,(4.56 - 9.32),6.51,(4.12 - 10.15),*,(* - *),0.82,(0.55 - 1.22)
Rural South,5.94,(4.05 - 8.63),5.25,(3.19 - 8.55),*,(* - *),0.67,(0.44 - 1.03)
Arkansas,5.99,(5.05 - 7.09),5.07,(4.05 - 6.33),0.14,(0.09 - 0.22),0.75,(0.62 - 0.92)
Areas 1 and 2,6.62,(4.77 - 9.12),4.72,(2.97 - 7.43),*,(* - *),0.75,(0.51 - 1.10)
Areas 3 and 4,4.92,(3.42 - 7.03),6.1,(4.01 - 9.18),*,(* - *),0.8,(0.56 - 1.15)
Areas 5 and 6,5.39,(3.72 - 7.74),4.62,(3.08 - 6.87),*,(* - *),0.77,(0.54 - 1.09)
"Areas 7, 12, and 13",5.6,(3.90 - 7.98),4.51,(2.90 - 6.96),*,(* - *),0.73,(0.50 - 1.07)
"Areas 8, 10, and 11",5.84,(4.15 - 8.15),5.75,(3.84 - 8.53),*,(* - *),0.71,(0.50 - 1.00)
Area 9,7.47,(5.57 - 9.97),4.95,(3.15 - 7.72),*,(* - *),0.76,(0.52 - 1.10)
California,5.72,(5.19 - 6.30),5.6,(4.94 - 6.35),0.13,(0.09 - 0.19),0.91,(0.80 - 1.03)
Region 1,6.01,(4.17 - 8.59),8.23,(5.13 - 12.93),*,(* - *),1.08,(0.71 - 1.62)
Region 2,6.69,(5.19 - 8.59),7.17,(5.26 - 9.71),0.16,(0.09 - 0.29),1.15,(0.86 - 1.54)
Region 3,5.16,(3.71 - 7.15),4.82,(3.14 - 7.34),*,(* - *),0.82,(0.56 - 1.19)
Region 4,6.85,(4.89 - 9.52),6.73,(4.39 - 10.18),*,(* - *),0.97,(0.67 - 1.40)
Region 5,7.39,(5.73 - 9.49),5.97,(4.10 - 8.63),0.15,(0.08 - 0.28),0.87,(0.63 - 1.21)
Region 6 (Santa Clara),5.84,(4.34 - 7.81),4.82,(3.19 - 7.22),*,(* - *),0.77,(0.54 - 1.09)
Region 7,5.94,(4.05 - 8.65),5.21,(3.42 - 7.88),*,(* - *),1.01,(0.69 - 1.48)
Region 8,5.34,(3.90 - 7.28),4.04,(2.68 - 6.06),*,(* - *),0.74,(0.52 - 1.07)
Region 9,7.07,(5.11 - 9.71),5.15,(3.32 - 7.89),*,(* - *),0.9,(0.62 - 1.32)
Region 10,6.93,(5.09 - 9.37),5.87,(3.83 - 8.89),*,(* - *),1.02,(0.70 - 1.48)
Region 11 (Los Angeles),4.64,(3.82 - 5.64),5.41,(4.27 - 6.83),0.1,(0.06 - 0.19),0.87,(0.70 - 1.09)
Region 12,4.79,(3.49 - 6.54),5.04,(3.46 - 7.29),*,(* - *),0.86,(0.62 - 1.21)
Region 13 (Riverside),5.77,(4.30 - 7.69),5.38,(3.64 - 7.90),*,(* - *),0.79,(0.56 - 1.12)
Region 14 (Orange),6.28,(4.77 - 8.22),5.55,(3.90 - 7.83),*,(* - *),0.9,(0.65 - 1.24)
Region 15,6.19,(4.77 - 8.00),5.95,(4.34 - 8.10),0.14,(0.08 - 0.24),1.04,(0.78 - 1.39)
Colorado,7.6,(6.49 - 8.89),6.55,(5.10 - 8.38),0.2,(0.12 - 0.31),0.97,(0.78 - 1.22)
Region 1,6.09,(4.26 - 8.64),7.75,(4.88 - 12.08),*,(* - *),1.25,(0.84 - 1.88)
Regions 2 and 7,8.43,(6.85 - 10.33),6.3,(4.40 - 8.94),0.2,(0.12 - 0.36),0.93,(0.68 - 1.26)
Region 3,6.7,(4.78 - 9.32),6.08,(3.82 - 9.55),*,(* - *),0.96,(0.65 - 1.42)
Region 4,7.81,(5.39 - 11.19),7.25,(4.42 - 11.69),*,(* - *),0.89,(0.58 - 1.38)
Regions 5 and 6,6.83,(4.81 - 9.62),6.51,(4.00 - 10.42),*,(* - *),0.95,(0.63 - 1.42)
Connecticut,7.62,(6.60 - 8.77),8.33,(6.73 - 10.27),0.16,(0.10 - 0.26),1.07,(0.88 - 1.32)
Eastern,7.8,(5.63 - 10.71),10.4,(6.60 - 16.02),*,(* - *),1.51,(1.01 - 2.24)
North Central,6.85,(5.24 - 8.91),7.75,(5.35 - 11.12),*,(* - *),0.95,(0.68 - 1.32)
Northwestern,8.69,(6.50 - 11.53),9.18,(6.19 - 13.41),*,(* - *),1.13,(0.79 - 1.61)
South Central,8.96,(6.94 - 11.50),7.75,(5.18 - 11.44),*,(* - *),1.07,(0.74 - 1.54)
Southwest,5.97,(4.37 - 8.11),7.69,(5.13 - 11.38),*,(* - *),0.96,(0.67 - 1.38)
Delaware,6.22,(5.30 - 7.29),8.07,(6.46 - 10.05),0.15,(0.10 - 0.24),1.08,(0.88 - 1.33)
Kent,5.7,(4.17 - 7.74),5.39,(3.58 - 8.04),*,(* - *),0.88,(0.62 - 1.25)
New Castle (excluding Wilmington City),6.3,(5.06 - 7.81),10.02,(7.48 - 13.31),0.16,(0.10 - 0.28),1.32,(1.01 - 1.73)
Sussex,6.5,(4.77 - 8.81),5.88,(3.85 - 8.87),*,(* - *),0.69,(0.48 - 1.00)
Wilmington City,6.26,(4.33 - 8.97),7.36,(4.45 - 11.94),*,(* - *),1.05,(0.69 - 1.61)
District of Columbia,5.91,(4.95 - 7.05),8.04,(6.56 - 9.83),0.21,(0.14 - 0.33),1.4,(1.15 - 1.69)
Ward 1,5.95,(3.85 - 9.08),8.83,(5.47 - 13.93),*,(* - *),1.63,(1.06 - 2.50)
Ward 2,*,(* - *),9.08,(6.37 - 12.78),*,(* - *),2.64,(1.86 - 3.74)
Ward 3,7.8,(5.54 - 10.88),11.41,(7.56 - 16.87),*,(* - *),2.01,(1.39 - 2.91)
Ward 4,6.34,(4.46 - 8.92),6.41,(3.95 - 10.23),*,(* - *),0.7,(0.46 - 1.06)
Ward 5,5.24,(3.50 - 7.78),7.6,(4.94 - 11.51),*,(* - *),1.07,(0.73 - 1.56)
Ward 6,5.41,(3.58 - 8.09),6.25,(3.77 - 10.19),*,(* - *),1,(0.65 - 1.53)
Ward 7,6.3,(4.66 - 8.48),6.47,(4.11 - 10.04),*,(* - *),0.9,(0.59 - 1.35)
Ward 8,5.33,(3.86 - 7.32),5.66,(3.58 - 8.82),*,(* - *),1.16,(0.78 - 1.74)
Florida,5.85,(5.35 - 6.40),5.7,(5.06 - 6.42),0.12,(0.08 - 0.18),0.73,(0.65 - 0.82)
