Total United States,13.64,,27.79,,7.01,,10.1,
Northeast,14.84,(14.18 - 15.52),32.8,(31.80 - 33.82),7.77,(7.26 - 8.32),11.27,(10.79 - 11.76)
Midwest,13.52,(12.99 - 14.06),27.7,(26.95 - 28.46),6.83,(6.43 - 7.24),9.99,(9.63 - 10.37)
South,12.6,(12.10 - 13.11),25.26,(24.57 - 25.97),6.13,(5.77 - 6.51),8.96,(8.63 - 9.31)
West,14.42,(13.68 - 15.18),27.95,(27.03 - 28.88),7.94,(7.37 - 8.56),11.03,(10.51 - 11.57)
Alabama,11.73,(9.96 - 13.77),22.47,(19.77 - 25.42),5.45,(4.32 - 6.85),7.99,(6.86 - 9.27)
Region 1,11.95,(9.18 - 15.42),21.23,(16.67 - 26.63),4.49,(3.12 - 6.42),6.74,(5.24 - 8.64)
Region 2,12.1,(9.34 - 15.54),24.74,(20.45 - 29.60),5.91,(4.10 - 8.44),8.76,(6.90 - 11.06)
Region 3,10.09,(7.44 - 13.55),22.42,(17.53 - 28.20),5.97,(4.06 - 8.70),8.9,(6.87 - 11.44)
Region 4,12.39,(9.55 - 15.92),20.48,(16.11 - 25.67),5.64,(3.93 - 8.02),7.72,(5.96 - 9.94)
Alaska,16.31,(13.99 - 18.94),34.68,(31.49 - 38.00),11.52,(9.64 - 13.71),15.26,(13.52 - 17.19)
Gulf Coast,14.39,(10.38 - 19.61),*,(* - *),8.93,(5.82 - 13.48),11.93,(8.69 - 16.15)
Rural,*,(* - *),*,(* - *),*,(* - *),16.01,(11.84 - 21.30)
Southeast,16.99,(12.77 - 22.24),*,(* - *),11.13,(7.65 - 15.92),14.49,(10.94 - 18.96)
Urban,16.81,(13.94 - 20.12),35.29,(31.45 - 39.32),12.03,(9.79 - 14.70),15.89,(13.82 - 18.19)
Arizona,15.03,(12.86 - 17.49),23.81,(21.06 - 26.80),6.04,(4.78 - 7.61),8.73,(7.49 - 10.16)
Maricopa,14.85,(12.22 - 17.93),23.9,(20.59 - 27.55),6.07,(4.53 - 8.09),8.88,(7.38 - 10.66)
Pima,16.61,(12.45 - 21.81),*,(* - *),6.73,(4.66 - 9.62),9.53,(7.31 - 12.34)
Rural North,16.5,(12.24 - 21.88),*,(* - *),6.63,(4.39 - 9.88),9.39,(6.96 - 12.56)
Rural South,12.4,(8.85 - 17.10),*,(* - *),4.37,(2.76 - 6.87),6.23,(4.38 - 8.79)
Arkansas,14.09,(12.20 - 16.21),26.28,(23.49 - 29.28),6.38,(5.18 - 7.83),9.35,(8.16 - 10.70)
Areas 1 and 2,15.54,(11.81 - 20.16),28.33,(22.72 - 34.70),6.07,(4.14 - 8.82),9.54,(7.42 - 12.20)
Areas 3 and 4,13.6,(10.43 - 17.55),26.69,(21.27 - 32.91),6.53,(4.55 - 9.29),9.52,(7.39 - 12.20)
Areas 5 and 6,13.11,(9.79 - 17.34),23.19,(18.44 - 28.73),5.64,(3.85 - 8.20),8.39,(6.48 - 10.81)
"Areas 7, 12, and 13",12.52,(9.27 - 16.70),*,(* - *),6.88,(4.73 - 9.91),9.15,(6.93 - 11.99)
"Areas 8, 10, and 11",14.52,(10.97 - 18.97),27.68,(22.49 - 33.55),5.97,(4.04 - 8.74),8.95,(6.93 - 11.49)
Area 9,14.95,(11.51 - 19.19),29.05,(23.29 - 35.57),7.17,(5.06 - 10.07),10.34,(8.10 - 13.12)
California,13.82,(12.72 - 15.01),27.54,(26.07 - 29.05),8.31,(7.40 - 9.31),11.3,(10.47 - 12.18)
Region 1,17.19,(13.27 - 21.97),*,(* - *),11.69,(8.33 - 16.17),15.47,(12.04 - 19.67)
Region 2,15.7,(12.76 - 19.16),33.66,(29.37 - 38.24),11.46,(8.85 - 14.72),14.73,(12.29 - 17.56)
Region 3,13.37,(10.18 - 17.37),*,(* - *),7.17,(4.97 - 10.24),10.08,(7.74 - 13.01)
Region 4,16.52,(12.85 - 20.97),36.75,(30.71 - 43.23),12.36,(9.30 - 16.25),15.3,(12.31 - 18.87)
Region 5,17.48,(14.21 - 21.31),33.63,(28.47 - 39.20),10.47,(8.03 - 13.55),13.66,(11.26 - 16.47)
Region 6 (Santa Clara),13.39,(10.21 - 17.38),25.25,(20.18 - 31.08),6.19,(4.31 - 8.82),8.91,(6.92 - 11.40)
Region 7,13.98,(10.44 - 18.48),*,(* - *),8.88,(6.23 - 12.52),12.25,(9.48 - 15.68)
Region 8,11.92,(9.11 - 15.44),20.22,(15.65 - 25.72),5.98,(3.99 - 8.89),8.53,(6.41 - 11.25)
Region 9,15.94,(12.06 - 20.76),28.6,(23.03 - 34.91),7.57,(5.15 - 10.99),11.23,(8.67 - 14.43)
