Total United States,8.27,,21.26,,7.27,,9.35,
Northeast,8.33,(7.80 - 8.89),22.09,(21.25 - 22.94),6.75,(6.27 - 7.26),8.89,(8.46 - 9.34)
Midwest,8.63,(8.21 - 9.06),23.62,(22.92 - 24.33),7.56,(7.15 - 7.99),10,(9.63 - 10.38)
South,7.72,(7.33 - 8.12),19.39,(18.78 - 20.02),7,(6.61 - 7.40),8.83,(8.49 - 9.19)
West,8.72,(8.15 - 9.32),21.2,(20.33 - 22.09),7.85,(7.29 - 8.45),9.91,(9.41 - 10.43)
Alabama,7.33,(5.99 - 8.94),16.64,(14.45 - 19.09),6.03,(4.84 - 7.49),7.61,(6.48 - 8.92)
Region 1,7.51,(5.55 - 10.09),16.87,(13.29 - 21.18),5.37,(3.89 - 7.36),6.92,(5.43 - 8.77)
Region 2,7.96,(5.91 - 10.63),17.55,(14.21 - 21.49),6.48,(4.77 - 8.74),8.15,(6.48 - 10.21)
Region 3,5.99,(4.21 - 8.46),14.87,(11.41 - 19.16),5.97,(4.22 - 8.37),7.55,(5.82 - 9.74)
Region 4,7.4,(5.42 - 10.02),16.74,(13.03 - 21.24),6.29,(4.60 - 8.56),7.76,(6.05 - 9.90)
Alaska,9.09,(7.39 - 11.12),20.8,(18.35 - 23.49),7.87,(6.46 - 9.57),9.96,(8.63 - 11.47)
Gulf Coast,9.56,(6.70 - 13.45),*,(* - *),7.29,(5.16 - 10.21),9.13,(6.94 - 11.91)
Rural,8.09,(5.42 - 11.91),*,(* - *),9.88,(6.86 - 14.04),12.42,(9.39 - 16.26)
Southeast,9.55,(6.73 - 13.39),*,(* - *),8.34,(6.02 - 11.44),10.44,(8.06 - 13.41)
Urban,9.12,(7.14 - 11.60),19.94,(17.01 - 23.23),7.58,(5.94 - 9.63),9.63,(8.09 - 11.42)
Arizona,9.27,(7.57 - 11.32),19.93,(17.47 - 22.64),8.43,(6.94 - 10.20),10.17,(8.80 - 11.73)
Maricopa,9.03,(7.01 - 11.57),19.35,(16.38 - 22.72),8.5,(6.68 - 10.76),10.21,(8.51 - 12.21)
Pima,10.48,(7.56 - 14.35),21.97,(17.13 - 27.70),8.94,(6.54 - 12.12),10.93,(8.55 - 13.88)
Rural North,9.74,(6.92 - 13.54),*,(* - *),8.68,(6.23 - 11.98),10.63,(8.15 - 13.75)
Rural South,8.43,(5.68 - 12.33),*,(* - *),7.13,(5.01 - 10.05),8.49,(6.35 - 11.27)
Arkansas,10.17,(8.51 - 12.10),21.82,(19.38 - 24.48),6.91,(5.70 - 8.35),9.14,(7.97 - 10.45)
Areas 1 and 2,11.06,(8.13 - 14.88),25.61,(20.61 - 31.34),7.19,(5.28 - 9.73),10.07,(8.07 - 12.49)
Areas 3 and 4,12.14,(9.07 - 16.05),23.64,(18.84 - 29.21),6.94,(5.02 - 9.52),9.41,(7.43 - 11.86)
Areas 5 and 6,9.16,(6.56 - 12.64),18.88,(14.92 - 23.59),6.49,(4.74 - 8.82),8.43,(6.66 - 10.62)
"Areas 7, 12, and 13",9.32,(6.63 - 12.94),19.5,(14.85 - 25.18),8.02,(5.86 - 10.90),9.77,(7.62 - 12.45)
"Areas 8, 10, and 11",9.46,(6.87 - 12.90),21.73,(17.39 - 26.80),6.31,(4.48 - 8.82),8.43,(6.55 - 10.78)
Area 9,9.63,(7.10 - 12.94),20.8,(16.48 - 25.91),6.71,(4.90 - 9.12),8.75,(6.90 - 11.03)
California,8.4,(7.55 - 9.34),20.78,(19.45 - 22.18),7.76,(6.92 - 8.68),9.78,(9.03 - 10.60)
Region 1,10.57,(7.89 - 14.02),*,(* - *),8.66,(6.38 - 11.66),11.28,(8.91 - 14.19)
Region 2,9.4,(7.39 - 11.88),24.75,(20.91 - 29.04),9.39,(7.29 - 12.00),11.65,(9.63 - 14.02)
Region 3,7.87,(5.72 - 10.72),19.07,(14.86 - 24.13),7.04,(5.21 - 9.45),8.96,(7.09 - 11.27)
Region 4,8.25,(6.00 - 11.24),22.94,(18.28 - 28.39),8.79,(6.72 - 11.42),10.5,(8.42 - 13.02)
Region 5,8.99,(6.87 - 11.68),21.85,(17.90 - 26.39),8.79,(6.82 - 11.25),10.59,(8.69 - 12.84)
Region 6 (Santa Clara),7.84,(5.83 - 10.46),18.83,(14.73 - 23.75),6.6,(4.95 - 8.74),8.34,(6.65 - 10.42)
Region 7,8.34,(5.98 - 11.51),21.26,(16.57 - 26.86),7.98,(5.86 - 10.79),10.24,(8.08 - 12.91)
Region 8,8.35,(6.19 - 11.16),20.25,(16.02 - 25.26),8.23,(6.22 - 10.82),10.38,(8.34 - 12.84)
Region 9,10.2,(7.51 - 13.70),22.55,(18.07 - 27.76),8.04,(6.00 - 10.70),10.57,(8.49 - 13.08)
Region 10,9.82,(7.31 - 13.06),23.68,(18.85 - 29.30),7.58,(5.59 - 10.20),10.16,(8.12 - 12.65)
Region 11 (Los Angeles),7.39,(6.06 - 8.99),17.94,(15.69 - 20.44),6.89,(5.65 - 8.38),8.68,(7.51 - 10.01)
Region 12,7.61,(5.64 - 10.18),18.09,(14.39 - 22.48),6.54,(4.92 - 8.65),8.53,(6.86 - 10.56)
Region 13 (Riverside),9.69,(7.37 - 12.64),22.84,(18.22 - 28.24),7.57,(5.70 - 9.98),9.89,(7.97 - 12.22)
Region 14 (Orange),8.39,(6.41 - 10.93),21.42,(17.61 - 25.80),7.76,(5.91 - 10.13),9.8,(7.98 - 11.98)
Region 15,8.77,(6.77 - 11.28),22.79,(19.05 - 27.01),8.43,(6.63 - 10.66),10.85,(9.11 - 12.88)
Colorado,10.1,(8.42 - 12.07),25.8,(22.85 - 28.98),9.21,(7.60 - 11.10),11.66,(10.15 - 13.37)
Region 1,10.88,(7.82 - 14.95),28.31,(22.77 - 34.60),8.6,(6.32 - 11.60),12.07,(9.74 - 14.87)
Regions 2 and 7,9.93,(7.84 - 12.52),25.45,(21.45 - 29.91),9.54,(7.50 - 12.06),11.83,(9.87 - 14.12)
