Total United States,13.47,,44.29,,29.08,,31.34,
Northeast,13.69,(12.97 - 14.45),44.85,(43.80 - 45.92),27.37,(26.40 - 28.37),29.82,(28.96 - 30.70)
Midwest,14.83,(14.21 - 15.47),49.5,(48.67 - 50.32),31.73,(30.91 - 32.56),34.42,(33.71 - 35.15)
South,13.68,(13.10 - 14.29),44.87,(44.09 - 45.65),31.56,(30.75 - 32.39),33.53,(32.82 - 34.25)
West,11.7,(10.97 - 12.48),37.96,(36.92 - 39.01),23.93,(22.94 - 24.95),26.09,(25.23 - 26.98)
Alabama,16.5,(14.33 - 18.92),46.9,(43.64 - 50.20),34.6,(31.59 - 37.74),36.43,(33.76 - 39.19)
Region 1,18.22,(14.65 - 22.45),48.42,(42.83 - 54.04),35.44,(30.92 - 40.24),37.19,(33.06 - 41.51)
Region 2,17.33,(13.99 - 21.26),49.3,(44.29 - 54.33),35.07,(30.63 - 39.79),37.23,(33.28 - 41.35)
Region 3,12.59,(9.56 - 16.41),42.63,(36.89 - 48.57),31.33,(26.39 - 36.74),33.34,(28.93 - 38.06)
Region 4,16.73,(13.39 - 20.70),45.66,(40.07 - 51.37),35.35,(30.76 - 40.22),36.8,(32.60 - 41.21)
Alaska,15.77,(13.43 - 18.43),48.29,(44.89 - 51.71),30.17,(27.22 - 33.30),33.1,(30.49 - 35.82)
Gulf Coast,16.04,(11.74 - 21.53),*,(* - *),29.82,(24.64 - 35.57),32.37,(27.49 - 37.67)
Rural,*,(* - *),*,(* - *),*,(* - *),41.27,(34.99 - 47.86)
Southeast,15.42,(11.53 - 20.33),*,(* - *),28.48,(23.70 - 33.80),31.62,(27.15 - 36.46)
Urban,14.16,(11.55 - 17.24),46.14,(42.20 - 50.14),29.41,(26.03 - 33.03),32.18,(29.21 - 35.30)
Arizona,13.32,(11.30 - 15.64),41.51,(38.23 - 44.87),26.87,(24.11 - 29.82),29.09,(26.62 - 31.68)
