Total United States,18.78,,10.27,,11.54,
Northeast,18.81,(18.05 - 19.60),9.88,(9.32 - 10.46),11.13,(10.63 - 11.65)
Midwest,19.14,(18.54 - 19.76),10.62,(10.15 - 11.12),11.92,(11.50 - 12.35)
South,18.24,(17.67 - 18.82),10.59,(10.10 - 11.11),11.73,(11.29 - 12.18)
West,19.21,(18.40 - 20.05),9.75,(9.12 - 10.43),11.21,(10.66 - 11.79)
Alabama,16.92,(14.83 - 19.24),9.77,(8.27 - 11.51),10.83,(9.46 - 12.38)
Region 1,16.8,(13.67 - 20.46),9.58,(7.50 - 12.16),10.55,(8.59 - 12.89)
Region 2,17.45,(14.50 - 20.85),10.01,(7.85 - 12.69),11.14,(9.15 - 13.50)
Region 3,16.43,(13.41 - 19.98),9.81,(7.58 - 12.60),10.98,(8.96 - 13.40)
Region 4,16.74,(13.54 - 20.51),9.63,(7.57 - 12.17),10.63,(8.69 - 12.93)
Alaska,17.83,(15.65 - 20.24),10.36,(8.74 - 12.24),11.56,(10.11 - 13.20)
Gulf Coast,18.78,(14.94 - 23.35),9.72,(7.23 - 12.93),10.94,(8.57 - 13.87)
Rural,16.73,(13.07 - 21.16),10.59,(7.91 - 14.04),11.76,(9.32 - 14.75)
Southeast,18.88,(15.25 - 23.14),9.74,(7.40 - 12.72),11,(8.80 - 13.67)
Urban,17.74,(15.21 - 20.59),10.56,(8.63 - 12.86),11.75,(10.00 - 13.75)
Arizona,19.27,(16.88 - 21.89),10.73,(9.10 - 12.61),12.02,(10.55 - 13.68)
Maricopa,19.45,(16.59 - 22.66),10.73,(8.82 - 13.01),12.11,(10.36 - 14.10)
Pima,18.77,(14.93 - 23.33),10.86,(8.29 - 14.10),12.06,(9.64 - 15.00)
Rural North,19.9,(16.16 - 24.26),10.32,(7.82 - 13.51),11.63,(9.25 - 14.51)
Rural South,18.33,(14.50 - 22.90),10.93,(8.22 - 14.40),11.93,(9.37 - 15.07)
Arkansas,21.48,(19.15 - 24.00),11.48,(9.83 - 13.38),12.98,(11.47 - 14.64)
Areas 1 and 2,23.34,(19.27 - 27.96),10.88,(8.45 - 13.90),12.82,(10.52 - 15.54)
Areas 3 and 4,22.49,(18.51 - 27.03),12.48,(9.76 - 15.83),13.96,(11.44 - 16.94)
Areas 5 and 6,20.73,(17.16 - 24.83),10.98,(8.56 - 13.98),12.51,(10.22 - 15.22)
"Areas 7, 12, and 13",20.36,(16.63 - 24.68),11.43,(8.85 - 14.63),12.79,(10.40 - 15.63)
"Areas 8, 10, and 11",19.83,(16.35 - 23.84),10.78,(8.36 - 13.81),12.03,(9.77 - 14.72)
Area 9,21.36,(17.49 - 25.81),12.19,(9.61 - 15.34),13.52,(11.11 - 16.35)
California,18.37,(17.10 - 19.71),9.09,(8.17 - 10.10),10.53,(9.71 - 11.41)
Region 1,18.91,(15.41 - 22.98),9.55,(7.31 - 12.37),10.93,(8.82 - 13.46)
Region 2,19.35,(16.44 - 22.65),8.99,(7.19 - 11.17),10.51,(8.83 - 12.47)
Region 3,19.79,(16.29 - 23.82),10.59,(8.27 - 13.48),12.06,(9.85 - 14.68)
Region 4,19.16,(15.70 - 23.19),9.87,(7.82 - 12.38),10.99,(9.03 - 13.32)
Region 5,18.79,(15.75 - 22.28),8.8,(7.04 - 10.95),10.17,(8.49 - 12.15)
Region 6 (Santa Clara),18.5,(15.26 - 22.25),8.43,(6.62 - 10.69),9.87,(8.11 - 11.96)
Region 7,16.75,(13.57 - 20.49),8.86,(6.88 - 11.35),10.2,(8.33 - 12.44)
Region 8,17.51,(14.32 - 21.23),10.34,(8.11 - 13.11),11.62,(9.56 - 14.06)
Region 9,16.99,(13.83 - 20.70),10.45,(8.04 - 13.49),11.59,(9.37 - 14.25)
Region 10,19.22,(15.70 - 23.31),8.71,(6.73 - 11.21),10.4,(8.48 - 12.68)
Region 11 (Los Angeles),17.69,(15.59 - 20.00),9.12,(7.70 - 10.78),10.5,(9.21 - 11.95)
Region 12,17.29,(14.26 - 20.81),8.65,(6.75 - 11.01),10.13,(8.36 - 12.24)
Region 13 (Riverside),17.56,(14.54 - 21.05),9.02,(7.00 - 11.56),10.32,(8.43 - 12.58)
Region 14 (Orange),19.15,(16.09 - 22.64),8.19,(6.47 - 10.31),9.82,(8.19 - 11.74)
Region 15,19.34,(16.39 - 22.67),8.74,(7.04 - 10.80),10.53,(8.93 - 12.38)
Colorado,18.72,(16.43 - 21.24),10.12,(8.56 - 11.93),11.39,(9.96 - 13.00)
Region 1,17.41,(13.96 - 21.48),9.51,(7.28 - 12.33),10.9,(8.81 - 13.42)
Regions 2 and 7,19.19,(16.25 - 22.51),10.03,(8.14 - 12.29),11.35,(9.59 - 13.38)
Region 3,19.26,(15.48 - 23.70),10.21,(7.90 - 13.08),11.53,(9.35 - 14.15)
Region 4,18.02,(14.24 - 22.55),13.01,(9.92 - 16.89),13.69,(10.82 - 17.18)
Regions 5 and 6,17.77,(14.10 - 22.13),9.59,(7.33 - 12.45),10.79,(8.63 - 13.41)
Connecticut,20.62,(18.18 - 23.29),9.66,(8.06 - 11.52),11.11,(9.63 - 12.78)
Eastern,22.06,(17.85 - 26.92),10.56,(7.95 - 13.89),12.51,(10.04 - 15.47)
North Central,20.16,(16.70 - 24.12),9.78,(7.55 - 12.58),11.11,(9.01 - 13.63)
Northwestern,22.49,(18.51 - 27.06),9.74,(7.45 - 12.64),11.29,(9.10 - 13.94)
South Central,19.56,(16.08 - 23.57),9.58,(7.37 - 12.36),10.95,(8.88 - 13.44)
Southwest,19.9,(16.07 - 24.37),8.97,(6.84 - 11.68),10.28,(8.21 - 12.79)
Delaware,18.13,(15.88 - 20.63),9.75,(8.29 - 11.42),10.97,(9.64 - 12.46)
Kent,18.33,(14.99 - 22.21),10.29,(7.96 - 13.22),11.57,(9.39 - 14.17)
New Castle (excluding Wilmington City),18.3,(15.40 - 21.59),9.16,(7.42 - 11.27),10.58,(8.96 - 12.46)
Sussex,18.4,(14.87 - 22.55),9.75,(7.54 - 12.52),10.71,(8.62 - 13.23)
Wilmington City,16.5,(13.04 - 20.65),12.1,(9.25 - 15.68),12.8,(10.17 - 15.98)
District of Columbia,17.77,(15.59 - 20.20),10.69,(9.06 - 12.56),11.82,(10.36 - 13.46)
Ward 1,17.89,(14.24 - 22.24),11.98,(9.20 - 15.47),13.05,(10.49 - 16.11)
Ward 2,18.56,(15.29 - 22.35),11.96,(9.37 - 15.15),13.6,(11.31 - 16.26)
Ward 3,19.8,(15.84 - 24.46),11.26,(8.65 - 14.54),12.62,(10.16 - 15.56)
Ward 4,17.62,(13.96 - 21.99),9.02,(6.74 - 11.97),9.88,(7.68 - 12.61)
Ward 5,16.09,(12.81 - 20.02),9.02,(6.93 - 11.65),10.03,(8.06 - 12.42)
Ward 6,17.65,(13.98 - 22.04),10.84,(8.31 - 14.03),11.74,(9.36 - 14.63)
Ward 7,15.18,(11.95 - 19.08),9.59,(7.31 - 12.49),10.27,(8.11 - 12.91)
Ward 8,16.72,(13.38 - 20.68),11.95,(9.28 - 15.27),12.81,(10.41 - 15.68)
Florida,16.85,(15.67 - 18.10),9.82,(8.88 - 10.84),10.73,(9.88 - 11.64)
Region A,17.6,(15.40 - 20.05),11.25,(9.52 - 13.24),12.37,(10.81 - 14.12)
Circuit 1,18.38,(14.99 - 22.34),11.28,(8.91 - 14.17),12.38,(10.18 - 14.97)
Circuit 2,16.57,(13.61 - 20.01),10.55,(8.26 - 13.37),11.98,(9.92 - 14.41)
Circuit 14,18,(14.62 - 21.95),12.04,(9.34 - 15.39),12.88,(10.36 - 15.90)
Region B,17.62,(15.63 - 19.81),10.5,(9.00 - 12.22),11.61,(10.24 - 13.14)
Circuits 3 and 8,18.02,(14.95 - 21.56),11.35,(8.89 - 14.38),12.77,(10.55 - 15.37)
Circuit 4,17.59,(14.70 - 20.90),11.05,(8.88 - 13.68),12.07,(10.05 - 14.42)
Circuit 7,17.17,(14.14 - 20.69),9.26,(7.21 - 11.81),10.18,(8.24 - 12.50)
Region C,17.32,(15.62 - 19.16),9.81,(8.58 - 11.20),10.77,(9.62 - 12.03)
Circuit 5,16.97,(13.95 - 20.49),10.42,(8.17 - 13.20),11.02,(8.87 - 13.62)
Circuit 9,17.75,(14.96 - 20.93),9.81,(7.83 - 12.23),11.15,(9.31 - 13.30)
Circuit 10,15.86,(12.89 - 19.36),10.33,(8.03 - 13.19),11.04,(8.88 - 13.65)
Circuit 18,18.22,(15.14 - 21.78),9.36,(7.40 - 11.77),10.44,(8.57 - 12.65)
Circuit 19,16.69,(13.58 - 20.34),8.92,(6.89 - 11.47),9.7,(7.76 - 12.07)
Region D,15.78,(14.11 - 17.61),8.9,(7.75 - 10.20),9.76,(8.69 - 10.93)
Circuits 11 and 16,15.68,(13.25 - 18.45),8.86,(7.18 - 10.88),9.79,(8.22 - 11.62)
Circuit 15 (Palm Beach),15.7,(13.06 - 18.75),8.4,(6.71 - 10.48),9.17,(7.55 - 11.10)
Circuit 17 (Broward),16,(13.48 - 18.89),9.32,(7.58 - 11.41),10.13,(8.50 - 12.03)
Region E,16.94,(15.20 - 18.84),10.24,(8.89 - 11.77),10.99,(9.73 - 12.38)
Circuit 6,17.19,(14.26 - 20.57),10.88,(8.66 - 13.58),11.5,(9.41 - 14.00)
Circuit 12,16.69,(13.57 - 20.36),9.29,(7.18 - 11.94),9.98,(7.95 - 12.46)
Circuit 13 (Hillsborough),17.54,(14.61 - 20.93),11.62,(9.36 - 14.33),12.51,(10.43 - 14.92)
Circuit 20,15.88,(13.02 - 19.22),8.76,(6.89 - 11.07),9.47,(7.68 - 11.61)
Georgia,18.55,(16.34 - 20.99),10.97,(9.30 - 12.90),12.12,(10.62 - 13.81)
Region 1,17.89,(14.42 - 21.98),12.44,(9.61 - 15.96),13.21,(10.60 - 16.34)
Region 2,19.56,(15.92 - 23.80),11.21,(8.57 - 14.54),12.51,(10.07 - 15.45)
Region 3,18.45,(15.45 - 21.88),9.96,(7.91 - 12.47),11.23,(9.35 - 13.43)
Region 4,18.86,(15.26 - 23.07),12.21,(9.33 - 15.82),13.22,(10.59 - 16.39)
Region 5,18.02,(14.34 - 22.38),11.2,(8.59 - 14.48),12.36,(9.93 - 15.28)
Hawaii,19.3,(16.80 - 22.08),7.87,(6.40 - 9.63),9.39,(8.01 - 10.97)
Hawaii Island,19.82,(15.88 - 24.45),8.84,(6.56 - 11.81),10.15,(7.94 - 12.90)
Honolulu,19.28,(16.45 - 22.47),7.71,(6.08 - 9.74),9.32,(7.78 - 11.13)
Kauai and Maui**,19.02,(15.67 - 22.88),7.8,(6.07 - 9.97),9.1,(7.42 - 11.10)
Maui,18.69,(14.85 - 23.25),7.75,(5.79 - 10.31),9.05,(7.14 - 11.42)
Idaho,20.31,(18.11 - 22.69),10.22,(8.72 - 11.93),11.89,(10.54 - 13.40)
Region 1,20.13,(16.21 - 24.71),9.61,(7.40 - 12.38),10.95,(8.82 - 13.52)
Region 2,20.48,(16.45 - 25.20),10.56,(7.98 - 13.85),12.4,(9.96 - 15.34)
Region 3,19.66,(16.02 - 23.89),10.03,(7.86 - 12.73),11.56,(9.50 - 14.01)
Region 4,20.92,(17.61 - 24.67),10.17,(8.04 - 12.80),11.94,(9.95 - 14.25)
Region 5,20.2,(16.28 - 24.78),10.02,(7.73 - 12.88),11.56,(9.35 - 14.20)
Region 6,19.8,(16.00 - 24.23),11.29,(8.68 - 14.56),12.91,(10.48 - 15.80)
Region 7,20.34,(16.61 - 24.65),10.37,(8.08 - 13.22),12.46,(10.29 - 15.00)
Illinois,16.87,(15.67 - 18.15),9.7,(8.77 - 10.70),10.78,(9.97 - 11.66)
Region I (Cook),15.55,(13.86 - 17.41),9.24,(7.95 - 10.72),10.2,(9.05 - 11.49)
Region II,18.85,(16.74 - 21.16),8.81,(7.49 - 10.34),10.25,(9.03 - 11.61)
Region III,15.92,(13.51 - 18.67),11.18,(9.16 - 13.58),12,(10.21 - 14.05)
Region IV,18.44,(15.47 - 21.82),10.92,(8.71 - 13.61),12.01,(9.96 - 14.41)
Region V,17.25,(14.78 - 20.04),11.86,(9.64 - 14.51),12.66,(10.67 - 14.97)
Indiana,19.54,(17.41 - 21.87),11.6,(9.95 - 13.49),12.82,(11.33 - 14.48)
Central,19.92,(16.53 - 23.79),11.16,(8.81 - 14.03),12.4,(10.21 - 14.99)
East,20.35,(16.49 - 24.85),13.16,(10.11 - 16.96),14.28,(11.47 - 17.63)
North Central,19.58,(15.97 - 23.78),13.18,(10.18 - 16.91),14.14,(11.38 - 17.43)
Northeast,18.89,(15.28 - 23.12),10.96,(8.41 - 14.17),12.16,(9.76 - 15.05)
Northwest,20.06,(16.30 - 24.42),10.33,(8.03 - 13.19),11.7,(9.53 - 14.30)
Southeast,19.11,(15.36 - 23.52),11.55,(8.88 - 14.87),12.58,(10.06 - 15.62)
Southwest,19.79,(15.97 - 24.26),12.14,(9.26 - 15.76),13.24,(10.55 - 16.49)
West,18.73,(15.25 - 22.81),10.76,(8.18 - 14.02),12.5,(10.17 - 15.27)
Iowa,17.63,(15.55 - 19.92),10.6,(9.07 - 12.36),11.69,(10.30 - 13.24)
Central,18.15,(14.64 - 22.29),10.98,(8.55 - 14.00),12.05,(9.76 - 14.77)
North Central,16.89,(13.61 - 20.77),10.13,(7.78 - 13.10),11.38,(9.21 - 13.99)
Northeast,18.57,(15.29 - 22.37),10.59,(8.43 - 13.22),11.84,(9.83 - 14.18)
Northwest,17.14,(13.60 - 21.38),9.92,(7.61 - 12.83),10.92,(8.75 - 13.55)
Southeast,17.18,(13.97 - 20.96),11.1,(8.80 - 13.92),12.11,(10.00 - 14.59)
Southwest,17.09,(13.76 - 21.03),10.57,(8.18 - 13.57),11.43,(9.18 - 14.14)
Kansas,19.29,(17.03 - 21.77),11.94,(10.28 - 13.83),13.13,(11.62 - 14.80)
Kansas City Metro,19.42,(16.24 - 23.06),11.25,(9.10 - 13.84),12.61,(10.61 - 14.91)
Northeast,19.47,(15.69 - 23.91),12.62,(9.80 - 16.10),13.81,(11.20 - 16.90)
South Central,17.72,(14.13 - 21.98),11.42,(8.85 - 14.61),12.36,(9.97 - 15.21)
Southeast,19.32,(15.39 - 23.97),12.88,(9.82 - 16.71),13.86,(11.04 - 17.27)
West,17.06,(13.63 - 21.13),11.67,(8.87 - 15.19),12.5,(9.93 - 15.62)
Wichita (Sedgwick),21.45,(17.59 - 25.89),12.68,(9.96 - 16.00),14.06,(11.54 - 17.03)
Kentucky,19.38,(17.17 - 21.79),12.85,(11.14 - 14.78),13.78,(12.22 - 15.50)
"Adanta, Cumberland River, and Lifeskills",19.76,(16.09 - 24.03),14.04,(11.02 - 17.72),14.85,(12.07 - 18.13)
"Bluegrass, Comprehend, and North Key",18.82,(15.58 - 22.55),12.16,(9.78 - 15.03),13.19,(10.99 - 15.76)
Communicare and River Valley,20.74,(16.62 - 25.57),12.9,(10.05 - 16.42),13.99,(11.32 - 17.17)
Four Rivers and Pennyroyal,19.03,(15.29 - 23.45),12.86,(10.04 - 16.32),13.74,(11.14 - 16.83)
"Kentucky River, Mountain, and Pathways",19.92,(16.32 - 24.07),14.65,(11.50 - 18.48),15.39,(12.50 - 18.80)
Seven Counties,19.05,(15.52 - 23.16),11.8,(9.40 - 14.71),12.73,(10.47 - 15.40)
Louisiana,17.97,(15.91 - 20.24),11.57,(9.87 - 13.53),12.64,(11.13 - 14.32)
Region 1,16.73,(13.33 - 20.78),12.34,(9.42 - 16.01),13.08,(10.40 - 16.31)
Regions 2 and 9,18.28,(15.15 - 21.90),9.98,(7.80 - 12.69),11.43,(9.42 - 13.81)
Region 3,19.76,(15.82 - 24.40),11.46,(8.79 - 14.82),12.82,(10.29 - 15.85)
