Total United States,16.85,,60.98,,53.92,,54.97,
Northeast,18.7,(17.94 - 19.48),65.96,(64.90 - 67.00),58.53,(57.35 - 59.70),59.57,(58.52 - 60.61)
Midwest,17.69,(17.09 - 18.31),66.94,(66.12 - 67.74),56.62,(55.65 - 57.59),58.19,(57.33 - 59.04)
South,15.7,(15.16 - 16.27),56.73,(55.90 - 57.55),49.24,(48.30 - 50.19),50.35,(49.51 - 51.19)
West,16.38,(15.60 - 17.18),57.92,(56.83 - 58.99),54.85,(53.67 - 56.02),55.32,(54.28 - 56.36)
Alabama,16.13,(14.02 - 18.50),52.89,(49.64 - 56.12),42.9,(39.47 - 46.40),44.39,(41.35 - 47.48)
Region 1,15.3,(12.15 - 19.09),47.4,(41.50 - 53.37),36.92,(31.53 - 42.66),38.33,(33.44 - 43.47)
Region 2,17.17,(13.82 - 21.13),56.07,(50.70 - 61.30),44.46,(38.95 - 50.11),46.22,(41.32 - 51.20)
Region 3,14.19,(10.92 - 18.22),54.74,(48.73 - 60.61),*,(* - *),47.44,(41.47 - 53.48)
Region 4,17.35,(13.82 - 21.56),52.76,(46.56 - 58.87),46.07,(39.99 - 52.27),47.01,(41.55 - 52.54)
Alaska,15.55,(13.40 - 17.96),57.64,(54.25 - 60.97),56.56,(53.16 - 59.90),56.74,(53.74 - 59.69)
Gulf Coast,13.55,(10.03 - 18.05),*,(* - *),*,(* - *),*,(* - *)
Rural,9.92,(7.20 - 13.51),*,(* - *),*,(* - *),*,(* - *)
Southeast,14.94,(11.29 - 19.51),*,(* - *),*,(* - *),*,(* - *)
Urban,17.16,(14.31 - 20.44),61.01,(57.01 - 64.86),60.52,(56.48 - 64.43),60.61,(57.10 - 64.00)
Arizona,17.91,(15.58 - 20.50),59.24,(55.96 - 62.44),57.47,(54.08 - 60.79),57.74,(54.75 - 60.67)
Maricopa,18.21,(15.27 - 21.58),59.22,(55.11 - 63.21),60.73,(56.57 - 64.74),60.5,(56.88 - 64.00)
Pima,19.29,(14.91 - 24.59),66.42,(59.83 - 72.42),59.7,(52.97 - 66.07),60.72,(54.66 - 66.47)
Rural North,17.32,(13.27 - 22.30),*,(* - *),*,(* - *),54.24,(47.48 - 60.84)
Rural South,15.26,(11.25 - 20.36),*,(* - *),*,(* - *),*,(* - *)
Arkansas,17.3,(15.10 - 19.76),53.73,(50.52 - 56.92),42.14,(38.81 - 45.53),43.87,(40.93 - 46.86)
Areas 1 and 2,20.23,(15.66 - 25.71),60.59,(53.97 - 66.84),*,(* - *),49.55,(43.14 - 55.97)
Areas 3 and 4,17,(13.29 - 21.49),52.68,(46.07 - 59.21),38.67,(32.50 - 45.23),40.75,(35.19 - 46.56)
Areas 5 and 6,15.72,(11.95 - 20.41),50.51,(44.50 - 56.51),40.62,(34.30 - 47.28),42.18,(36.58 - 47.99)
"Areas 7, 12, and 13",16.84,(12.95 - 21.61),*,(* - *),*,(* - *),39.37,(33.28 - 45.81)
"Areas 8, 10, and 11",18.21,(14.13 - 23.15),57.21,(50.96 - 63.25),*,(* - *),42.38,(36.47 - 48.51)
Area 9,15.86,(12.42 - 20.04),54.36,(47.79 - 60.77),46.01,(40.20 - 51.94),47.22,(41.93 - 52.58)
California,15.77,(14.55 - 17.07),56.58,(54.83 - 58.32),54.26,(52.47 - 56.03),54.62,(53.05 - 56.18)
Region 1,20.09,(15.87 - 25.09),*,(* - *),*,(* - *),59.83,(53.49 - 65.85)
Region 2,16.88,(13.85 - 20.42),61.51,(56.93 - 65.90),63.13,(58.21 - 67.79),62.89,(58.58 - 67.00)
Region 3,16.69,(13.19 - 20.89),54.64,(47.79 - 61.31),54.72,(48.02 - 61.25),54.71,(48.70 - 60.58)
Region 4,17.66,(13.88 - 22.19),63.85,(57.43 - 69.81),60.73,(55.01 - 66.16),61.1,(55.87 - 66.09)
Region 5,15.85,(12.92 - 19.29),61.67,(56.22 - 66.84),61.89,(56.50 - 66.99),61.86,(57.04 - 66.45)
Region 6 (Santa Clara),14.06,(11.02 - 17.78),55.1,(48.50 - 61.53),56.33,(50.58 - 61.91),56.15,(50.93 - 61.24)
Region 7,16.94,(12.70 - 22.24),*,(* - *),*,(* - *),60.71,(54.39 - 66.70)
Region 8,15.73,(12.50 - 19.61),52.15,(45.91 - 58.32),49.98,(43.59 - 56.37),50.37,(44.76 - 55.97)
Region 9,18.72,(14.71 - 23.53),56.64,(50.42 - 62.65),*,(* - *),54.48,(48.29 - 60.53)
Region 10,19.02,(15.15 - 23.60),58.72,(51.92 - 65.21),61.87,(55.17 - 68.15),61.37,(55.40 - 67.01)
Region 11 (Los Angeles),13.75,(11.86 - 15.89),52.12,(48.92 - 55.31),48.08,(44.79 - 51.39),48.73,(45.89 - 51.58)
Region 12,15.54,(12.42 - 19.27),51.46,(45.73 - 57.15),43.54,(37.74 - 49.52),44.91,(39.83 - 50.09)
Region 13 (Riverside),16.88,(13.52 - 20.89),55.8,(49.39 - 62.03),51.77,(45.45 - 58.02),52.38,(46.69 - 58.01)
Region 14 (Orange),15.44,(12.43 - 19.02),55.74,(50.51 - 60.85),55.07,(49.59 - 60.43),55.17,(50.34 - 59.90)
Region 15,16.52,(13.24 - 20.41),62.85,(58.21 - 67.26),54.44,(49.52 - 59.28),55.87,(51.55 - 60.09)
Colorado,19.53,(17.11 - 22.21),68.75,(65.48 - 71.84),61.65,(58.29 - 64.90),62.7,(59.72 - 65.59)
Region 1,21.57,(16.95 - 27.04),72.79,(66.61 - 78.19),66.41,(59.78 - 72.46),67.54,(61.66 - 72.91)
Regions 2 and 7,19.85,(16.64 - 23.51),67.6,(63.06 - 71.83),61.91,(57.49 - 66.13),62.73,(58.79 - 66.50)
Region 3,17.57,(13.50 - 22.56),69.76,(63.40 - 75.44),*,(* - *),62.51,(56.08 - 68.52)
Region 4,20.72,(16.00 - 26.39),*,(* - *),*,(* - *),*,(* - *)
Regions 5 and 6,17.25,(12.87 - 22.73),*,(* - *),*,(* - *),*,(* - *)
Connecticut,20.7,(18.33 - 23.29),72.54,(69.35 - 75.51),65.07,(61.46 - 68.51),66.05,(62.84 - 69.13)
Eastern,19.55,(15.32 - 24.60),*,(* - *),*,(* - *),*,(* - *)
North Central,19.04,(15.36 - 23.37),72,(66.86 - 76.62),62.34,(56.31 - 68.00),63.57,(58.17 - 68.65)
Northwestern,24.21,(19.44 - 29.73),70.74,(64.33 - 76.42),*,(* - *),64.77,(58.03 - 70.97)
South Central,20.98,(17.12 - 25.44),75.46,(69.93 - 80.26),67.66,(61.59 - 73.18),68.73,(63.29 - 73.69)
Southwest,20.26,(16.23 - 24.99),68.96,(62.78 - 74.53),67.72,(61.08 - 73.71),67.86,(61.82 - 73.37)
Delaware,16.27,(14.15 - 18.64),63.52,(60.28 - 66.65),53.06,(49.67 - 56.42),54.59,(51.61 - 57.54)
Kent,16.47,(12.96 - 20.71),60.01,(53.73 - 65.98),*,(* - *),52.51,(46.41 - 58.53)
New Castle (excluding Wilmington City),17.37,(14.53 - 20.64),68.06,(63.84 - 72.00),58.09,(53.57 - 62.49),59.64,(55.69 - 63.48)
Sussex,14.62,(11.42 - 18.53),54.05,(47.58 - 60.39),44.73,(38.45 - 51.18),45.76,(39.99 - 51.64)
Wilmington City,13.19,(9.79 - 17.53),*,(* - *),*,(* - *),*,(* - *)
District of Columbia,13.28,(11.20 - 15.68),71.03,(67.79 - 74.06),62.33,(59.03 - 65.52),63.72,(60.82 - 66.53)
Ward 1,14.01,(10.31 - 18.77),*,(* - *),*,(* - *),64.57,(57.83 - 70.77)
Ward 2,*,(* - *),83.87,(79.31 - 87.58),76.87,(70.78 - 82.01),78.62,(73.63 - 82.89)
Ward 3,20.98,(15.99 - 27.01),85.18,(80.40 - 88.96),79.53,(73.87 - 84.22),80.43,(75.46 - 84.59)
Ward 4,13.33,(9.97 - 17.60),*,(* - *),*,(* - *),*,(* - *)
Ward 5,12.79,(9.43 - 17.12),*,(* - *),50.61,(44.00 - 57.21),52.3,(46.31 - 58.22)
Ward 6,12.6,(9.04 - 17.30),*,(* - *),*,(* - *),*,(* - *)
Ward 7,10.81,(8.16 - 14.18),*,(* - *),*,(* - *),48.74,(42.23 - 55.30)
Ward 8,10.9,(8.31 - 14.18),*,(* - *),*,(* - *),49.67,(43.41 - 55.93)
Florida,16.95,(15.79 - 18.18),58.37,(56.69 - 60.04),55.45,(53.63 - 57.27),55.83,(54.21 - 57.44)
Region A,17.18,(14.61 - 20.09),62.48,(58.57 - 66.25),53.73,(49.06 - 58.33),55.28,(51.21 - 59.28)
Circuit 1,17.59,(13.85 - 22.08),*,(* - *),54.1,(47.31 - 60.75),54.97,(48.89 - 60.90)
Circuit 2,16.45,(12.57 - 21.24),68.34,(62.90 - 73.33),*,(* - *),59.49,(53.08 - 65.58)
Circuit 14,17.28,(13.01 - 22.59),*,(* - *),*,(* - *),*,(* - *)
Region B,17.77,(15.46 - 20.35),60.25,(56.73 - 63.66),52.42,(48.46 - 56.36),53.64,(50.14 - 57.12)
Circuits 3 and 8,19.01,(14.83 - 24.05),63.24,(57.45 - 68.67),*,(* - *),52.47,(46.30 - 58.57)
Circuit 4,16.04,(13.09 - 19.50),58.23,(52.71 - 63.55),53.28,(47.69 - 58.80),54.05,(49.07 - 58.95)
Circuit 7,19.54,(15.62 - 24.16),59.89,(53.67 - 65.81),53.17,(46.70 - 59.53),53.94,(48.01 - 59.77)
Region C,17.22,(15.44 - 19.15),56.96,(54.03 - 59.83),53.8,(50.72 - 56.85),54.2,(51.43 - 56.94)
Circuit 5,16.19,(12.86 - 20.18),56.68,(50.55 - 62.61),52.8,(46.56 - 58.95),53.15,(47.34 - 58.87)
Circuit 9,15.91,(12.91 - 19.44),55.69,(50.75 - 60.52),51.79,(46.17 - 57.37),52.45,(47.59 - 57.27)
Circuit 10,18.23,(14.54 - 22.60),*,(* - *),*,(* - *),47.5,(41.10 - 53.98)
Circuit 18,19,(15.50 - 23.07),67.31,(61.85 - 72.33),59.79,(54.07 - 65.26),60.7,(55.53 - 65.65)
Circuit 19,17.6,(13.75 - 22.25),53.97,(47.20 - 60.60),*,(* - *),*,(* - *)
Region D,15.47,(13.80 - 17.30),55.96,(53.10 - 58.79),55.57,(52.75 - 58.35),55.61,(53.09 - 58.11)
Circuits 11 and 16,14.43,(12.01 - 17.23),52.31,(48.09 - 56.49),51,(46.61 - 55.37),51.17,(47.28 - 55.05)
Circuit 15 (Palm Beach),17.25,(14.07 - 20.96),58.82,(53.63 - 63.82),62.68,(57.55 - 67.55),62.27,(57.59 - 66.74)
Circuit 17 (Broward),15.88,(13.29 - 18.87),60.16,(55.51 - 64.64),56.84,(52.35 - 61.22),57.24,(53.19 - 61.19)
Region E,18.17,(16.28 - 20.22),60.05,(56.89 - 63.12),58.96,(55.87 - 61.98),59.08,(56.25 - 61.85)
Circuit 6,16.2,(13.16 - 19.77),59.99,(54.26 - 65.47),56.31,(50.98 - 61.50),56.67,(51.74 - 61.47)
Circuit 12,20.46,(16.42 - 25.19),61.77,(55.10 - 68.02),62.81,(56.14 - 69.02),62.71,(56.51 - 68.51)
Circuit 13 (Hillsborough),16.56,(13.46 - 20.21),57.75,(52.20 - 63.11),51.58,(45.82 - 57.29),52.5,(47.36 - 57.59)
Circuit 20,21.45,(17.48 - 26.04),62.54,(56.65 - 68.08),66.78,(61.06 - 72.05),66.36,(61.08 - 71.26)
Georgia,14.47,(12.55 - 16.62),51.95,(48.54 - 55.34),46.81,(43.38 - 50.27),47.59,(44.57 - 50.64)
Region 1,16.7,(12.97 - 21.25),*,(* - *),*,(* - *),38.35,(32.54 - 44.52)
Region 2,15.23,(11.88 - 19.31),53.03,(46.64 - 59.32),*,(* - *),45.47,(39.47 - 51.61)
Region 3,13.24,(10.56 - 16.48),54.25,(49.26 - 59.16),52.61,(47.59 - 57.58),52.85,(48.43 - 57.24)
Region 4,14.58,(11.15 - 18.85),*,(* - *),*,(* - *),47.57,(41.22 - 53.99)
Region 5,15,(11.58 - 19.20),*,(* - *),*,(* - *),42.64,(36.61 - 48.91)
Hawaii,13.97,(11.88 - 16.35),59.4,(55.96 - 62.74),49.04,(45.36 - 52.73),50.41,(47.15 - 53.67)
Hawaii Island,15.84,(11.95 - 20.71),*,(* - *),*,(* - *),51.74,(45.03 - 58.39)
Honolulu,13.42,(11.02 - 16.25),60.44,(56.50 - 64.25),47.71,(43.44 - 52.02),49.48,(45.72 - 53.24)
Kauai and Maui**,14.65,(11.50 - 18.50),54.17,(47.64 - 60.55),53.49,(46.85 - 60.00),53.56,(47.45 - 59.57)
Maui,13.92,(10.35 - 18.46),*,(* - *),*,(* - *),*,(* - *)
Idaho,16.04,(13.94 - 18.39),54.28,(51.13 - 57.41),49.7,(46.48 - 52.93),50.47,(47.64 - 53.29)
Region 1,18.47,(14.28 - 23.55),*,(* - *),*,(* - *),56.25,(49.83 - 62.48)
Region 2,*,(* - *),*,(* - *),*,(* - *),*,(* - *)
Region 3,16.91,(13.29 - 21.27),*,(* - *),39.12,(33.27 - 45.30),40.16,(34.93 - 45.62)
