Total United States,6.99,,16.2,,4.15,,5.95,
Northeast,7.91,(7.39 - 8.47),20.14,(19.29 - 21.01),4.56,(4.16 - 4.99),6.74,(6.37 - 7.12)
Midwest,6.97,(6.57 - 7.39),15.72,(15.12 - 16.33),3.95,(3.65 - 4.28),5.74,(5.46 - 6.03)
South,6.17,(5.81 - 6.55),14.4,(13.83 - 14.99),3.56,(3.28 - 3.86),5.16,(4.91 - 5.43)
West,7.57,(7.00 - 8.17),16.45,(15.66 - 17.26),4.96,(4.50 - 5.47),6.74,(6.32 - 7.18)
Alabama,6.2,(4.90 - 7.80),12.67,(10.67 - 14.99),3.2,(2.40 - 4.25),4.61,(3.79 - 5.61)
Region 1,6.23,(4.32 - 8.91),10.91,(7.95 - 14.78),2.6,(1.67 - 4.02),3.72,(2.69 - 5.11)
Region 2,6.45,(4.49 - 9.18),14.3,(11.15 - 18.15),3.51,(2.36 - 5.18),5.14,(3.92 - 6.72)
Region 3,5.44,(3.57 - 8.20),12.02,(8.73 - 16.31),3.36,(2.11 - 5.30),4.9,(3.52 - 6.78)
Region 4,6.46,(4.52 - 9.16),12.95,(9.68 - 17.13),3.42,(2.23 - 5.22),4.76,(3.49 - 6.47)
Alaska,9.68,(7.82 - 11.93),21.08,(18.46 - 23.97),7.76,(6.20 - 9.68),9.91,(8.45 - 11.60)
Gulf Coast,8.56,(5.57 - 12.94),*,(* - *),6.32,(3.93 - 10.01),8.18,(5.68 - 11.64)
Rural,7.29,(4.70 - 11.14),*,(* - *),6.73,(4.14 - 10.75),9.01,(6.27 - 12.78)
Southeast,10.37,(6.97 - 15.16),*,(* - *),7.39,(4.80 - 11.21),9.52,(6.85 - 13.09)
Urban,10.26,(7.97 - 13.12),21.42,(18.41 - 24.76),8.27,(6.41 - 10.60),10.45,(8.73 - 12.46)
Arizona,7.6,(6.02 - 9.54),13.89,(11.60 - 16.55),3.41,(2.54 - 4.57),5,(4.10 - 6.09)
Maricopa,7.42,(5.56 - 9.84),14.09,(11.38 - 17.31),3.46,(2.42 - 4.93),5.13,(4.05 - 6.48)
Pima,8.68,(5.79 - 12.80),13.16,(9.26 - 18.39),3.83,(2.41 - 6.04),5.25,(3.71 - 7.40)
Rural North,8.33,(5.54 - 12.33),*,(* - *),3.48,(2.14 - 5.61),5.14,(3.61 - 7.27)
Rural South,6.35,(4.02 - 9.89),*,(* - *),2.55,(1.50 - 4.32),3.84,(2.56 - 5.70)
Arkansas,7.92,(6.42 - 9.72),14.01,(11.96 - 16.34),3.74,(2.84 - 4.92),5.28,(4.37 - 6.36)
Areas 1 and 2,9.01,(6.14 - 13.03),13.4,(9.77 - 18.11),3.39,(2.12 - 5.38),4.95,(3.55 - 6.86)
Areas 3 and 4,6.87,(4.71 - 9.93),12.26,(8.88 - 16.70),3.33,(2.12 - 5.20),4.66,(3.33 - 6.47)
Areas 5 and 6,7.22,(4.83 - 10.67),12.15,(8.99 - 16.23),3.64,(2.29 - 5.72),4.97,(3.56 - 6.89)
"Areas 7, 12, and 13",7.32,(4.94 - 10.71),12.83,(9.24 - 17.54),3.63,(2.26 - 5.77),5.03,(3.56 - 7.06)
"Areas 8, 10, and 11",8.64,(5.94 - 12.41),17.12,(13.05 - 22.13),3.91,(2.48 - 6.13),5.73,(4.20 - 7.78)
Area 9,8.41,(5.92 - 11.80),16.68,(12.37 - 22.12),4.52,(3.01 - 6.74),6.28,(4.67 - 8.41)
California,7.4,(6.55 - 8.35),16.24,(15.03 - 17.52),5.22,(4.52 - 6.02),6.93,(6.29 - 7.64)
Region 1,10.24,(7.16 - 14.42),*,(* - *),8.76,(5.90 - 12.81),11.46,(8.58 - 15.14)
Region 2,8.59,(6.51 - 11.25),21.08,(17.63 - 25.01),7.43,(5.48 - 10.00),9.44,(7.57 - 11.70)
Region 3,6.34,(4.35 - 9.15),15.78,(11.85 - 20.70),4.69,(3.13 - 6.97),6.46,(4.78 - 8.67)
Region 4,9.49,(6.75 - 13.20),23.52,(18.55 - 29.34),8.23,(5.91 - 11.34),10.07,(7.78 - 12.95)
Region 5,8.74,(6.42 - 11.79),20.46,(16.41 - 25.21),6.72,(4.88 - 9.20),8.61,(6.77 - 10.89)
Region 6 (Santa Clara),6.16,(4.10 - 9.14),12.6,(9.18 - 17.06),3.81,(2.54 - 5.67),5.06,(3.71 - 6.88)
Region 7,7.47,(4.95 - 11.13),15.77,(11.61 - 21.06),5.97,(3.96 - 8.91),7.64,(5.56 - 10.41)
Region 8,6.23,(4.40 - 8.75),13.63,(10.06 - 18.20),4.25,(2.80 - 6.38),5.92,(4.38 - 7.96)
Region 9,7.37,(5.06 - 10.62),18.01,(13.72 - 23.26),5.02,(3.31 - 7.56),7.28,(5.44 - 9.68)
Region 10,8.31,(5.77 - 11.83),20.77,(15.93 - 26.62),5.92,(3.91 - 8.85),8.3,(6.20 - 11.02)
Region 11 (Los Angeles),6.44,(5.16 - 8.01),12.54,(10.62 - 14.76),4.04,(3.11 - 5.24),5.42,(4.52 - 6.47)
Region 12,6.64,(4.70 - 9.31),14.66,(11.19 - 18.98),4.38,(2.94 - 6.47),6.15,(4.62 - 8.14)
Region 13 (Riverside),7.57,(5.37 - 10.57),15.21,(11.49 - 19.85),3.92,(2.59 - 5.89),5.63,(4.18 - 7.55)
Region 14 (Orange),8.59,(6.31 - 11.59),16.71,(13.27 - 20.82),4.77,(3.30 - 6.84),6.55,(5.02 - 8.49)
Region 15,7.49,(5.44 - 10.22),16.13,(12.90 - 19.99),4.9,(3.52 - 6.80),6.8,(5.39 - 8.55)
Colorado,8.68,(7.04 - 10.66),20.78,(17.97 - 23.90),4.77,(3.66 - 6.18),7.14,(6.03 - 8.42)
Region 1,7.49,(5.05 - 10.97),*,(* - *),4.07,(2.58 - 6.37),7.01,(5.21 - 9.37)
Regions 2 and 7,9.87,(7.59 - 12.74),22.21,(18.44 - 26.49),5.21,(3.78 - 7.15),7.66,(6.23 - 9.39)
Region 3,7.8,(5.24 - 11.45),*,(* - *),3.93,(2.44 - 6.28),6.15,(4.46 - 8.43)
Region 4,6.36,(4.04 - 9.87),*,(* - *),3.31,(2.03 - 5.36),4.85,(3.38 - 6.91)
Regions 5 and 6,6.96,(4.53 - 10.56),*,(* - *),5.08,(3.20 - 7.96),7.09,(5.06 - 9.85)
Connecticut,8.39,(6.90 - 10.18),23.34,(20.36 - 26.61),4.75,(3.66 - 6.15),7.22,(6.11 - 8.50)
Eastern,8.21,(5.64 - 11.80),*,(* - *),5.42,(3.42 - 8.48),8.88,(6.56 - 11.91)
North Central,7.93,(5.66 - 11.01),24.21,(19.54 - 29.58),4.44,(3.02 - 6.48),6.97,(5.45 - 8.88)
Northwestern,9.2,(6.57 - 12.74),22.53,(17.51 - 28.49),4.75,(3.09 - 7.23),6.91,(5.13 - 9.24)
South Central,8.9,(6.48 - 12.12),22.93,(18.13 - 28.55),5.41,(3.62 - 8.02),7.82,(5.95 - 10.22)
Southwest,7.79,(5.45 - 11.03),*,(* - *),4.04,(2.62 - 6.18),6.09,(4.51 - 8.18)
Delaware,6.87,(5.49 - 8.57),19.14,(16.46 - 22.13),3.43,(2.59 - 4.54),5.73,(4.83 - 6.79)
Kent,5.46,(3.52 - 8.36),13.93,(10.15 - 18.82),3.15,(1.95 - 5.05),4.86,(3.51 - 6.68)
New Castle (excluding Wilmington City),7.01,(5.23 - 9.34),20.74,(17.17 - 24.82),3.16,(2.18 - 4.56),5.9,(4.78 - 7.26)
Sussex,8.02,(5.53 - 11.49),18.59,(14.09 - 24.11),3.36,(2.17 - 5.19),5.05,(3.71 - 6.83)
Wilmington City,6.5,(4.18 - 9.96),*,(* - *),5.58,(3.48 - 8.83),7.82,(5.52 - 10.98)
District of Columbia,6.23,(4.88 - 7.93),18.29,(15.69 - 21.22),5.32,(4.14 - 6.81),7.39,(6.24 - 8.73)
Ward 1,5.62,(3.49 - 8.94),*,(* - *),6.82,(4.40 - 10.44),8.95,(6.47 - 12.25)
Ward 2,*,(* - *),19.12,(14.93 - 24.15),6.25,(4.12 - 9.37),9.44,(7.24 - 12.23)
Ward 3,6.6,(4.33 - 9.94),*,(* - *),4.21,(2.64 - 6.66),5.99,(4.27 - 8.35)
Ward 4,6.02,(3.88 - 9.23),*,(* - *),4.07,(2.55 - 6.42),5.34,(3.71 - 7.63)
Ward 5,6.63,(4.32 - 10.03),*,(* - *),5.55,(3.64 - 8.39),7.93,(5.86 - 10.66)
Ward 6,5.84,(3.64 - 9.24),*,(* - *),5.59,(3.52 - 8.77),7.33,(5.12 - 10.39)
Ward 7,6.25,(4.18 - 9.26),*,(* - *),4.7,(2.98 - 7.34),6.1,(4.29 - 8.60)
Ward 8,6.53,(4.54 - 9.31),*,(* - *),5.95,(3.87 - 9.05),8.28,(6.09 - 11.17)
Florida,6.92,(6.14 - 7.78),17.39,(16.12 - 18.74),3.75,(3.22 - 4.36),5.52,(5.01 - 6.08)
Region A,7.58,(5.93 - 9.65),20.64,(17.49 - 24.20),5.47,(4.15 - 7.19),8.15,(6.77 - 9.79)
Circuit 1,7.21,(5.05 - 10.20),19.09,(14.36 - 24.92),5.11,(3.41 - 7.57),7.28,(5.44 - 9.68)
Circuit 2,8.53,(5.71 - 12.54),24.15,(19.26 - 29.83),6.93,(4.55 - 10.44),11.06,(8.53 - 14.21)
Circuit 14,7.04,(4.73 - 10.35),*,(* - *),4.56,(2.92 - 7.05),6.24,(4.45 - 8.67)
Region B,7.86,(6.32 - 9.73),20.58,(17.83 - 23.62),4.81,(3.77 - 6.12),7.27,(6.20 - 8.51)
Circuits 3 and 8,7.88,(5.36 - 11.44),19.27,(14.98 - 24.43),4.76,(3.21 - 6.99),7.85,(6.06 - 10.09)
Circuit 4,7.7,(5.57 - 10.55),20.69,(16.54 - 25.56),5.74,(4.04 - 8.10),8.06,(6.32 - 10.23)
Circuit 7,8.11,(5.77 - 11.30),22.1,(17.16 - 27.98),3.66,(2.42 - 5.52),5.8,(4.39 - 7.63)
Region C,6.88,(5.73 - 8.23),16.77,(14.70 - 19.06),3.58,(2.86 - 4.47),5.26,(4.51 - 6.12)
Circuit 5,6.63,(4.62 - 9.44),16.46,(12.41 - 21.50),2.56,(1.68 - 3.89),3.84,(2.83 - 5.19)
Circuit 9,6.76,(4.91 - 9.24),16.51,(13.20 - 20.46),4.33,(3.00 - 6.21),6.38,(4.98 - 8.14)
Circuit 10,6.35,(4.30 - 9.29),13.37,(9.39 - 18.69),2.73,(1.70 - 4.36),4.11,(2.89 - 5.80)
Circuit 18,7.38,(5.21 - 10.36),19.23,(15.11 - 24.15),4.6,(3.18 - 6.61),6.38,(4.86 - 8.32)
Circuit 19,7.33,(5.07 - 10.47),*,(* - *),3.09,(1.98 - 4.80),4.65,(3.38 - 6.38)
Region D,6.28,(5.23 - 7.51),14.58,(12.82 - 16.53),3.25,(2.61 - 4.05),4.66,(4.02 - 5.41)
Circuits 11 and 16,4.75,(3.45 - 6.51),11.1,(8.86 - 13.81),2.58,(1.79 - 3.70),3.74,(2.92 - 4.78)
Circuit 15 (Palm Beach),7.94,(5.78 - 10.80),22.4,(18.43 - 26.94),4.15,(2.88 - 5.94),6.07,(4.75 - 7.73)
Circuit 17 (Broward),7.51,(5.68 - 9.86),15.35,(12.40 - 18.85),3.56,(2.51 - 5.02),4.98,(3.89 - 6.36)
Region E,6.97,(5.81 - 8.33),18.19,(15.95 - 20.68),3.5,(2.81 - 4.36),5.13,(4.41 - 5.96)
Circuit 6,7.18,(5.24 - 9.77),21.52,(17.23 - 26.53),3.79,(2.62 - 5.45),5.54,(4.28 - 7.14)
Circuit 12,8.11,(5.65 - 11.50),19.17,(14.35 - 25.13),2.95,(1.91 - 4.53),4.46,(3.26 - 6.07)
Circuit 13 (Hillsborough),6.61,(4.77 - 9.09),16.77,(13.24 - 21.00),4.18,(2.91 - 5.97),6.07,(4.72 - 7.77)
Circuit 20,6.44,(4.50 - 9.12),15.48,(11.75 - 20.13),2.86,(1.91 - 4.27),4.12,(3.06 - 5.51)
Georgia,5.81,(4.60 - 7.31),14.76,(12.59 - 17.24),4.65,(3.50 - 6.15),6.19,(5.07 - 7.53)
Region 1,5.64,(3.77 - 8.37),12.74,(9.16 - 17.44),3.54,(2.23 - 5.57),4.83,(3.41 - 6.81)
Region 2,5.2,(3.48 - 7.70),13.54,(10.01 - 18.07),3.69,(2.32 - 5.83),5.23,(3.76 - 7.22)
Region 3,6.31,(4.48 - 8.82),17.32,(13.93 - 21.34),6.14,(4.29 - 8.72),7.81,(6.00 - 10.11)
Region 4,5.02,(3.24 - 7.70),10.75,(7.40 - 15.36),3.17,(1.89 - 5.27),4.33,(2.95 - 6.30)
Region 5,5.95,(3.97 - 8.80),14.1,(10.06 - 19.41),3.55,(2.14 - 5.83),5.35,(3.76 - 7.56)
Hawaii,7.85,(6.14 - 9.98),15.6,(13.11 - 18.45),4.14,(3.06 - 5.59),5.67,(4.58 - 6.99)
