Total United States,10.08,,19.66,,5.87,,7.92,
Northeast,10.67,(10.07 - 11.30),23.25,(22.35 - 24.18),6.21,(5.75 - 6.70),8.59,(8.17 - 9.03)
Midwest,10,(9.55 - 10.48),18.82,(18.19 - 19.46),5.48,(5.12 - 5.85),7.5,(7.18 - 7.83)
South,9.46,(9.03 - 9.92),18.21,(17.60 - 18.83),5.33,(4.99 - 5.70),7.24,(6.93 - 7.56)
West,10.64,(10.01 - 11.31),20,(19.11 - 20.91),6.83,(6.28 - 7.42),8.86,(8.37 - 9.37)
Alabama,10.46,(8.81 - 12.38),17.5,(15.11 - 20.17),5.09,(4.02 - 6.44),6.94,(5.88 - 8.18)
Region 1,10.2,(7.70 - 13.38),15.5,(11.95 - 19.86),4.55,(3.15 - 6.53),6.03,(4.58 - 7.89)
Region 2,11.19,(8.65 - 14.37),19.37,(15.50 - 23.93),5.61,(3.97 - 7.88),7.7,(6.02 - 9.79)
Region 3,9.41,(6.91 - 12.68),17.14,(13.09 - 22.12),5.08,(3.41 - 7.51),7.23,(5.46 - 9.51)
Region 4,10.67,(8.01 - 14.09),17.38,(13.49 - 22.11),5.05,(3.47 - 7.29),6.78,(5.14 - 8.91)
Alaska,12.46,(10.26 - 15.06),23.32,(20.50 - 26.39),9.7,(7.86 - 11.92),11.9,(10.21 - 13.82)
Gulf Coast,11.07,(7.72 - 15.63),*,(* - *),7.87,(5.08 - 11.98),9.78,(6.95 - 13.58)
Rural,11.49,(7.96 - 16.30),*,(* - *),*,(* - *),12.07,(8.59 - 16.70)
Southeast,13.01,(9.40 - 17.73),*,(* - *),9.13,(6.13 - 13.39),11.36,(8.36 - 15.26)
Urban,12.83,(10.24 - 15.97),24.05,(20.81 - 27.62),10.03,(7.85 - 12.72),12.35,(10.37 - 14.65)
Arizona,11.02,(9.13 - 13.25),16.94,(14.54 - 19.65),5.95,(4.70 - 7.51),7.62,(6.42 - 9.02)
Maricopa,10.71,(8.47 - 13.45),17.11,(14.26 - 20.39),6.1,(4.57 - 8.10),7.84,(6.39 - 9.58)
Pima,12.12,(8.71 - 16.62),17.13,(12.66 - 22.76),6.52,(4.39 - 9.58),8.14,(5.97 - 11.00)
