Total United States,34.59,,24.93,,42.26,,39.68,
Northeast,31.37,(30.40 - 32.35),20.96,(20.02 - 21.93),39.85,(38.79 - 40.91),37.2,(36.28 - 38.14)
Midwest,34.87,(34.11 - 35.65),23.05,(22.30 - 23.82),40.58,(39.76 - 41.40),37.92,(37.21 - 38.64)
South,37,(36.23 - 37.77),28.05,(27.26 - 28.86),46.61,(45.80 - 47.43),43.87,(43.16 - 44.58)
West,33.12,(32.07 - 34.18),25.01,(24.00 - 26.05),38.99,(37.89 - 40.10),36.83,(35.88 - 37.80)
Alabama,39.9,(36.80 - 43.08),34.44,(31.28 - 37.75),54.27,(50.88 - 57.61),51.31,(48.33 - 54.29)
Region 1,41.3,(35.99 - 46.83),35.2,(30.05 - 40.72),52.16,(46.75 - 57.51),49.87,(45.10 - 54.65)
Region 2,37.52,(32.61 - 42.71),32.01,(27.42 - 36.97),54,(48.71 - 59.20),50.67,(46.04 - 55.28)
Region 3,40.08,(34.37 - 46.08),33.85,(28.54 - 39.59),55.34,(49.18 - 61.35),51.52,(46.24 - 56.77)
Region 4,41.39,(36.12 - 46.86),37.92,(32.33 - 43.85),56.54,(50.77 - 62.14),53.93,(48.83 - 58.94)
Alaska,29.38,(26.00 - 33.00),19.19,(16.69 - 21.97),28.61,(25.55 - 31.88),27.09,(24.44 - 29.91)
Gulf Coast,*,(* - *),16.31,(12.13 - 21.58),*,(* - *),28.26,(22.98 - 34.23)
Rural,*,(* - *),*,(* - *),*,(* - *),38.5,(32.15 - 45.27)
Southeast,*,(* - *),15.74,(11.70 - 20.86),26.55,(21.37 - 32.45),25.06,(20.43 - 30.35)
Urban,30.26,(26.28 - 34.55),19.13,(16.27 - 22.35),26.65,(23.18 - 30.43),25.4,(22.43 - 28.62)
Arizona,32.37,(29.19 - 35.73),26.91,(24.09 - 29.93),42.55,(39.20 - 45.96),40.18,(37.27 - 43.15)
Maricopa,32.44,(28.62 - 36.49),27.93,(24.51 - 31.63),42.4,(38.40 - 46.51),40.12,(36.68 - 43.67)
Pima,*,(* - *),20.83,(16.44 - 26.02),39.38,(33.54 - 45.54),36.55,(31.45 - 41.98)
Rural North,35.48,(29.34 - 42.14),25.99,(20.88 - 31.84),41.81,(35.47 - 48.44),39.66,(34.02 - 45.58)
Rural South,*,(* - *),*,(* - *),*,(* - *),45.93,(39.52 - 52.47)
Arkansas,36.26,(33.10 - 39.54),27.07,(24.30 - 30.03),49.84,(46.48 - 53.19),46.43,(43.51 - 49.38)
Areas 1 and 2,32.49,(26.75 - 38.81),24.28,(19.67 - 29.57),48.01,(41.65 - 54.43),44.31,(38.87 - 49.89)
Areas 3 and 4,39.97,(34.24 - 46.00),27.81,(22.58 - 33.73),52.74,(46.37 - 59.02),49.04,(43.50 - 54.61)
Areas 5 and 6,35.82,(29.86 - 42.24),25,(20.51 - 30.09),47.31,(41.15 - 53.56),43.81,(38.48 - 49.29)
"Areas 7, 12, and 13",36.2,(30.10 - 42.78),32.35,(26.48 - 38.82),54.1,(47.64 - 60.42),50.78,(45.11 - 56.44)
"Areas 8, 10, and 11",39.75,(33.59 - 46.25),29.16,(23.97 - 34.95),52.21,(45.97 - 58.38),49.04,(43.51 - 54.59)
Area 9,34.2,(28.98 - 39.83),25.85,(20.93 - 31.48),46.26,(40.48 - 52.13),43.3,(38.19 - 48.55)
California,33.72,(32.09 - 35.40),26.75,(25.21 - 28.36),41.36,(39.58 - 43.15),39.09,(37.55 - 40.64)
Region 1,27.89,(22.59 - 33.90),17.36,(13.34 - 22.27),34.45,(28.70 - 40.71),31.93,(26.89 - 37.44)
Region 2,31.34,(27.06 - 35.96),20.52,(17.29 - 24.16),33.34,(29.07 - 37.90),31.45,(27.74 - 35.41)
Region 3,35.82,(30.29 - 41.76),29.12,(24.05 - 34.77),44.58,(38.64 - 50.67),42.11,(36.94 - 47.47)
Region 4,25.68,(20.79 - 31.27),19.41,(15.38 - 24.19),30.9,(26.21 - 36.02),29.51,(25.27 - 34.14)
Region 5,25.56,(21.49 - 30.11),20.62,(16.90 - 24.90),33.08,(28.67 - 37.81),31.37,(27.46 - 35.55)
Region 6 (Santa Clara),31.74,(26.39 - 37.62),23.63,(19.08 - 28.87),37.93,(32.79 - 43.35),35.89,(31.33 - 40.71)
Region 7,*,(* - *),26.69,(21.64 - 32.44),34.79,(28.96 - 41.12),33.42,(28.30 - 38.96)
Region 8,39.22,(33.87 - 44.85),33.45,(28.20 - 39.13),48.68,(42.64 - 54.76),45.96,(40.81 - 51.20)
Region 9,34.87,(29.04 - 41.20),26.87,(22.21 - 32.11),43.02,(36.96 - 49.30),40.21,(35.00 - 45.66)
Region 10,33.67,(28.11 - 39.73),25.94,(21.17 - 31.37),38.61,(33.05 - 44.49),36.58,(31.70 - 41.76)
Region 11 (Los Angeles),35.69,(32.66 - 38.84),30.8,(27.97 - 33.79),46.65,(43.34 - 49.99),44.1,(41.28 - 46.95)
Region 12,35.74,(30.83 - 40.96),28.87,(24.41 - 33.78),51.18,(45.74 - 56.60),47.34,(42.70 - 52.03)
Region 13 (Riverside),32.88,(28.13 - 38.01),28.77,(24.24 - 33.78),45.75,(40.17 - 51.44),43.17,(38.33 - 48.15)
Region 14 (Orange),37.29,(32.42 - 42.43),28.72,(24.41 - 33.45),42.27,(37.25 - 47.46),40.25,(35.83 - 44.84)
Region 15,33.5,(28.92 - 38.41),23.9,(20.42 - 27.77),40.26,(35.76 - 44.93),37.5,(33.64 - 41.53)
