Total United States,10.36,,41.58,,21.26,,24.28,
Northeast,11.31,(10.69 - 11.97),46.05,(45.02 - 47.07),21.9,(21.08 - 22.75),25.28,(24.55 - 26.02)
Midwest,11.25,(10.76 - 11.75),47.61,(46.78 - 48.44),23.72,(23.04 - 24.41),27.34,(26.74 - 27.94)
South,9.28,(8.85 - 9.72),37.74,(36.92 - 38.56),20.22,(19.60 - 20.86),22.82,(22.26 - 23.38)
West,10.44,(9.78 - 11.14),38.24,(37.20 - 39.29),19.94,(19.10 - 20.82),22.77,(22.03 - 23.53)
Alabama,9.77,(8.15 - 11.67),33.43,(30.38 - 36.62),17.43,(15.16 - 19.96),19.82,(17.72 - 22.09)
Region 1,9.85,(7.47 - 12.88),30.81,(25.63 - 36.54),15.19,(12.21 - 18.75),17.3,(14.42 - 20.60)
Region 2,10.18,(7.79 - 13.21),33.48,(28.77 - 38.54),17.82,(14.67 - 21.46),20.19,(17.23 - 23.52)
Region 3,7.56,(5.46 - 10.38),34.36,(28.59 - 40.63),18.45,(14.61 - 23.03),21.28,(17.62 - 25.48)
Region 4,11,(8.26 - 14.52),35.57,(30.04 - 41.52),18.98,(15.28 - 23.32),21.31,(17.80 - 25.29)
Alaska,10.01,(8.22 - 12.14),37.05,(33.91 - 40.30),20.69,(18.20 - 23.42),23.33,(21.09 - 25.73)
Gulf Coast,10.6,(7.51 - 14.77),*,(* - *),19.78,(15.45 - 24.97),21.82,(17.56 - 26.79)
Rural,8.05,(5.58 - 11.48),*,(* - *),21.8,(16.89 - 27.67),22.92,(18.23 - 28.41)
Southeast,10.83,(7.81 - 14.83),*,(* - *),20.01,(15.82 - 24.99),22.68,(18.60 - 27.35)
Urban,10.16,(8.07 - 12.72),38.76,(35.08 - 42.57),20.81,(17.90 - 24.05),23.79,(21.18 - 26.60)
Arizona,11.44,(9.58 - 13.60),41.86,(38.56 - 45.23),21.84,(19.35 - 24.55),24.87,(22.64 - 27.25)
Maricopa,10.66,(8.47 - 13.34),40.71,(36.77 - 44.77),21.9,(18.91 - 25.22),24.86,(22.19 - 27.75)
Pima,13.53,(10.01 - 18.03),49.14,(42.44 - 55.88),23.45,(19.12 - 28.42),27.37,(23.24 - 31.94)
Rural North,12.22,(9.04 - 16.33),*,(* - *),20.36,(16.18 - 25.30),23.24,(19.22 - 27.81)
Rural South,11.73,(8.44 - 16.08),*,(* - *),20.8,(16.18 - 26.31),23.08,(18.54 - 28.35)
Arkansas,11.1,(9.40 - 13.05),36.67,(33.63 - 39.82),18.06,(15.78 - 20.59),20.84,(18.74 - 23.11)
Areas 1 and 2,12.53,(9.48 - 16.39),41.7,(35.36 - 48.33),17.59,(13.86 - 22.06),21.35,(17.72 - 25.48)
Areas 3 and 4,11.74,(8.93 - 15.30),39.02,(32.90 - 45.51),19.12,(15.15 - 23.84),22.07,(18.27 - 26.40)
