State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,1.07,(0.97 - 1.18),5.19,(4.95 - 5.44),1.48,(1.38 - 1.60),2.03,(1.93 - 2.14)
Northeast,1.05,(0.90 - 1.21),6.32,(5.83 - 6.85),1.78,(1.55 - 2.06),2.44,(2.21 - 2.68)
Midwest,1.02,(0.90 - 1.17),4.66,(4.31 - 5.03),1.25,(1.10 - 1.43),1.76,(1.61 - 1.92)
South,0.97,(0.85 - 1.09),4.37,(4.03 - 4.74),1.37,(1.21 - 1.54),1.80,(1.65 - 1.96)
West,1.30,(1.10 - 1.52),6.06,(5.53 - 6.65),1.65,(1.42 - 1.92),2.33,(2.10 - 2.57)
Alabama,0.71,(0.50 - 1.02),2.92,(2.04 - 4.17),0.94,(0.58 - 1.52),1.23,(0.83 - 1.81)
Region 1,0.84,(0.50 - 1.41),3.21,(2.01 - 5.11),0.78,(0.42 - 1.46),1.10,(0.68 - 1.79)
Region 2,0.70,(0.42 - 1.17),3.01,(1.90 - 4.74),1.04,(0.57 - 1.91),1.33,(0.82 - 2.15)
Region 3,0.56,(0.33 - 0.96),2.53,(1.52 - 4.17),1.06,(0.54 - 2.06),1.32,(0.78 - 2.23)
Region 4,0.71,(0.42 - 1.18),2.86,(1.73 - 4.67),0.89,(0.47 - 1.71),1.17,(0.69 - 1.97)
Alaska,1.14,(0.80 - 1.62),6.15,(4.73 - 7.96),2.02,(1.34 - 3.02),2.69,(1.99 - 3.61)
Anchorage,1.16,(0.70 - 1.92),6.54,(4.67 - 9.09),2.40,(1.45 - 3.97),3.06,(2.10 - 4.45)
Northern,0.92,(0.53 - 1.59),4.40,(2.82 - 6.81),1.66,(0.92 - 2.97),2.19,(1.41 - 3.40)
South Central,1.19,(0.72 - 1.97),6.41,(4.31 - 9.43),1.62,(0.90 - 2.89),2.34,(1.53 - 3.57)
Southeast,1.45,(0.83 - 2.51),8.58,(5.55 - 13.04),2.13,(1.16 - 3.87),3.01,(1.92 - 4.70)
