State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,4.47,(4.27 - 4.69),8.03,(7.74 - 8.33),2.67,(2.51 - 2.84),3.46,(3.31 - 3.61)
Northeast,4.06,(3.73 - 4.43),8.71,(8.13 - 9.32),2.69,(2.39 - 3.03),3.56,(3.27 - 3.87)
Midwest,4.37,(4.09 - 4.66),7.77,(7.35 - 8.21),2.33,(2.10 - 2.58),3.13,(2.92 - 3.36)
South,4.35,(4.07 - 4.65),7.60,(7.20 - 8.02),2.62,(2.39 - 2.87),3.35,(3.13 - 3.57)
West,5.05,(4.61 - 5.54),8.39,(7.79 - 9.04),3.05,(2.70 - 3.45),3.87,(3.55 - 4.22)
Alabama,4.79,(3.87 - 5.93),8.31,(6.73 - 10.23),2.44,(1.71 - 3.46),3.29,(2.56 - 4.24)
Region 1,4.62,(3.37 - 6.30),8.22,(6.12 - 10.95),2.19,(1.21 - 3.91),2.98,(1.97 - 4.48)
Region 2,5.36,(3.96 - 7.22),8.53,(6.35 - 11.35),2.89,(1.70 - 4.88),3.70,(2.52 - 5.42)
Region 3,4.37,(3.12 - 6.09),8.27,(6.01 - 11.28),2.69,(1.39 - 5.15),3.69,(2.37 - 5.71)
Region 4,4.55,(3.24 - 6.36),8.16,(5.95 - 11.08),1.90,(1.01 - 3.58),2.78,(1.80 - 4.25)
Alaska,4.01,(3.14 - 5.13),7.47,(5.97 - 9.31),3.23,(2.26 - 4.60),3.92,(2.99 - 5.11)
Anchorage,4.20,(2.99 - 5.86),7.75,(5.86 - 10.19),4.63,(2.92 - 7.27),5.13,(3.56 - 7.33)
Northern,3.54,(2.45 - 5.09),6.58,(4.69 - 9.15),1.88,(0.98 - 3.61),2.80,(1.82 - 4.29)
