State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,40.13,(39.63 - 40.63),33.36,(32.82 - 33.91),43.88,(43.34 - 44.43),42.33,(41.86 - 42.81)
Northeast,38.15,(37.16 - 39.15),30.23,(29.32 - 31.15),41.65,(40.61 - 42.70),40.01,(39.10 - 40.92)
Midwest,38.00,(37.23 - 38.76),29.23,(28.50 - 29.97),40.53,(39.72 - 41.35),38.86,(38.15 - 39.58)
South,42.07,(41.30 - 42.84),36.40,(35.66 - 37.15),46.25,(45.41 - 47.10),44.82,(44.10 - 45.55)
West,40.56,(39.53 - 41.60),34.93,(33.88 - 36.00),45.12,(44.02 - 46.22),43.56,(42.60 - 44.51)
Alabama,44.52,(41.47 - 47.60),38.47,(35.53 - 41.51),47.12,(44.00 - 50.26),45.86,(43.11 - 48.63)
Region 1,43.00,(38.45 - 47.67),36.56,(31.98 - 41.40),47.16,(42.46 - 51.92),45.77,(41.59 - 50.01)
Region 2,45.28,(40.91 - 49.72),38.87,(34.39 - 43.54),47.00,(42.42 - 51.63),45.83,(41.79 - 49.93)
Region 3,47.54,(42.14 - 53.00),38.76,(34.00 - 43.74),49.35,(43.87 - 54.84),47.44,(42.80 - 52.14)
Region 4,42.85,(38.10 - 47.73),39.88,(34.84 - 45.15),45.53,(40.58 - 50.57),44.74,(40.38 - 49.19)
Alaska,42.31,(39.20 - 45.49),30.31,(27.33 - 33.47),43.59,(40.30 - 46.94),41.43,(38.59 - 44.34)
Anchorage,43.94,(39.48 - 48.50),33.80,(29.68 - 38.18),46.68,(42.28 - 51.13),44.63,(40.83 - 48.49)
Northern,43.42,(38.35 - 48.63),27.82,(23.38 - 32.75),42.10,(36.73 - 47.67),39.31,(34.80 - 44.02)
South Central,38.83,(33.99 - 43.91),27.52,(22.80 - 32.80),40.24,(35.06 - 45.64),38.31,(33.76 - 43.07)
Southeast,42.04,(36.63 - 47.64),28.75,(23.64 - 34.45),42.49,(36.92 - 48.26),40.62,(35.64 - 45.80)
Arizona,40.81,(37.81 - 43.89),36.54,(33.51 - 39.68),44.72,(41.16 - 48.34),43.54,(40.39 - 46.75)
Maricopa,40.94,(37.23 - 44.75),37.49,(33.72 - 41.41),45.35,(40.98 - 49.80),44.23,(40.40 - 48.14)
Pima,39.72,(34.37 - 45.33),34.27,(28.86 - 40.12),44.09,(38.47 - 49.86),42.65,(37.64 - 47.81)
Rural North,42.02,(36.61 - 47.63),32.82,(27.81 - 38.26),42.49,(36.75 - 48.44),41.10,(35.98 - 46.43)
Rural South,40.36,(34.72 - 46.26),38.27,(32.57 - 44.31),44.52,(38.96 - 50.22),43.59,(38.61 - 48.69)
Arkansas,43.04,(40.03 - 46.10),34.97,(32.07 - 37.99),46.02,(42.80 - 49.28),44.47,(41.60 - 47.37)
Catchment Area 1,40.33,(34.95 - 45.96),32.18,(27.14 - 37.67),45.16,(39.72 - 50.72),43.19,(38.41 - 48.10)
Catchment Area 2,40.79,(35.39 - 46.42),33.48,(27.90 - 39.56),44.76,(39.08 - 50.58),43.30,(38.17 - 48.58)
Catchment Area 3,42.87,(37.86 - 48.02),35.74,(30.65 - 41.17),45.54,(40.01 - 51.19),44.10,(39.23 - 49.10)
Catchment Area 4,41.35,(35.77 - 47.16),33.61,(28.48 - 39.15),45.32,(39.47 - 51.30),43.82,(38.60 - 49.19)
Catchment Area 5,41.35,(36.31 - 46.58),31.64,(27.28 - 36.35),44.82,(39.76 - 49.99),42.75,(38.33 - 47.29)
Catchment Area 6,46.59,(40.71 - 52.57),41.69,(35.81 - 47.80),48.31,(42.23 - 54.43),47.33,(41.97 - 52.75)
Catchment Area 7,43.69,(37.99 - 49.57),38.36,(32.40 - 44.69),47.83,(41.82 - 53.90),46.55,(41.16 - 52.03)
Catchment Area 8,46.89,(41.58 - 52.27),37.22,(32.08 - 42.66),47.43,(42.29 - 52.62),46.12,(41.49 - 50.82)
California,41.45,(39.79 - 43.12),36.74,(35.02 - 38.50),45.92,(44.14 - 47.72),44.46,(42.92 - 46.01)
Region 1R,35.28,(30.12 - 40.80),30.00,(25.36 - 35.09),38.84,(33.85 - 44.07),37.31,(33.00 - 41.84)
Region 2R,38.02,(33.17 - 43.13),30.24,(25.77 - 35.13),41.52,(36.58 - 46.64),39.63,(35.32 - 44.11)
