State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,14.41,(14.03 - 14.81),61.22,(60.60 - 61.84),54.72,(54.14 - 55.30),55.68,(55.17 - 56.19)
Northeast,16.36,(15.63 - 17.11),67.07,(65.69 - 68.42),59.76,(58.53 - 60.98),60.81,(59.67 - 61.94)
Midwest,14.57,(14.04 - 15.13),65.01,(63.78 - 66.23),57.68,(56.66 - 58.70),58.77,(57.79 - 59.73)
South,13.45,(12.93 - 13.98),57.37,(56.14 - 58.60),50.25,(49.26 - 51.24),51.29,(50.34 - 52.24)
West,14.33,(13.56 - 15.13),59.13,(57.67 - 60.57),54.94,(53.66 - 56.21),55.58,(54.40 - 56.75)
Alabama,12.21,(10.55 - 14.10),53.19,(49.82 - 56.53),44.72,(41.42 - 48.05),45.95,(42.99 - 48.94)
Region 1,11.62,(9.13 - 14.67),50.13,(44.25 - 56.01),41.75,(36.55 - 47.13),42.85,(38.12 - 47.72)
Region 2,12.97,(10.39 - 16.09),53.70,(48.06 - 59.25),47.78,(42.77 - 52.84),48.63,(44.10 - 53.19)
Region 3,11.07,(8.43 - 14.41),57.32,(51.25 - 63.17),44.77,(38.82 - 50.87),47.02,(41.73 - 52.39)
Region 4,12.78,(9.96 - 16.25),51.80,(45.60 - 57.95),44.03,(38.53 - 49.69),45.12,(40.09 - 50.25)
Alaska,14.45,(12.41 - 16.77),58.77,(55.16 - 62.29),58.42,(54.92 - 61.84),58.47,(55.34 - 61.54)
Anchorage,14.66,(11.80 - 18.06),62.13,(57.16 - 66.86),61.62,(56.96 - 66.08),61.70,(57.53 - 65.71)
Northern,11.32,(8.65 - 14.68),53.01,(46.81 - 59.12),47.59,(41.92 - 53.34),48.64,(43.64 - 53.67)
South Central,17.77,(14.02 - 22.27),58.73,(51.84 - 65.30),61.58,(55.23 - 67.57),61.15,(55.41 - 66.59)
Southeast,12.63,(9.42 - 16.73),*,(* - *),*,(* - *),58.36,(51.99 - 64.46)
Arizona,14.79,(12.74 - 17.10),57.36,(53.93 - 60.72),52.58,(48.87 - 56.25),53.27,(49.95 - 56.56)
Maricopa,14.71,(12.18 - 17.68),55.19,(50.86 - 59.44),53.38,(48.91 - 57.79),53.64,(49.66 - 57.57)
Pima,15.83,(11.96 - 20.65),*,(* - *),55.58,(48.76 - 62.19),56.91,(50.70 - 62.90)
Rural North,14.62,(10.95 - 19.26),*,(* - *),*,(* - *),54.80,(48.41 - 61.03)
Rural South,14.17,(10.59 - 18.70),*,(* - *),*,(* - *),45.54,(38.99 - 52.25)
Arkansas,14.22,(12.41 - 16.24),54.40,(51.15 - 57.62),43.35,(40.10 - 46.65),44.91,(41.96 - 47.88)
Catchment Area 1,14.63,(11.12 - 19.02),*,(* - *),49.90,(43.66 - 56.14),50.94,(45.23 - 56.61)
Catchment Area 2,14.08,(10.71 - 18.29),*,(* - *),38.78,(32.61 - 45.33),40.37,(34.55 - 46.48)
Catchment Area 3,15.14,(11.84 - 19.16),53.66,(47.03 - 60.17),40.52,(34.52 - 46.81),42.44,(36.97 - 48.11)
Catchment Area 4,13.59,(10.20 - 17.89),*,(* - *),*,(* - *),39.74,(33.67 - 46.15)
Catchment Area 5,16.02,(12.57 - 20.20),60.97,(55.04 - 66.60),43.59,(37.81 - 49.56),46.33,(41.11 - 51.62)
Catchment Area 6,12.71,(9.45 - 16.88),*,(* - *),*,(* - *),39.05,(32.87 - 45.60)
Catchment Area 7,13.67,(10.34 - 17.85),*,(* - *),*,(* - *),39.90,(33.72 - 46.42)
Catchment Area 8,13.13,(10.06 - 16.95),56.83,(50.33 - 63.11),49.67,(43.77 - 55.58),50.59,(45.14 - 56.02)
California,13.85,(12.68 - 15.10),59.81,(57.82 - 61.77),53.38,(51.49 - 55.26),54.40,(52.72 - 56.07)
Region 1R,16.31,(12.30 - 21.31),*,(* - *),57.89,(51.28 - 64.23),59.86,(53.92 - 65.53)
Region 2R,13.97,(10.76 - 17.95),62.71,(56.25 - 68.75),58.09,(51.88 - 64.05),58.86,(53.26 - 64.24)
Region 3R (Sacramento),12.58,(9.60 - 16.30),*,(* - *),52.92,(46.88 - 58.87),54.23,(48.68 - 59.67)
Region 4R,15.83,(12.29 - 20.16),*,(* - *),61.33,(55.49 - 66.87),61.71,(56.34 - 66.81)
Region 5R (San Francisco),*,(* - *),*,(* - *),62.54,(56.22 - 68.46),63.64,(57.67 - 69.23)
Region 6 (Santa Clara),12.62,(9.73 - 16.22),61.10,(54.54 - 67.28),55.03,(49.59 - 60.36),55.83,(50.82 - 60.73)
Region 7R (Contra Costa),13.88,(10.54 - 18.07),*,(* - *),60.28,(54.08 - 66.17),60.03,(54.26 - 65.54)
Region 8R (Alameda),12.95,(9.90 - 16.76),63.32,(56.81 - 69.37),56.45,(50.60 - 62.12),57.40,(52.04 - 62.59)
Region 9R (San Mateo),16.09,(12.39 - 20.64),*,(* - *),61.45,(55.12 - 67.42),61.76,(55.84 - 67.36)
Region 10,15.80,(12.25 - 20.15),63.81,(57.19 - 69.94),57.76,(51.59 - 63.70),58.80,(53.29 - 64.10)
Region 11 (Los Angeles),13.32,(11.83 - 14.95),56.64,(53.71 - 59.54),49.85,(47.15 - 52.56),50.93,(48.50 - 53.35)
LA SPA 1 and 5,14.86,(11.38 - 19.17),*,(* - *),59.04,(52.42 - 65.35),60.22,(54.07 - 66.06)
LA SPA 2,13.23,(10.45 - 16.60),57.70,(51.70 - 63.49),51.95,(46.40 - 57.45),52.79,(47.74 - 57.79)
LA SPA 3,13.54,(10.61 - 17.11),55.22,(49.18 - 61.11),47.55,(42.18 - 52.97),48.75,(43.90 - 53.63)
LA SPA 4,14.12,(10.86 - 18.17),*,(* - *),49.10,(43.38 - 54.84),50.45,(45.16 - 55.72)
LA SPA 6,11.55,(8.80 - 15.01),*,(* - *),39.35,(33.12 - 45.93),41.59,(36.03 - 47.37)
LA SPA 7,13.75,(10.67 - 17.54),55.39,(48.70 - 61.88),45.69,(39.90 - 51.60),47.38,(42.14 - 52.68)
LA SPA 8,12.76,(9.93 - 16.26),*,(* - *),53.08,(47.22 - 58.86),53.41,(47.99 - 58.75)
Region 12R,15.33,(11.66 - 19.89),*,(* - *),53.15,(46.35 - 59.82),54.65,(48.33 - 60.81)
Regions 13 and 19R,12.93,(10.18 - 16.29),57.44,(51.72 - 62.96),48.50,(43.48 - 53.56),50.03,(45.55 - 54.52)
Region 13 (Riverside),12.84,(9.90 - 16.50),57.57,(51.43 - 63.49),49.12,(43.77 - 54.49),50.56,(45.77 - 55.34)
Region 19R (Imperial),13.90,(10.70 - 17.88),*,(* - *),40.14,(33.77 - 46.86),43.17,(37.37 - 49.16)
Region 14 (Orange),13.49,(10.89 - 16.59),62.12,(57.16 - 66.83),56.47,(52.04 - 60.80),57.31,(53.35 - 61.17)
Region 15R (Fresno),12.75,(9.65 - 16.67),*,(* - *),45.27,(39.11 - 51.58),46.80,(41.19 - 52.49)
Region 16R (San Diego),14.21,(11.53 - 17.39),64.00,(58.80 - 68.89),57.51,(53.09 - 61.82),58.63,(54.71 - 62.45)
Region 17R,14.93,(11.79 - 18.72),55.13,(48.84 - 61.26),48.17,(42.70 - 53.69),49.46,(44.58 - 54.35)
Region 18R (San Bernardino),14.65,(11.72 - 18.16),58.14,(52.70 - 63.39),47.92,(42.80 - 53.10),49.81,(45.31 - 54.32)
Region 20R,14.63,(11.27 - 18.77),*,(* - *),47.20,(40.79 - 53.69),47.93,(42.08 - 53.84)
Region 21R,12.44,(9.27 - 16.49),*,(* - *),52.94,(46.46 - 59.32),54.24,(48.37 - 60.00)
Colorado,19.23,(16.75 - 21.97),70.67,(67.40 - 73.75),66.37,(63.11 - 69.49),67.00,(64.07 - 69.79)
Region 1,19.39,(15.07 - 24.59),74.35,(67.96 - 79.85),64.79,(58.19 - 70.88),66.47,(60.58 - 71.89)
Regions 2 and 7,20.71,(17.34 - 24.53),72.02,(67.63 - 76.02),69.96,(65.90 - 73.74),70.25,(66.61 - 73.64)
Region 3,15.51,(12.02 - 19.78),*,(* - *),62.96,(56.92 - 68.63),63.72,(58.24 - 68.88)
Region 4,15.99,(11.85 - 21.21),*,(* - *),*,(* - *),*,(* - *)
Regions 5 and 6,18.17,(13.72 - 23.67),*,(* - *),*,(* - *),64.12,(57.82 - 69.97)
