State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  ** A separate CenterPoint estimate is not being reported because of low precision. For more details, see Table 34 of the ""2008-2010 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k10/toc.aspx.  NOTE: For substate region definitions, see the ""2008-2010 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k10/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  NOTE: Dependence is based on the definition found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2008, 2009, and 2010 (Revised March 2012)."
Total United States,1.84,(1.71 - 1.97),6.82,(6.56 - 7.08),3.09,(2.93 - 3.27),3.64,(3.49 - 3.80)
Northeast,1.90,(1.68 - 2.14),7.27,(6.75 - 7.83),3.03,(2.71 - 3.38),3.64,(3.35 - 3.95)
Midwest,1.82,(1.65 - 2.01),7.40,(6.98 - 7.84),3.01,(2.76 - 3.27),3.66,(3.44 - 3.89)
South,1.63,(1.46 - 1.82),6.04,(5.64 - 6.46),2.97,(2.72 - 3.24),3.42,(3.19 - 3.65)
West,2.13,(1.85 - 2.44),7.11,(6.55 - 7.71),3.43,(3.07 - 3.84),4.00,(3.67 - 4.35)
Alabama,1.54,(1.12 - 2.11),5.81,(4.57 - 7.37),2.95,(2.24 - 3.88),3.37,(2.70 - 4.19)
Region 1,1.52,(0.96 - 2.39),6.05,(4.32 - 8.40),2.85,(1.95 - 4.13),3.27,(2.40 - 4.43)
Region 2,1.74,(1.13 - 2.68),5.56,(4.01 - 7.67),3.07,(2.11 - 4.43),3.43,(2.53 - 4.63)
Region 3,1.28,(0.80 - 2.05),5.99,(4.26 - 8.35),3.18,(2.15 - 4.68),3.68,(2.71 - 4.99)
Region 4,1.49,(0.95 - 2.33),5.72,(4.09 - 7.95),2.75,(1.89 - 3.97),3.16,(2.34 - 4.26)
Alaska,1.75,(1.26 - 2.44),6.67,(5.26 - 8.43),3.59,(2.73 - 4.70),4.09,(3.29 - 5.07)
Anchorage,1.80,(1.16 - 2.77),6.31,(4.68 - 8.46),3.79,(2.70 - 5.29),4.19,(3.18 - 5.50)
Northern,1.58,(0.98 - 2.53),6.67,(4.78 - 9.24),3.40,(2.34 - 4.90),4.03,(3.01 - 5.38)
South Central,1.78,(1.14 - 2.76),7.05,(5.08 - 9.69),3.53,(2.41 - 5.15),4.06,(3.00 - 5.48)
Southeast,1.94,(1.21 - 3.09),7.33,(5.18 - 10.28),3.33,(2.23 - 4.94),3.87,(2.82 - 5.30)
Arizona,2.00,(1.43 - 2.80),7.49,(5.97 - 9.35),3.46,(2.57 - 4.63),4.04,(3.20 - 5.08)
Maricopa,2.02,(1.34 - 3.02),7.38,(5.58 - 9.70),3.59,(2.55 - 5.02),4.13,(3.15 - 5.39)
Pima,2.08,(1.30 - 3.30),8.00,(5.77 - 10.99),3.50,(2.38 - 5.13),4.16,(3.06 - 5.65)
Rural North,1.83,(1.12 - 2.98),7.93,(5.77 - 10.81),3.02,(2.03 - 4.48),3.72,(2.74 - 5.04)
Rural South,1.97,(1.22 - 3.18),6.95,(4.86 - 9.83),3.18,(2.10 - 4.79),3.74,(2.68 - 5.20)
Arkansas,1.76,(1.28 - 2.40),6.29,(5.02 - 7.85),2.83,(2.16 - 3.70),3.31,(2.67 - 4.10)
Catchment Area 1,1.79,(1.11 - 2.88),6.49,(4.58 - 9.13),2.93,(2.00 - 4.26),3.47,(2.55 - 4.69)
