State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  ** A separate CenterPoint estimate is not being reported because of low precision. For more details, see Table 34 of the ""2008-2010 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k10/toc.aspx.  NOTE: For substate region definitions, see the ""2008-2010 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k10/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2008, 2009, and 2010 (Revised March 2012)."
Total United States,6.42,(6.18 - 6.67),11.74,(11.39 - 12.09),3.48,(3.31 - 3.66),4.70,(4.54 - 4.86)
Northeast,5.31,(4.92 - 5.73),11.86,(11.23 - 12.52),3.06,(2.77 - 3.38),4.32,(4.04 - 4.63)
Midwest,6.64,(6.29 - 7.01),12.05,(11.54 - 12.58),3.34,(3.10 - 3.60),4.63,(4.39 - 4.87)
South,6.34,(5.99 - 6.70),11.50,(11.02 - 12.00),3.35,(3.11 - 3.61),4.54,(4.31 - 4.78)
West,7.16,(6.62 - 7.73),11.72,(11.05 - 12.42),4.17,(3.77 - 4.61),5.33,(4.96 - 5.73)
Alabama,7.12,(5.93 - 8.52),11.91,(10.02 - 14.11),3.28,(2.50 - 4.29),4.54,(3.71 - 5.54)
Region 1,6.84,(5.13 - 9.06),12.78,(9.98 - 16.23),3.21,(2.21 - 4.65),4.47,(3.38 - 5.91)
Region 2,7.42,(5.71 - 9.59),11.99,(9.48 - 15.06),3.56,(2.47 - 5.10),4.77,(3.64 - 6.23)
Region 3,6.32,(4.57 - 8.68),11.41,(8.73 - 14.77),3.06,(2.00 - 4.66),4.56,(3.37 - 6.14)
Region 4,7.66,(5.70 - 10.22),11.28,(8.71 - 14.49),3.11,(2.04 - 4.73),4.25,(3.11 - 5.80)
Alaska,6.99,(5.70 - 8.55),11.19,(9.30 - 13.39),3.92,(2.93 - 5.23),5.10,(4.10 - 6.33)
Anchorage,7.07,(5.32 - 9.33),11.61,(9.19 - 14.57),4.42,(3.08 - 6.28),5.56,(4.25 - 7.26)
Northern,6.75,(4.85 - 9.32),10.08,(7.65 - 13.17),3.31,(2.17 - 5.04),4.63,(3.41 - 6.26)
South Central,7.23,(5.28 - 9.84),11.20,(8.40 - 14.79),3.67,(2.40 - 5.57),4.81,(3.47 - 6.64)
Southeast,6.62,(4.71 - 9.24),12.28,(9.11 - 16.35),3.73,(2.38 - 5.80),4.90,(3.46 - 6.89)
Arizona,8.05,(6.58 - 9.82),13.13,(11.09 - 15.49),4.85,(3.68 - 6.38),6.05,(4.88 - 7.46)
Maricopa,8.18,(6.39 - 10.41),12.68,(10.38 - 15.41),4.69,(3.39 - 6.48),5.83,(4.55 - 7.45)
Pima,8.66,(6.16 - 12.04),14.93,(11.37 - 19.35),5.43,(3.57 - 8.18),6.83,(4.94 - 9.36)
Rural North,8.17,(5.81 - 11.38),14.93,(11.35 - 19.41),5.78,(3.71 - 8.90),7.09,(4.99 - 9.98)
Rural South,6.71,(4.69 - 9.53),11.43,(8.52 - 15.17),4.03,(2.52 - 6.36),5.13,(3.58 - 7.31)
Arkansas,7.69,(6.41 - 9.21),12.83,(10.89 - 15.05),4.04,(3.14 - 5.19),5.28,(4.35 - 6.39)
Catchment Area 1,7.39,(5.32 - 10.17),12.90,(9.82 - 16.77),3.86,(2.57 - 5.75),5.23,(3.86 - 7.06)
Catchment Area 2,8.50,(6.17 - 11.62),14.18,(10.61 - 18.70),4.30,(2.88 - 6.38),5.58,(4.05 - 7.64)
Catchment Area 3,7.73,(5.67 - 10.45),12.02,(9.18 - 15.59),4.03,(2.65 - 6.10),5.20,(3.77 - 7.14)
Catchment Area 4,7.64,(5.45 - 10.62),12.82,(9.74 - 16.69),3.84,(2.47 - 5.91),4.98,(3.56 - 6.94)
Catchment Area 5,7.71,(5.65 - 10.45),12.97,(10.22 - 16.33),4.02,(2.70 - 5.93),5.43,(4.06 - 7.21)
Catchment Area 6,6.46,(4.53 - 9.13),10.80,(7.97 - 14.47),3.64,(2.32 - 5.65),4.69,(3.30 - 6.63)
Catchment Area 7,7.86,(5.58 - 10.96),12.47,(9.30 - 16.53),3.89,(2.52 - 5.96),5.04,(3.59 - 7.05)
Catchment Area 8,7.89,(5.89 - 10.48),13.48,(10.43 - 17.25),4.36,(2.90 - 6.49),5.52,(4.02 - 7.55)
California,6.63,(5.85 - 7.50),10.36,(9.36 - 11.45),3.79,(3.22 - 4.45),4.84,(4.30 - 5.43)
Region 1R,8.52,(6.22 - 11.57),13.75,(10.66 - 17.56),4.86,(3.36 - 6.99),6.39,(4.82 - 8.43)
Region 2R,7.96,(5.89 - 10.67),13.26,(10.42 - 16.72),4.81,(3.33 - 6.91),6.22,(4.72 - 8.16)
Region 3R (Sacramento),7.75,(5.72 - 10.41),11.58,(9.04 - 14.72),4.60,(3.17 - 6.62),5.68,(4.25 - 7.56)
Region 4R,7.88,(5.81 - 10.60),12.18,(9.52 - 15.45),4.09,(2.79 - 5.96),5.25,(3.92 - 7.00)
Region 5R (San Francisco),*,(* - *),11.58,(8.85 - 15.01),4.66,(3.21 - 6.73),5.28,(3.83 - 7.25)
Region 6 (Santa Clara),4.84,(3.45 - 6.75),8.99,(6.89 - 11.64),2.87,(1.94 - 4.25),3.68,(2.71 - 4.98)
Region 7R (Contra Costa),5.77,(4.13 - 8.01),11.19,(8.53 - 14.55),3.31,(2.23 - 4.89),4.42,(3.26 - 5.97)
Region 8R (Alameda),6.01,(4.30 - 8.35),11.14,(8.65 - 14.24),3.90,(2.64 - 5.72),4.90,(3.61 - 6.61)
Region 9R (San Mateo),5.61,(3.97 - 7.86),10.41,(7.94 - 13.53),3.16,(2.11 - 4.73),4.01,(2.91 - 5.51)
Region 10,7.78,(5.73 - 10.49),12.60,(9.86 - 15.95),4.39,(2.97 - 6.45),5.81,(4.35 - 7.71)
Region 11 (Los Angeles),5.70,(4.75 - 6.84),9.03,(7.90 - 10.31),3.45,(2.82 - 4.22),4.34,(3.73 - 5.03)
LA SPA 1 and 5,5.45,(3.85 - 7.67),10.56,(8.04 - 13.76),3.59,(2.44 - 5.24),4.64,(3.44 - 6.23)
LA SPA 2,5.60,(4.09 - 7.63),9.38,(7.36 - 11.88),3.18,(2.18 - 4.63),4.09,(3.07 - 5.44)
LA SPA 3,5.26,(3.81 - 7.23),8.73,(6.79 - 11.17),3.46,(2.35 - 5.07),4.29,(3.18 - 5.76)
LA SPA 4,5.71,(4.11 - 7.89),8.91,(6.81 - 11.59),3.66,(2.53 - 5.27),4.39,(3.25 - 5.90)
LA SPA 6,5.64,(4.02 - 7.86),7.94,(6.10 - 10.28),3.15,(2.10 - 4.69),4.16,(3.09 - 5.56)
LA SPA 7,6.21,(4.47 - 8.58),9.17,(7.08 - 11.78),3.47,(2.36 - 5.09),4.47,(3.35 - 5.93)
LA SPA 8,6.06,(4.41 - 8.27),8.75,(6.67 - 11.40),3.71,(2.52 - 5.43),4.48,(3.29 - 6.08)
Region 12R,6.75,(4.84 - 9.33),10.62,(8.23 - 13.59),3.89,(2.61 - 5.76),4.99,(3.69 - 6.73)
Regions 13 and 19R,6.91,(5.19 - 9.14),9.78,(7.81 - 12.19),3.86,(2.72 - 5.46),4.88,(3.74 - 6.34)
Region 13 (Riverside),6.99,(5.16 - 9.41),9.93,(7.83 - 12.51),3.91,(2.70 - 5.61),4.93,(3.73 - 6.49)
Region 19R (Imperial),5.93,(4.21 - 8.31),8.14,(6.14 - 10.71),3.26,(2.11 - 4.99),4.19,(3.03 - 5.78)
Region 14 (Orange),5.90,(4.45 - 7.78),9.07,(7.13 - 11.47),2.98,(2.07 - 4.27),3.88,(2.96 - 5.07)
Region 15R (Fresno),6.94,(5.01 - 9.55),9.48,(7.19 - 12.39),3.96,(2.68 - 5.82),4.99,(3.70 - 6.71)
Region 16R (San Diego),7.60,(5.86 - 9.80),11.64,(9.30 - 14.46),4.50,(3.25 - 6.20),5.74,(4.50 - 7.30)
Region 17R,7.53,(5.61 - 10.03),9.88,(7.79 - 12.46),3.62,(2.49 - 5.21),4.78,(3.66 - 6.23)
Region 18R (San Bernardino),7.85,(5.96 - 10.28),10.22,(8.11 - 12.81),4.10,(2.88 - 5.82),5.24,(4.02 - 6.79)
