State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,66.80,(66.30 - 67.29),66.19,(65.68 - 66.71),73.56,(73.07 - 74.04),72.47,(72.05 - 72.89)
Northeast,69.44,(68.50 - 70.36),68.40,(67.40 - 69.37),75.80,(74.81 - 76.76),74.73,(73.86 - 75.58)
Midwest,65.54,(64.76 - 66.31),62.23,(61.41 - 63.04),69.67,(68.82 - 70.52),68.57,(67.81 - 69.32)
South,65.45,(64.70 - 66.20),65.63,(64.82 - 66.44),73.22,(72.43 - 73.99),72.11,(71.41 - 72.81)
West,68.07,(67.02 - 69.11),69.01,(67.95 - 70.05),76.01,(74.95 - 77.04),74.94,(74.02 - 75.84)
Alabama,60.63,(57.62 - 63.56),61.16,(57.95 - 64.27),69.58,(66.66 - 72.35),68.35,(65.76 - 70.84)
Region 1,58.20,(53.49 - 62.76),60.70,(55.51 - 65.66),67.08,(62.49 - 71.36),66.24,(62.15 - 70.10)
Region 2,61.10,(56.58 - 65.44),60.32,(55.68 - 64.77),69.71,(65.47 - 73.64),68.36,(64.61 - 71.89)
Region 3,62.70,(57.47 - 67.65),62.41,(57.14 - 67.40),71.19,(66.40 - 75.55),69.61,(65.49 - 73.44)
Region 4,61.17,(56.17 - 65.94),61.67,(56.29 - 66.78),71.36,(66.93 - 75.41),70.01,(66.07 - 73.67)
Alaska,68.71,(65.60 - 71.66),63.73,(60.52 - 66.82),69.64,(66.44 - 72.65),68.68,(65.90 - 71.32)
Anchorage,70.37,(65.90 - 74.48),66.13,(61.91 - 70.11),72.35,(68.35 - 76.02),71.36,(67.88 - 74.60)
Northern,64.82,(59.77 - 69.56),60.74,(55.46 - 65.78),65.77,(60.54 - 70.64),64.79,(60.37 - 68.96)
South Central,69.71,(64.96 - 74.08),63.04,(57.46 - 68.29),67.35,(62.35 - 71.99),66.70,(62.31 - 70.82)
Southeast,68.99,(63.47 - 74.02),62.84,(56.74 - 68.55),71.78,(66.55 - 76.48),70.56,(65.93 - 74.80)
Arizona,67.34,(64.28 - 70.27),66.75,(63.60 - 69.76),74.40,(71.28 - 77.29),73.30,(70.53 - 75.90)
Maricopa,67.82,(64.14 - 71.29),68.54,(64.62 - 72.22),75.07,(71.41 - 78.40),74.14,(70.93 - 77.12)
Pima,67.22,(61.97 - 72.08),66.49,(60.94 - 71.62),75.82,(71.21 - 79.91),74.45,(70.37 - 78.15)
Rural North,65.93,(60.39 - 71.06),61.22,(55.52 - 66.63),71.35,(66.03 - 76.14),69.90,(65.19 - 74.22)
Rural South,66.50,(60.75 - 71.80),63.78,(58.10 - 69.09),72.23,(67.01 - 76.90),70.96,(66.37 - 75.16)
Arkansas,64.40,(61.51 - 67.19),62.63,(59.60 - 65.56),71.26,(68.39 - 73.97),70.04,(67.47 - 72.50)
Catchment Area 1,65.37,(59.85 - 70.50),65.98,(60.47 - 71.09),73.35,(68.94 - 77.34),72.23,(68.34 - 75.81)
Catchment Area 2,64.53,(59.29 - 69.45),60.50,(54.52 - 66.18),69.28,(64.13 - 73.98),68.14,(63.53 - 72.42)
Catchment Area 3,62.25,(57.33 - 66.92),60.91,(55.48 - 66.09),69.90,(65.03 - 74.36),68.58,(64.30 - 72.57)
Catchment Area 4,63.85,(58.28 - 69.06),60.91,(55.11 - 66.42),69.70,(64.70 - 74.27),68.58,(64.10 - 72.74)
Catchment Area 5,64.78,(59.65 - 69.59),60.84,(55.80 - 65.66),71.26,(66.68 - 75.44),69.62,(65.62 - 73.35)
Catchment Area 6,62.55,(57.11 - 67.70),62.94,(56.96 - 68.56),69.97,(64.49 - 74.95),68.94,(64.10 - 73.39)
Catchment Area 7,63.29,(57.63 - 68.61),63.80,(57.82 - 69.39),70.81,(65.56 - 75.56),69.86,(65.16 - 74.19)
Catchment Area 8,66.37,(61.46 - 70.95),64.03,(58.66 - 69.08),73.28,(68.85 - 77.29),72.10,(68.15 - 75.74)
California,68.34,(66.68 - 69.95),71.64,(69.99 - 73.22),78.09,(76.46 - 79.64),77.06,(75.66 - 78.41)
Region 1R,66.87,(61.87 - 71.52),69.41,(64.36 - 74.03),73.59,(69.11 - 77.62),72.87,(69.01 - 76.41)
Region 2R,69.41,(64.74 - 73.72),70.99,(66.51 - 75.08),75.59,(71.51 - 79.26),74.82,(71.31 - 78.03)
Region 3R (Sacramento),67.91,(62.99 - 72.46),70.42,(65.43 - 74.96),75.73,(71.53 - 79.49),74.91,(71.27 - 78.22)
Region 4R,66.28,(61.25 - 70.97),70.99,(66.05 - 75.48),78.75,(74.91 - 82.14),77.64,(74.31 - 80.64)
Region 5R (San Francisco),*,(* - *),73.56,(68.92 - 77.74),80.51,(76.81 - 83.75),79.90,(76.50 - 82.92)
Region 6 (Santa Clara),70.62,(65.96 - 74.89),71.59,(66.84 - 75.91),78.50,(74.65 - 81.91),77.59,(74.16 - 80.69)
Region 7R (Contra Costa),69.54,(64.84 - 73.86),73.42,(68.50 - 77.82),79.37,(75.53 - 82.74),78.53,(75.15 - 81.57)
Region 8R (Alameda),71.06,(66.50 - 75.24),74.32,(69.99 - 78.22),79.31,(75.51 - 82.66),78.62,(75.28 - 81.63)
Region 9R (San Mateo),70.05,(65.23 - 74.46),72.76,(67.84 - 77.18),79.63,(75.74 - 83.03),78.83,(75.33 - 81.94)
Region 10,69.38,(64.87 - 73.55),69.11,(64.15 - 73.65),78.25,(74.43 - 81.64),76.67,(73.34 - 79.70)
Region 11 (Los Angeles),67.95,(65.70 - 70.12),72.50,(70.34 - 74.56),79.52,(77.53 - 81.37),78.40,(76.68 - 80.03)
LA SPA 1 and 5,68.67,(63.81 - 73.15),72.48,(67.38 - 77.05),80.48,(76.68 - 83.79),79.28,(75.92 - 82.27)
LA SPA 2,69.05,(64.57 - 73.20),73.79,(69.61 - 77.58),79.55,(75.88 - 82.78),78.70,(75.50 - 81.59)
LA SPA 3,67.76,(63.22 - 71.98),70.26,(65.77 - 74.38),80.36,(76.86 - 83.45),78.77,(75.76 - 81.51)
LA SPA 4,67.59,(62.65 - 72.16),73.68,(68.96 - 77.91),79.55,(75.87 - 82.79),78.73,(75.44 - 81.68)
LA SPA 6,67.02,(62.38 - 71.35),73.73,(69.07 - 77.91),78.14,(74.10 - 81.71),77.21,(73.82 - 80.28)
LA SPA 7,67.55,(62.81 - 71.95),72.43,(67.83 - 76.60),78.49,(74.63 - 81.91),77.43,(74.11 - 80.45)
LA SPA 8,67.68,(63.09 - 71.96),71.66,(66.98 - 75.91),79.39,(75.62 - 82.71),78.21,(74.93 - 81.16)
