State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,8.83,(8.53 - 9.15),35.46,(34.93 - 36.00),23.24,(22.77 - 23.72),25.05,(24.63 - 25.47)
Northeast,8.57,(8.06 - 9.12),35.54,(34.42 - 36.67),21.67,(20.74 - 22.62),23.66,(22.89 - 24.45)
Midwest,10.15,(9.70 - 10.61),39.81,(38.85 - 40.78),24.97,(24.16 - 25.81),27.17,(26.49 - 27.85)
South,8.83,(8.41 - 9.27),35.57,(34.60 - 36.55),24.71,(23.90 - 25.55),26.29,(25.61 - 26.98)
West,7.82,(7.29 - 8.39),31.25,(30.10 - 32.43),20.52,(19.54 - 21.54),22.16,(21.33 - 23.02)
Alabama,9.72,(8.17 - 11.53),38.39,(35.17 - 41.71),27.42,(24.91 - 30.09),29.02,(26.73 - 31.43)
Region 1,10.16,(7.85 - 13.04),38.41,(33.02 - 44.09),27.39,(23.68 - 31.45),28.85,(25.37 - 32.60)
Region 2,10.35,(8.07 - 13.19),38.88,(33.77 - 44.25),27.83,(24.23 - 31.76),29.42,(26.07 - 33.02)
Region 3,7.52,(5.47 - 10.26),35.13,(29.63 - 41.05),26.27,(22.28 - 30.70),27.85,(24.14 - 31.89)
Region 4,10.09,(7.56 - 13.35),41.00,(35.12 - 47.16),27.75,(23.73 - 32.17),29.60,(25.82 - 33.69)
Alaska,9.04,(7.47 - 10.92),38.74,(35.46 - 42.13),25.49,(22.79 - 28.39),27.63,(25.23 - 30.18)
Anchorage,8.04,(6.11 - 10.52),35.70,(31.52 - 40.11),23.71,(20.56 - 27.18),25.62,(22.75 - 28.71)
Northern,10.90,(8.21 - 14.33),44.80,(38.92 - 50.82),28.68,(24.34 - 33.45),31.80,(27.81 - 36.08)
South Central,8.96,(6.65 - 11.97),36.99,(30.95 - 43.46),25.98,(21.73 - 30.74),27.65,(23.67 - 32.01)
Southeast,8.75,(6.26 - 12.09),*,(* - *),25.33,(20.68 - 30.62),27.42,(22.94 - 32.42)
