State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,8.16,(7.88 - 8.44),8.24,(7.96 - 8.53),6.32,(6.08 - 6.57),6.60,(6.39 - 6.82)
Northeast,7.84,(7.35 - 8.35),8.22,(7.71 - 8.77),6.31,(5.87 - 6.78),6.58,(6.19 - 7.00)
Midwest,8.25,(7.88 - 8.64),8.49,(8.09 - 8.90),6.57,(6.22 - 6.94),6.86,(6.54 - 7.18)
South,8.13,(7.73 - 8.54),7.88,(7.50 - 8.28),6.25,(5.91 - 6.60),6.49,(6.19 - 6.79)
West,8.35,(7.82 - 8.92),8.56,(8.00 - 9.15),6.19,(5.75 - 6.66),6.56,(6.17 - 6.97)
Alabama,8.08,(6.86 - 9.50),8.11,(6.74 - 9.71),6.82,(5.66 - 8.19),7.00,(5.95 - 8.23)
Region 1,8.16,(6.42 - 10.32),8.22,(6.17 - 10.86),7.42,(5.71 - 9.59),7.52,(5.93 - 9.50)
Region 2,7.86,(6.21 - 9.91),8.12,(6.19 - 10.57),6.62,(5.08 - 8.60),6.84,(5.41 - 8.61)
Region 3,7.62,(5.87 - 9.84),7.00,(5.11 - 9.52),5.84,(4.36 - 7.78),6.05,(4.67 - 7.80)
Region 4,8.66,(6.74 - 11.07),9.11,(6.78 - 12.14),7.07,(5.38 - 9.24),7.35,(5.76 - 9.35)
Alaska,7.36,(6.11 - 8.83),6.90,(5.55 - 8.55),5.72,(4.61 - 7.08),5.91,(4.89 - 7.13)
Anchorage,7.43,(5.84 - 9.40),7.02,(5.29 - 9.26),5.89,(4.49 - 7.70),6.07,(4.78 - 7.69)
Northern,6.96,(5.27 - 9.13),6.54,(4.75 - 8.96),5.74,(4.28 - 7.65),5.89,(4.54 - 7.61)
South Central,7.60,(5.81 - 9.88),6.81,(4.80 - 9.57),5.57,(4.11 - 7.51),5.76,(4.37 - 7.55)
Southeast,7.40,(5.58 - 9.77),7.60,(5.40 - 10.61),5.39,(3.93 - 7.34),5.69,(4.29 - 7.52)
Arizona,9.04,(7.58 - 10.74),9.14,(7.65 - 10.89),6.80,(5.53 - 8.33),7.14,(5.98 - 8.50)
Maricopa,8.90,(7.18 - 10.99),8.89,(7.06 - 11.13),7.01,(5.49 - 8.92),7.28,(5.88 - 8.98)
Pima,9.40,(7.27 - 12.09),9.49,(6.97 - 12.78),6.70,(4.94 - 9.04),7.11,(5.41 - 9.29)
Rural North,9.02,(6.86 - 11.77),10.51,(7.75 - 14.11),6.60,(4.87 - 8.89),7.16,(5.49 - 9.30)
Rural South,9.27,(7.05 - 12.12),8.67,(6.31 - 11.79),6.07,(4.44 - 8.23),6.46,(4.90 - 8.46)
Arkansas,8.76,(7.40 - 10.34),8.98,(7.53 - 10.68),7.42,(6.20 - 8.86),7.64,(6.52 - 8.93)
Catchment Area 1,8.77,(6.79 - 11.26),8.07,(5.87 - 10.99),7.27,(5.47 - 9.60),7.39,(5.73 - 9.49)
Catchment Area 2,9.05,(6.94 - 11.73),10.03,(7.31 - 13.61),8.00,(6.02 - 10.57),8.27,(6.38 - 10.65)
Catchment Area 3,8.53,(6.59 - 10.97),9.16,(6.72 - 12.38),7.77,(5.81 - 10.32),7.97,(6.11 - 10.33)
Catchment Area 4,8.51,(6.46 - 11.14),8.38,(6.08 - 11.46),6.92,(5.05 - 9.42),7.11,(5.34 - 9.41)
Catchment Area 5,9.26,(7.13 - 11.95),10.33,(7.79 - 13.57),8.13,(6.20 - 10.61),8.48,(6.67 - 10.72)
Catchment Area 6,8.56,(6.52 - 11.16),7.53,(5.25 - 10.69),6.62,(4.91 - 8.88),6.76,(5.13 - 8.85)
Catchment Area 7,8.58,(6.51 - 11.23),8.38,(5.96 - 11.67),6.94,(5.14 - 9.30),7.13,(5.40 - 9.36)
Catchment Area 8,8.67,(6.63 - 11.25),8.95,(6.64 - 11.94),7.11,(5.38 - 9.33),7.34,(5.72 - 9.38)
California,7.99,(7.16 - 8.91),8.30,(7.45 - 9.25),5.53,(4.87 - 6.27),5.97,(5.38 - 6.62)
Region 1R,8.02,(6.23 - 10.27),9.69,(7.22 - 12.88),6.58,(4.99 - 8.64),7.12,(5.57 - 9.05)
Region 2R,7.91,(6.19 - 10.06),9.78,(7.37 - 12.87),6.67,(5.11 - 8.68),7.19,(5.69 - 9.06)
Region 3R (Sacramento),7.69,(5.99 - 9.82),8.97,(6.67 - 11.98),6.09,(4.65 - 7.94),6.54,(5.15 - 8.27)
Region 4R,8.06,(6.33 - 10.20),8.05,(5.80 - 11.06),5.20,(3.92 - 6.87),5.61,(4.34 - 7.22)
Region 5R (San Francisco),*,(* - *),8.80,(6.45 - 11.90),6.33,(4.86 - 8.20),6.55,(5.11 - 8.36)
Region 6 (Santa Clara),8.21,(6.46 - 10.38),7.82,(5.84 - 10.39),4.70,(3.58 - 6.15),5.11,(4.02 - 6.48)
Region 7R (Contra Costa),8.09,(6.36 - 10.24),7.98,(5.83 - 10.84),5.07,(3.84 - 6.68),5.48,(4.26 - 7.03)
Region 8R (Alameda),8.16,(6.37 - 10.39),8.22,(6.14 - 10.91),5.15,(3.93 - 6.72),5.57,(4.38 - 7.07)
Region 9R (San Mateo),8.01,(6.21 - 10.27),8.30,(6.09 - 11.21),4.77,(3.52 - 6.44),5.18,(3.95 - 6.78)
Region 10,8.59,(6.72 - 10.93),10.44,(7.82 - 13.82),5.93,(4.50 - 7.77),6.71,(5.29 - 8.48)
Region 11 (Los Angeles),7.92,(6.91 - 9.05),8.07,(6.98 - 9.31),5.33,(4.56 - 6.21),5.76,(5.06 - 6.55)
LA SPA 1 and 5,8.37,(6.55 - 10.65),8.42,(6.13 - 11.47),5.67,(4.28 - 7.47),6.08,(4.73 - 7.80)
LA SPA 2,7.78,(6.14 - 9.81),7.90,(5.97 - 10.39),5.56,(4.23 - 7.29),5.91,(4.64 - 7.49)
LA SPA 3,7.43,(5.78 - 9.49),8.07,(6.03 - 10.72),4.82,(3.65 - 6.36),5.33,(4.18 - 6.79)
LA SPA 4,7.98,(6.21 - 10.18),8.08,(6.01 - 10.78),5.93,(4.53 - 7.74),6.23,(4.88 - 7.92)
LA SPA 6,7.50,(5.86 - 9.55),7.76,(5.75 - 10.41),4.85,(3.64 - 6.45),5.47,(4.28 - 6.96)
LA SPA 7,8.32,(6.52 - 10.55),8.14,(6.10 - 10.77),4.97,(3.75 - 6.56),5.52,(4.35 - 6.99)
LA SPA 8,8.32,(6.50 - 10.60),8.23,(6.03 - 11.13),5.41,(4.12 - 7.09),5.84,(4.59 - 7.42)
Region 12R,8.43,(6.54 - 10.79),8.09,(5.90 - 11.01),6.25,(4.69 - 8.28),6.55,(5.07 - 8.43)
Regions 13 and 19R,8.15,(6.55 - 10.10),8.09,(6.25 - 10.42),5.86,(4.58 - 7.49),6.25,(5.03 - 7.74)
Region 13 (Riverside),8.19,(6.49 - 10.28),8.18,(6.22 - 10.69),5.95,(4.59 - 7.68),6.33,(5.04 - 7.93)
Region 19R (Imperial),7.68,(5.97 - 9.82),7.07,(5.14 - 9.63),4.66,(3.45 - 6.26),5.12,(3.94 - 6.62)
Region 14 (Orange),7.39,(5.88 - 9.25),8.82,(6.87 - 11.26),5.30,(4.10 - 6.82),5.82,(4.68 - 7.22)
Region 15R (Fresno),8.02,(6.29 - 10.17),7.50,(5.47 - 10.19),5.68,(4.30 - 7.47),6.02,(4.70 - 7.68)
Region 16R (San Diego),8.56,(6.92 - 10.54),7.88,(6.08 - 10.16),5.46,(4.27 - 6.96),5.88,(4.75 - 7.26)
Region 17R,8.03,(6.29 - 10.21),7.40,(5.50 - 9.89),5.50,(4.25 - 7.10),5.86,(4.65 - 7.35)
Region 18R (San Bernardino),7.42,(5.82 - 9.41),8.47,(6.46 - 11.03),5.88,(4.52 - 7.61),6.36,(5.07 - 7.94)
Region 20R,8.09,(6.35 - 10.24),7.66,(5.59 - 10.43),5.71,(4.34 - 7.49),6.06,(4.73 - 7.72)
Region 21R,8.36,(6.50 - 10.69),8.09,(5.95 - 10.90),5.50,(4.21 - 7.17),5.97,(4.72 - 7.53)
Colorado,9.05,(7.60 - 10.74),8.06,(6.75 - 9.61),7.07,(5.84 - 8.54),7.22,(6.10 - 8.51)
Region 1,8.78,(6.73 - 11.38),9.18,(6.76 - 12.35),7.66,(5.71 - 10.21),7.93,(6.13 - 10.19)
Regions 2 and 7,9.21,(7.36 - 11.46),7.32,(5.67 - 9.41),6.89,(5.40 - 8.76),6.95,(5.58 - 8.62)
Region 3,9.02,(7.02 - 11.53),8.71,(6.38 - 11.78),7.26,(5.44 - 9.62),7.48,(5.77 - 9.64)
Region 4,8.27,(6.24 - 10.88),7.65,(5.35 - 10.82),6.30,(4.64 - 8.50),6.50,(4.92 - 8.56)
Regions 5 and 6,9.05,(6.92 - 11.74),9.30,(6.75 - 12.67),7.44,(5.49 - 10.00),7.69,(5.84 - 10.06)
Connecticut,7.79,(6.55 - 9.24),8.00,(6.62 - 9.64),5.97,(4.96 - 7.16),6.25,(5.32 - 7.33)
Eastern,7.96,(6.08 - 10.37),8.73,(6.28 - 12.02),6.57,(4.89 - 8.79),6.95,(5.34 - 8.99)
North Central,7.50,(5.89 - 9.50),7.64,(5.68 - 10.20),5.89,(4.47 - 7.73),6.13,(4.80 - 7.80)
Northwestern,8.01,(6.19 - 10.29),7.90,(5.82 - 10.66),5.79,(4.41 - 7.58),6.07,(4.75 - 7.72)
South Central,7.87,(6.08 - 10.12),8.14,(6.03 - 10.89),6.16,(4.61 - 8.19),6.43,(4.97 - 8.30)
Southwest,7.82,(5.97 - 10.20),7.82,(5.64 - 10.74),5.61,(4.22 - 7.42),5.89,(4.55 - 7.59)
Delaware,8.66,(7.29 - 10.26),9.23,(7.68 - 11.06),6.39,(5.25 - 7.76),6.79,(5.73 - 8.03)
Kent,8.44,(6.51 - 10.88),9.93,(7.46 - 13.08),7.29,(5.46 - 9.65),7.69,(5.98 - 9.85)
New Castle (excluding Wilmington City),8.89,(7.17 - 10.99),9.35,(7.37 - 11.79),6.25,(4.82 - 8.07),6.72,(5.38 - 8.36)
Sussex,8.68,(6.73 - 11.12),8.72,(6.43 - 11.73),6.01,(4.52 - 7.94),6.31,(4.88 - 8.12)
Wilmington City,7.67,(5.85 - 9.99),8.01,(5.85 - 10.89),6.47,(4.77 - 8.71),6.68,(5.08 - 8.73)
District of Columbia,6.74,(5.56 - 8.14),6.89,(5.60 - 8.46),5.92,(4.80 - 7.28),6.10,(5.08 - 7.31)
Ward 1,6.93,(5.11 - 9.35),6.11,(4.32 - 8.58),6.36,(4.70 - 8.54),6.31,(4.80 - 8.26)
Ward 2,*,(* - *),7.33,(5.32 - 10.02),7.14,(5.33 - 9.52),7.19,(5.56 - 9.24)
Ward 3,7.01,(5.20 - 9.40),8.56,(6.29 - 11.56),7.02,(5.21 - 9.39),7.28,(5.59 - 9.43)
Ward 4,6.82,(5.14 - 9.00),6.93,(4.82 - 9.87),4.91,(3.53 - 6.78),5.17,(3.84 - 6.95)
Ward 5,6.53,(4.89 - 8.65),6.56,(4.58 - 9.31),4.85,(3.49 - 6.71),5.16,(3.85 - 6.88)
Ward 6,6.55,(4.90 - 8.71),7.22,(5.12 - 10.10),6.44,(4.76 - 8.66),6.54,(4.95 - 8.61)
Ward 7,7.01,(5.34 - 9.16),5.83,(4.04 - 8.33),4.97,(3.62 - 6.81),5.11,(3.83 - 6.79)
Ward 8,6.34,(4.79 - 8.33),6.07,(4.23 - 8.66),5.23,(3.76 - 7.24),5.41,(4.04 - 7.20)
Florida,8.53,(7.68 - 9.47),7.94,(7.12 - 8.84),6.19,(5.45 - 7.01),6.41,(5.75 - 7.15)
Region A - Northwest,9.02,(7.68 - 10.56),8.90,(7.31 - 10.79),7.03,(5.78 - 8.52),7.34,(6.18 - 8.69)
Circuit 1,9.12,(7.35 - 11.26),8.98,(6.69 - 11.94),6.93,(5.28 - 9.04),7.24,(5.68 - 9.18)
Circuit 2,8.63,(6.70 - 11.05),8.76,(6.56 - 11.59),7.01,(5.33 - 9.16),7.39,(5.83 - 9.33)
Circuit 14,9.23,(7.30 - 11.61),8.98,(6.56 - 12.18),7.29,(5.52 - 9.56),7.52,(5.84 - 9.63)
Region B - Northeast,8.58,(7.30 - 10.05),8.83,(7.31 - 10.62),6.99,(5.82 - 8.39),7.27,(6.18 - 8.54)
Circuits 3 and 8,8.17,(6.39 - 10.38),8.39,(6.31 - 11.08),6.78,(5.22 - 8.77),7.12,(5.66 - 8.92)
Circuit 4,8.51,(6.76 - 10.66),9.00,(6.73 - 11.93),7.46,(5.70 - 9.70),7.68,(6.03 - 9.73)
Circuit 7,8.95,(7.10 - 11.22),9.04,(6.67 - 12.12),6.56,(4.99 - 8.58),6.87,(5.35 - 8.78)
Region C - Central,8.69,(7.63 - 9.88),8.36,(7.17 - 9.74),6.52,(5.58 - 7.61),6.76,(5.89 - 7.74)
Circuit 5,9.05,(7.23 - 11.28),8.34,(6.32 - 10.93),6.57,(5.06 - 8.50),6.77,(5.33 - 8.56)
Circuit 9,8.71,(7.05 - 10.72),8.45,(6.46 - 10.99),6.69,(5.18 - 8.60),6.95,(5.54 - 8.67)
Circuit 10,8.30,(6.58 - 10.41),8.39,(6.35 - 11.00),6.94,(5.30 - 9.04),7.13,(5.58 - 9.08)
Circuit 18,8.51,(6.80 - 10.60),8.29,(6.25 - 10.91),6.11,(4.66 - 7.98),6.39,(5.01 - 8.11)
Circuit 19,8.89,(7.04 - 11.17),8.26,(6.05 - 11.18),6.27,(4.76 - 8.21),6.50,(5.05 - 8.32)
Region D - Southeast,8.17,(6.84 - 9.72),6.53,(5.25 - 8.10),5.53,(4.50 - 6.78),5.65,(4.69 - 6.80)
Circuit 15 (Palm Beach),8.34,(6.61 - 10.48),7.14,(5.30 - 9.56),5.75,(4.36 - 7.54),5.90,(4.59 - 7.57)
Circuit 17 (Broward),8.05,(6.43 - 10.03),6.10,(4.61 - 8.04),5.37,(4.16 - 6.91),5.46,(4.33 - 6.87)
Region E - Sun Coast,8.76,(7.59 - 10.08),8.60,(7.36 - 10.04),6.37,(5.42 - 7.47),6.62,(5.74 - 7.64)
Circuit 6,8.14,(6.44 - 10.25),9.02,(6.90 - 11.72),6.28,(4.87 - 8.05),6.57,(5.23 - 8.23)
Circuit 12,9.14,(7.28 - 11.43),8.85,(6.48 - 11.99),6.97,(5.24 - 9.23),7.17,(5.49 - 9.30)
