State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,13.67,(13.30 - 14.05),29.42,(28.87 - 29.98),7.65,(7.37 - 7.94),10.86,(10.59 - 11.13)
Northeast,14.48,(13.80 - 15.18),34.28,(33.22 - 35.35),8.24,(7.71 - 8.81),11.99,(11.49 - 12.51)
Midwest,12.91,(12.40 - 13.43),28.76,(27.96 - 29.58),6.95,(6.57 - 7.36),10.18,(9.82 - 10.55)
South,12.37,(11.86 - 12.89),25.62,(24.85 - 26.40),6.66,(6.30 - 7.04),9.41,(9.08 - 9.76)
West,15.77,(14.96 - 16.61),32.06,(30.94 - 33.20),9.42,(8.82 - 10.05),12.89,(12.34 - 13.45)
Alabama,10.33,(8.75 - 12.14),22.30,(19.71 - 25.13),6.08,(4.88 - 7.54),8.44,(7.23 - 9.83)
Region 1,9.83,(7.57 - 12.69),20.95,(16.99 - 25.56),5.73,(4.13 - 7.90),7.74,(6.03 - 9.88)
Region 2,11.46,(8.92 - 14.60),23.10,(19.04 - 27.73),6.54,(4.84 - 8.78),8.92,(7.14 - 11.09)
Region 3,9.75,(7.23 - 13.03),25.93,(21.11 - 31.41),7.07,(5.03 - 9.85),10.46,(8.21 - 13.24)
Region 4,9.81,(7.45 - 12.80),18.96,(14.86 - 23.87),5.09,(3.59 - 7.17),7.02,(5.36 - 9.16)
Alaska,15.97,(13.81 - 18.39),35.23,(31.94 - 38.68),13.25,(11.11 - 15.74),16.82,(14.82 - 19.03)
Anchorage,16.08,(12.98 - 19.75),35.92,(31.40 - 40.70),12.60,(9.95 - 15.84),16.32,(13.75 - 19.26)
Northern,15.63,(12.33 - 19.60),36.20,(30.51 - 42.31),15.40,(11.73 - 19.96),19.46,(15.92 - 23.56)
South Central,16.32,(12.84 - 20.52),32.65,(26.79 - 39.11),13.33,(9.94 - 17.67),16.26,(12.88 - 20.32)
Southeast,15.42,(11.55 - 20.29),*,(* - *),11.62,(8.28 - 16.07),14.99,(11.49 - 19.33)
Arizona,15.66,(13.52 - 18.06),28.07,(25.10 - 31.25),8.02,(6.44 - 9.93),10.91,(9.37 - 12.67)
Maricopa,16.23,(13.49 - 19.40),26.47,(22.82 - 30.46),8.01,(6.15 - 10.36),10.64,(8.80 - 12.81)
Pima,16.94,(12.84 - 22.03),*,(* - *),9.22,(6.54 - 12.84),12.96,(10.06 - 16.56)
Rural North,13.54,(10.07 - 17.96),*,(* - *),8.16,(5.70 - 11.56),11.48,(8.76 - 14.89)
Rural South,13.45,(9.77 - 18.24),*,(* - *),6.42,(4.35 - 9.40),9.12,(6.71 - 12.28)
Arkansas,11.85,(10.12 - 13.84),25.45,(22.69 - 28.43),7.26,(5.93 - 8.87),9.82,(8.50 - 11.33)
Catchment Area 1,10.76,(7.79 - 14.67),23.87,(18.57 - 30.12),6.25,(4.34 - 8.93),8.93,(6.76 - 11.71)
Catchment Area 2,11.71,(8.63 - 15.70),*,(* - *),6.52,(4.55 - 9.27),8.86,(6.63 - 11.76)
Catchment Area 3,11.83,(8.93 - 15.52),24.27,(19.13 - 30.26),8.23,(5.86 - 11.44),10.58,(8.08 - 13.74)
Catchment Area 4,12.46,(9.08 - 16.85),*,(* - *),6.28,(4.32 - 9.05),8.31,(6.14 - 11.15)
Catchment Area 5,12.11,(9.19 - 15.79),27.93,(22.94 - 33.53),7.06,(5.17 - 9.59),10.34,(8.26 - 12.88)
Catchment Area 6,11.95,(8.68 - 16.24),*,(* - *),8.26,(5.73 - 11.77),10.65,(7.91 - 14.20)
Catchment Area 7,11.51,(8.34 - 15.69),*,(* - *),7.09,(4.84 - 10.27),9.14,(6.64 - 12.45)
Catchment Area 8,12.48,(9.42 - 16.36),29.66,(24.19 - 35.77),8.18,(5.94 - 11.17),10.93,(8.56 - 13.84)
California,15.66,(14.42 - 16.98),32.23,(30.53 - 33.97),9.60,(8.65 - 10.63),13.21,(12.35 - 14.11)
Region 1R,20.00,(15.18 - 25.88),*,(* - *),17.22,(12.93 - 22.56),22.94,(18.57 - 27.98)
Region 2R,15.74,(12.20 - 20.07),39.11,(33.24 - 45.31),10.09,(7.56 - 13.35),14.94,(12.21 - 18.17)
Region 3R (Sacramento),17.93,(13.88 - 22.85),*,(* - *),11.85,(8.88 - 15.65),15.99,(12.81 - 19.78)
Region 4R,17.70,(13.67 - 22.61),*,(* - *),10.00,(7.35 - 13.46),14.09,(11.18 - 17.60)
Region 5R (San Francisco),*,(* - *),*,(* - *),20.38,(15.75 - 25.96),23.34,(18.74 - 28.66)
Region 6 (Santa Clara),13.69,(10.43 - 17.77),29.50,(24.02 - 35.65),7.23,(5.25 - 9.88),10.16,(7.97 - 12.86)
Region 7R (Contra Costa),17.86,(13.69 - 22.96),*,(* - *),9.87,(7.12 - 13.53),13.71,(10.66 - 17.44)
Region 8R (Alameda),16.95,(13.34 - 21.29),38.53,(32.55 - 44.89),11.42,(8.71 - 14.84),15.16,(12.32 - 18.51)
Region 9R (San Mateo),17.48,(13.33 - 22.60),*,(* - *),8.45,(6.06 - 11.66),11.82,(9.18 - 15.10)
Region 10,19.44,(15.32 - 24.35),41.77,(35.36 - 48.47),10.71,(8.07 - 14.07),16.07,(13.15 - 19.50)
Region 11 (Los Angeles),14.39,(12.79 - 16.14),28.35,(25.95 - 30.89),9.24,(7.98 - 10.67),12.27,(11.06 - 13.60)
LA SPA 1 and 5,16.09,(12.29 - 20.78),*,(* - *),12.54,(9.27 - 16.75),15.99,(12.54 - 20.18)
LA SPA 2,14.91,(11.75 - 18.74),29.76,(25.10 - 34.88),9.02,(6.85 - 11.79),12.06,(9.83 - 14.72)
LA SPA 3,14.86,(11.47 - 19.03),26.89,(22.03 - 32.37),7.10,(5.25 - 9.53),10.21,(8.15 - 12.72)
LA SPA 4,14.62,(11.21 - 18.86),29.83,(24.34 - 35.97),11.92,(9.02 - 15.59),14.42,(11.45 - 18.00)
LA SPA 6,12.78,(9.70 - 16.65),25.40,(20.29 - 31.29),8.45,(6.04 - 11.70),12.02,(9.37 - 15.29)
LA SPA 7,13.97,(10.73 - 17.98),24.54,(19.49 - 30.41),6.27,(4.44 - 8.77),9.45,(7.32 - 12.14)
LA SPA 8,13.70,(10.59 - 17.53),28.38,(22.75 - 34.78),10.41,(7.74 - 13.86),13.15,(10.36 - 16.56)
Region 12R,19.00,(14.53 - 24.44),*,(* - *),10.72,(7.68 - 14.76),14.77,(11.39 - 18.94)
Regions 13 and 19R,15.31,(12.24 - 18.97),28.97,(23.96 - 34.56),8.54,(6.53 - 11.10),12.05,(9.85 - 14.65)
Region 13 (Riverside),15.68,(12.40 - 19.65),29.67,(24.27 - 35.69),8.75,(6.62 - 11.48),12.30,(9.97 - 15.09)
Region 19R (Imperial),11.03,(8.19 - 14.70),*,(* - *),5.75,(3.94 - 8.32),8.67,(6.44 - 11.57)
Region 14 (Orange),13.58,(10.95 - 16.72),27.30,(23.37 - 31.61),6.80,(5.19 - 8.86),9.83,(8.15 - 11.82)
Region 15R (Fresno),13.65,(10.36 - 17.78),*,(* - *),8.00,(5.66 - 11.17),11.78,(9.05 - 15.20)
Region 16R (San Diego),15.35,(12.44 - 18.80),32.91,(28.25 - 37.93),9.40,(7.39 - 11.88),13.48,(11.35 - 15.93)
Region 17R,15.17,(11.82 - 19.27),22.57,(18.06 - 27.82),6.68,(4.84 - 9.15),9.64,(7.63 - 12.11)
Region 18R (San Bernardino),15.76,(12.65 - 19.47),26.59,(22.12 - 31.60),7.36,(5.49 - 9.81),10.92,(8.90 - 13.34)
Region 20R,16.34,(12.54 - 21.01),*,(* - *),9.24,(6.74 - 12.56),12.96,(10.14 - 16.42)
Region 21R,18.42,(14.14 - 23.63),*,(* - *),12.22,(8.95 - 16.46),17.66,(14.07 - 21.92)
Colorado,18.93,(16.50 - 21.62),40.25,(37.05 - 43.54),12.60,(10.54 - 15.01),16.62,(14.69 - 18.75)
Region 1,20.53,(15.93 - 26.04),*,(* - *),12.42,(8.98 - 16.94),17.89,(14.25 - 22.21)
Regions 2 and 7,19.59,(16.35 - 23.30),41.63,(37.48 - 45.91),14.00,(11.30 - 17.22),17.78,(15.24 - 20.64)
Region 3,16.21,(12.68 - 20.49),*,(* - *),9.35,(6.70 - 12.91),13.59,(10.73 - 17.06)
Region 4,17.58,(13.02 - 23.30),*,(* - *),9.38,(6.39 - 13.55),12.87,(9.57 - 17.09)
Regions 5 and 6,17.99,(13.53 - 23.52),*,(* - *),11.63,(8.21 - 16.22),15.19,(11.61 - 19.64)
Connecticut,16.22,(14.11 - 18.58),36.86,(33.59 - 40.24),8.78,(7.23 - 10.62),12.67,(11.15 - 14.37)
Eastern,14.64,(10.84 - 19.49),*,(* - *),8.85,(6.23 - 12.43),13.34,(10.36 - 17.02)
North Central,17.26,(14.01 - 21.07),40.31,(34.80 - 46.08),9.66,(7.29 - 12.69),13.78,(11.35 - 16.64)
Northwestern,15.50,(12.08 - 19.68),36.20,(30.02 - 42.87),8.34,(6.01 - 11.47),11.95,(9.41 - 15.07)
South Central,18.85,(14.96 - 23.47),40.48,(35.08 - 46.12),9.79,(7.35 - 12.92),14.08,(11.58 - 17.01)
Southwest,13.35,(10.11 - 17.43),*,(* - *),6.51,(4.51 - 9.31),9.38,(7.13 - 12.24)
Delaware,15.61,(13.56 - 17.91),35.29,(32.10 - 38.60),7.46,(6.00 - 9.23),11.40,(9.96 - 13.02)
Kent,13.84,(10.57 - 17.93),30.68,(25.26 - 36.69),6.93,(4.82 - 9.87),10.59,(8.25 - 13.49)
New Castle (excluding Wilmington City),15.70,(12.91 - 18.96),37.31,(32.98 - 41.87),7.10,(5.37 - 9.33),11.67,(9.86 - 13.76)
Sussex,16.22,(12.77 - 20.39),32.27,(26.72 - 38.37),7.25,(5.23 - 9.98),10.05,(7.90 - 12.70)
Wilmington City,17.62,(13.41 - 22.82),*,(* - *),11.13,(7.92 - 15.42),14.92,(11.51 - 19.11)
District of Columbia,15.83,(13.72 - 18.19),33.71,(30.60 - 36.96),11.67,(9.75 - 13.89),15.64,(13.86 - 17.61)
Ward 1,15.61,(11.49 - 20.86),35.48,(29.31 - 42.17),14.62,(10.93 - 19.28),18.52,(14.83 - 22.89)
Ward 2,*,(* - *),35.80,(29.82 - 42.26),12.26,(8.92 - 16.64),18.29,(14.76 - 22.45)
