State/Substate Region,18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  ** A separate CenterPoint estimate is not being reported because of low precision. For more details, see Table 34 of the ""2008-2010 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k10/toc.aspx.  NOTE: For substate region definitions, see the ""2008-2010 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k10/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2008, 2009, and 2010 (Revised March 2012)."
Total United States,6.47,(6.23 - 6.73),3.30,(3.13 - 3.48),3.76,(3.61 - 3.92)
Northeast,6.73,(6.27 - 7.23),3.29,(2.99 - 3.62),3.78,(3.51 - 4.08)
Midwest,6.80,(6.42 - 7.20),3.63,(3.36 - 3.92),4.10,(3.85 - 4.36)
South,6.03,(5.65 - 6.42),3.06,(2.81 - 3.33),3.49,(3.26 - 3.74)
West,6.65,(6.16 - 7.19),3.36,(3.04 - 3.71),3.87,(3.57 - 4.18)
Alabama,6.65,(5.46 - 8.09),3.47,(2.73 - 4.40),3.93,(3.23 - 4.79)
Region 1,6.05,(4.39 - 8.28),3.47,(2.49 - 4.82),3.81,(2.87 - 5.05)
Region 2,6.82,(5.10 - 9.05),3.48,(2.51 - 4.82),3.96,(3.01 - 5.20)
Region 3,7.10,(5.22 - 9.59),3.67,(2.59 - 5.18),4.29,(3.24 - 5.66)
Region 4,6.66,(4.89 - 9.02),3.29,(2.35 - 4.59),3.76,(2.84 - 4.96)
Alaska,6.03,(4.89 - 7.41),3.48,(2.68 - 4.50),3.89,(3.14 - 4.81)
Anchorage,6.22,(4.67 - 8.24),3.59,(2.58 - 4.96),4.01,(3.06 - 5.24)
Northern,5.79,(4.20 - 7.92),3.34,(2.34 - 4.75),3.82,(2.87 - 5.07)
South Central,5.72,(4.08 - 7.97),3.38,(2.40 - 4.73),3.73,(2.80 - 4.96)
Southeast,6.63,(4.66 - 9.37),3.54,(2.42 - 5.13),3.96,(2.87 - 5.44)
Arizona,6.65,(5.39 - 8.19),3.60,(2.78 - 4.65),4.04,(3.27 - 4.99)
Maricopa,6.36,(4.87 - 8.27),3.51,(2.57 - 4.77),3.91,(3.03 - 5.04)
Pima,6.72,(4.82 - 9.30),3.57,(2.51 - 5.05),4.03,(3.00 - 5.41)
Rural North,8.26,(5.91 - 11.43),4.35,(2.96 - 6.35),4.91,(3.57 - 6.72)
Rural South,6.47,(4.54 - 9.13),3.41,(2.33 - 4.98),3.87,(2.80 - 5.33)
Arkansas,6.69,(5.52 - 8.09),3.79,(2.98 - 4.82),4.20,(3.43 - 5.13)
Catchment Area 1,6.88,(4.98 - 9.43),3.48,(2.45 - 4.93),4.00,(2.99 - 5.33)
Catchment Area 2,6.91,(4.90 - 9.66),4.29,(2.99 - 6.11),4.63,(3.38 - 6.30)
Catchment Area 3,7.13,(5.22 - 9.67),3.89,(2.72 - 5.53),4.36,(3.24 - 5.85)
Catchment Area 4,6.51,(4.64 - 9.07),3.85,(2.63 - 5.60),4.19,(3.02 - 5.78)
Catchment Area 5,6.17,(4.45 - 8.48),3.82,(2.74 - 5.32),4.19,(3.16 - 5.54)
Catchment Area 6,6.59,(4.69 - 9.17),3.63,(2.50 - 5.26),4.07,(2.98 - 5.54)
Catchment Area 7,6.49,(4.59 - 9.11),3.64,(2.52 - 5.25),4.03,(2.94 - 5.49)
Catchment Area 8,6.71,(4.83 - 9.25),3.72,(2.63 - 5.24),4.10,(3.05 - 5.50)
California,6.49,(5.76 - 7.31),2.89,(2.43 - 3.43),3.47,(3.04 - 3.95)
Region 1R,7.05,(5.14 - 9.60),3.63,(2.64 - 4.96),4.22,(3.25 - 5.46)
Region 2R,6.41,(4.73 - 8.64),3.30,(2.39 - 4.52),3.82,(2.94 - 4.95)
Region 3R (Sacramento),6.67,(4.92 - 8.97),3.20,(2.31 - 4.44),3.74,(2.86 - 4.89)
Region 4R,6.16,(4.49 - 8.39),2.78,(2.03 - 3.81),3.27,(2.51 - 4.24)
Region 5R (San Francisco),6.21,(4.51 - 8.50),3.29,(2.34 - 4.60),3.55,(2.63 - 4.76)
Region 6 (Santa Clara),6.86,(5.06 - 9.25),2.59,(1.86 - 3.58),3.15,(2.40 - 4.11)
Region 7R (Contra Costa),6.79,(4.97 - 9.22),2.69,(1.93 - 3.76),3.27,(2.50 - 4.28)
Region 8R (Alameda),7.16,(5.28 - 9.65),2.82,(2.03 - 3.89),3.41,(2.63 - 4.43)
Region 9R (San Mateo),7.10,(5.15 - 9.71),2.81,(2.01 - 3.92),3.31,(2.49 - 4.38)
Region 10,7.71,(5.61 - 10.52),3.43,(2.44 - 4.81),4.17,(3.17 - 5.48)
Region 11 (Los Angeles),6.65,(5.73 - 7.71),2.74,(2.24 - 3.36),3.36,(2.88 - 3.92)
LA SPA 1 and 5,6.87,(5.05 - 9.27),2.98,(2.15 - 4.12),3.57,(2.73 - 4.65)
LA SPA 2,6.89,(5.18 - 9.11),2.93,(2.14 - 3.99),3.51,(2.73 - 4.50)
LA SPA 3,6.88,(5.17 - 9.10),2.58,(1.86 - 3.57),3.26,(2.53 - 4.18)
LA SPA 4,6.32,(4.62 - 8.60),2.89,(2.08 - 4.00),3.37,(2.58 - 4.40)
LA SPA 6,6.65,(4.89 - 8.97),2.59,(1.84 - 3.62),3.45,(2.66 - 4.46)
LA SPA 7,6.39,(4.68 - 8.68),2.53,(1.79 - 3.54),3.20,(2.45 - 4.17)
LA SPA 8,6.39,(4.73 - 8.59),2.65,(1.90 - 3.67),3.22,(2.47 - 4.18)
Region 12R,6.29,(4.55 - 8.64),2.82,(2.05 - 3.87),3.39,(2.60 - 4.40)
Regions 13 and 19R,6.34,(4.73 - 8.44),2.75,(2.04 - 3.69),3.37,(2.65 - 4.27)
Region 13 (Riverside),6.36,(4.65 - 8.64),2.78,(2.04 - 3.79),3.39,(2.64 - 4.36)
