State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,8.59,(8.30 - 8.88),41.04,(40.42 - 41.66),22.19,(21.77 - 22.61),24.97,(24.59 - 25.35)
Northeast,9.64,(9.05 - 10.26),45.17,(44.07 - 46.27),23.19,(22.33 - 24.06),26.35,(25.59 - 27.12)
Midwest,9.06,(8.63 - 9.51),45.40,(44.49 - 46.32),24.44,(23.75 - 25.13),27.54,(26.93 - 28.15)
South,7.75,(7.37 - 8.16),37.25,(36.40 - 38.11),20.82,(20.20 - 21.45),23.21,(22.66 - 23.77)
West,8.65,(8.06 - 9.28),39.63,(38.50 - 40.78),21.43,(20.58 - 22.29),24.22,(23.47 - 24.98)
Alabama,7.07,(5.85 - 8.52),33.88,(30.83 - 37.07),19.61,(17.40 - 22.02),21.69,(19.67 - 23.85)
Region 1,6.93,(5.22 - 9.15),31.66,(26.46 - 37.36),17.81,(14.63 - 21.51),19.64,(16.61 - 23.06)
Region 2,7.71,(5.88 - 10.05),34.38,(29.62 - 39.49),20.98,(17.53 - 24.91),22.91,(19.73 - 26.42)
Region 3,5.99,(4.31 - 8.28),37.71,(32.04 - 43.74),21.37,(17.24 - 26.18),24.31,(20.48 - 28.60)
Region 4,7.21,(5.35 - 9.65),31.82,(26.54 - 37.61),18.58,(14.99 - 22.80),20.43,(17.03 - 24.30)
Alaska,9.10,(7.50 - 11.00),39.91,(36.61 - 43.30),23.12,(20.59 - 25.86),25.85,(23.53 - 28.30)
Anchorage,9.88,(7.65 - 12.66),44.64,(40.07 - 49.30),25.39,(21.85 - 29.28),28.45,(25.24 - 31.89)
Northern,7.62,(5.64 - 10.21),34.69,(29.35 - 40.44),20.22,(16.39 - 24.68),23.03,(19.47 - 27.03)
South Central,9.26,(6.90 - 12.32),38.13,(31.88 - 44.79),22.50,(18.33 - 27.30),24.87,(20.94 - 29.26)
Southeast,9.16,(6.54 - 12.70),*,(* - *),21.19,(16.72 - 26.47),23.42,(19.09 - 28.38)
Arizona,9.14,(7.52 - 11.07),40.14,(36.80 - 43.58),22.11,(19.48 - 24.98),24.71,(22.29 - 27.30)
Maricopa,9.12,(7.15 - 11.56),39.17,(35.02 - 43.48),21.71,(18.59 - 25.19),24.20,(21.32 - 27.33)
Pima,9.62,(7.07 - 12.97),*,(* - *),23.38,(18.75 - 28.76),26.27,(21.80 - 31.28)
Rural North,8.96,(6.44 - 12.35),*,(* - *),23.76,(18.96 - 29.33),26.56,(22.04 - 31.62)
Rural South,8.88,(6.34 - 12.30),*,(* - *),20.92,(16.44 - 26.24),23.52,(19.16 - 28.52)
Arkansas,8.32,(6.91 - 9.99),35.28,(32.16 - 38.53),18.25,(16.02 - 20.70),20.64,(18.57 - 22.88)
Catchment Area 1,7.96,(5.71 - 10.99),33.27,(27.22 - 39.92),16.99,(13.46 - 21.22),19.46,(16.01 - 23.46)
Catchment Area 2,9.11,(6.59 - 12.47),*,(* - *),17.16,(13.55 - 21.50),19.88,(16.26 - 24.08)
Catchment Area 3,8.81,(6.55 - 11.77),36.39,(30.51 - 42.71),20.01,(15.84 - 24.96),22.41,(18.49 - 26.89)
Catchment Area 4,8.71,(6.23 - 12.06),*,(* - *),17.31,(13.44 - 22.01),19.41,(15.62 - 23.85)
Catchment Area 5,9.15,(6.74 - 12.31),38.38,(32.75 - 44.34),17.88,(14.34 - 22.07),21.10,(17.69 - 24.96)
Catchment Area 6,6.89,(4.99 - 9.45),*,(* - *),17.75,(13.73 - 22.63),19.55,(15.69 - 24.08)
Catchment Area 7,7.79,(5.61 - 10.71),*,(* - *),18.68,(14.60 - 23.59),20.49,(16.51 - 25.14)
Catchment Area 8,7.85,(5.71 - 10.70),36.11,(30.38 - 42.25),19.46,(15.78 - 23.75),21.59,(18.05 - 25.60)
California,8.35,(7.46 - 9.35),39.32,(37.57 - 41.09),21.03,(19.68 - 22.45),23.95,(22.76 - 25.18)
Region 1R,9.47,(7.09 - 12.53),*,(* - *),23.53,(19.05 - 28.68),28.17,(23.89 - 32.87)
Region 2R,9.00,(6.73 - 11.93),45.84,(39.79 - 52.02),23.93,(19.72 - 28.71),27.59,(23.63 - 31.94)
Region 3R (Sacramento),8.36,(6.20 - 11.17),43.16,(36.73 - 49.82),20.96,(17.23 - 25.24),24.41,(20.84 - 28.36)
Region 4R,8.84,(6.55 - 11.85),*,(* - *),19.21,(15.61 - 23.42),22.40,(18.84 - 26.42)
Region 5R (San Francisco),*,(* - *),*,(* - *),24.88,(20.29 - 30.11),26.82,(22.36 - 31.79)
Region 6 (Santa Clara),8.22,(6.14 - 10.92),37.49,(31.68 - 43.68),18.94,(15.51 - 22.94),21.38,(18.04 - 25.15)
Region 7R (Contra Costa),8.19,(6.07 - 10.96),*,(* - *),20.15,(16.15 - 24.85),22.65,(18.74 - 27.10)
Region 8R (Alameda),7.97,(5.96 - 10.58),38.95,(33.23 - 44.99),19.21,(15.47 - 23.60),21.93,(18.37 - 25.97)
Region 9R (San Mateo),9.13,(6.74 - 12.25),*,(* - *),19.52,(15.71 - 23.99),21.87,(18.11 - 26.16)
Region 10,9.55,(7.20 - 12.56),43.09,(36.73 - 49.68),21.37,(17.58 - 25.73),25.12,(21.47 - 29.17)
Region 11 (Los Angeles),7.93,(6.83 - 9.18),34.62,(32.21 - 37.12),20.69,(18.86 - 22.65),22.90,(21.23 - 24.66)
LA SPA 1 and 5,8.43,(6.16 - 11.43),*,(* - *),21.66,(17.64 - 26.31),24.65,(20.72 - 29.06)
LA SPA 2,7.90,(6.02 - 10.29),33.73,(28.90 - 38.93),19.01,(15.63 - 22.92),21.17,(18.01 - 24.71)
LA SPA 3,8.16,(6.19 - 10.69),35.85,(30.68 - 41.36),19.62,(16.18 - 23.59),22.17,(18.93 - 25.79)
LA SPA 4,8.45,(6.38 - 11.13),36.40,(30.33 - 42.94),22.95,(19.12 - 27.28),24.83,(21.18 - 28.88)
