State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,7.19,(6.91 - 7.47),17.71,(17.27 - 18.16),4.58,(4.37 - 4.80),6.52,(6.32 - 6.73)
Northeast,8.28,(7.73 - 8.86),21.33,(20.39 - 22.31),4.82,(4.43 - 5.25),7.20,(6.82 - 7.59)
Midwest,7.01,(6.63 - 7.40),17.00,(16.24 - 17.78),4.21,(3.92 - 4.53),6.10,(5.82 - 6.40)
South,6.12,(5.74 - 6.52),15.38,(14.66 - 16.12),3.80,(3.52 - 4.11),5.49,(5.22 - 5.76)
West,8.19,(7.59 - 8.82),19.14,(18.13 - 20.19),5.98,(5.48 - 6.53),8.00,(7.53 - 8.49)
Alabama,5.37,(4.31 - 6.68),13.83,(11.76 - 16.20),3.29,(2.50 - 4.32),4.83,(3.99 - 5.83)
Region 1,5.04,(3.58 - 7.04),13.34,(10.09 - 17.42),3.14,(2.08 - 4.71),4.49,(3.28 - 6.10)
Region 2,6.16,(4.49 - 8.41),14.36,(11.23 - 18.18),3.54,(2.45 - 5.11),5.10,(3.88 - 6.67)
Region 3,5.20,(3.58 - 7.48),15.29,(11.60 - 19.88),3.74,(2.47 - 5.65),5.82,(4.31 - 7.81)
Region 4,4.82,(3.32 - 6.95),12.14,(9.01 - 16.17),2.76,(1.77 - 4.28),4.07,(2.91 - 5.66)
Alaska,8.63,(7.04 - 10.53),23.61,(20.64 - 26.87),9.56,(7.73 - 11.76),11.84,(10.14 - 13.78)
Anchorage,8.38,(6.32 - 11.04),24.34,(20.54 - 28.59),8.98,(6.79 - 11.78),11.42,(9.33 - 13.92)
Northern,8.54,(6.14 - 11.75),23.70,(19.03 - 29.11),10.82,(7.85 - 14.74),13.33,(10.45 - 16.84)
South Central,9.17,(6.68 - 12.47),22.10,(17.16 - 27.98),9.74,(6.83 - 13.71),11.62,(8.73 - 15.29)
Southeast,8.43,(5.87 - 11.96),*,(* - *),9.02,(6.12 - 13.10),11.08,(8.10 - 14.97)
Arizona,7.74,(6.21 - 9.61),15.88,(13.52 - 18.55),4.75,(3.63 - 6.21),6.36,(5.22 - 7.73)
Maricopa,7.67,(5.82 - 10.06),14.82,(12.10 - 18.03),4.53,(3.27 - 6.25),6.00,(4.71 - 7.61)
Pima,9.38,(6.53 - 13.29),18.25,(13.57 - 24.10),6.05,(4.00 - 9.04),7.84,(5.64 - 10.80)
Rural North,7.22,(4.92 - 10.48),18.52,(13.90 - 24.25),5.07,(3.29 - 7.75),7.00,(5.01 - 9.69)
Rural South,6.76,(4.47 - 10.10),15.46,(11.09 - 21.13),3.93,(2.44 - 6.27),5.66,(3.91 - 8.12)
Arkansas,6.21,(5.00 - 7.69),14.63,(12.55 - 16.99),3.95,(3.03 - 5.13),5.46,(4.51 - 6.59)
Catchment Area 1,6.12,(4.18 - 8.87),13.57,(9.90 - 18.31),4.00,(2.57 - 6.17),5.45,(3.85 - 7.66)
Catchment Area 2,6.39,(4.39 - 9.22),13.49,(9.55 - 18.71),3.38,(2.10 - 5.39),4.69,(3.20 - 6.83)
Catchment Area 3,5.80,(4.03 - 8.28),13.33,(9.85 - 17.79),3.87,(2.49 - 5.97),5.25,(3.72 - 7.38)
Catchment Area 4,6.10,(4.13 - 8.93),12.10,(8.62 - 16.73),3.54,(2.17 - 5.71),4.64,(3.13 - 6.82)
Catchment Area 5,6.60,(4.65 - 9.28),16.26,(12.68 - 20.62),4.25,(2.85 - 6.29),6.13,(4.59 - 8.16)
Catchment Area 6,6.49,(4.35 - 9.59),*,(* - *),4.71,(2.97 - 7.39),6.45,(4.49 - 9.19)
Catchment Area 7,6.39,(4.22 - 9.57),13.07,(9.22 - 18.22),3.76,(2.31 - 6.07),5.02,(3.38 - 7.39)
Catchment Area 8,6.10,(4.20 - 8.76),16.94,(12.88 - 21.95),4.10,(2.72 - 6.16),5.75,(4.19 - 7.84)
California,8.27,(7.35 - 9.29),19.39,(17.89 - 20.97),5.88,(5.11 - 6.75),8.03,(7.31 - 8.81)
Region 1R,11.31,(7.86 - 16.00),*,(* - *),10.80,(7.48 - 15.36),14.25,(10.80 - 18.57)
Region 2R,8.21,(5.87 - 11.37),19.75,(15.50 - 24.82),5.94,(4.11 - 8.51),8.25,(6.25 - 10.81)
Region 3R (Sacramento),8.76,(6.27 - 12.11),23.17,(18.14 - 29.09),7.01,(4.88 - 9.96),9.52,(7.20 - 12.47)
Region 4R,8.53,(6.17 - 11.69),20.65,(15.76 - 26.59),6.05,(4.19 - 8.67),8.14,(6.09 - 10.81)
Region 5R (San Francisco),*,(* - *),*,(* - *),11.14,(7.94 - 15.43),12.86,(9.61 - 17.00)
Region 6 (Santa Clara),7.54,(5.45 - 10.34),18.50,(14.47 - 23.36),4.79,(3.25 - 7.00),6.59,(4.93 - 8.77)
Region 7R (Contra Costa),8.75,(6.21 - 12.19),*,(* - *),6.17,(4.14 - 9.10),8.59,(6.29 - 11.62)
Region 8R (Alameda),9.11,(6.58 - 12.47),23.51,(18.81 - 28.96),6.77,(4.83 - 9.42),9.08,(6.99 - 11.72)
Region 9R (San Mateo),8.56,(6.05 - 11.97),*,(* - *),5.33,(3.55 - 7.93),7.06,(5.08 - 9.73)
Region 10,11.23,(8.12 - 15.35),27.08,(21.53 - 33.45),7.41,(5.21 - 10.43),10.80,(8.34 - 13.88)
Region 11 (Los Angeles),7.61,(6.49 - 8.89),17.19,(15.13 - 19.46),5.28,(4.33 - 6.41),7.16,(6.23 - 8.22)
LA SPA 1 and 5,9.14,(6.52 - 12.67),*,(* - *),6.84,(4.68 - 9.89),9.03,(6.67 - 12.12)
LA SPA 2,8.00,(5.85 - 10.86),16.62,(12.97 - 21.05),5.01,(3.47 - 7.18),6.71,(5.09 - 8.80)
LA SPA 3,6.93,(4.98 - 9.56),15.70,(12.13 - 20.07),3.97,(2.71 - 5.78),5.81,(4.37 - 7.69)
LA SPA 4,7.70,(5.40 - 10.85),19.07,(14.76 - 24.28),6.09,(4.21 - 8.73),7.90,(5.89 - 10.53)
LA SPA 6,7.02,(4.97 - 9.82),15.70,(11.71 - 20.74),4.98,(3.29 - 7.47),7.23,(5.29 - 9.81)
LA SPA 7,7.65,(5.48 - 10.57),15.56,(11.72 - 20.37),4.24,(2.85 - 6.28),6.21,(4.59 - 8.36)
LA SPA 8,7.38,(5.31 - 10.19),18.28,(13.97 - 23.55),6.42,(4.44 - 9.21),8.23,(6.14 - 10.95)
Region 12R,8.84,(6.17 - 12.52),*,(* - *),5.51,(3.58 - 8.38),7.62,(5.41 - 10.63)
Regions 13 and 19R,8.45,(6.31 - 11.23),18.87,(14.98 - 23.49),5.75,(4.13 - 7.96),8.00,(6.24 - 10.20)
Region 13 (Riverside),8.64,(6.35 - 11.65),19.35,(15.18 - 24.33),5.93,(4.21 - 8.30),8.21,(6.33 - 10.58)
Region 19R (Imperial),6.28,(4.27 - 9.15),13.33,(9.47 - 18.45),3.36,(2.12 - 5.28),5.27,(3.72 - 7.42)
Region 14 (Orange),6.90,(5.14 - 9.20),18.43,(15.23 - 22.12),4.36,(3.11 - 6.08),6.44,(5.13 - 8.06)
Region 15R (Fresno),7.15,(5.06 - 10.02),15.93,(11.65 - 21.39),5.04,(3.36 - 7.51),7.08,(5.15 - 9.66)
Region 16R (San Diego),8.89,(6.90 - 11.40),20.14,(16.35 - 24.56),6.47,(4.84 - 8.60),8.84,(7.11 - 10.94)
Region 17R,8.37,(6.11 - 11.36),14.97,(11.56 - 19.17),4.63,(3.16 - 6.75),6.55,(4.95 - 8.62)
Region 18R (San Bernardino),7.70,(5.69 - 10.34),13.42,(10.33 - 17.26),4.21,(2.87 - 6.15),5.91,(4.44 - 7.83)
Region 20R,8.67,(6.14 - 12.09),18.42,(13.83 - 24.11),5.59,(3.79 - 8.19),7.85,(5.79 - 10.55)
Region 21R,10.12,(7.19 - 14.07),*,(* - *),8.14,(5.61 - 11.67),11.12,(8.33 - 14.71)
Colorado,10.05,(8.29 - 12.13),25.38,(22.56 - 28.42),8.91,(7.21 - 10.96),11.30,(9.68 - 13.15)
Region 1,10.29,(7.41 - 14.13),26.92,(21.47 - 33.16),7.90,(5.42 - 11.39),11.24,(8.59 - 14.58)
Regions 2 and 7,10.54,(8.25 - 13.36),26.12,(22.45 - 30.15),10.19,(7.90 - 13.05),12.37,(10.20 - 14.93)
Region 3,8.62,(6.19 - 11.88),24.22,(19.00 - 30.33),6.27,(4.26 - 9.15),9.03,(6.79 - 11.91)
Region 4,8.89,(5.93 - 13.13),*,(* - *),5.88,(3.70 - 9.24),8.04,(5.58 - 11.44)
Regions 5 and 6,9.81,(6.86 - 13.83),*,(* - *),8.51,(5.67 - 12.59),10.63,(7.67 - 14.55)
Connecticut,8.80,(7.23 - 10.66),22.22,(19.47 - 25.24),5.03,(3.91 - 6.46),7.42,(6.26 - 8.76)
Eastern,8.87,(6.10 - 12.74),*,(* - *),6.38,(4.17 - 9.65),9.01,(6.54 - 12.29)
North Central,8.39,(6.28 - 11.13),23.35,(19.03 - 28.31),4.98,(3.51 - 7.01),7.45,(5.84 - 9.46)
Northwestern,9.86,(7.06 - 13.61),22.30,(17.41 - 28.10),5.19,(3.49 - 7.66),7.41,(5.53 - 9.86)
South Central,9.47,(6.98 - 12.73),23.85,(19.44 - 28.91),5.29,(3.68 - 7.55),7.89,(6.14 - 10.07)
Southwest,7.58,(5.31 - 10.71),18.74,(13.99 - 24.64),3.77,(2.39 - 5.91),5.69,(4.08 - 7.90)
Delaware,7.87,(6.37 - 9.68),21.19,(18.51 - 24.14),4.38,(3.33 - 5.76),6.77,(5.68 - 8.04)
Kent,7.26,(5.17 - 10.09),18.52,(14.23 - 23.73),4.65,(3.03 - 7.09),6.78,(4.98 - 9.18)
New Castle (excluding Wilmington City),7.95,(6.00 - 10.45),21.99,(18.60 - 25.80),3.92,(2.75 - 5.55),6.65,(5.40 - 8.17)
Sussex,7.46,(5.28 - 10.45),18.60,(14.26 - 23.90),4.06,(2.68 - 6.12),5.69,(4.15 - 7.77)
Wilmington City,9.68,(6.74 - 13.71),*,(* - *),7.39,(4.94 - 10.91),10.14,(7.50 - 13.58)
District of Columbia,8.90,(7.21 - 10.94),19.45,(16.83 - 22.38),7.03,(5.59 - 8.81),9.27,(7.92 - 10.82)
Ward 1,8.74,(5.91 - 12.75),19.08,(14.48 - 24.73),7.99,(5.51 - 11.45),10.06,(7.52 - 13.33)
Ward 2,*,(* - *),17.13,(13.02 - 22.22),6.10,(4.04 - 9.10),8.90,(6.64 - 11.85)
Ward 3,8.11,(5.48 - 11.85),16.53,(12.71 - 21.21),4.84,(3.20 - 7.25),6.83,(5.05 - 9.16)
Ward 4,10.14,(7.03 - 14.41),*,(* - *),6.75,(4.40 - 10.21),8.52,(6.03 - 11.90)
Ward 5,8.45,(5.94 - 11.90),*,(* - *),7.24,(4.75 - 10.89),9.61,(6.95 - 13.16)
Ward 6,8.30,(5.64 - 12.07),20.26,(15.33 - 26.28),7.51,(5.11 - 10.90),9.20,(6.74 - 12.44)
Ward 7,8.94,(6.50 - 12.17),*,(* - *),8.01,(5.52 - 11.49),10.45,(7.80 - 13.87)
Ward 8,9.40,(6.77 - 12.92),*,(* - *),8.67,(5.90 - 12.57),11.50,(8.62 - 15.18)
Florida,6.43,(5.63 - 7.32),16.24,(14.91 - 17.68),4.58,(3.93 - 5.32),6.09,(5.47 - 6.77)
Region A - Northwest,6.32,(5.01 - 7.95),17.77,(14.90 - 21.06),5.45,(4.15 - 7.14),7.51,(6.13 - 9.17)
Circuit 1,5.85,(4.19 - 8.11),17.39,(13.43 - 22.23),4.98,(3.38 - 7.30),6.86,(5.10 - 9.15)
Circuit 2,6.64,(4.58 - 9.52),19.26,(14.70 - 24.83),6.27,(4.21 - 9.25),9.10,(6.75 - 12.15)
Circuit 14,7.11,(4.88 - 10.24),*,(* - *),5.57,(3.61 - 8.51),6.95,(4.79 - 9.98)
Region B - Northeast,7.17,(5.79 - 8.84),18.00,(15.44 - 20.89),5.50,(4.36 - 6.92),7.40,(6.22 - 8.79)
Circuits 3 and 8,6.15,(4.37 - 8.58),17.28,(13.46 - 21.91),5.65,(3.90 - 8.13),8.07,(6.12 - 10.57)
Circuit 4,7.55,(5.60 - 10.11),18.62,(14.64 - 23.38),5.94,(4.25 - 8.23),7.77,(5.98 - 10.03)
Circuit 7,7.24,(5.21 - 9.97),17.89,(13.64 - 23.11),4.90,(3.33 - 7.15),6.54,(4.80 - 8.87)
Region C - Central,6.02,(5.00 - 7.24),15.44,(13.60 - 17.47),4.33,(3.53 - 5.30),5.74,(4.93 - 6.68)
Circuit 5,6.24,(4.42 - 8.75),15.18,(11.61 - 19.60),4.04,(2.81 - 5.78),5.26,(3.91 - 7.05)
Circuit 9,5.43,(4.01 - 7.32),15.34,(12.40 - 18.83),4.34,(3.09 - 6.07),5.93,(4.61 - 7.62)
Circuit 10,5.40,(3.82 - 7.59),13.18,(10.01 - 17.16),3.67,(2.40 - 5.57),4.93,(3.53 - 6.84)
Circuit 18,6.60,(4.73 - 9.14),18.04,(14.28 - 22.52),5.26,(3.66 - 7.52),6.88,(5.19 - 9.08)
Circuit 19,6.95,(4.90 - 9.76),14.51,(10.65 - 19.45),4.09,(2.70 - 6.16),5.30,(3.75 - 7.44)
Region D - Southeast,5.84,(4.61 - 7.37),14.77,(12.51 - 17.35),4.32,(3.40 - 5.49),5.56,(4.61 - 6.69)
