State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,4.73,(4.51 - 4.96),16.34,(15.94 - 16.74),6.05,(5.83 - 6.28),7.57,(7.36 - 7.78)
Northeast,4.71,(4.33 - 5.13),17.34,(16.47 - 18.24),5.88,(5.44 - 6.34),7.53,(7.13 - 7.94)
Midwest,4.86,(4.57 - 5.17),17.55,(16.81 - 18.32),6.26,(5.93 - 6.61),7.93,(7.63 - 8.24)
South,4.18,(3.90 - 4.49),14.73,(14.01 - 15.48),5.69,(5.35 - 6.06),7.01,(6.69 - 7.34)
West,5.44,(4.97 - 5.95),16.88,(15.98 - 17.82),6.57,(6.09 - 7.08),8.15,(7.71 - 8.60)
Alabama,4.25,(3.36 - 5.36),13.74,(11.75 - 16.01),5.62,(4.56 - 6.90),6.80,(5.79 - 7.98)
Region 1,4.13,(2.94 - 5.79),13.19,(10.33 - 16.69),5.41,(3.99 - 7.29),6.43,(5.04 - 8.18)
Region 2,4.70,(3.41 - 6.44),13.47,(10.72 - 16.79),5.88,(4.43 - 7.78),6.98,(5.56 - 8.71)
Region 3,3.60,(2.52 - 5.14),15.63,(12.41 - 19.51),5.80,(4.28 - 7.83),7.56,(6.05 - 9.42)
Region 4,4.27,(3.02 - 6.00),12.87,(10.10 - 16.26),5.36,(3.96 - 7.21),6.41,(5.05 - 8.10)
Alaska,5.15,(4.07 - 6.51),15.98,(13.74 - 18.50),6.77,(5.49 - 8.34),8.27,(7.05 - 9.67)
Anchorage,5.07,(3.69 - 6.92),15.74,(12.89 - 19.08),7.36,(5.70 - 9.46),8.69,(7.13 - 10.57)
Northern,4.88,(3.45 - 6.86),15.57,(12.39 - 19.39),6.10,(4.53 - 8.17),7.94,(6.39 - 9.82)
South Central,5.42,(3.90 - 7.49),16.07,(12.65 - 20.19),6.62,(4.85 - 8.98),8.05,(6.33 - 10.20)
Southeast,5.50,(3.84 - 7.82),17.97,(13.99 - 22.79),6.11,(4.46 - 8.32),7.73,(6.06 - 9.80)
Arizona,5.39,(4.21 - 6.87),18.16,(15.79 - 20.80),6.64,(5.32 - 8.26),8.30,(7.04 - 9.77)
Maricopa,5.40,(4.03 - 7.21),18.10,(15.26 - 21.35),6.71,(5.17 - 8.67),8.33,(6.85 - 10.10)
Pima,5.62,(3.90 - 8.03),19.95,(15.87 - 24.77),7.09,(5.17 - 9.65),8.98,(7.06 - 11.35)
Rural North,5.13,(3.55 - 7.36),18.48,(14.51 - 23.23),6.15,(4.43 - 8.48),7.92,(6.19 - 10.08)
Rural South,5.30,(3.63 - 7.67),15.94,(12.26 - 20.46),6.21,(4.51 - 8.50),7.66,(5.95 - 9.82)
Arkansas,4.53,(3.57 - 5.73),14.50,(12.46 - 16.82),5.25,(4.27 - 6.45),6.56,(5.59 - 7.67)
