State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  ** A separate CenterPoint estimate is not being reported because of low precision. For more details, see Table 34 of the ""2008-2010 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k10/toc.aspx.  NOTE: For substate region definitions, see the ""2008-2010 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k10/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., chewing tobacco or snuff), cigars, or pipe tobacco.  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2008, 2009, and 2010 (Revised March 2012)."
Total United States,11.32,(10.99 - 11.66),41.43,(40.86 - 42.00),27.70,(27.20 - 28.21),29.73,(29.29 - 30.17)
Northeast,10.99,(10.38 - 11.63),41.18,(40.02 - 42.36),25.69,(24.71 - 26.69),27.92,(27.09 - 28.76)
Midwest,12.77,(12.23 - 13.33),46.59,(45.61 - 47.58),29.93,(29.04 - 30.84),32.39,(31.65 - 33.14)
South,11.33,(10.84 - 11.84),41.57,(40.59 - 42.55),29.67,(28.81 - 30.54),31.40,(30.68 - 32.12)
West,10.20,(9.56 - 10.89),36.69,(35.48 - 37.91),24.08,(23.07 - 25.11),26.01,(25.17 - 26.86)
Alabama,12.44,(10.75 - 14.37),45.38,(42.31 - 48.48),33.41,(30.61 - 36.35),35.16,(32.65 - 37.75)
Region 1,13.01,(10.45 - 16.08),46.85,(41.36 - 52.42),34.27,(30.04 - 38.76),35.93,(32.01 - 40.05)
Region 2,13.45,(10.84 - 16.58),46.10,(41.08 - 51.21),33.78,(29.91 - 37.88),35.55,(31.98 - 39.29)
Region 3,9.87,(7.51 - 12.88),41.38,(35.66 - 47.35),31.54,(27.05 - 36.41),33.30,(29.18 - 37.69)
Region 4,12.45,(9.76 - 15.74),46.66,(40.97 - 52.44),33.22,(29.00 - 37.72),35.09,(31.18 - 39.23)
Alaska,13.76,(11.80 - 15.99),45.57,(42.09 - 49.10),31.19,(28.21 - 34.34),33.52,(30.84 - 36.31)
Anchorage,12.27,(9.86 - 15.17),42.16,(37.57 - 46.88),28.50,(24.94 - 32.36),30.67,(27.43 - 34.12)
Northern,16.53,(13.08 - 20.68),51.28,(45.16 - 57.37),34.85,(30.13 - 39.90),38.04,(33.75 - 42.52)
South Central,13.70,(10.75 - 17.29),45.18,(38.74 - 51.79),32.82,(28.17 - 37.84),34.69,(30.30 - 39.36)
Southeast,13.13,(9.86 - 17.26),*,(* - *),30.94,(25.93 - 36.43),33.06,(28.22 - 38.28)
Arizona,10.88,(9.24 - 12.78),38.13,(34.85 - 41.53),26.04,(23.27 - 29.01),27.79,(25.29 - 30.43)
Maricopa,10.55,(8.55 - 12.95),36.03,(32.06 - 40.20),25.44,(22.22 - 28.95),26.95,(24.02 - 30.09)
Pima,10.62,(7.98 - 14.00),38.77,(32.41 - 45.52),25.47,(21.19 - 30.27),27.42,(23.33 - 31.93)
Rural North,13.63,(10.23 - 17.92),*,(* - *),29.59,(24.95 - 34.70),32.16,(27.75 - 36.90)
Rural South,10.35,(7.66 - 13.84),*,(* - *),26.37,(21.87 - 31.43),28.22,(23.89 - 32.98)
Arkansas,13.80,(11.98 - 15.84),46.26,(43.06 - 49.49),35.41,(32.52 - 38.42),36.94,(34.35 - 39.62)
Catchment Area 1,13.30,(10.07 - 17.37),41.15,(34.61 - 48.03),31.32,(27.00 - 35.99),32.81,(28.69 - 37.22)
Catchment Area 2,16.62,(12.87 - 21.20),*,(* - *),35.37,(30.39 - 40.67),37.38,(32.64 - 42.37)
Catchment Area 3,14.29,(11.20 - 18.07),49.38,(42.95 - 55.84),39.94,(34.82 - 45.30),41.33,(36.57 - 46.25)
Catchment Area 4,15.34,(11.76 - 19.77),*,(* - *),37.56,(32.32 - 43.10),38.99,(34.03 - 44.18)
Catchment Area 5,14.63,(11.48 - 18.47),46.66,(40.93 - 52.47),34.69,(30.35 - 39.31),36.57,(32.54 - 40.80)
Catchment Area 6,12.73,(9.65 - 16.60),*,(* - *),38.08,(32.75 - 43.72),39.47,(34.44 - 44.73)
Catchment Area 7,12.66,(9.50 - 16.67),*,(* - *),35.96,(30.56 - 41.74),36.93,(31.82 - 42.37)
Catchment Area 8,11.89,(9.23 - 15.18),44.97,(38.93 - 51.17),33.79,(29.42 - 38.46),35.23,(31.13 - 39.56)
California,8.91,(7.95 - 9.96),33.62,(31.85 - 35.44),21.79,(20.34 - 23.33),23.68,(22.42 - 24.97)
Region 1R,12.09,(9.19 - 15.74),*,(* - *),28.38,(24.17 - 33.00),31.58,(27.53 - 35.93)
Region 2R,9.83,(7.53 - 12.74),38.99,(33.18 - 45.12),24.82,(21.25 - 28.77),27.18,(23.72 - 30.95)
Region 3R (Sacramento),9.67,(7.36 - 12.61),36.82,(30.75 - 43.34),24.48,(20.88 - 28.48),26.40,(22.85 - 30.28)
Region 4R,9.41,(7.21 - 12.18),*,(* - *),21.66,(18.33 - 25.41),23.83,(20.51 - 27.50)
Region 5R (San Francisco),*,(* - *),33.12,(27.22 - 39.61),22.74,(19.07 - 26.88),23.69,(20.11 - 27.70)
Region 6 (Santa Clara),7.87,(5.96 - 10.32),30.05,(24.91 - 35.75),17.70,(14.86 - 20.96),19.33,(16.58 - 22.42)
Region 7R (Contra Costa),7.93,(5.93 - 10.54),30.94,(25.01 - 37.57),18.53,(15.39 - 22.15),20.28,(17.13 - 23.85)
Region 8R (Alameda),8.28,(6.27 - 10.84),34.71,(29.25 - 40.61),19.77,(16.70 - 23.26),21.84,(18.85 - 25.14)
Region 9R (San Mateo),8.56,(6.37 - 11.41),*,(* - *),18.31,(15.12 - 22.00),20.02,(16.84 - 23.63)
Region 10,9.54,(7.25 - 12.45),36.54,(30.67 - 42.84),20.05,(16.90 - 23.62),22.89,(19.79 - 26.31)
Region 11 (Los Angeles),8.22,(7.11 - 9.49),29.44,(27.10 - 31.90),20.70,(18.90 - 22.63),22.08,(20.48 - 23.78)
LA SPA 1 and 5,8.69,(6.43 - 11.65),31.98,(25.98 - 38.63),20.17,(16.85 - 23.94),21.94,(18.64 - 25.64)
LA SPA 2,8.77,(6.77 - 11.28),32.62,(27.77 - 37.88),19.89,(16.96 - 23.20),21.76,(18.99 - 24.82)
LA SPA 3,7.84,(5.97 - 10.23),26.01,(21.56 - 31.02),18.19,(15.35 - 21.43),19.41,(16.69 - 22.47)
LA SPA 4,8.81,(6.68 - 11.55),32.66,(27.04 - 38.82),23.66,(20.10 - 27.64),24.92,(21.50 - 28.70)
LA SPA 6,7.93,(5.98 - 10.44),26.81,(21.76 - 32.54),23.71,(19.98 - 27.90),24.33,(20.87 - 28.16)
LA SPA 7,7.94,(5.97 - 10.49),28.75,(23.85 - 34.21),20.72,(17.48 - 24.39),22.11,(19.04 - 25.52)
LA SPA 8,7.79,(5.96 - 10.11),28.13,(22.94 - 33.97),21.03,(17.76 - 24.71),22.11,(18.95 - 25.62)
Region 12R,10.21,(7.75 - 13.32),*,(* - *),24.46,(20.54 - 28.85),26.16,(22.28 - 30.44)
Regions 13 and 19R,9.18,(7.13 - 11.73),33.57,(28.59 - 38.94),24.17,(20.95 - 27.71),25.77,(22.75 - 29.04)
Region 13 (Riverside),9.28,(7.11 - 12.03),33.85,(28.49 - 39.65),24.28,(20.86 - 28.05),25.89,(22.67 - 29.39)
Region 19R (Imperial),8.00,(5.93 - 10.70),30.39,(24.50 - 37.00),22.75,(19.05 - 26.93),24.20,(20.62 - 28.18)
Region 14 (Orange),8.53,(6.69 - 10.81),34.90,(30.58 - 39.49),19.90,(17.18 - 22.93),22.12,(19.58 - 24.89)
Region 15R (Fresno),8.13,(6.03 - 10.88),30.86,(24.93 - 37.49),22.20,(18.70 - 26.15),23.81,(20.39 - 27.59)
Region 16R (San Diego),9.69,(7.65 - 12.20),34.92,(30.18 - 39.98),21.02,(18.14 - 24.22),23.42,(20.69 - 26.40)
Region 17R,8.67,(6.64 - 11.24),31.05,(26.11 - 36.46),25.20,(21.73 - 29.02),26.27,(23.02 - 29.81)
Region 18R (San Bernardino),9.63,(7.58 - 12.15),36.81,(32.09 - 41.81),25.51,(22.08 - 29.26),27.58,(24.41 - 31.00)
Region 20R,9.23,(6.93 - 12.20),33.02,(27.23 - 39.37),24.21,(20.45 - 28.40),25.74,(22.15 - 29.70)
Region 21R,10.15,(7.59 - 13.44),*,(* - *),23.62,(20.01 - 27.67),26.54,(22.95 - 30.47)
Colorado,13.14,(11.20 - 15.35),44.03,(40.74 - 47.37),27.05,(24.34 - 29.94),29.52,(27.05 - 32.10)
Region 1,14.66,(11.25 - 18.88),45.81,(39.19 - 52.58),28.32,(23.90 - 33.19),31.38,(27.14 - 35.95)
Regions 2 and 7,12.68,(10.29 - 15.53),42.77,(38.51 - 47.13),26.04,(22.84 - 29.52),28.34,(25.41 - 31.47)
Region 3,12.85,(9.95 - 16.44),44.56,(37.97 - 51.34),27.49,(23.43 - 31.96),30.11,(26.25 - 34.27)
Region 4,13.46,(9.97 - 17.93),*,(* - *),28.70,(23.81 - 34.15),31.19,(26.43 - 36.37)
Regions 5 and 6,13.99,(10.53 - 18.35),*,(* - *),29.20,(24.48 - 34.40),31.53,(26.94 - 36.50)
Connecticut,10.62,(8.95 - 12.54),41.22,(37.91 - 44.62),24.33,(21.79 - 27.05),26.67,(24.36 - 29.11)
Eastern,10.28,(7.53 - 13.89),*,(* - *),26.53,(22.17 - 31.41),29.07,(24.88 - 33.65)
North Central,10.50,(8.25 - 13.27),41.08,(35.69 - 46.69),24.73,(21.14 - 28.72),26.94,(23.55 - 30.61)
Northwestern,11.54,(8.72 - 15.11),44.02,(37.96 - 50.26),23.73,(19.96 - 27.96),26.37,(22.79 - 30.29)
