State/Substate Region,18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,30.45,(29.90 - 31.02),18.10,(17.63 - 18.58),19.92,(19.51 - 20.34)
Northeast,31.73,(30.67 - 32.80),18.07,(17.15 - 19.03),20.04,(19.22 - 20.88)
Midwest,31.58,(30.76 - 32.41),18.32,(17.60 - 19.05),20.28,(19.65 - 20.92)
South,29.03,(28.25 - 29.81),18.02,(17.32 - 18.75),19.62,(19.00 - 20.26)
West,30.61,(29.49 - 31.76),18.04,(17.07 - 19.05),19.97,(19.12 - 20.84)
Alabama,29.39,(26.46 - 32.51),21.52,(18.70 - 24.64),22.67,(20.16 - 25.39)
Region 1,29.67,(25.24 - 34.52),23.08,(18.93 - 27.84),23.95,(20.22 - 28.13)
Region 2,29.46,(25.24 - 34.07),20.77,(17.09 - 25.00),22.02,(18.71 - 25.72)
Region 3,27.27,(22.91 - 32.12),21.60,(17.53 - 26.32),22.62,(19.06 - 26.62)
Region 4,31.15,(26.58 - 36.13),20.56,(16.90 - 24.77),22.04,(18.71 - 25.76)
Alaska,27.30,(24.25 - 30.57),18.05,(15.54 - 20.87),19.55,(17.29 - 22.03)
Anchorage,27.09,(23.17 - 31.40),18.62,(15.44 - 22.29),19.97,(17.14 - 23.14)
Northern,26.02,(21.69 - 30.88),17.68,(14.31 - 21.63),19.30,(16.28 - 22.74)
South Central,27.55,(22.90 - 32.75),17.52,(14.18 - 21.44),19.04,(15.97 - 22.53)
Southeast,31.18,(25.71 - 37.22),17.79,(14.22 - 22.02),19.62,(16.29 - 23.43)
Arizona,29.87,(26.64 - 33.30),17.60,(15.04 - 20.49),19.37,(17.06 - 21.90)
Maricopa,29.04,(25.09 - 33.33),17.60,(14.65 - 21.01),19.23,(16.57 - 22.21)
Pima,30.79,(25.77 - 36.30),18.32,(14.75 - 22.53),20.15,(16.89 - 23.87)
Rural North,33.31,(27.86 - 39.25),18.28,(14.52 - 22.75),20.43,(16.99 - 24.37)
Rural South,29.46,(24.59 - 34.85),16.04,(12.70 - 20.05),18.05,(14.96 - 21.60)
Arkansas,30.49,(27.59 - 33.55),19.93,(17.37 - 22.77),21.42,(19.12 - 23.91)
Catchment Area 1,30.67,(25.68 - 36.17),19.91,(16.33 - 24.05),21.54,(18.28 - 25.21)
Catchment Area 2,31.66,(26.22 - 37.65),20.83,(16.87 - 25.43),22.23,(18.58 - 26.37)
Catchment Area 3,31.15,(26.25 - 36.52),19.55,(15.79 - 23.96),21.25,(17.83 - 25.13)
Catchment Area 4,29.71,(24.80 - 35.14),19.61,(15.92 - 23.93),20.90,(17.50 - 24.77)
Catchment Area 5,31.97,(27.24 - 37.10),20.32,(16.67 - 24.55),22.15,(18.89 - 25.81)
Catchment Area 6,27.79,(22.94 - 33.22),18.99,(15.01 - 23.73),20.29,(16.67 - 24.47)
Catchment Area 7,29.95,(25.00 - 35.42),19.45,(15.67 - 23.89),20.87,(17.41 - 24.81)
Catchment Area 8,29.41,(24.81 - 34.48),20.06,(16.30 - 24.42),21.25,(17.82 - 25.15)
California,29.80,(28.00 - 31.67),16.93,(15.40 - 18.58),18.98,(17.64 - 20.40)
Region 1R,31.32,(26.54 - 36.54),18.57,(15.17 - 22.53),20.77,(17.70 - 24.21)
Region 2R,32.18,(27.59 - 37.15),19.08,(15.67 - 23.04),21.27,(18.22 - 24.68)
Region 3R (Sacramento),30.97,(26.14 - 36.24),18.28,(14.94 - 22.17),20.25,(17.20 - 23.68)
Region 4R,29.65,(24.93 - 34.86),17.48,(14.37 - 21.10),19.22,(16.38 - 22.43)
Region 5R (San Francisco),31.98,(26.98 - 37.42),19.34,(15.85 - 23.39),20.47,(17.18 - 24.21)
Region 6 (Santa Clara),30.92,(26.15 - 36.13),15.69,(12.98 - 18.84),17.69,(15.14 - 20.56)
Region 7R (Contra Costa),30.84,(25.82 - 36.36),15.21,(12.31 - 18.63),17.41,(14.73 - 20.47)
Region 8R (Alameda),32.93,(28.23 - 38.00),16.09,(13.10 - 19.62),18.41,(15.67 - 21.51)
Region 9R (San Mateo),31.30,(26.25 - 36.84),14.87,(12.11 - 18.12),16.79,(14.17 - 19.79)
Region 10,33.12,(28.25 - 38.39),17.39,(14.27 - 21.02),20.11,(17.26 - 23.29)
Region 11 (Los Angeles),28.85,(26.60 - 31.22),16.35,(14.57 - 18.29),18.33,(16.76 - 20.02)
LA SPA 1 and 5,29.50,(24.70 - 34.80),16.54,(13.56 - 20.02),18.49,(15.74 - 21.61)
LA SPA 2,31.37,(27.03 - 36.06),16.59,(13.63 - 20.03),18.75,(16.04 - 21.82)
LA SPA 3,28.85,(24.60 - 33.51),15.61,(12.81 - 18.88),17.69,(15.11 - 20.60)
LA SPA 4,28.16,(23.80 - 32.98),17.91,(14.77 - 21.55),19.34,(16.49 - 22.55)
LA SPA 6,26.59,(22.29 - 31.38),15.99,(12.91 - 19.65),18.23,(15.48 - 21.34)
LA SPA 7,27.31,(23.03 - 32.06),15.27,(12.49 - 18.54),17.37,(14.81 - 20.27)
LA SPA 8,28.91,(24.61 - 33.62),16.54,(13.59 - 19.97),18.43,(15.78 - 21.40)
Region 12R,30.16,(25.40 - 35.38),18.13,(14.90 - 21.88),20.10,(17.18 - 23.38)
Regions 13 and 19R,29.12,(25.11 - 33.49),16.48,(13.79 - 19.57),18.65,(16.21 - 21.35)
Region 13 (Riverside),29.26,(24.98 - 33.94),16.52,(13.69 - 19.81),18.69,(16.11 - 21.57)
Region 19R (Imperial),27.51,(22.97 - 32.57),15.88,(12.80 - 19.54),18.11,(15.34 - 21.26)
Region 14 (Orange),30.82,(26.84 - 35.10),17.21,(14.38 - 20.47),19.23,(16.68 - 22.06)
Region 15R (Fresno),28.05,(23.44 - 33.17),17.04,(13.95 - 20.65),19.10,(16.33 - 22.22)
Region 16R (San Diego),29.89,(25.83 - 34.29),17.23,(14.46 - 20.41),19.43,(16.92 - 22.20)
Region 17R,26.93,(22.77 - 31.54),16.84,(13.90 - 20.26),18.72,(16.11 - 21.66)
Region 18R (San Bernardino),28.54,(24.56 - 32.87),17.26,(14.25 - 20.76),19.35,(16.68 - 22.33)
Region 20R,28.44,(23.77 - 33.61),16.94,(13.90 - 20.48),18.96,(16.18 - 22.09)
Region 21R,29.60,(24.85 - 34.83),17.85,(14.53 - 21.73),19.99,(17.01 - 23.34)
Colorado,31.86,(28.83 - 35.06),18.20,(15.74 - 20.93),20.18,(17.97 - 22.58)
Region 1,32.02,(27.00 - 37.50),18.85,(15.22 - 23.10),21.16,(17.87 - 24.88)
