State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
"ECCS = Eastern Coastal Care System; PBH = Piedmont Behavioral Health; SPA = service planning area.  * Low precision; no estimate reported.  ** A separate CenterPoint estimate is not being reported because of low precision. For more details, see Table 34 of the ""2008-2010 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k10/toc.aspx.  NOTE: For substate region definitions, see the ""2008-2010 National Survey on Drug Use and Health Substate Region Definitions"" at http://www.samhsa.gov/data/NSDUH/substate2k10/toc.aspx.  NOTE: Substate, State, and census region estimates along with the 95 percent confidence (credible) intervals are based on a survey-weighted hierarchical Bayes estimation approach and are generated by Markov Chain Monte Carlo techniques. Design-based (direct) estimates and corresponding 95 percent confidence intervals are given for the total United States.  Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2008, 2009, and 2010 (Revised March 2012)."
Total United States,31.08,(30.60 - 31.58),20.41,(19.96 - 20.87),37.63,(37.06 - 38.20),35.09,(34.60 - 35.59)
Northeast,27.57,(26.62 - 28.54),16.83,(16.02 - 17.67),35.12,(34.04 - 36.21),32.49,(31.55 - 33.43)
Midwest,32.31,(31.56 - 33.07),18.90,(18.20 - 19.62),35.81,(34.96 - 36.66),33.30,(32.57 - 34.05)
South,34.10,(33.33 - 34.87),23.55,(22.82 - 24.31),42.35,(41.52 - 43.19),39.62,(38.89 - 40.36)
West,27.92,(26.93 - 28.94),19.78,(18.85 - 20.74),33.86,(32.78 - 34.97),31.70,(30.76 - 32.66)
Alabama,40.24,(37.15 - 43.41),28.21,(25.43 - 31.17),43.34,(39.97 - 46.77),41.13,(38.17 - 44.16)
Region 1,40.68,(35.95 - 45.59),28.50,(23.79 - 33.73),42.74,(37.36 - 48.30),40.87,(36.04 - 45.88)
Region 2,36.90,(32.60 - 41.43),26.41,(22.27 - 31.01),40.32,(35.43 - 45.41),38.32,(33.99 - 42.85)
Region 3,42.03,(36.34 - 47.94),27.11,(22.40 - 32.39),48.80,(42.35 - 55.29),44.89,(39.39 - 50.53)
Region 4,42.88,(37.67 - 48.25),31.69,(26.59 - 37.27),44.30,(38.76 - 50.00),42.54,(37.57 - 47.68)
Alaska,27.95,(24.89 - 31.23),15.28,(13.02 - 17.85),27.46,(24.34 - 30.83),25.49,(22.77 - 28.41)
Anchorage,28.78,(24.69 - 33.25),15.15,(12.24 - 18.61),27.45,(23.46 - 31.85),25.49,(22.01 - 29.33)
Northern,29.15,(24.46 - 34.34),15.75,(12.15 - 20.19),28.01,(22.89 - 33.78),25.63,(21.25 - 30.55)
South Central,26.00,(21.58 - 30.97),15.35,(11.71 - 19.87),25.84,(20.86 - 31.54),24.26,(19.83 - 29.31)
Southeast,26.64,(21.28 - 32.80),14.33,(10.51 - 19.25),*,(* - *),28.24,(22.81 - 34.39)
Arizona,27.53,(24.57 - 30.71),22.31,(19.70 - 25.17),35.99,(32.56 - 39.57),34.02,(31.02 - 37.15)
Maricopa,27.74,(24.29 - 31.48),25.01,(21.61 - 28.75),35.17,(31.03 - 39.56),33.73,(30.08 - 37.57)
Pima,25.24,(20.26 - 30.97),16.13,(12.37 - 20.77),*,(* - *),32.50,(26.96 - 38.57)
