State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,4.59,(4.38 - 4.81),7.81,(7.53 - 8.09),1.73,(1.62 - 1.86),2.63,(2.52 - 2.75)
Northeast,4.46,(4.09 - 4.85),8.84,(8.28 - 9.43),1.80,(1.58 - 2.05),2.81,(2.59 - 3.06)
Midwest,4.58,(4.29 - 4.88),7.37,(6.99 - 7.77),1.58,(1.41 - 1.76),2.44,(2.27 - 2.61)
South,4.23,(3.96 - 4.53),7.25,(6.86 - 7.65),1.74,(1.57 - 1.92),2.54,(2.37 - 2.72)
West,5.24,(4.80 - 5.71),8.27,(7.68 - 8.90),1.82,(1.58 - 2.09),2.81,(2.57 - 3.07)
Alabama,4.12,(3.23 - 5.23),7.30,(5.97 - 8.90),1.78,(1.25 - 2.55),2.59,(2.02 - 3.31)
Region 1,3.91,(2.67 - 5.69),7.17,(5.27 - 9.68),1.79,(1.05 - 3.03),2.50,(1.71 - 3.65)
Region 2,4.42,(3.11 - 6.24),7.45,(5.52 - 9.97),1.81,(1.10 - 2.95),2.62,(1.85 - 3.70)
Region 3,3.57,(2.33 - 5.43),7.64,(5.55 - 10.43),1.86,(1.06 - 3.25),2.90,(2.00 - 4.20)
Region 4,4.38,(2.93 - 6.50),6.90,(5.06 - 9.34),1.69,(0.99 - 2.86),2.41,(1.65 - 3.51)
Alaska,4.80,(3.74 - 6.14),7.02,(5.64 - 8.71),1.71,(1.19 - 2.44),2.57,(2.01 - 3.27)
Anchorage,4.50,(3.12 - 6.44),6.96,(5.22 - 9.23),1.95,(1.21 - 3.14),2.75,(1.97 - 3.83)
Northern,5.17,(3.52 - 7.55),6.77,(4.84 - 9.41),1.79,(1.06 - 3.01),2.76,(1.92 - 3.96)
South Central,5.02,(3.35 - 7.44),7.14,(5.09 - 9.92),1.43,(0.81 - 2.49),2.29,(1.56 - 3.35)
Southeast,4.51,(2.92 - 6.90),7.71,(5.34 - 11.02),1.30,(0.72 - 2.32),2.17,(1.45 - 3.24)
Arizona,4.93,(3.82 - 6.36),8.73,(7.16 - 10.60),2.01,(1.41 - 2.87),2.98,(2.34 - 3.80)
Maricopa,4.75,(3.41 - 6.59),8.27,(6.47 - 10.51),1.97,(1.26 - 3.06),2.86,(2.12 - 3.86)
Pima,6.21,(4.10 - 9.32),11.06,(8.01 - 15.08),2.40,(1.38 - 4.13),3.67,(2.50 - 5.34)
Rural North,4.35,(2.82 - 6.64),8.59,(6.15 - 11.88),1.94,(1.07 - 3.48),2.89,(1.90 - 4.37)
Rural South,4.90,(3.09 - 7.68),8.10,(5.66 - 11.47),1.83,(1.02 - 3.29),2.77,(1.82 - 4.20)
Arkansas,4.61,(3.67 - 5.78),6.81,(5.54 - 8.34),1.87,(1.34 - 2.59),2.56,(2.00 - 3.28)
Catchment Area 1,4.72,(3.05 - 7.25),6.39,(4.50 - 9.01),1.65,(0.95 - 2.86),2.37,(1.58 - 3.55)
