State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,7.40,(7.13 - 7.68),20.31,(19.87 - 20.75),7.11,(6.86 - 7.36),9.05,(8.83 - 9.29)
Northeast,7.45,(6.98 - 7.95),21.86,(20.97 - 22.78),7.10,(6.62 - 7.61),9.22,(8.79 - 9.67)
Midwest,7.46,(7.08 - 7.86),21.09,(20.39 - 21.81),7.22,(6.84 - 7.62),9.27,(8.92 - 9.63)
South,6.63,(6.26 - 7.01),18.61,(17.93 - 19.31),6.72,(6.34 - 7.11),8.44,(8.11 - 8.79)
West,8.49,(7.90 - 9.12),20.96,(20.04 - 21.91),7.63,(7.11 - 8.18),9.67,(9.21 - 10.16)
Alabama,6.78,(5.61 - 8.18),17.75,(15.60 - 20.12),6.64,(5.41 - 8.12),8.26,(7.09 - 9.60)
Region 1,6.09,(4.46 - 8.26),16.54,(13.32 - 20.35),6.45,(4.79 - 8.64),7.78,(6.15 - 9.81)
Region 2,7.69,(5.74 - 10.24),17.87,(14.67 - 21.59),6.94,(5.18 - 9.24),8.51,(6.80 - 10.60)
Region 3,5.89,(4.22 - 8.15),19.39,(15.74 - 23.64),6.92,(5.01 - 9.49),9.16,(7.24 - 11.53)
Region 4,7.05,(5.14 - 9.61),17.31,(13.87 - 21.41),6.22,(4.55 - 8.44),7.77,(6.09 - 9.85)
Alaska,7.40,(6.01 - 9.08),19.42,(16.93 - 22.18),7.72,(6.34 - 9.37),9.62,(8.30 - 11.12)
Anchorage,6.98,(5.20 - 9.31),19.27,(16.06 - 22.94),8.48,(6.55 - 10.92),10.20,(8.37 - 12.37)
Northern,7.35,(5.29 - 10.14),20.21,(16.29 - 24.79),7.13,(5.21 - 9.68),9.68,(7.71 - 12.08)
South Central,7.91,(5.78 - 10.74),18.38,(14.54 - 22.97),7.26,(5.37 - 9.74),8.94,(7.06 - 11.27)
Southeast,7.92,(5.50 - 11.28),20.78,(16.29 - 26.12),6.97,(4.99 - 9.66),8.85,(6.85 - 11.38)
Arizona,8.26,(6.71 - 10.14),22.39,(19.84 - 25.18),7.65,(6.21 - 9.38),9.77,(8.41 - 11.32)
Maricopa,8.25,(6.38 - 10.61),22.17,(19.07 - 25.62),7.56,(5.88 - 9.67),9.64,(8.05 - 11.52)
Pima,9.51,(6.77 - 13.20),25.70,(20.82 - 31.28),8.72,(6.33 - 11.92),11.22,(8.81 - 14.18)
Rural North,7.52,(5.21 - 10.73),21.68,(17.21 - 26.95),7.25,(5.20 - 10.04),9.32,(7.23 - 11.94)
Rural South,7.64,(5.22 - 11.06),20.00,(15.71 - 25.11),7.08,(4.99 - 9.94),9.01,(6.89 - 11.71)
Arkansas,6.97,(5.74 - 8.44),17.86,(15.68 - 20.27),6.34,(5.18 - 7.73),7.96,(6.85 - 9.23)
Catchment Area 1,7.18,(5.05 - 10.10),18.28,(14.50 - 22.79),5.87,(4.25 - 8.06),7.76,(6.07 - 9.86)
Catchment Area 2,7.05,(4.95 - 9.96),17.00,(13.20 - 21.62),5.65,(4.00 - 7.91),7.12,(5.43 - 9.29)
Catchment Area 3,6.72,(4.82 - 9.28),17.56,(13.97 - 21.84),6.61,(4.84 - 8.96),8.21,(6.46 - 10.38)
Catchment Area 4,7.69,(5.39 - 10.85),17.83,(13.98 - 22.48),5.85,(4.19 - 8.12),7.39,(5.68 - 9.55)
Catchment Area 5,8.00,(5.78 - 10.96),19.09,(15.50 - 23.29),6.94,(5.05 - 9.47),8.85,(6.98 - 11.16)
Catchment Area 6,5.83,(4.07 - 8.28),16.53,(12.90 - 20.94),6.41,(4.56 - 8.93),7.90,(6.05 - 10.27)
Catchment Area 7,6.68,(4.63 - 9.56),16.85,(12.95 - 21.63),6.66,(4.70 - 9.37),8.04,(6.07 - 10.58)
Catchment Area 8,6.46,(4.57 - 9.04),18.19,(14.55 - 22.50),6.57,(4.84 - 8.86),8.06,(6.34 - 10.19)
California,8.58,(7.69 - 9.57),20.67,(19.27 - 22.14),7.70,(6.89 - 8.59),9.77,(9.03 - 10.55)
Region 1R,9.75,(7.07 - 13.29),25.84,(21.16 - 31.14),9.18,(6.92 - 12.08),12.05,(9.77 - 14.77)
Region 2R,8.65,(6.35 - 11.69),23.20,(19.15 - 27.82),9.60,(7.15 - 12.78),11.87,(9.52 - 14.72)
Region 3R (Sacramento),8.23,(5.99 - 11.21),23.10,(18.84 - 27.99),8.09,(6.15 - 10.58),10.42,(8.46 - 12.78)
Region 4R,9.40,(6.89 - 12.71),22.66,(18.42 - 27.54),7.61,(5.65 - 10.18),9.77,(7.79 - 12.18)
Region 5R (San Francisco),*,(* - *),23.71,(19.28 - 28.78),10.33,(7.83 - 13.51),11.53,(9.07 - 14.55)
