State/Substate Region,12-17 (Estimate),12-17 (95% Confidence Interval),18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,2.50,(2.35 - 2.67),5.51,(5.27 - 5.75),1.24,(1.14 - 1.34),1.87,(1.78 - 1.97)
Northeast,2.54,(2.29 - 2.83),6.51,(6.02 - 7.05),1.38,(1.20 - 1.59),2.12,(1.93 - 2.33)
Midwest,2.50,(2.28 - 2.73),5.16,(4.83 - 5.51),1.17,(1.02 - 1.33),1.76,(1.62 - 1.91)
South,2.28,(2.08 - 2.51),5.04,(4.71 - 5.39),1.20,(1.06 - 1.35),1.76,(1.62 - 1.90)
West,2.82,(2.51 - 3.16),5.77,(5.26 - 6.32),1.26,(1.07 - 1.48),1.95,(1.76 - 2.17)
Alabama,2.21,(1.63 - 2.98),5.13,(3.99 - 6.58),1.13,(0.77 - 1.65),1.71,(1.30 - 2.25)
Region 1,2.08,(1.25 - 3.42),5.00,(3.50 - 7.10),0.96,(0.56 - 1.66),1.49,(1.01 - 2.20)
Region 2,2.47,(1.53 - 3.94),5.19,(3.66 - 7.30),1.23,(0.73 - 2.07),1.80,(1.23 - 2.62)
Region 3,1.89,(1.08 - 3.29),5.39,(3.76 - 7.68),1.22,(0.69 - 2.17),1.97,(1.33 - 2.91)
Region 4,2.25,(1.34 - 3.76),4.93,(3.36 - 7.19),1.11,(0.63 - 1.95),1.64,(1.08 - 2.49)
Alaska,2.75,(2.02 - 3.74),4.75,(3.57 - 6.30),1.22,(0.82 - 1.82),1.79,(1.33 - 2.41)
Anchorage,2.54,(1.59 - 4.02),4.64,(3.25 - 6.59),1.28,(0.76 - 2.15),1.82,(1.24 - 2.66)
Northern,2.47,(1.46 - 4.15),4.33,(2.89 - 6.43),1.20,(0.68 - 2.13),1.81,(1.19 - 2.75)
South Central,3.34,(1.98 - 5.58),5.12,(3.43 - 7.57),1.16,(0.64 - 2.08),1.76,(1.15 - 2.69)
Southeast,2.80,(1.61 - 4.80),5.47,(3.61 - 8.20),1.15,(0.61 - 2.15),1.74,(1.09 - 2.75)
Arizona,2.66,(1.93 - 3.66),6.31,(4.90 - 8.10),1.30,(0.87 - 1.92),2.02,(1.53 - 2.66)
Maricopa,2.41,(1.55 - 3.73),5.86,(4.34 - 7.88),1.23,(0.76 - 1.98),1.89,(1.35 - 2.63)
Pima,3.97,(2.28 - 6.84),7.93,(5.44 - 11.41),1.76,(0.97 - 3.16),2.67,(1.74 - 4.07)
Rural North,2.35,(1.31 - 4.16),6.46,(4.41 - 9.37),1.19,(0.65 - 2.15),1.94,(1.28 - 2.94)
Rural South,2.68,(1.48 - 4.81),6.27,(4.19 - 9.29),*,(* - *),1.92,(1.26 - 2.93)
Arkansas,2.61,(1.96 - 3.47),4.67,(3.58 - 6.07),1.38,(0.97 - 1.96),1.84,(1.39 - 2.43)
Catchment Area 1,2.51,(1.42 - 4.38),4.35,(2.86 - 6.56),1.18,(0.67 - 2.08),1.66,(1.07 - 2.57)
Catchment Area 2,2.45,(1.37 - 4.33),4.91,(3.21 - 7.44),1.09,(0.61 - 1.94),1.58,(1.01 - 2.47)
Catchment Area 3,2.66,(1.54 - 4.55),4.68,(3.17 - 6.87),1.56,(0.88 - 2.73),2.01,(1.29 - 3.13)
Catchment Area 4,2.91,(1.66 - 5.04),4.95,(3.31 - 7.35),*,(* - *),1.82,(1.15 - 2.85)
Catchment Area 5,2.78,(1.63 - 4.72),4.69,(3.23 - 6.75),1.54,(0.88 - 2.67),2.03,(1.33 - 3.09)
Catchment Area 6,2.37,(1.33 - 4.17),4.88,(3.21 - 7.36),*,(* - *),2.03,(1.27 - 3.24)
Catchment Area 7,2.54,(1.43 - 4.45),4.43,(2.87 - 6.77),*,(* - *),1.72,(1.06 - 2.77)
Catchment Area 8,2.62,(1.52 - 4.48),4.68,(3.14 - 6.93),1.46,(0.82 - 2.58),1.87,(1.19 - 2.94)
California,2.72,(2.27 - 3.27),5.91,(5.12 - 6.81),1.26,(0.98 - 1.63),2.00,(1.70 - 2.36)
Region 1R,2.91,(1.65 - 5.08),7.54,(5.34 - 10.55),1.46,(0.84 - 2.51),2.51,(1.72 - 3.63)
Region 2R,2.74,(1.63 - 4.56),6.97,(5.06 - 9.52),1.46,(0.86 - 2.45),2.38,(1.67 - 3.38)
Region 3R (Sacramento),2.49,(1.45 - 4.26),6.15,(4.43 - 8.49),1.44,(0.85 - 2.43),2.17,(1.49 - 3.15)
Region 4R,3.30,(1.94 - 5.55),6.88,(4.86 - 9.65),1.46,(0.85 - 2.51),2.24,(1.51 - 3.30)
Region 5R (San Francisco),*,(* - *),7.03,(5.00 - 9.81),1.57,(0.90 - 2.70),2.06,(1.33 - 3.16)
Region 6 (Santa Clara),2.51,(1.48 - 4.23),5.40,(3.81 - 7.59),1.02,(0.58 - 1.78),1.60,(1.07 - 2.37)
Region 7R (Contra Costa),2.51,(1.43 - 4.35),6.24,(4.38 - 8.83),1.24,(0.71 - 2.16),1.94,(1.30 - 2.88)
Region 8R (Alameda),2.30,(1.32 - 3.98),5.27,(3.81 - 7.24),1.10,(0.61 - 1.97),1.68,(1.12 - 2.50)
Region 9R (San Mateo),2.68,(1.50 - 4.75),5.49,(3.78 - 7.90),*,(* - *),1.54,(0.99 - 2.39)
Region 10,3.82,(2.27 - 6.38),7.27,(5.21 - 10.05),1.65,(0.94 - 2.87),2.62,(1.79 - 3.81)
Region 11 (Los Angeles),2.57,(2.00 - 3.31),5.56,(4.65 - 6.64),1.19,(0.87 - 1.62),1.88,(1.53 - 2.31)
LA SPA 1 and 5,2.38,(1.36 - 4.11),5.87,(4.13 - 8.27),1.25,(0.72 - 2.18),1.95,(1.31 - 2.89)
LA SPA 2,2.30,(1.36 - 3.86),5.73,(4.14 - 7.89),1.07,(0.63 - 1.81),1.75,(1.22 - 2.51)
LA SPA 3,2.55,(1.52 - 4.26),5.74,(4.15 - 7.89),1.07,(0.62 - 1.84),1.80,(1.25 - 2.60)
LA SPA 4,3.55,(2.06 - 6.06),6.09,(4.34 - 8.50),1.58,(0.90 - 2.75),2.21,(1.46 - 3.32)
LA SPA 6,2.40,(1.37 - 4.18),5.41,(3.83 - 7.61),1.35,(0.75 - 2.42),2.21,(1.51 - 3.22)
LA SPA 7,2.42,(1.37 - 4.23),4.79,(3.39 - 6.73),0.87,(0.48 - 1.56),1.55,(1.05 - 2.28)
LA SPA 8,2.69,(1.61 - 4.47),5.37,(3.84 - 7.48),1.29,(0.74 - 2.23),1.91,(1.29 - 2.82)
