"Region","Year","Age Range","Perception of Great Risk of Drug Use","Measure Type","Variable","Value"
"Connecticut","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.4
"Connecticut","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",35.35
"Connecticut","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.51
"Connecticut","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",29.67
"Connecticut","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.36
"Connecticut","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.82
"Connecticut","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.69
"Connecticut","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",30.37
"Connecticut","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.3
"Connecticut","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",20.58
"Connecticut","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.56
"Connecticut","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.63
"Connecticut","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.54
"Connecticut","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.52
"Connecticut","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.53
"Connecticut","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",34.49
"Connecticut","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.03
"Connecticut","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",77.02
"Connecticut","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",2.87
"Connecticut","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.91
